logFC	logCPM	F	PValue	FDR
Zm00001eb275080	6.84239485494973	7.29964936629273	8484.18588142623	5.4797873020206e-13	3.07264213381925e-09
Zm00001eb215270	8.49117674391003	5.52604064229507	8122.96089284184	6.47735777035409e-13	3.07264213381925e-09
Zm00001eb020610	7.65250136384804	5.10621934644141	7726.62337343161	7.85059333187685e-13	3.07264213381925e-09
Zm00001eb026450	5.71416252432774	6.52186736121036	7560.58015693038	8.53426087399997e-13	3.07264213381925e-09
Zm00001eb331230	6.2246802817643	6.53538712358108	7440.20297618366	9.07730718000662e-13	3.07264213381925e-09
Zm00001eb140690	5.43106922120911	5.33131359869637	7154.2258715128	1.05531338320838e-12	3.07264213381925e-09
Zm00001eb368640	5.25515294647006	5.77446072983924	7131.2535165012	1.06843920409832e-12	3.07264213381925e-09
Zm00001eb149300	5.2083736970884	6.73289973069562	7087.69452287745	1.09389754129972e-12	3.07264213381925e-09
Zm00001eb441670	5.20770608957493	6.7332654267112	7067.46783153897	1.10597894423545e-12	3.07264213381925e-09
Zm00001eb370000	6.17601008859419	5.94764723830239	6791.46858697736	1.28895115082132e-12	3.07264213381925e-09
Zm00001eb393460	6.87401669480693	6.42402620428264	6661.23883217479	1.38852145736313e-12	3.07264213381925e-09
Zm00001eb155710	5.51432806694763	5.4498110337799	6466.29635725773	1.55641742911109e-12	3.07264213381925e-09
Zm00001eb026440	5.78140662585426	7.33742651608201	6244.00572225881	1.7803665081785e-12	3.07264213381925e-09
Zm00001eb339970	5.75681704384671	6.58575221245583	6240.12463922097	1.78462552694996e-12	3.07264213381925e-09
Zm00001eb148420	5.22779873657418	7.56226057116672	6216.93298476089	1.81034488775384e-12	3.07264213381925e-09
Zm00001eb182360	8.50187220423093	6.07320570652904	6153.44279115334	1.88318404180364e-12	3.07264213381925e-09
Zm00001eb393490	6.3251717056237	5.02313814223248	6128.08024729424	1.91331157819029e-12	3.07264213381925e-09
Zm00001eb101180	5.82503937436528	7.90203691979683	6085.02352036011	1.96586188983957e-12	3.07264213381925e-09
Zm00001eb074370	5.01890340725825	5.41500168253151	5888.9292107384	2.22955873383584e-12	3.18430913038189e-09
Zm00001eb196960	5.92446959660355	7.21759472872007	5808.98332444644	2.34979150406987e-12	3.18430913038189e-09
Zm00001eb315600	5.74210399988413	6.15309038584063	5782.26088739451	2.3917943427493e-12	3.18430913038189e-09
Zm00001eb360950	5.86485311549136	6.80595311496487	5722.00070621825	2.49004055123344e-12	3.18430913038189e-09
Zm00001eb223620	7.17924953606759	5.60550333091955	5593.03168728263	2.7179970068131e-12	3.2355811987314e-09
Zm00001eb418130	7.41977220465092	6.97976257272366	5570.67688034004	2.76014604285041e-12	3.2355811987314e-09
Zm00001eb178550	5.75667130952816	8.26691026806343	5384.36594825747	3.1455432842415e-12	3.4823899913147e-09
Zm00001eb314330	5.22440938337377	6.25065106888591	5336.45743802319	3.25543598434872e-12	3.4823899913147e-09
Zm00001eb243070	5.73871487771911	5.1313224259153	5300.12139414163	3.34202494368013e-12	3.4823899913147e-09
Zm00001eb350090	6.80208442512186	8.44723646555138	5245.97446665783	3.47651475840275e-12	3.49315236474653e-09
Zm00001eb373030	5.67258617249431	8.54861837460764	4998.41925166273	4.18600733692793e-12	3.87323344256922e-09
Zm00001eb378110	4.59529071051725	6.82551056390976	4956.9122477933	4.32227974588492e-12	3.87323344256922e-09
Zm00001eb187290	4.15335534488905	5.44259823331313	4939.27883065603	4.38186231583778e-12	3.87323344256922e-09
Zm00001eb307550	5.43029763158974	6.9434782357122	4878.28489978867	4.5961072041065e-12	3.87323344256922e-09
Zm00001eb286970	5.44064809080134	6.16615514935299	4819.71517162363	4.81440556822325e-12	3.87323344256922e-09
Zm00001eb156520	5.18502798697008	5.2626145164321	4805.9057999986	4.86776707245047e-12	3.87323344256922e-09
Zm00001eb056760	5.6210183838726	7.36483145361609	4802.16817995144	4.8823377867497e-12	3.87323344256922e-09
Zm00001eb317020	6.12010122211031	6.90712703442954	4684.74666833364	5.36944213395319e-12	3.87323344256922e-09
Zm00001eb315570	3.8334329050689	4.89189172768544	4632.31760890651	5.60667353643316e-12	3.87323344256922e-09
Zm00001eb315580	3.85331159457822	4.88722908373411	4623.88750458076	5.64604168835688e-12	3.87323344256922e-09
Zm00001eb103110	4.69336188970633	5.38561844379786	4595.78877701579	5.77980209302704e-12	3.87323344256922e-09
Zm00001eb034050	4.92963437753766	4.88952489790031	4508.62026672148	6.22097970688825e-12	3.87323344256922e-09
Zm00001eb033130	4.00522851139914	6.97702333439748	4504.80602304853	6.24123718760399e-12	3.87323344256922e-09
Zm00001eb253960	4.23942974610058	4.99164723021941	4501.13852569358	6.26079373523315e-12	3.87323344256922e-09
Zm00001eb247570	6.40103285485111	7.70355263220413	4469.51022063052	6.43269421221344e-12	3.87323344256922e-09
Zm00001eb249290	4.35373630629201	7.11725808957756	4469.19315262162	6.43444739174345e-12	3.87323344256922e-09
Zm00001eb303620	4.49377611536976	7.79498647101843	4412.07197917131	6.76036299198505e-12	3.87323344256922e-09
Zm00001eb303630	4.49377611536976	7.79498647101843	4412.07197917131	6.76036299198505e-12	3.87323344256922e-09
Zm00001eb071880	5.28641570621248	7.37166648051216	4398.88408821847	6.83854532127612e-12	3.87323344256922e-09
Zm00001eb238550	7.28203032604041	5.56803650719339	4388.81041240609	6.89903420005732e-12	3.87323344256922e-09
Zm00001eb158880	4.03896378058928	6.01919488321246	4375.88514840196	6.97763675669373e-12	3.87323344256922e-09
Zm00001eb011930	6.9628484847482	8.60781985329421	4359.27939839854	7.08028514923254e-12	3.87323344256922e-09
Zm00001eb088150	6.08330846034238	6.59535732525256	4294.5918907007	7.49876281288183e-12	3.87323344256922e-09
Zm00001eb042020	4.31928166427728	7.12717494270567	4290.42194170809	7.52679511213826e-12	3.87323344256922e-09
Zm00001eb407670	5.37765853152104	4.83195243518889	4267.2356242292	7.68509553054921e-12	3.87323344256922e-09
Zm00001eb160050	4.93881077159041	9.49333924701079	4251.20782413911	7.79697984229514e-12	3.87323344256922e-09
Zm00001eb418090	6.42921775819337	7.99257785695903	4246.32847891613	7.83144774136664e-12	3.87323344256922e-09
Zm00001eb139420	3.36683292167794	5.57093401018968	4237.93218465899	7.89121016856825e-12	3.87323344256922e-09
Zm00001eb158890	4.02335034684195	5.99950259899192	4192.05745338504	8.22807789924062e-12	3.87323344256922e-09
Zm00001eb052590	4.76818475918238	4.13823260226706	4182.4770942667	8.30070197647394e-12	3.87323344256922e-09
Zm00001eb038070	6.63667893965266	6.3479167865149	4171.14012198128	8.3876886738501e-12	3.87323344256922e-09
Zm00001eb373050	5.1695599654309	7.33083891673578	4146.98404828946	8.57689860859664e-12	3.87323344256922e-09
Zm00001eb357290	3.91543540587278	5.78768178027877	4140.65695358723	8.62734401675940e-12	3.87323344256922e-09
Zm00001eb243190	4.9229826844097	7.25368718906074	4132.90048836316	8.68969683731094e-12	3.87323344256922e-09
Zm00001eb290350	3.45078868544431	5.22092864799588	4098.79929727079	8.97066320818285e-12	3.87323344256922e-09
Zm00001eb113580	3.60238673945688	5.00038957740253	4080.2872174042	9.1279856307932e-12	3.87323344256922e-09
Zm00001eb264170	3.47014112753694	6.51270484478472	4076.06201393571	9.16437909122416e-12	3.87323344256922e-09
Zm00001eb247580	4.2583845197269	5.32710903138907	4069.06309082684	9.22506695475308e-12	3.87323344256922e-09
Zm00001eb279210	3.20384385628632	6.10369010405287	4065.54506038668	9.25576313359315e-12	3.87323344256922e-09
Zm00001eb351340	3.81264774586071	8.30670648299003	4042.31340097601	9.46173282036753e-12	3.87323344256922e-09
Zm00001eb048780	5.69095290713466	6.72260795164464	4022.65704561832	9.64053268063517e-12	3.87323344256922e-09
Zm00001eb206730	5.02806741286559	6.85834296535731	4005.35100620259	9.80149069035e-12	3.87323344256922e-09
Zm00001eb318470	4.77278173187303	3.9895711180066	3990.13065089671	9.94585811409054e-12	3.87323344256922e-09
Zm00001eb245520	4.31483921392222	6.90390091432964	3988.91937789762	9.95746196802153e-12	3.87323344256922e-09
Zm00001eb092640	3.27172262311416	6.5512702686634	3979.32538220611	1.00499765873162e-11	3.87323344256922e-09
Zm00001eb040450	4.05631915793457	6.80370696696779	3963.36223906957	1.02063221169671e-11	3.88033333025342e-09
Zm00001eb415520	6.64056914522412	6.99880957465083	3932.86444402195	1.05136387945694e-11	3.94387618461889e-09
Zm00001eb384870	3.66075906113465	5.6463764910665	3898.14164695871	1.08778648989452e-11	4.02681382982795e-09
Zm00001eb286490	4.19739891156603	8.38849714482797	3878.41634108184	1.10918653320898e-11	4.0527083019872e-09
Zm00001eb337300	5.19511936497385	6.19343171380652	3838.75650025767	1.15384368355661e-11	4.1454468767273e-09
Zm00001eb020640	8.06479411434414	4.64177886022962	3828.77309604373	1.16544024427398e-11	4.1454468767273e-09
Zm00001eb370010	6.64511550771429	4.27954438904182	3817.44928746403	1.1787721267441e-11	4.1454468767273e-09
Zm00001eb168560	5.91017182184404	5.86999425142716	3803.77139451269	1.19513284287712e-11	4.15109474092653e-09
Zm00001eb286740	4.50415332191791	7.1703584017661	3741.44752957504	1.2734091062278e-11	4.36903558470889e-09
Zm00001eb417190	5.92516112432568	3.81258414792721	3717.58717622409	1.30508092458972e-11	4.42375261836232e-09
Zm00001eb106310	5.44858490708949	5.11120470700541	3702.13304042834	1.3261251448786e-11	4.44157200309695e-09
Zm00001eb288320	7.13361275128975	4.72721163663075	3678.15643968926	1.35962820254238e-11	4.47253622028763e-09
Zm00001eb161610	3.02640218316255	5.37512012709585	3667.9581515938	1.37420152398802e-11	4.47253622028763e-09
Zm00001eb165000	4.52207539420003	7.47643700234428	3659.83642859594	1.38594845528319e-11	4.47253622028763e-09
Zm00001eb138690	4.66751741794479	5.75510451861264	3647.52921774238	1.40399129976714e-11	4.47253622028763e-09
Zm00001eb012040	5.05978928403507	5.23967527231544	3629.56330776977	1.4308647745917e-11	4.47253622028763e-09
Zm00001eb254120	4.43058863224504	7.76431290814569	3621.26528146321	1.44349573700609e-11	4.47253622028763e-09
Zm00001eb325890	5.44308901602047	5.76011947292084	3619.20666683168	1.44665101317329e-11	4.47253622028763e-09
