logFC	logCPM	F	PValue	FDR
Zm00001eb319670	-9.69996350420227	6.34801081677566	779.589506405215	1.21333966710213e-09	3.09729216821161e-05
Zm00001eb267190	9.19985284464559	5.18349458964458	638.85735442874	2.79590640441157e-09	3.5685551392707e-05
Zm00001eb419580	-5.21756355248083	5.40906393341577	455.639486544493	1.14797947087765e-08	9.3956342017172e-05
Zm00001eb036020	-6.92003504709553	4.34874960594186	414.21634166545	1.70745569561522e-08	9.3956342017172e-05
Zm00001eb292810	5.1003746537439	5.67722901305908	399.309684328622	1.98870787289699e-08	9.3956342017172e-05
Zm00001eb035520	-5.13676624510948	4.31004684789705	356.111632468229	3.19990316572628e-08	9.3956342017172e-05
Zm00001eb321830	4.87059676754516	5.82743232158314	354.058718894409	3.2775924583442e-08	9.3956342017172e-05
Zm00001eb434220	-5.744835670756	4.98743126823021	353.770171423768	3.28869810920216e-08	9.3956342017172e-05
Zm00001eb137280	-8.0520008531074	5.28954120753701	353.153249029006	3.3125987313611e-08	9.3956342017172e-05
Zm00001eb422190	-8.80612699854722	5.08355139388723	332.123602665295	4.27282524431198e-08	0.000103097285154881
Zm00001eb008040	-7.98185645578394	3.13618639054408	329.013925122378	4.44262990834682e-08	0.000103097285154881
Zm00001eb323440	-11.7314601780173	3.79158858439695	457.449373989537	5.59217539034964e-08	0.000118927321589596
Zm00001eb417340	6.96551115820507	3.52232291835454	303.74783366495	6.18370613652283e-08	0.000118927321589596
Zm00001eb215270	-8.50955787042354	3.03980099737468	287.665964805011	7.7421029403801e-08	0.000118927321589596
Zm00001eb299340	-4.73023139816862	3.84705586050629	284.930021271565	8.05364778847534e-08	0.000118927321589596
Zm00001eb221000	-7.15634022416859	4.02057438348194	284.598075510777	8.092492672727e-08	0.000118927321589596
Zm00001eb220040	-11.439185924745	3.50561214625543	413.353594765691	8.12213932117291e-08	0.000118927321589596
Zm00001eb408960	-3.9482628137985	4.3959092114653	282.152031668833	8.38599047523299e-08	0.000118927321589596
Zm00001eb423840	-5.20601333303007	4.16980812787597	270.283918917339	1.00121598043386e-07	0.000134516001750185
Zm00001eb225910	-8.17688436713611	2.71893002631423	253.59226606679	1.30178711900061e-07	0.000150353060934505
Zm00001eb420870	-5.17654795858489	5.20042946748895	252.666708740422	1.3215191560431e-07	0.000150353060934505
Zm00001eb292550	-3.69008211736512	4.0263670022784	248.299288525197	1.41977597171617e-07	0.000150353060934505
Zm00001eb231150	-6.61699734608134	2.57063448487191	247.959055330802	1.4278036104685e-07	0.000150353060934505
Zm00001eb052520	-3.28484859933275	7.91873431303348	245.084857086738	1.49790778072656e-07	0.000150353060934505
Zm00001eb318460	-5.4622813362039	2.74062827623341	243.862182933851	1.52901682458909e-07	0.000150353060934505
Zm00001eb007320	-4.69579602398711	5.20357117743122	243.233941746109	1.54531199412176e-07	0.000150353060934505
Zm00001eb134400	3.46103569842379	4.93948966203261	241.541522010429	1.59028975015929e-07	0.000150353060934505
Zm00001eb110630	4.89920498474639	4.35766045888886	232.628469266545	1.85577729933315e-07	0.000160387779470649
Zm00001eb166070	-3.48271408082103	4.12811484118519	231.252905384991	1.90149322441332e-07	0.000160387779470649
Zm00001eb333900	5.95767402549617	6.52512173220505	230.528568320226	1.92612557411473e-07	0.000160387779470649
Zm00001eb007720	-7.80085423140141	2.26535859150127	229.902059143205	1.94774989759475e-07	0.000160387779470649
Zm00001eb320710	-10.9196086175225	2.99965415409041	317.228210411347	2.14598115934907e-07	0.000171188940795949
Zm00001eb222660	-4.04971817774714	7.67318452685292	222.092006241858	2.24425769665505e-07	0.000173015521086936
Zm00001eb313850	-3.7304078539551	6.6396270854824	219.983084523735	2.33372130507101e-07	0.000173015521086936
Zm00001eb255160	3.15548729789007	7.08476682791948	217.74987084017	2.43331379051852e-07	0.000173015521086936
Zm00001eb320700	-5.07836421265283	3.11745646666897	215.103651191384	2.55822043604962e-07	0.000173015521086936
Zm00001eb313050	-7.5807989785232	2.47816262740923	214.986735686589	2.56391972879703e-07	0.000173015521086936
Zm00001eb231230	-3.34495731004942	3.98100924471976	214.749278476055	2.5755434642941e-07	0.000173015521086936
Zm00001eb218900	5.86181603302513	2.16618071586807	212.339858716315	2.69725023971048e-07	0.000175457651888804
Zm00001eb312110	-4.56185184925632	5.19084673479048	211.348873335112	2.74936579917428e-07	0.000175457651888804
Zm00001eb197860	5.3577634599662	2.06860089885774	208.628232892841	2.89897917134141e-07	0.000180493271480079
Zm00001eb341580	-3.10632176031297	4.52347639164868	203.528433115618	3.20754413922159e-07	0.000194949950575975
Zm00001eb320680	4.54565466191364	5.5768012969889	200.874993640879	3.38415112118356e-07	0.000199558959905445
Zm00001eb322740	-3.18679632713717	4.19414207763876	200.075186561612	3.43972822338683e-07	0.000199558959905445
Zm00001eb105530	4.17276224690652	2.60080307936482	198.635417589668	3.54264782133125e-07	0.000200962602078051
Zm00001eb228160	3.17177790131433	6.61557190513234	193.347389574147	3.95488449947496e-07	0.000203670505254826
Zm00001eb219580	-2.99280654661296	5.80154641055631	193.264098195596	3.96183891164755e-07	0.000203670505254826
Zm00001eb371100	-7.2454078079566	2.65485609845208	192.742768546346	4.0057123937947e-07	0.000203670505254826
Zm00001eb036850	4.12997441370477	3.23381252167983	192.023085170697	4.0672700156904e-07	0.000203670505254826
Zm00001eb416290	-7.42165935882557	2.47437676267151	191.025315517451	4.1545604089388e-07	0.000203670505254826
Zm00001eb292720	3.75390681243136	4.57689964932968	190.058136170817	4.24139515429602e-07	0.000203670505254826
Zm00001eb062250	3.22875760252558	6.36869714115269	189.687558432006	4.27525973354701e-07	0.000203670505254826
Zm00001eb316750	-8.6421549469797	1.85723817894011	189.362672763593	4.30522412844787e-07	0.000203670505254826
Zm00001eb310300	-10.3295986033614	2.43150031319639	260.891962130495	4.38400326497177e-07	0.000203670505254826
Zm00001eb320720	-10.8470322179018	2.9288430487195	259.523780926586	4.46883979850476e-07	0.000203670505254826
Zm00001eb116560	-6.12739194322332	3.58159659018154	187.546666838896	4.47758047933958e-07	0.000203670505254826
Zm00001eb226890	-7.60090674835567	2.16775422095577	186.831218957381	4.54781948506488e-07	0.000203670505254826
Zm00001eb170470	-4.23835381269847	3.13789245762357	184.844748513031	4.75010650077635e-07	0.00020906201490572
Zm00001eb206010	3.08680819286135	3.82035618982308	181.609762630746	5.1039207766686e-07	0.000220826755366134
Zm00001eb272850	-10.2851280046395	2.38822785677774	247.906827995706	5.28014387866208e-07	0.000223207725866862
Zm00001eb435570	-3.57329820314815	3.37562963298891	179.652701586113	5.33383134636995e-07	0.000223207725866862
Zm00001eb141540	-2.71472319836063	7.10787297609313	176.036893104808	5.7932890980975e-07	0.000234352775060861
Zm00001eb421000	-10.1492161465576	2.2587798943217	240.934862488129	5.85777363170625e-07	0.000234352775060861
Zm00001eb219860	-6.61470978838329	2.20252869002329	174.255132240626	6.03767047686434e-07	0.000234352775060861
Zm00001eb136780	4.21742687037546	2.62015637758697	173.734662804545	6.11145006729714e-07	0.000234352775060861
Zm00001eb299370	-2.85250475116222	8.59449745646877	173.341054611071	6.16798739509882e-07	0.000234352775060861
Zm00001eb292950	5.50100479324714	5.28269832625973	173.06944515776	6.20737823750352e-07	0.000234352775060861
Zm00001eb361170	5.43704172608206	4.84968445249867	172.418637289805	6.30303582245688e-07	0.000234352775060861
Zm00001eb260010	-3.80862351376373	3.50120940466487	172.20654264765	6.3346031571275e-07	0.000234352775060861
Zm00001eb034840	-2.74726953796453	4.68469051577592	168.942724259298	6.8459460887298e-07	0.000246578090297532
Zm00001eb312720	-10.056778607955	2.17069017864209	230.708973218057	6.85824594003398e-07	0.000246578090297532
Zm00001eb418460	4.03678533083776	4.28606618719151	167.792110115965	7.03829856895306e-07	0.000247053396575841
Zm00001eb119390	5.09894611290059	2.86444158843175	167.635295541035	7.06502838172773e-07	0.000247053396575841
Zm00001eb320690	-10.1592998942139	2.26763884484919	227.757200458429	7.18670495435321e-07	0.00024791218563483
Zm00001eb165890	3.84636895412836	3.89272986766176	165.989907290007	7.35320054928807e-07	0.000249156851294791
Zm00001eb422450	-7.44097957926739	2.01577804177921	165.566402071021	7.42971172115979e-07	0.000249156851294791
Zm00001eb106390	-4.22623618485984	2.7268556219327	164.880525490158	7.55572230273986e-07	0.000249156851294791
Zm00001eb314180	-2.86599190836308	6.30924893791138	164.572313361456	7.61320734947063e-07	0.000249156851294791
Zm00001eb167720	-2.83359190937527	8.05455759205786	163.360854931304	7.8444634897988e-07	0.00025113327520476
Zm00001eb419520	3.9926091536027	3.38720111654024	163.150478424031	7.88550266975534e-07	0.00025113327520476
Zm00001eb364170	9.94140184951718	1.96618831550309	221.369002728806	7.96873713777002e-07	0.00025113327520476
Zm00001eb032560	-3.64568864448152	5.75734950928981	161.241200714225	8.27035887456379e-07	0.000257460306086573
