logFC	logCPM	F	PValue	FDR
Zm00001eb131840	-10.0488418826564	3.23211384813489	130.047975163207	3.06212875201014e-07	0.00750558378405206
Zm00001eb311230	-4.9586696484155	6.00401882460134	100.192713777896	1.08074906030884e-06	0.00794467902274661
Zm00001eb279710	9.25205478589978	5.43821805281035	96.8852521106288	1.26876638673784e-06	0.00794467902274661
Zm00001eb098170	-9.71232624411187	2.49866551314085	92.5174524748332	1.58038949348667e-06	0.00794467902274661
Zm00001eb108840	-5.17446602937426	6.02775196676693	88.5335393090639	1.94712795754739e-06	0.00794467902274661
Zm00001eb143090	-5.47898600508241	3.44274995690589	81.5967454403721	2.86000458724653e-06	0.00794467902274661
Zm00001eb242360	-4.75542959629586	7.98289347045027	80.5638304984804	3.03607328332287e-06	0.00794467902274661
Zm00001eb324150	-11.1161474272909	2.31996998002924	91.2981815439881	3.56585074161324e-06	0.00794467902274661
Zm00001eb257980	-5.71502228167062	3.91880722918836	75.9783700151818	3.99215085057623e-06	0.00794467902274661
Zm00001eb257990	-5.71502241010369	3.91285650088999	75.2324009551466	4.17975287917152e-06	0.00794467902274661
Zm00001eb425100	-10.197120543238	8.15545541244282	74.2525374430636	4.44238409938984e-06	0.00794467902274661
Zm00001eb353280	-3.99479124300632	6.25181174374443	73.4546770717068	4.67084727556522e-06	0.00794467902274661
Zm00001eb384040	-11.4596586576322	2.34932409119682	85.5517266247149	4.72273807989944e-06	0.00794467902274661
Zm00001eb232100	2.9887385142014	5.04703819208108	72.9250908352328	4.83023288218146e-06	0.00794467902274661
Zm00001eb051620	-4.49622152456512	6.55259164621125	72.8223286514402	4.86190630089344e-06	0.00794467902274661
Zm00001eb241920	-6.84735197383393	10.2432279662889	70.2602050569506	5.73783897885901e-06	0.00825772641760504
Zm00001eb345750	-8.25756948292886	7.0278770146117	69.84931724193	5.89522570575738e-06	0.00825772641760504
Zm00001eb154060	7.22106209003937	7.03425463535199	69.4225286272125	6.0641783491857e-06	0.00825772641760504
Zm00001eb054430	-3.43750391051739	4.17795793708509	66.9613872165961	7.15912207632936e-06	0.00881861295605231
Zm00001eb384280	-8.74425057726635	7.96504451137034	66.2452738582813	7.5209311199866e-06	0.00881861295605231
Zm00001eb242800	-5.09282057345702	5.68196130406286	66.1791626759933	7.55541887630445e-06	0.00881861295605231
Zm00001eb376660	-3.56632128509224	5.48950968873762	63.1627986029107	9.35001227311765e-06	0.00948253735042786
Zm00001eb157880	-4.0790842608074	4.63554654146813	62.7993367190092	9.59894137851036e-06	0.00948253735042786
Zm00001eb074930	-3.87893165872127	6.30437726610871	62.601134006428	9.73801154460146e-06	0.00948253735042786
Zm00001eb323410	-4.58024955916993	6.6513592186759	62.529654705966	9.7887533593614e-06	0.00948253735042786
Zm00001eb264940	-2.69763039330822	5.03140759686338	61.9758982998394	1.01927108766902e-05	0.00948253735042786
Zm00001eb429870	-3.33162443994034	4.73524194187522	61.1929020597625	1.07983212739043e-05	0.00948253735042786
Zm00001eb401330	-10.6663807990595	2.47813860949755	69.1411685664397	1.1715054222217e-05	0.00948253735042786
Zm00001eb050500	6.85689154766776	4.9670529986491	60.087437131712	1.17279899664577e-05	0.00948253735042786
