logFC	logCPM	F	PValue	FDR
Zm00001eb081770	13.9623487559466	9.57395471422423	320.448837547685	3.37142542384846e-09	8.26370085639496e-05
Zm00001eb010530	13.6241271018867	11.3501991724779	192.438458076485	4.41713446184328e-08	0.000474647598557566
Zm00001eb125030	15.9338839828144	6.30852697081282	451.221024136029	5.80940310747296e-08	0.000474647598557566
Zm00001eb157180	6.58358548625959	4.75757088603186	163.462987969131	9.94440099186162e-08	0.000609368031778801
Zm00001eb397600	12.336407717625	10.2879861751295	150.160907442573	1.51240189536412e-07	0.000664604668533083
Zm00001eb225360	5.55451059886526	6.58660053339633	147.952889088802	1.62687283717453e-07	0.000664604668533083
Zm00001eb011900	5.15579374994636	8.80414101558595	127.170354508838	3.41532560961684e-07	0.000867582726573027
Zm00001eb087350	12.4900358008217	5.32990924728569	271.566922075265	3.74776107597446e-07	0.000867582726573027
Zm00001eb004300	11.1860017877226	4.66406755436202	151.702968746251	3.78608643666256e-07	0.000867582726573027
Zm00001eb011890	5.12052432553133	8.81053625910465	123.438774234676	3.94837287141681e-07	0.000867582726573027
Zm00001eb393250	4.85265411200484	6.76959696572353	122.752250867665	4.05693828689952e-07	0.000867582726573027
Zm00001eb330520	12.2407201757302	5.69798879038664	189.294476432561	4.27396025109116e-07	0.000867582726573027
Zm00001eb279710	10.6171078624575	5.43821805281035	119.403858102267	4.64028831111191e-07	0.000867582726573027
Zm00001eb173470	5.59078436460493	5.07555465785622	117.797403341281	4.95539071111843e-07	0.000867582726573027
Zm00001eb011880	5.78258503158389	9.41898929883355	115.625134482029	5.42298527257313e-07	0.000886151946773601
Zm00001eb124960	7.58959712282942	10.2495498163315	106.163063889999	8.18736058835726e-07	0.00120139559030448
Zm00001eb060560	4.11088984428599	7.47758536358703	105.775828675012	8.33247318966022e-07	0.00120139559030448
Zm00001eb335430	9.71561363584805	6.80905930501777	100.011917721544	1.09012906579119e-06	0.00124174358973466
Zm00001eb011860	4.3569656046395	7.08261125120722	99.2182526146195	1.13247035140369e-06	0.00124174358973466
Zm00001eb317110	8.35210785413752	5.03999360840186	99.1850560299982	1.13428362149565e-06	0.00124174358973466
Zm00001eb112330	13.8878172132706	4.2661423447608	199.504088206711	1.1506756960162e-06	0.00124174358973466
Zm00001eb395330	8.59703935128223	6.29775139584044	98.049121513604	1.19846699808597e-06	0.00124174358973466
Zm00001eb162230	3.47681919322764	5.44921884089888	97.8341267723975	1.21109663170732e-06	0.00124174358973466
Zm00001eb423300	11.3638819880443	8.38261383002872	97.1927309462371	1.24972754502256e-06	0.00124174358973466
Zm00001eb418690	3.51785537329137	6.23512352898063	96.9212982154845	1.26651665551657e-06	0.00124174358973466
Zm00001eb031190	-5.20945908941246	4.437349365403	95.1470975334909	1.38312435216482e-06	0.00130391388445815
Zm00001eb034890	6.67211728520473	4.81128422222452	93.5783570202436	1.497014969834e-06	0.00135901236761486
Zm00001eb370650	4.70196719143754	5.25051348222232	92.1663338655547	1.60919342940332e-06	0.00140687861909228
Zm00001eb372220	3.68887438127843	5.50528432625134	91.2259760114472	1.68946960267847e-06	0.00140687861909228
Zm00001eb095890	-4.42671190791799	6.24454285509634	90.6657867677348	1.7395590827505e-06	0.00140687861909228
Zm00001eb057010	13.2362145707015	7.72975017668037	90.2344728604661	1.77933324596552e-06	0.00140687861909228
Zm00001eb080280	4.44485084615935	5.89026965494334	86.5436239944852	2.16796523520292e-06	0.00166059362125184
Zm00001eb330550	-3.44119998514003	6.28713243570221	85.2860516301127	2.32295108254914e-06	0.00172538951467764
Zm00001eb228690	-4.36338119913775	4.64796548132238	82.3646750215656	2.73695291088357e-06	0.00191875662598194
Zm00001eb216840	4.70141323555434	5.22834161928375	82.1779650866614	2.76628109177618e-06	0.00191875662598194
Zm00001eb164380	6.71282053533698	9.25138647446475	81.8535676145197	2.81813220739055e-06	0.00191875662598194
Zm00001eb095900	-4.24346379083794	5.76479197683684	81.3013907419926	2.90907890499655e-06	0.00192714683892893
Zm00001eb234160	4.45758741131626	6.4834751380015	80.1330597436257	3.11329832056785e-06	0.00200815934566944
Zm00001eb124940	11.6876287906698	10.8607346772017	79.1507695161602	3.29832076099576e-06	0.00207295231212224
