logFC	logCPM	F	PValue	FDR
Zm00001eb108840	-5.44027946044219	6.02775196676693	95.3885828509701	1.36652329150197e-06	0.0209555455715631
Zm00001eb395970	4.53455046967664	7.84318863445419	68.7856829297324	6.32713856205735e-06	0.0209555455715631
Zm00001eb141130	3.12710892878546	5.85913924052288	67.2348431832904	7.02645595747544e-06	0.0209555455715631
Zm00001eb339640	-9.26146313780399	3.72971529073938	67.1049902713386	7.08908517565476e-06	0.0209555455715631
Zm00001eb248820	-4.61607609846674	4.55119541833314	66.492060595711	7.39383701562514e-06	0.0209555455715631
Zm00001eb339650	-8.90223920688182	4.53320608378505	64.8914322067324	8.26629743721487e-06	0.0209555455715631
Zm00001eb141120	3.14151920066873	6.64394528732582	64.4194832989727	8.54659869982222e-06	0.0209555455715631
Zm00001eb225390	-3.52377574731436	4.37520287228038	63.3160088808074	9.24738928468664e-06	0.0209555455715631
Zm00001eb093360	-9.07129947039382	2.62707269926768	60.3241686005305	1.1521126528978e-05	0.0209555455715631
Zm00001eb141920	-3.4798571954373	5.12308071028462	59.0423024679491	1.2695859366403e-05	0.0209555455715631
Zm00001eb158890	2.71176136748425	5.05558014935582	58.3986144686572	1.33393633465608e-05	0.0209555455715631
Zm00001eb253150	-2.86026537782661	5.0897899217851	57.713088057776	1.40678959324342e-05	0.0209555455715631
Zm00001eb242800	-4.58538829952909	5.68196130406286	56.7354462674913	1.51906168488409e-05	0.0209555455715631
Zm00001eb158880	2.71544594750008	5.07982063403949	56.6338242785857	1.53133379427734e-05	0.0209555455715631
Zm00001eb412390	-9.76771503417041	2.49942077745446	56.1279434390506	1.59421144135787e-05	0.0209555455715631
Zm00001eb098170	-5.79595213253878	2.49866551314085	55.8330204107687	1.63228745990743e-05	0.0209555455715631
Zm00001eb301890	2.79983784066554	6.69146484987599	55.4550642197764	1.68267929686697e-05	0.0209555455715631
Zm00001eb352580	4.76815791225476	6.0045687583172	55.0789640663969	1.73467388537148e-05	0.0209555455715631
Zm00001eb411870	-10.6017596017016	2.61246426916049	62.456395102849	1.79475444594763e-05	0.0209555455715631
Zm00001eb396960	8.47460850158538	3.57820502690942	62.0610465234794	1.84290244870496e-05	0.0209555455715631
Zm00001eb087400	-3.16346292951518	4.77045046281036	52.9510274352053	2.06766009089408e-05	0.0209555455715631
Zm00001eb143090	-4.0225957861204	3.44274995690589	52.3095237165927	2.18263379170174e-05	0.0209555455715631
Zm00001eb225140	-6.31273808989	2.35598063528454	52.0250822525444	2.23604128722486e-05	0.0209555455715631
Zm00001eb010770	-5.15953269120274	8.06564204497086	50.9550633909749	2.45140729013273e-05	0.0209555455715631
Zm00001eb196560	-5.03080639086622	2.94638014079305	50.6850245423423	2.50960820919058e-05	0.0209555455715631
Zm00001eb337380	-3.77932228294025	6.0984454981876	50.4634002631081	2.55860744149199e-05	0.0209555455715631
Zm00001eb144530	-3.63941197973672	5.75002492510211	50.3776039902284	2.57788171329917e-05	0.0209555455715631
Zm00001eb324150	-6.02188313795694	2.31996998002924	57.0305746693139	2.61638345203674e-05	0.0209555455715631
Zm00001eb130570	2.67253025899666	6.6967382566061	49.8198022860897	2.7074985862075e-05	0.0209555455715631
Zm00001eb072680	3.38979602523919	4.10425951036624	49.6998209378046	2.73638479428179e-05	0.0209555455715631
Zm00001eb384040	-6.46212581046616	2.34932409119682	56.1637053329679	2.78679997296852e-05	0.0209555455715631
Zm00001eb243190	6.05586735531767	5.34998714626276	49.4783188143493	2.79068323485454e-05	0.0209555455715631
Zm00001eb023220	2.76123222816345	5.99959910483426	49.3556064183029	2.82131697548685e-05	0.0209555455715631
Zm00001eb433210	-3.16955017168157	5.56621274321974	48.0621878252548	3.1698469669357e-05	0.0227586769550978
Zm00001eb072900	-4.91589119881308	7.35058010748886	47.7893654214193	3.24978047990054e-05	0.0227586769550978
Zm00001eb150090	-3.03670605764305	6.71483669184101	47.2887963941159	3.40277714923825e-05	0.0231681863069385
Zm00001eb199720	-7.14027079521379	4.79722926479305	46.2539752483922	3.74716585147627e-05	0.0238229704287826
Zm00001eb108970	-5.75990866908107	2.53867632175531	46.2380371179439	3.75278650250719e-05	0.0238229704287826
Zm00001eb376660	-2.94534862804272	5.48950968873762	45.8183806898433	3.90445934496096e-05	0.0238229704287826
Zm00001eb423450	-4.48177495321323	5.35985469631889	45.6999089360309	3.94859208961404e-05	0.0238229704287826
Zm00001eb293830	3.15384904841379	3.2481508513607	45.3003781888097	4.10186988980801e-05	0.0238229704287826
Zm00001eb405390	2.6210332247738	7.2805782349657	45.1901103517165	4.14541492102612e-05	0.0238229704287826
Zm00001eb345750	-5.56767151378105	7.0278770146117	45.0843233112756	4.18770903668454e-05	0.0238229704287826
Zm00001eb242360	-3.30812017855813	7.98289347045027	44.7388298668049	4.32946556037998e-05	0.0238229704287826
Zm00001eb236620	-6.09764240720055	3.73181992166362	44.4102570535313	4.46961364221642e-05	0.0238229704287826
