logFC	logCPM	F	PValue	FDR
Zm00001eb083870	7.66853412148979	5.48291209803674	587.25172085175	1.52532716038315e-10	2.71738974145427e-06
Zm00001eb064110	8.39756346781978	4.53728975015615	565.420950150356	1.85415459954175e-10	2.71738974145427e-06
Zm00001eb103100	7.54897051602218	4.05262154427675	554.476256561017	2.05055066514811e-10	2.71738974145427e-06
Zm00001eb318890	5.52803669254765	4.7837411423057	504.962513038443	3.31824000107898e-10	2.74375764258426e-06
Zm00001eb196960	5.17721723375967	5.95268087864502	466.896100883058	4.96342408042627e-10	2.74375764258426e-06
Zm00001eb347800	5.06760711823955	4.82604264693669	465.725410973964	5.02780433882239e-10	2.74375764258426e-06
Zm00001eb347790	5.05671953694282	4.82698858421473	462.042084797096	5.23695005309124e-10	2.74375764258426e-06
Zm00001eb194020	7.36665350156379	5.83775226007045	454.028290482032	5.72889353388786e-10	2.74375764258426e-06
Zm00001eb368850	7.39402258782534	4.92389270011555	446.927999244406	6.21134389356533e-10	2.74375764258426e-06
Zm00001eb257030	6.64299106622719	5.44975304360889	428.013606655149	7.7528532638356e-10	2.94652482780098e-06
Zm00001eb293570	6.26341495031583	5.45823755643083	423.833426385491	8.1526745914606e-10	2.94652482780098e-06
Zm00001eb351210	10.9083304108929	5.82276502255302	407.283793447257	9.99720861241315e-10	3.00481575771774e-06
Zm00001eb105670	4.25935943225306	5.22073107288701	398.938372895074	1.11144735019837e-09	3.00481575771774e-06
Zm00001eb221020	7.35766356825184	3.6270613291271	395.628573256856	1.15983809859457e-09	3.00481575771774e-06
Zm00001eb376570	6.83421344692136	4.93826587917196	393.286918552117	1.19559336469143e-09	3.00481575771774e-06
Zm00001eb100800	4.98551753256076	4.90396702787442	392.411079523504	1.20930305170248e-09	3.00481575771774e-06
Zm00001eb401290	6.06095387911342	4.1671969696241	374.51307464939	1.53517496021291e-09	3.53942567038703e-06
Zm00001eb396710	-4.65506789674043	5.31126616082895	371.378339656603	1.6025169047934e-09	3.53942567038703e-06
Zm00001eb211640	11.3644907276776	6.81134607996133	357.719441389368	1.94032664942154e-09	3.77607245269812e-06
Zm00001eb353580	6.37127099992246	4.81122006735736	352.915232622945	2.07888228963111e-09	3.77607245269812e-06
Zm00001eb269420	4.68606184255264	4.52961396274062	351.893674893974	2.10984547461907e-09	3.77607245269812e-06
Zm00001eb337340	4.38541371562018	3.77469844440725	350.344850822832	2.15784423962987e-09	3.77607245269812e-06
Zm00001eb161250	6.8968173727564	6.36906451185036	346.667832927458	2.27710388257045e-09	3.77607245269812e-06
Zm00001eb248930	5.4684549121263	3.98851942776619	344.228684845215	2.36055390396286e-09	3.77607245269812e-06
Zm00001eb217010	10.3827930302062	9.62038371922691	343.830226367455	2.37452991542039e-09	3.77607245269812e-06
Zm00001eb071650	4.9226606275278	5.65827110887943	338.433108324117	2.57389520143702e-09	3.93568375493577e-06
Zm00001eb121910	9.52560456499735	6.1339047564385	332.413730241025	2.82024743040646e-09	4.15265766086071e-06
Zm00001eb213310	12.0475946345489	6.59796420128464	329.041549174571	2.97051942959353e-09	4.2177132301043e-06
Zm00001eb225230	6.89864649096865	4.58866807762798	325.134551158126	3.15671681717515e-09	4.32753219943501e-06
Zm00001eb015160	4.13803603491007	5.04128682421431	322.051277664423	3.31352815266579e-09	4.39108750791271e-06
Zm00001eb228160	4.44126008034289	6.84460664872931	316.317814217209	3.63052138998315e-09	4.54259206306537e-06
Zm00001eb125050	4.96626120380363	7.69871180055822	315.876635438528	3.65637755352882e-09	4.54259206306537e-06
