logFC	logCPM	F	PValue	FDR
Zm00001eb347800	5.28437601663175	5.49103432194642	1270.12638226211	2.16767652564952e-10	1.27913684644348e-06
Zm00001eb347790	5.2728718791787	5.49132163848329	1247.76671910548	2.33283344627938e-10	1.27913684644348e-06
Zm00001eb122200	5.73488800850041	4.87998933272727	1241.7370313829	2.38001951296081e-10	1.27913684644348e-06
Zm00001eb029470	-6.62399955696614	5.56685926837999	1175.39567250581	2.98633130021051e-10	1.27913684644348e-06
Zm00001eb029480	-6.53736401205308	5.43362614213074	1166.31518700894	3.08358833970296e-10	1.27913684644348e-06
Zm00001eb428070	10.4953337083504	7.58114417727774	1125.25739556478	3.5757199907772e-10	1.27913684644348e-06
Zm00001eb072870	11.0939077622342	8.70573729492144	1110.56898008578	3.77517409777568e-10	1.27913684644348e-06
Zm00001eb341790	-6.61965301581993	5.33276358168553	1049.43690335808	4.76972652595441e-10	1.36464847411171e-06
Zm00001eb194020	5.74682162803902	4.68984446245339	1017.09862197493	5.42772699132902e-10	1.36464847411171e-06
Zm00001eb014000	-6.49144449384779	5.83092306328471	1000.36069057397	5.81255567398278e-10	1.36464847411171e-06
Zm00001eb034370	-8.46871407383422	4.77851560894681	979.941508601151	6.32900464424861e-10	1.36464847411171e-06
Zm00001eb072660	5.14006026507996	6.26613897023776	938.530825890378	7.56336073690456e-10	1.40095995313112e-06
Zm00001eb019280	8.44640637932521	4.07911656211071	921.826603000013	8.14500341648648e-10	1.40095995313112e-06
Zm00001eb392400	-6.1405018918962	6.89415825661769	918.444863979113	8.26943222187184e-10	1.40095995313112e-06
Zm00001eb186150	6.05665408054806	5.9938093118153	897.367110421712	9.10049982999631e-10	1.43897103311902e-06
Zm00001eb196960	4.41679825898632	5.6711280877032	835.140514034856	1.22390980779315e-09	1.5709954512617e-06
Zm00001eb026440	5.14918217533763	4.92076797489544	830.844356026293	1.25020590123141e-09	1.5709954512617e-06
Zm00001eb396960	6.39968252228427	5.99727211843599	811.527656007842	1.37747884791957e-09	1.5709954512617e-06
Zm00001eb290590	5.85430979442036	4.07864533512389	806.618527089339	1.41235321468492e-09	1.5709954512617e-06
Zm00001eb337340	4.76554375435397	4.60067290583827	801.20586178539	1.45208360793831e-09	1.5709954512617e-06
Zm00001eb146840	-6.00158660827631	7.16136182706237	800.672243682239	1.45607515581462e-09	1.5709954512617e-06
Zm00001eb226380	5.60518160282962	5.36248268230169	800.522023788543	1.45720127868106e-09	1.5709954512617e-06
Zm00001eb330730	5.36400050714781	7.5626026312996	766.521029752911	1.74247498796011e-09	1.74476177178896e-06
Zm00001eb002680	5.48572450046147	4.51525095555174	764.08098408483	1.76550647284489e-09	1.74476177178896e-06
Zm00001eb152710	-5.60431076547797	7.81615349525183	749.483822953401	1.91146518601297e-09	1.81344525127422e-06
Zm00001eb014210	4.93553727240543	4.53652224005171	721.983902760036	2.22947362693148e-09	1.85353704587743e-06
