logFC	logCPM	F	PValue	FDR
Zm00001eb072870	9.00889875211706	6.57350423982288	845.928899753189	3.22349593142486e-10	4.62144215138752e-06
Zm00001eb301280	-5.6161467593022	4.712831254746	731.927300473893	6.14572024175545e-10	4.62144215138752e-06
Zm00001eb019280	8.024086691922	3.61008921264363	704.477127928696	7.28626955103143e-10	4.62144215138752e-06
Zm00001eb428070	7.84504505270363	4.88973954811739	579.536670206142	1.7360627144258e-09	4.62144215138752e-06
Zm00001eb350170	-6.04088833045194	3.94962306693176	578.862177494094	1.74506531293964e-09	4.62144215138752e-06
Zm00001eb029480	-4.21880043329879	5.4431762332889	573.934237791229	1.81260026432319e-09	4.62144215138752e-06
Zm00001eb346880	-6.81765319740158	4.90487461804904	565.206128909591	1.94023554786527e-09	4.62144215138752e-06
Zm00001eb029470	-4.20705800138896	5.57786880084365	555.923509122825	2.08824837671376e-09	4.62144215138752e-06
Zm00001eb122200	5.1861399764761	4.29094017448596	553.072892414418	2.13644836774477e-09	4.62144215138752e-06
Zm00001eb149460	8.0522381618213	4.71387541287825	542.662385083241	2.32443495162569e-09	4.62144215138752e-06
Zm00001eb396520	-6.07883863714944	7.02472743248586	528.960079603241	2.60371093867823e-09	4.62144215138752e-06
Zm00001eb238030	-5.93971415958962	6.80821877290939	516.326705303069	2.89835024133751e-09	4.62144215138752e-06
Zm00001eb379950	6.65931874101256	4.74159255868264	505.222558762727	3.1916026676378e-09	4.62144215138752e-06
Zm00001eb193330	6.28130811719563	3.17265266904349	495.635553980765	3.47442219734121e-09	4.62144215138752e-06
Zm00001eb120250	-6.72819826192827	4.39628192151731	494.334151813465	3.5151356485794e-09	4.62144215138752e-06
Zm00001eb286760	4.65757469626812	5.41172317593906	491.455582378212	3.60728029074812e-09	4.62144215138752e-06
Zm00001eb384750	7.3217028607891	5.87059344603487	481.371229018066	3.95426645585183e-09	4.62144215138752e-06
Zm00001eb384760	7.25634245489902	5.80571985910228	478.081985706649	4.07618208749449e-09	4.62144215138752e-06
Zm00001eb319350	-4.28723537894541	6.0418939923723	477.702293303493	4.09054925252794e-09	4.62144215138752e-06
Zm00001eb157610	6.97926581173612	5.01415127285744	468.546107181583	4.45652480684794e-09	4.62144215138752e-06
Zm00001eb010450	5.05038050051468	4.47367773301632	464.539669762199	4.62919613375922e-09	4.62144215138752e-06
Zm00001eb396960	6.99618052427108	6.53350356487015	460.595772962763	4.80722403009884e-09	4.62144215138752e-06
Zm00001eb155550	-5.45155394021478	6.08721632710662	459.89082432162	4.8399210938879e-09	4.62144215138752e-06
Zm00001eb301690	-4.02544445681565	4.5312901495024	456.557931168049	4.99823884066438e-09	4.62144215138752e-06
Zm00001eb131750	-5.71526716550003	5.87797536849467	454.384562536883	5.10489238507884e-09	4.62144215138752e-06
Zm00001eb226380	4.73731031599701	4.46585425142685	453.005708219296	5.17400011564378e-09	4.62144215138752e-06
Zm00001eb034130	-10.6184781451484	10.023523307068	449.918947367416	5.3328982565926e-09	4.62144215138752e-06
Zm00001eb041800	4.69075010575266	3.49440687558771	446.704421203438	5.50475944352111e-09	4.62144215138752e-06
Zm00001eb105670	3.64643649041601	5.04596077143275	437.683074319584	6.02453289763114e-09	4.8422183662098e-06
Zm00001eb157310	3.66659176628856	5.14091451677249	435.172716528786	6.17971459506929e-09	4.8422183662098e-06
Zm00001eb077080	7.92559402654031	4.45542345413257	421.733931157103	7.09873120988323e-09	5.31081088321698e-06
Zm00001eb109020	-3.63837934938775	4.87500354738307	415.512612441264	7.58045989850752e-09	5.31081088321698e-06
Zm00001eb228100	-6.05469030935554	5.87177912721332	414.725955471552	7.6441800190122e-09	5.31081088321698e-06
Zm00001eb256330	7.92081221842723	4.81501608631408	414.269686534224	7.6814382962257e-09	5.31081088321698e-06
Zm00001eb002200	4.57729459606837	5.02683155351096	406.380584865776	8.36216866633822e-09	5.60275576042581e-06
Zm00001eb175400	6.84298273511134	4.77295846151013	402.112840010797	8.76115646069523e-09	5.60275576042581e-06
Zm00001eb058620	4.94973577139876	3.44720308441144	400.207612619886	8.94677002446309e-09	5.60275576042581e-06
Zm00001eb012470	-8.71798847430377	10.8440392401848	397.707955533154	9.19764100305277e-09	5.60275576042581e-06
Zm00001eb166410	-3.20507093262361	5.18928448340789	396.75614773184	9.29542156194353e-09	5.60275576042581e-06
Zm00001eb283450	6.58974712287048	6.59584196012194	385.331858820688	1.05742972902209e-08	6.21425016003059e-06
Zm00001eb426900	-6.07560388156642	3.41180767906552	380.592151593805	1.11675035825571e-08	6.30811308715545e-06
Zm00001eb047760	-6.2659317618427	7.69651848846783	378.743212435736	1.14098939095267e-08	6.30811308715545e-06
Zm00001eb426910	-6.02145228850989	3.35895777377913	374.097244662331	1.20479350119146e-08	6.30811308715545e-06
