logFC	logCPM	F	PValue	FDR
Zm00001eb193940	4.58751776980562	7.19867641956804	3061.13398561406	1.14302172614043e-30	1.11972122703639e-26
Zm00001eb368000	3.13658358349533	10.278393908181	3058.03262095234	1.15958444803058e-30	1.11972122703639e-26
Zm00001eb293780	4.15544946157028	7.47395800607177	2967.32624118099	1.77774289409613e-30	1.11972122703639e-26
Zm00001eb316410	2.65553014740593	10.1485919524975	2965.49909029125	1.79334731056879e-30	1.11972122703639e-26
Zm00001eb140320	-4.17020097528874	5.83444664682226	2750.7284009544	5.20899334270559e-30	2.36811526709706e-26
Zm00001eb407710	-2.57766704933743	8.43020370182876	2733.67366703191	5.68916580683979e-30	2.36811526709706e-26
Zm00001eb148420	4.56005086330178	6.30779265561856	2645.64978214831	9.0476619715641e-30	3.22807653914019e-26
Zm00001eb394430	-3.04763328350328	6.76285848323929	2528.85011411572	1.71547713484389e-29	5.35550518034077e-26
Zm00001eb090830	-3.60600746253008	7.56949558620731	2430.70382188717	3.00509076616821e-29	8.33912687611679e-26
Zm00001eb121900	4.40855395389988	7.63626676630545	2387.08028287891	3.88339917106478e-29	9.6199035325313e-26
Zm00001eb293790	4.0383866569098	6.46235462951197	2372.43095933485	4.23699454886264e-29	9.6199035325313e-26
Zm00001eb351340	2.97811450783426	6.97581050835327	2350.04590623865	4.84548436139336e-29	1.00846643271499e-25
Zm00001eb406100	-3.10515720303636	8.5337741946055	2091.79334566467	2.51439730269748e-28	4.83054404883612e-25
Zm00001eb206040	-2.43345833822786	6.5566597665821	2025.40030561585	3.96622622129638e-28	7.0754642769198e-25
Zm00001eb162970	-2.41870550245443	7.05372320522361	1984.99589914471	5.27225793403106e-28	8.22966511890161e-25
Zm00001eb162980	-2.41870550245443	7.05372320522361	1984.99589914471	5.27225793403106e-28	8.22966511890161e-25
Zm00001eb280930	-2.82984339815472	8.56929053447424	1944.17708111348	7.07016850259343e-28	9.81496225292917e-25
Zm00001eb317790	-2.93333912291777	6.64101477289054	1944.10546901648	7.07384666877778e-28	9.81496225292917e-25
