logFC	logCPM	F	PValue	FDR
Zm00001eb351340	9.89758879525006	10.7706160852137	4097.67047791867	6.64720925003805e-12	6.26212722083244e-08
Zm00001eb134650	8.03439200162876	7.48175100556553	3866.48528710157	8.33488704688331e-12	6.26212722083244e-08
Zm00001eb373030	10.4495474321014	9.89252586136083	3590.03454467408	1.11277082611075e-11	6.26212722083244e-08
Zm00001eb167840	7.93412643730301	7.76045307285963	3585.7654984427	1.11794024274453e-11	6.26212722083244e-08
Zm00001eb060680	7.70546103105716	9.71681299901859	3186.20332264275	1.77114800567237e-11	6.26212722083244e-08
Zm00001eb075450	8.36225234851515	10.1487863557289	3171.02904163878	1.80438320981032e-11	6.26212722083244e-08
Zm00001eb217010	8.75978484974365	10.9791170939267	3072.49665570354	2.04038820424119e-11	6.26212722083244e-08
Zm00001eb402950	6.8120669970467	4.87457142248006	2874.86084201079	2.64327223709592e-11	6.26212722083244e-08
Zm00001eb394630	7.03689818282125	7.01878750347395	2864.86720336594	2.67935324768064e-11	6.26212722083244e-08
Zm00001eb034050	10.7963202766544	11.2606801675226	2846.81319217877	2.74611816006613e-11	6.26212722083244e-08
Zm00001eb317110	9.60651262550722	7.83020642814358	2784.235498397	2.99433402861093e-11	6.26212722083244e-08
Zm00001eb368000	9.21927611532077	12.985454285561	2691.38636937638	3.41698154454779e-11	6.26212722083244e-08
Zm00001eb012470	7.07831532861902	12.212553673399	2681.2001044435	3.4677937866646e-11	6.26212722083244e-08
Zm00001eb222300	6.10718903300018	10.3526083551886	2676.0187591819	3.49400419596474e-11	6.26212722083244e-08
Zm00001eb037640	6.85826574455567	10.0266000015524	2642.38083439714	3.67035876758854e-11	6.26212722083244e-08
Zm00001eb295770	6.50329583609195	8.55215012252385	2587.56641421282	3.98240157371115e-11	6.26212722083244e-08
Zm00001eb164380	6.17742598082409	9.83808189932958	2510.98128562659	4.47641558752025e-11	6.26212722083244e-08
Zm00001eb252930	6.08803501836965	8.74418868471587	2502.87261576982	4.53312416692174e-11	6.26212722083244e-08
Zm00001eb134540	8.82659191725303	3.98460227706331	2490.96947910889	4.61801461831205e-11	6.26212722083244e-08
Zm00001eb295760	6.55568769661362	8.57729049339472	2414.31365290753	5.21536737122933e-11	6.26212722083244e-08
Zm00001eb215030	7.70843442276507	6.79032772457307	2366.84714423417	5.63433916019053e-11	6.26212722083244e-08
Zm00001eb213310	8.88313206659371	9.25563604048283	2364.465581719	5.65645511091617e-11	6.26212722083244e-08
Zm00001eb038060	8.635412306029	3.57356088051602	2358.81483605795	5.70936771143312e-11	6.26212722083244e-08
Zm00001eb287790	8.76393347039587	8.43421824166851	2311.1516346897	6.18137603030649e-11	6.26212722083244e-08
Zm00001eb225360	7.2305682493541	10.2854005591798	2248.87461920067	6.87454545207913e-11	6.26212722083244e-08
Zm00001eb220140	6.47291104284586	10.2449152487427	2232.14231179669	7.0772248973418e-11	6.26212722083244e-08
Zm00001eb229000	5.68824274583997	8.38568134535899	2226.79596490625	7.1435639707542e-11	6.26212722083244e-08
Zm00001eb305560	7.39164293415361	5.0113375032065	2205.6351699231	7.41392534758062e-11	6.26212722083244e-08
Zm00001eb364720	9.60205998085481	3.64744271469054	2200.9976526743	7.47488510670958e-11	6.26212722083244e-08
Zm00001eb362220	12.1027417668713	4.95933955013358	2145.5800860254	8.25447512841871e-11	6.26212722083244e-08
Zm00001eb230820	7.23375149884509	10.39510578614	2140.43009147699	8.33200569647435e-11	6.26212722083244e-08
Zm00001eb056010	9.4054772744083	10.7248384817914	2139.4600403101	8.34671156364465e-11	6.26212722083244e-08
Zm00001eb270550	5.50324162756186	4.09075268972319	2135.3565417379	8.40928204484146e-11	6.26212722083244e-08
Zm00001eb392300	8.885104542559	11.6541167968014	2135.24175589417	8.41104076574514e-11	6.26212722083244e-08
Zm00001eb316410	7.24848140680225	12.8495365955322	2134.28553635406	8.42570970225779e-11	6.26212722083244e-08
Zm00001eb229930	6.07270234242156	11.8895515100873	2132.88065768044	8.44731966174539e-11	6.26212722083244e-08
Zm00001eb193940	10.486559975683	11.3796526970771	2123.61412783795	8.59161625522101e-11	6.26212722083244e-08
Zm00001eb173450	8.07168758909397	2.98532487927982	2057.36027503603	9.71895530237241e-11	6.89738912090471e-08
Zm00001eb148000	6.77224743665065	11.1625859846271	2036.14952328566	1.01187136012482e-10	6.99696072816571e-08
Zm00001eb012160	7.62020384425802	6.93296093665695	2018.08012122149	1.04756830718622e-10	7.06270552704951e-08
Zm00001eb285360	10.7176363463392	7.77697881475057	2003.98022688475	1.07652783981447e-10	7.08092750832113e-08
Zm00001eb051200	5.33620500520381	6.05293465126198	1984.53553275225	1.11813534014715e-10	7.17949377454486e-08
Zm00001eb103670	8.60272659482274	3.54331226927639	1969.86566469913	1.15086957656381e-10	7.2178257536681e-08
Zm00001eb023680	4.92888720154813	3.47789236593189	1936.36725439165	1.23025264667077e-10	7.54033031259484e-08
Zm00001eb365450	5.53505145948355	5.1001206346304	1908.81047540315	1.3007721595935e-10	7.71962355541145e-08
Zm00001eb258670	5.61649478777512	9.49340254861379	1902.82488947415	1.31675572363144e-10	7.71962355541145e-08
Zm00001eb272270	8.72363982619939	4.77788363166276	1867.06147185868	1.41757708187441e-10	8.13387632850829e-08
Zm00001eb055430	5.48705753505835	6.04955483863976	1849.84724417068	1.46956244250161e-10	8.25649165612155e-08
Zm00001eb362210	4.87584015001594	5.28535106320766	1826.31093957836	1.54457903557822e-10	8.26203335875011e-08
Zm00001eb012150	7.485475535048	5.74923435459818	1822.36191230044	1.55763308665085e-10	8.26203335875011e-08
Zm00001eb332960	5.18243116075437	5.68980305979853	1811.89845342222	1.59289780708073e-10	8.26203335875011e-08
Zm00001eb124960	10.3581656828395	12.0165899507394	1811.84089983684	1.59309453669166e-10	8.26203335875011e-08
Zm00001eb195190	6.98953198745232	7.3831375628579	1802.88909915257	1.62406876635033e-10	8.26375216810106e-08
Zm00001eb283510	5.28498496879829	5.47571392532426	1769.22212447333	1.74755604459404e-10	8.60831834860416e-08
Zm00001eb234160	6.34372345723779	9.18289937671919	1743.51036363418	1.8498920621012e-10	8.60831834860416e-08
Zm00001eb330160	4.75615317720255	7.62496945649892	1739.16130408125	1.86793931724372e-10	8.60831834860416e-08
Zm00001eb020330	4.92015665671176	9.55396091690994	1737.92789006618	1.87309782219537e-10	8.60831834860416e-08
Zm00001eb395370	9.97091045335671	9.49848699196907	1730.63680377213	1.90395965835739e-10	8.60831834860416e-08
Zm00001eb272290	4.85704405128408	10.9500538187579	1726.39720730645	1.92219902295326e-10	8.60831834860416e-08
Zm00001eb368900	5.5330560302701	7.61737749318485	1721.81244971377	1.94217105520617e-10	8.60831834860416e-08
Zm00001eb331930	5.34067853711769	3.76278133541794	1718.59280946434	1.95635237216679e-10	8.60831834860416e-08
Zm00001eb036130	4.78855186942529	10.3414816475579	1713.49564923136	1.97907051918369e-10	8.60831834860416e-08
Zm00001eb177410	6.22813802773333	6.50004810592732	1673.98962258682	2.16688347728061e-10	9.22342984378188e-08
Zm00001eb061250	5.62509793519537	8.34847964193222	1669.64338393981	2.18888871997197e-10	9.22342984378188e-08
Zm00001eb060050	4.64795196013824	10.9775304105453	1600.01373037079	2.58296718990329e-10	1.0550306516553e-07
Zm00001eb400020	9.98029885410081	9.397485856102	1599.93514612527	2.58346021714859e-10	1.0550306516553e-07
Zm00001eb120810	4.67731862887938	7.41234132996054	1593.98358222684	2.62114556737262e-10	1.0550306516553e-07
Zm00001eb279710	7.48784819499182	4.26046428727352	1579.31008904586	2.71705171480221e-10	1.07755074477626e-07
Zm00001eb010060	5.4655146968369	5.47843647851934	1563.63516091735	2.82442526112605e-10	1.09292352473371e-07
Zm00001eb252460	9.02553384764852	8.22951808991756	1561.8672291235	2.83686764800355e-10	1.09292352473371e-07
Zm00001eb200400	4.38819252245333	8.49695249507471	1549.30402645241	2.92729789801976e-10	1.10472173552459e-07
Zm00001eb295790	7.01196200964502	4.54934788915989	1546.30472704111	2.94942023723563e-10	1.10472173552459e-07
Zm00001eb306040	4.26053492564244	6.68202613389095	1519.30516388164	3.15833461086918e-10	1.13847693482211e-07
Zm00001eb216840	9.19340751590576	7.07847815391502	1517.60369060164	3.17211348466875e-10	1.13847693482211e-07
Zm00001eb083700	7.90534306000958	2.59785483518326	1516.08102338281	3.1845084363496e-10	1.13847693482211e-07
Zm00001eb034130	7.36451147517572	11.7943346915258	1507.75837368916	3.25334295744755e-10	1.13847693482211e-07
Zm00001eb244650	4.14514582029981	8.72230771317221	1507.55602990109	3.25503964782393e-10	1.13847693482211e-07
Zm00001eb209550	4.2386631059053	9.23638273750691	1492.9441012312	3.38055819003909e-10	1.13847693482211e-07
Zm00001eb343630	3.96584108545362	7.65889186900984	1492.57211499511	3.38383226249643e-10	1.13847693482211e-07
Zm00001eb377910	4.36071845419219	9.23361409990539	1488.157034223	3.42299793010034e-10	1.13847693482211e-07
Zm00001eb162230	5.12540562503293	7.99557015839306	1487.96508378617	3.42471358374403e-10	1.13847693482211e-07
Zm00001eb390540	3.91276501087941	7.61573896016232	1479.24395648205	3.50381560911157e-10	1.13847693482211e-07
Zm00001eb062800	6.78057761539528	9.9895010834142	1477.72457900815	3.51783050945073e-10	1.13847693482211e-07
Zm00001eb220510	8.58420097193165	4.10541563407082	1474.67952419694	3.54613106367019e-10	1.13847693482211e-07
Zm00001eb396290	7.41506078282317	5.51968767630803	1465.80479798245	3.630259874814e-10	1.14146089474768e-07
Zm00001eb332500	6.98843165372022	8.44238523966628	1463.18290281317	3.65559304936099e-10	1.14146089474768e-07
Zm00001eb060570	11.5516657354569	7.11995603092475	1460.43270772535	3.68240499269682e-10	1.14146089474768e-07
Zm00001eb319670	-4.45378326411921	5.04838080609046	1433.17556760731	3.96197435107759e-10	1.17471314728996e-07
Zm00001eb416450	4.0445480900015	10.0393720426936	1430.57510132251	3.99001941048376e-10	1.17471314728996e-07
Zm00001eb347600	4.03937836690313	6.26429264921639	1425.57632800892	4.04463334227913e-10	1.17471314728996e-07
Zm00001eb257130	9.55456593812154	10.1480254538381	1421.60080584377	4.08873958755095e-10	1.17471314728996e-07
Zm00001eb333780	-4.70047521350039	5.32145403908914	1417.43360061326	4.13562305023359e-10	1.17471314728996e-07
Zm00001eb351790	11.2887391804932	8.71311536111793	1411.97073858022	4.19811118949823e-10	1.17471314728996e-07
Zm00001eb015710	6.84136067317559	7.08814118364949	1408.32459823696	4.24047926294031e-10	1.17471314728996e-07
Zm00001eb220520	7.63544081536681	3.69244410047841	1408.1827215496	4.24213869927833e-10	1.17471314728996e-07
Zm00001eb047760	5.18498927882504	8.53342639247167	1406.60312379634	4.26066941135392e-10	1.17471314728996e-07
Zm00001eb315880	6.12959369641331	11.9161445424549	1403.86830296496	4.29299346549086e-10	1.17471314728996e-07
Zm00001eb404330	8.02079644043828	2.48871753140977	1401.28870607609	4.32376567929672e-10	1.17471314728996e-07
Zm00001eb337300	4.53165571690383	2.94969880396992	1398.75211169267	4.35429559480571e-10	1.17471314728996e-07
Zm00001eb088880	3.69251204212054	4.49938099002667	1395.16580401181	4.39792325021437e-10	1.17471314728996e-07
Zm00001eb071230	4.75306193601335	5.08978165623982	1395.03608435576	4.39951156467984e-10	1.17471314728996e-07
Zm00001eb368930	5.61906403353033	4.17267953864789	1373.73414161342	4.67041135598741e-10	1.22868644588798e-07
Zm00001eb398080	4.537786185434	7.33727230602292	1369.76709465835	4.72315397996086e-10	1.22868644588798e-07
Zm00001eb085640	4.75099580064887	3.74103846712599	1368.63563173863	4.73833396515687e-10	1.22868644588798e-07
Zm00001eb257590	4.02678575214216	7.74172621903375	1360.73721178862	4.8460264381796e-10	1.23303760598104e-07
Zm00001eb402020	8.01590018761666	6.53650867285353	1358.58768052632	4.8758655525981e-10	1.23303760598104e-07
Zm00001eb060560	5.57628462823522	8.14974151009627	1352.75529937745	4.95799964210171e-10	1.23303760598104e-07
Zm00001eb351210	9.8811201347793	6.24703172720189	1351.22282520132	4.97986837777885e-10	1.23303760598104e-07
Zm00001eb059500	-4.28537770804099	4.17599332627345	1349.58940702644	5.003311185189e-10	1.23303760598104e-07
Zm00001eb084590	3.71967715554181	10.3670189498651	1340.31014647292	5.13915060697322e-10	1.23303760598104e-07
Zm00001eb421320	5.08388734832405	2.7547318913624	1337.08282640961	5.18747923427531e-10	1.23303760598104e-07
Zm00001eb306470	4.12867388368393	5.14451563368746	1333.73002730653	5.23829312212178e-10	1.23303760598104e-07
Zm00001eb250120	6.8840743612311	8.9504903744775	1332.56670990219	5.25606997717275e-10	1.23303760598104e-07
Zm00001eb085150	6.77456916855201	6.19421948745784	1331.82446879603	5.26745190509467e-10	1.23303760598104e-07
Zm00001eb009570	7.69585937258756	8.10167212085175	1327.3587507675	5.33658915569432e-10	1.23303760598104e-07
Zm00001eb369790	3.86407018783451	4.23939343650782	1326.84661727317	5.34459057361685e-10	1.23303760598104e-07
Zm00001eb293560	3.76003745445805	7.12276318646453	1326.53266559189	5.34950311108654e-10	1.23303760598104e-07
Zm00001eb364710	8.27577609158951	5.22358293528752	1309.48495576412	5.62498963462425e-10	1.28554847853006e-07
Zm00001eb131100	4.57666495182645	6.20843022564563	1304.51709724323	5.70860531179621e-10	1.29369468948336e-07
Zm00001eb146880	4.04308997304395	8.04043942145956	1298.9112001794	5.80484411114591e-10	1.30454196657819e-07
Zm00001eb108510	-4.96623228468533	3.99070558713347	1292.10970368793	5.92436166235036e-10	1.32039822570467e-07
Zm00001eb201300	5.83823733365524	6.4820667428546	1284.59780162336	6.05997805206993e-10	1.33955318121493e-07
Zm00001eb044850	7.24623831344901	10.206040163353	1281.04578694942	6.12546220508931e-10	1.34302003859226e-07
Zm00001eb305700	8.77945580657603	6.07312690999552	1268.8228361303	6.3577049223586e-10	1.37257078076452e-07
Zm00001eb186970	8.02798015503692	8.14346886609008	1266.12433536031	6.41046091012542e-10	1.37257078076452e-07
Zm00001eb393250	6.70048747509739	9.85443847704124	1262.68031800214	6.47859327186805e-10	1.37257078076452e-07
Zm00001eb232010	5.42232361699751	7.94473228394827	1259.59057353612	6.54049292393837e-10	1.37257078076452e-07
Zm00001eb257030	9.57842747347073	4.29163752064105	1256.95737832077	6.5938335240179e-10	1.37257078076452e-07
Zm00001eb397980	4.43698762679731	9.90452315740101	1255.99108381677	6.61354473354406e-10	1.37257078076452e-07
Zm00001eb325710	6.16069050769731	5.14187852666634	1255.84574204512	6.6165159262603e-10	1.37257078076452e-07
Zm00001eb250070	5.8221218556922	6.82865851006018	1248.84573433694	6.76162252078656e-10	1.39196516137841e-07
Zm00001eb395360	9.4416394790865	9.17184900276169	1239.53095203176	6.96097033685912e-10	1.41172239308483e-07
Zm00001eb211620	4.60486968046941	5.52819266250632	1235.89837507335	7.04071004057444e-10	1.41172239308483e-07
Zm00001eb205600	4.92017557025737	7.21237765747562	1235.73383727328	7.044348950458e-10	1.41172239308483e-07
Zm00001eb378930	3.84520317015451	10.6706954764833	1234.71259314073	7.06698765449615e-10	1.41172239308483e-07
Zm00001eb083520	4.18231495343233	8.30206609302483	1232.24100257007	7.12215675108528e-10	1.4122817887005e-07
Zm00001eb257120	6.20029092721134	8.04138898547994	1225.75840673503	7.26944886011687e-10	1.43096713036228e-07
Zm00001eb131240	8.25104472809045	6.45072484233571	1214.18634599284	7.54202139410666e-10	1.46557448726412e-07
