logFC	logCPM	F	PValue	FDR
Zm00001eb014010	6.02055061434961	4.79841639895679	234.164972578613	3.11048753238548e-06	0.057045391725125
Zm00001eb129050	3.06076300569088	5.33206418849063	168.032147737651	8.6312427175933e-06	0.057045391725125
Zm00001eb186060	-3.45187858793089	3.40606078670664	167.231341683835	8.75836242901332e-06	0.057045391725125
Zm00001eb413190	7.18053157032115	3.48132686233674	161.58183860922	9.72908663579828e-06	0.057045391725125
Zm00001eb076170	6.67117461155204	6.02722885380461	153.147802267315	1.14597814629365e-05	0.057045391725125
Zm00001eb362630	4.20682123539565	4.46354522580112	144.556928077348	1.36646744348776e-05	0.057045391725125
Zm00001eb204630	4.22622543257854	3.80165634780793	139.105749183484	1.53601470198821e-05	0.057045391725125
Zm00001eb168350	3.54691935292062	6.39106643925033	119.402203542735	2.44045801893837e-05	0.0662929263195215
Zm00001eb373350	3.87946943793204	4.94742726540097	116.87189350545	2.60354887154264e-05	0.0662929263195215
Zm00001eb076200	2.6975992365323	3.12510770963933	110.683472932281	3.06761816324809e-05	0.0662929263195215
Zm00001eb388590	2.17479913236546	4.5989858960361	109.321388378952	3.18411997003725e-05	0.0662929263195215
Zm00001eb413210	6.4430400179697	3.37855772623377	108.784212208777	3.23166640014837e-05	0.0662929263195215
Zm00001eb198660	2.56013979487554	4.31377526262481	104.618075677665	3.63414610848809e-05	0.0662929263195215
Zm00001eb413180	6.21072615193166	3.87051198802276	102.939575390351	3.81493665601424e-05	0.0662929263195215
Zm00001eb073030	4.77984083937556	3.15310218342702	102.089097679441	3.91107152172334e-05	0.0662929263195215
Zm00001eb037950	4.09498818754321	1.87748078525851	100.659041320587	4.08003546990939e-05	0.0662929263195215
Zm00001eb217970	4.21428824213011	2.04310687544793	96.3511112180204	4.65082851050145e-05	0.0711221110514743
Zm00001eb406620	3.79785870026126	3.88567715885537	94.1117795871213	4.98939642828171e-05	0.0720607438589108
Zm00001eb054050	4.05263383254495	7.41664430387446	90.4666419306203	5.61335698424358e-05	0.076805495536516
Zm00001eb036850	5.63437622504928	0.654459776531664	87.7290160380078	6.15108273583652e-05	0.0778794936043798
Zm00001eb402450	3.75697161574988	4.11305660526153	85.8937593068002	6.55003939139034e-05	0.0778794936043798
Zm00001eb288160	5.95476389727552	4.94864493145738	82.9185984766587	7.27234410972852e-05	0.0778794936043798
Zm00001eb384900	4.42723642773071	7.85358374462106	81.6558255900023	7.61063589378876e-05	0.0778794936043798
Zm00001eb254960	5.74632579653806	5.45946604870512	80.0263817148906	8.0784575918546e-05	0.0778794936043798
Zm00001eb265830	5.14397765118749	5.10529365242553	79.8159974132053	8.14159339166701e-05	0.0778794936043798
Zm00001eb256380	3.72077900021526	3.37620078048859	79.6079542450302	8.20466694548156e-05	0.0778794936043798
Zm00001eb006180	2.77139166003112	3.57863627455248	78.6710579696327	8.49682138359024e-05	0.0778794936043798
Zm00001eb171490	4.43291296944023	1.96158134337741	78.4653813766622	8.56278427062052e-05	0.0778794936043798
