LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00031ab078980;Zm00031ab424550;Zm00031ab424550;Zm00031ab424550;Zm00031ab262750;Zm00031ab304100;Zm00031ab374600;Zm00031ab374600;Zm00031ab374600;Zm00031ab374600;Zm00031ab151970;Zm00031ab151970;Zm00031ab151970;Zm00031ab151970;Zm00031ab151970;Zm00031ab151970;Zm00031ab243510;Zm00031ab162820;Zm00031ab162820;Zm00031ab243510;Zm00031ab162820;Zm00031ab162820;Zm00031ab141420;Zm00031ab210490;Zm00031ab210490;Zm00031ab210490;Zm00031ab210490;Zm00031ab110220;Zm00031ab110220;Zm00031ab110220;Zm00031ab195680;Zm00031ab017530;Zm00031ab017530;Zm00031ab017530;Zm00031ab206500;Zm00031ab206500;Zm00031ab114900;Zm00031ab300360
IPR000008	C2 domain	Zm00031ab335110;Zm00031ab335110;Zm00031ab107910;Zm00031ab107910;Zm00031ab238440;Zm00031ab107910;Zm00031ab107910;Zm00031ab107910;Zm00031ab107910;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab068240;Zm00031ab115960;Zm00031ab310410;Zm00031ab310410;Zm00031ab310410;Zm00031ab310410;Zm00031ab377430;Zm00031ab377430;Zm00031ab377430;Zm00031ab377430;Zm00031ab286760;Zm00031ab286760;Zm00031ab286760;Zm00031ab286760;Zm00031ab286760;Zm00031ab286760;Zm00031ab286760;Zm00031ab286760;Zm00031ab286760;Zm00031ab317640;Zm00031ab317640;Zm00031ab317640;Zm00031ab317640;Zm00031ab310190;Zm00031ab317640;Zm00031ab317640;Zm00031ab317640;Zm00031ab252290;Zm00031ab252290;Zm00031ab252290;Zm00031ab252290;Zm00031ab252290;Zm00031ab252290;Zm00031ab252290;Zm00031ab252290;Zm00031ab252290;Zm00031ab252290;Zm00031ab252290;Zm00031ab078540;Zm00031ab078540;Zm00031ab343840;Zm00031ab198190;Zm00031ab300650;Zm00031ab300650;Zm00031ab300650;Zm00031ab300650;Zm00031ab300650;Zm00031ab300650;Zm00031ab300650;Zm00031ab300650;Zm00031ab082860;Zm00031ab082860;Zm00031ab082860;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab452030;Zm00031ab312320;Zm00031ab312320;Zm00031ab312320;Zm00031ab312320;Zm00031ab001450;Zm00031ab101210;Zm00031ab101210;Zm00031ab101210;Zm00031ab101210;Zm00031ab101210;Zm00031ab035320;Zm00031ab035320;Zm00031ab035320;Zm00031ab035320;Zm00031ab035320;Zm00031ab035320;Zm00031ab035320;Zm00031ab331920;Zm00031ab408080;Zm00031ab408080;Zm00031ab408080;Zm00031ab129980;Zm00031ab129980;Zm00031ab129980;Zm00031ab129980;Zm00031ab129980;Zm00031ab129980;Zm00031ab129980;Zm00031ab129980;Zm00031ab129980;Zm00031ab387090;Zm00031ab387090;Zm00031ab451930;Zm00031ab071260;Zm00031ab071260;Zm00031ab451930;Zm00031ab451930;Zm00031ab013770;Zm00031ab154970;Zm00031ab371770;Zm00031ab371770;Zm00031ab371770;Zm00031ab371770;Zm00031ab362930;Zm00031ab362930;Zm00031ab362930;Zm00031ab362930;Zm00031ab378240;Zm00031ab192940;Zm00031ab192940;Zm00031ab378240;Zm00031ab126880;Zm00031ab126880;Zm00031ab126880;Zm00031ab126880;Zm00031ab126880;Zm00031ab126880;Zm00031ab126880;Zm00031ab126880;Zm00031ab126880;Zm00031ab126880;Zm00031ab402470;Zm00031ab402470;Zm00031ab199030;Zm00031ab401470;Zm00031ab082680;Zm00031ab082680;Zm00031ab401470;Zm00031ab401470;Zm00031ab022060;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab109070;Zm00031ab417360;Zm00031ab417360;Zm00031ab417360;Zm00031ab147230;Zm00031ab345580;Zm00031ab345580;Zm00031ab345580;Zm00031ab345580;Zm00031ab345580;Zm00031ab345580;Zm00031ab294130;Zm00031ab294130;Zm00031ab294130;Zm00031ab377040;Zm00031ab011210;Zm00031ab263850;Zm00031ab263850;Zm00031ab263850;Zm00031ab263850;Zm00031ab263850;Zm00031ab263850;Zm00031ab263850;Zm00031ab263850;Zm00031ab263850;Zm00031ab287120;Zm00031ab211210;Zm00031ab287120;Zm00031ab287120;Zm00031ab287120;Zm00031ab287120;Zm00031ab196460;Zm00031ab196460;Zm00031ab196460;Zm00031ab196460;Zm00031ab196460;Zm00031ab350660;Zm00031ab350660;Zm00031ab350660;Zm00031ab350660;Zm00031ab109600;Zm00031ab350470;Zm00031ab350470;Zm00031ab350470;Zm00031ab350470;Zm00031ab114230;Zm00031ab114230;Zm00031ab114230;Zm00031ab114230;Zm00031ab114230;Zm00031ab114230;Zm00031ab114230;Zm00031ab008730;Zm00031ab008730;Zm00031ab008730;Zm00031ab079410;Zm00031ab079410;Zm00031ab079410;Zm00031ab079410;Zm00031ab079410;Zm00031ab079410;Zm00031ab079410;Zm00031ab245710;Zm00031ab245710;Zm00031ab245710;Zm00031ab245710;Zm00031ab234750;Zm00031ab234750;Zm00031ab234750;Zm00031ab234750;Zm00031ab227300;Zm00031ab227300;Zm00031ab227300;Zm00031ab227300;Zm00031ab239530;Zm00031ab239530;Zm00031ab239530;Zm00031ab239530;Zm00031ab335440;Zm00031ab257160;Zm00031ab092910;Zm00031ab298060;Zm00031ab298060;Zm00031ab386810;Zm00031ab372920;Zm00031ab106970;Zm00031ab395760;Zm00031ab106970;Zm00031ab395760;Zm00031ab395760;Zm00031ab095180;Zm00031ab238470;Zm00031ab095180;Zm00031ab095180;Zm00031ab095180;Zm00031ab095180;Zm00031ab238470;Zm00031ab238470;Zm00031ab209140;Zm00031ab209140;Zm00031ab209140;Zm00031ab209140;Zm00031ab290340;Zm00031ab444160;Zm00031ab245800;Zm00031ab245800;Zm00031ab245800;Zm00031ab245800;Zm00031ab290340;Zm00031ab245800;Zm00031ab245800;Zm00031ab444160;Zm00031ab444160;Zm00031ab209140;Zm00031ab209140;Zm00031ab290340;Zm00031ab296290;Zm00031ab296290;Zm00031ab296290;Zm00031ab296290;Zm00031ab296290;Zm00031ab296290;Zm00031ab019570;Zm00031ab019570;Zm00031ab019570;Zm00031ab019570;Zm00031ab019570;Zm00031ab019570;Zm00031ab019570;Zm00031ab019570;Zm00031ab345300;Zm00031ab019570;Zm00031ab165450;Zm00031ab319740;Zm00031ab025450;Zm00031ab025450;Zm00031ab025450;Zm00031ab025450;Zm00031ab025450;Zm00031ab025450;Zm00031ab025450;Zm00031ab025450;Zm00031ab381830;Zm00031ab205600;Zm00031ab205600;Zm00031ab211490;Zm00031ab339230;Zm00031ab339230;Zm00031ab339230;Zm00031ab296430;Zm00031ab320260;Zm00031ab320260;Zm00031ab320260;Zm00031ab211380;Zm00031ab320260;Zm00031ab320260;Zm00031ab211380;Zm00031ab320260;Zm00031ab320260;Zm00031ab211380;Zm00031ab320260;Zm00031ab320260;Zm00031ab211380;Zm00031ab286790;Zm00031ab286790;Zm00031ab286790;Zm00031ab286790;Zm00031ab286790;Zm00031ab286790;Zm00031ab194000;Zm00031ab194000;Zm00031ab194000;Zm00031ab287310;Zm00031ab136620;Zm00031ab103600;Zm00031ab108110;Zm00031ab108110;Zm00031ab403570;Zm00031ab403570;Zm00031ab403570;Zm00031ab403570;Zm00031ab403570;Zm00031ab403570;Zm00031ab403570;Zm00031ab403570;Zm00031ab403570;Zm00031ab401780;Zm00031ab401780;Zm00031ab040400;Zm00031ab334750;Zm00031ab334750;Zm00031ab334750;Zm00031ab334750;Zm00031ab401780;Zm00031ab100000;Zm00031ab153470;Zm00031ab111990;Zm00031ab111990;Zm00031ab111990;Zm00031ab111990;Zm00031ab291950;Zm00031ab291950;Zm00031ab291950;Zm00031ab291950;Zm00031ab291950;Zm00031ab291950;Zm00031ab269700;Zm00031ab269700;Zm00031ab269700;Zm00031ab269700
IPR000010	Cystatin domain	Zm00031ab175420;Zm00031ab021630;Zm00031ab299070;Zm00031ab299070;Zm00031ab299070;Zm00031ab299070;Zm00031ab299070;Zm00031ab021620;Zm00031ab418500;Zm00031ab418510;Zm00031ab006070;Zm00031ab302790;Zm00031ab363720;Zm00031ab363720;Zm00031ab363720;Zm00031ab363720;Zm00031ab155810;Zm00031ab155810;Zm00031ab155810;Zm00031ab155810;Zm00031ab379440;Zm00031ab021600;Zm00031ab346670;Zm00031ab346670;Zm00031ab346670;Zm00031ab383880;Zm00031ab383880;Zm00031ab006060;Zm00031ab418520
IPR000014	PAS domain	Zm00031ab216440;Zm00031ab117640;Zm00031ab117640;Zm00031ab241750;Zm00031ab209560;Zm00031ab044420;Zm00031ab044420;Zm00031ab044420;Zm00031ab044420;Zm00031ab284130;Zm00031ab171260;Zm00031ab125690;Zm00031ab125690;Zm00031ab171260;Zm00031ab125690;Zm00031ab125690;Zm00031ab125690;Zm00031ab125690;Zm00031ab125690;Zm00031ab125690;Zm00031ab125690;Zm00031ab125690;Zm00031ab125690;Zm00031ab125690;Zm00031ab169130;Zm00031ab169130;Zm00031ab235420;Zm00031ab235420
IPR000023	Phosphofructokinase domain	Zm00031ab295420;Zm00031ab159360;Zm00031ab159360;Zm00031ab442520;Zm00031ab321730;Zm00031ab103460;Zm00031ab103460;Zm00031ab103460;Zm00031ab103460;Zm00031ab103460;Zm00031ab125360;Zm00031ab125360;Zm00031ab044740;Zm00031ab044740;Zm00031ab263350;Zm00031ab263350;Zm00031ab263350;Zm00031ab263350;Zm00031ab364390;Zm00031ab364390;Zm00031ab050390;Zm00031ab042910;Zm00031ab042910;Zm00031ab042910;Zm00031ab396690;Zm00031ab396690;Zm00031ab396690;Zm00031ab396690;Zm00031ab396690;Zm00031ab386360;Zm00031ab196170;Zm00031ab196170;Zm00031ab196170;Zm00031ab304830;Zm00031ab281800;Zm00031ab281800;Zm00031ab281800;Zm00031ab351170;Zm00031ab351170;Zm00031ab391410;Zm00031ab391410;Zm00031ab290980;Zm00031ab290980
IPR000031	PurE domain	Zm00031ab124510
IPR000043	Adenosylhomocysteinase-like	Zm00031ab176620;Zm00031ab176620
IPR000048	IQ motif, EF-hand binding site	Zm00031ab210160;Zm00031ab210160;Zm00031ab136080;Zm00031ab136080;Zm00031ab391010;Zm00031ab391010;Zm00031ab370880;Zm00031ab370880;Zm00031ab370880;Zm00031ab370880;Zm00031ab370880;Zm00031ab370880;Zm00031ab092240;Zm00031ab092240;Zm00031ab275370;Zm00031ab275370;Zm00031ab394910;Zm00031ab232390;Zm00031ab232390;Zm00031ab263640;Zm00031ab403790;Zm00031ab330890;Zm00031ab330890;Zm00031ab403790;Zm00031ab406800;Zm00031ab406800;Zm00031ab293070;Zm00031ab293070;Zm00031ab055980;Zm00031ab055980;Zm00031ab407980;Zm00031ab407980;Zm00031ab407980;Zm00031ab407980;Zm00031ab407980;Zm00031ab407980;Zm00031ab407980;Zm00031ab407980;Zm00031ab407980;Zm00031ab407980;Zm00031ab007310;Zm00031ab007310;Zm00031ab279200;Zm00031ab279200;Zm00031ab007310;Zm00031ab007310;Zm00031ab320040;Zm00031ab320040;Zm00031ab007310;Zm00031ab007310;Zm00031ab305720;Zm00031ab305720;Zm00031ab010020;Zm00031ab010020;Zm00031ab337660;Zm00031ab049100;Zm00031ab049100;Zm00031ab229690;Zm00031ab229690;Zm00031ab229690;Zm00031ab229690;Zm00031ab176660;Zm00031ab160610;Zm00031ab160610;Zm00031ab160610;Zm00031ab160610;Zm00031ab160610;Zm00031ab160610;Zm00031ab053030;Zm00031ab053030;Zm00031ab053030;Zm00031ab053030;Zm00031ab160610;Zm00031ab160610;Zm00031ab160610;Zm00031ab160610;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab269770;Zm00031ab305020;Zm00031ab305020;Zm00031ab305020;Zm00031ab305020;Zm00031ab305020;Zm00031ab305020;Zm00031ab355810;Zm00031ab047050;Zm00031ab047050;Zm00031ab067720;Zm00031ab067720;Zm00031ab067720;Zm00031ab067720;Zm00031ab028620;Zm00031ab028620;Zm00031ab028620;Zm00031ab028620;Zm00031ab438970;Zm00031ab438970;Zm00031ab438970;Zm00031ab438970;Zm00031ab028620;Zm00031ab028620;Zm00031ab028620;Zm00031ab028620;Zm00031ab211950;Zm00031ab028620;Zm00031ab028620;Zm00031ab450870;Zm00031ab435250;Zm00031ab450870;Zm00031ab450870;Zm00031ab328280;Zm00031ab328280;Zm00031ab014330;Zm00031ab014330;Zm00031ab284990;Zm00031ab284990;Zm00031ab302080;Zm00031ab302080;Zm00031ab280500;Zm00031ab280500;Zm00031ab379600;Zm00031ab379600;Zm00031ab223470;Zm00031ab223470;Zm00031ab052400;Zm00031ab052400;Zm00031ab052400;Zm00031ab052400;Zm00031ab052400;Zm00031ab052400;Zm00031ab180410;Zm00031ab180410;Zm00031ab380360;Zm00031ab380360;Zm00031ab003940;Zm00031ab003940;Zm00031ab088510;Zm00031ab088510;Zm00031ab088510;Zm00031ab088510;Zm00031ab351210;Zm00031ab351210;Zm00031ab076330;Zm00031ab034970;Zm00031ab076330;Zm00031ab049820;Zm00031ab049820;Zm00031ab407200;Zm00031ab407200;Zm00031ab200760;Zm00031ab200760;Zm00031ab200760;Zm00031ab200760;Zm00031ab200760;Zm00031ab214030;Zm00031ab214030;Zm00031ab448250;Zm00031ab154090;Zm00031ab419880;Zm00031ab419880;Zm00031ab154090;Zm00031ab154090;Zm00031ab154090;Zm00031ab154090;Zm00031ab154090;Zm00031ab154090;Zm00031ab419880;Zm00031ab419880;Zm00031ab419880;Zm00031ab419880;Zm00031ab040570;Zm00031ab239700;Zm00031ab239700;Zm00031ab239700;Zm00031ab276500;Zm00031ab276500;Zm00031ab276500;Zm00031ab276500;Zm00031ab196750;Zm00031ab177290;Zm00031ab177290;Zm00031ab017800;Zm00031ab148180;Zm00031ab148180;Zm00031ab148180;Zm00031ab148180;Zm00031ab400770;Zm00031ab400770;Zm00031ab294590;Zm00031ab294590;Zm00031ab294590;Zm00031ab294590;Zm00031ab294590;Zm00031ab294590;Zm00031ab294590;Zm00031ab294590;Zm00031ab294590;Zm00031ab294590;Zm00031ab252220;Zm00031ab252220;Zm00031ab156900;Zm00031ab156900;Zm00031ab230340;Zm00031ab230340;Zm00031ab230340;Zm00031ab230340;Zm00031ab230340;Zm00031ab230340;Zm00031ab385850;Zm00031ab385850;Zm00031ab305420;Zm00031ab305420;Zm00031ab305420;Zm00031ab305420;Zm00031ab305420;Zm00031ab305420;Zm00031ab045100;Zm00031ab045100;Zm00031ab305420;Zm00031ab305420;Zm00031ab047070;Zm00031ab047070;Zm00031ab047070;Zm00031ab397530;Zm00031ab397530;Zm00031ab064510;Zm00031ab047070;Zm00031ab047070;Zm00031ab047070;Zm00031ab047070;Zm00031ab047070;Zm00031ab047070;Zm00031ab332840;Zm00031ab332840;Zm00031ab424330;Zm00031ab424330;Zm00031ab110990;Zm00031ab140570;Zm00031ab140570;Zm00031ab336170;Zm00031ab336170;Zm00031ab336170;Zm00031ab336170;Zm00031ab336170;Zm00031ab336170;Zm00031ab334980;Zm00031ab334980;Zm00031ab334980;Zm00031ab069880;Zm00031ab069880;Zm00031ab386820;Zm00031ab386820;Zm00031ab386820;Zm00031ab186700;Zm00031ab186700;Zm00031ab446470;Zm00031ab369710;Zm00031ab369710;Zm00031ab369710;Zm00031ab221960;Zm00031ab221960;Zm00031ab221960;Zm00031ab221960;Zm00031ab221960;Zm00031ab221960;Zm00031ab221960;Zm00031ab221960;Zm00031ab302140;Zm00031ab302140;Zm00031ab221960;Zm00031ab221960;Zm00031ab425590;Zm00031ab425590;Zm00031ab221960;Zm00031ab221960;Zm00031ab259870;Zm00031ab259870;Zm00031ab246160;Zm00031ab246160;Zm00031ab190280;Zm00031ab190280;Zm00031ab168140;Zm00031ab168140;Zm00031ab037600;Zm00031ab037600;Zm00031ab334620;Zm00031ab364290;Zm00031ab364290;Zm00031ab062550;Zm00031ab062550;Zm00031ab250770;Zm00031ab250770;Zm00031ab062550;Zm00031ab062550;Zm00031ab062550;Zm00031ab062550;Zm00031ab062550;Zm00031ab062550;Zm00031ab166550;Zm00031ab166550;Zm00031ab166550;Zm00031ab166550;Zm00031ab166550;Zm00031ab364290;Zm00031ab364290;Zm00031ab062550;Zm00031ab062550;Zm00031ab364290;Zm00031ab364290;Zm00031ab187780;Zm00031ab187780;Zm00031ab034960;Zm00031ab034960;Zm00031ab177280;Zm00031ab177280;Zm00031ab443770;Zm00031ab443770;Zm00031ab341350;Zm00031ab341350;Zm00031ab125460;Zm00031ab125460;Zm00031ab341350;Zm00031ab341350;Zm00031ab341350;Zm00031ab341350;Zm00031ab233050;Zm00031ab233050;Zm00031ab233050;Zm00031ab233050;Zm00031ab233050;Zm00031ab233050;Zm00031ab233050;Zm00031ab233050;Zm00031ab345250;Zm00031ab345250;Zm00031ab233050;Zm00031ab233050;Zm00031ab233050;Zm00031ab233050;Zm00031ab145470;Zm00031ab145470;Zm00031ab276000;Zm00031ab276000;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab159120;Zm00031ab317840;Zm00031ab317840;Zm00031ab317840;Zm00031ab317840;Zm00031ab317840;Zm00031ab368040;Zm00031ab368040;Zm00031ab252260;Zm00031ab252260;Zm00031ab033620;Zm00031ab033620;Zm00031ab033620;Zm00031ab252260;Zm00031ab252260;Zm00031ab223660;Zm00031ab223660;Zm00031ab292780;Zm00031ab292780;Zm00031ab349840;Zm00031ab349840;Zm00031ab389770;Zm00031ab389770;Zm00031ab331080;Zm00031ab331080;Zm00031ab424340;Zm00031ab424340;Zm00031ab301110;Zm00031ab301110;Zm00031ab162400;Zm00031ab162400;Zm00031ab392120;Zm00031ab392120;Zm00031ab371420;Zm00031ab371420;Zm00031ab371420;Zm00031ab371420;Zm00031ab371420;Zm00031ab371420;Zm00031ab371420;Zm00031ab371420;Zm00031ab231650;Zm00031ab231650;Zm00031ab156190;Zm00031ab156190;Zm00031ab016730;Zm00031ab016730;Zm00031ab419020;Zm00031ab140410;Zm00031ab140410;Zm00031ab371200;Zm00031ab371200;Zm00031ab166270;Zm00031ab167730;Zm00031ab167730;Zm00031ab160940;Zm00031ab392550;Zm00031ab343530;Zm00031ab343530;Zm00031ab294880;Zm00031ab294880
IPR000054	Ribosomal protein L31e	Zm00031ab036220;Zm00031ab396510;Zm00031ab196590;Zm00031ab263550
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00031ab330990;Zm00031ab330990;Zm00031ab330990;Zm00031ab330990;Zm00031ab330990;Zm00031ab005770;Zm00031ab005770;Zm00031ab005770;Zm00031ab005770;Zm00031ab005770;Zm00031ab005770;Zm00031ab418740;Zm00031ab418740;Zm00031ab418740;Zm00031ab418740;Zm00031ab418740
