LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00042ab000010
2.0	Domain: Eukaryota	Zm00042ab000020
9.0	Family: Poaceae	Zm00042ab000040
9.0	Family: Poaceae	Zm00042ab000050
5.0	Land Plants (Embryophyta)	Zm00042ab000060
4.0	Phylum: Streptophyta	Zm00042ab000070
3.0	Kingdom: Viridiplantae	Zm00042ab000080
1.0	Cellular organisms	Zm00042ab000090
1.0	Cellular organisms	Zm00042ab000100
		Zm00042ab000110
5.0	Land Plants (Embryophyta)	Zm00042ab000130
5.0	Land Plants (Embryophyta)	Zm00042ab000140
4.0	Phylum: Streptophyta	Zm00042ab000150
1.0	Cellular organisms	Zm00042ab000160
5.0	Land Plants (Embryophyta)	Zm00042ab000180
1.0	Cellular organisms	Zm00042ab000190
14.0	Subspecies: Zea mays mays	Zm00042ab000200
1.0	Cellular organisms	Zm00042ab000210
2.0	Domain: Eukaryota	Zm00042ab000220
14.0	Subspecies: Zea mays mays	Zm00042ab000230
2.0	Domain: Eukaryota	Zm00042ab000240
1.0	Cellular organisms	Zm00042ab000250
9.0	Family: Poaceae	Zm00042ab000260
1.0	Cellular organisms	Zm00042ab000280
6.0	Class: Magnoliopsida	Zm00042ab000290
9.0	Family: Poaceae	Zm00042ab000300
1.0	Cellular organisms	Zm00042ab000310
3.0	Kingdom: Viridiplantae	Zm00042ab000320
2.0	Domain: Eukaryota	Zm00042ab000330
3.0	Kingdom: Viridiplantae	Zm00042ab000340
3.0	Kingdom: Viridiplantae	Zm00042ab000350
1.0	Cellular organisms	Zm00042ab000360
1.0	Cellular organisms	Zm00042ab000370
4.0	Phylum: Streptophyta	Zm00042ab000380
5.0	Land Plants (Embryophyta)	Zm00042ab000390
2.0	Domain: Eukaryota	Zm00042ab000400
2.0	Domain: Eukaryota	Zm00042ab000410
2.0	Domain: Eukaryota	Zm00042ab000420
11.0	Tribe: Andropogoneae	Zm00042ab000430
5.0	Land Plants (Embryophyta)	Zm00042ab000440
5.0	Land Plants (Embryophyta)	Zm00042ab000450
5.0	Land Plants (Embryophyta)	Zm00042ab000460
1.0	Cellular organisms	Zm00042ab000470
6.0	Class: Magnoliopsida	Zm00042ab000480
2.0	Domain: Eukaryota	Zm00042ab000490
5.0	Land Plants (Embryophyta)	Zm00042ab000500
1.0	Cellular organisms	Zm00042ab000520
2.0	Domain: Eukaryota	Zm00042ab000530
14.0	Subspecies: Zea mays mays	Zm00042ab000540
6.0	Class: Magnoliopsida	Zm00042ab000550
14.0	Subspecies: Zea mays mays	Zm00042ab000560
2.0	Domain: Eukaryota	Zm00042ab000570
1.0	Cellular organisms	Zm00042ab000580
1.0	Cellular organisms	Zm00042ab000590
1.0	Cellular organisms	Zm00042ab000610
14.0	Subspecies: Zea mays mays	Zm00042ab000620
5.0	Land Plants (Embryophyta)	Zm00042ab000630
4.0	Phylum: Streptophyta	Zm00042ab000640
2.0	Domain: Eukaryota	Zm00042ab000650
1.0	Cellular organisms	Zm00042ab000660
3.0	Kingdom: Viridiplantae	Zm00042ab000670
5.0	Land Plants (Embryophyta)	Zm00042ab000680
2.0	Domain: Eukaryota	Zm00042ab000690
4.0	Phylum: Streptophyta	Zm00042ab000700
2.0	Domain: Eukaryota	Zm00042ab000710
5.0	Land Plants (Embryophyta)	Zm00042ab000720
9.0	Family: Poaceae	Zm00042ab000730
2.0	Domain: Eukaryota	Zm00042ab000740
4.0	Phylum: Streptophyta	Zm00042ab000750
2.0	Domain: Eukaryota	Zm00042ab000760
5.0	Land Plants (Embryophyta)	Zm00042ab000770
4.0	Phylum: Streptophyta	Zm00042ab000780
2.0	Domain: Eukaryota	Zm00042ab000790
1.0	Cellular organisms	Zm00042ab000800
1.0	Cellular organisms	Zm00042ab000810
1.0	Cellular organisms	Zm00042ab000820
1.0	Cellular organisms	Zm00042ab000830
5.0	Land Plants (Embryophyta)	Zm00042ab000840
6.0	Class: Magnoliopsida	Zm00042ab000850
2.0	Domain: Eukaryota	Zm00042ab000860
2.0	Domain: Eukaryota	Zm00042ab000870
2.0	Domain: Eukaryota	Zm00042ab000880
1.0	Cellular organisms	Zm00042ab000890
1.0	Cellular organisms	Zm00042ab000900
1.0	Cellular organisms	Zm00042ab000910
1.0	Cellular organisms	Zm00042ab000920
4.0	Phylum: Streptophyta	Zm00042ab000930
5.0	Land Plants (Embryophyta)	Zm00042ab000940
2.0	Domain: Eukaryota	Zm00042ab000950
14.0	Subspecies: Zea mays mays	Zm00042ab000960
5.0	Land Plants (Embryophyta)	Zm00042ab000970
6.0	Class: Magnoliopsida	Zm00042ab000980
11.0	Tribe: Andropogoneae	Zm00042ab000990
2.0	Domain: Eukaryota	Zm00042ab001000
2.0	Domain: Eukaryota	Zm00042ab001010
7.0	Monocots (Liliopsida)	Zm00042ab001020
4.0	Phylum: Streptophyta	Zm00042ab001030
4.0	Phylum: Streptophyta	Zm00042ab001040
2.0	Domain: Eukaryota	Zm00042ab001050
6.0	Class: Magnoliopsida	Zm00042ab001070
3.0	Kingdom: Viridiplantae	Zm00042ab001080
6.0	Class: Magnoliopsida	Zm00042ab001090
1.0	Cellular organisms	Zm00042ab001100
2.0	Domain: Eukaryota	Zm00042ab001120
2.0	Domain: Eukaryota	Zm00042ab001130
5.0	Land Plants (Embryophyta)	Zm00042ab001140
2.0	Domain: Eukaryota	Zm00042ab001150
3.0	Kingdom: Viridiplantae	Zm00042ab001160
5.0	Land Plants (Embryophyta)	Zm00042ab001170
1.0	Cellular organisms	Zm00042ab001180
6.0	Class: Magnoliopsida	Zm00042ab001190
3.0	Kingdom: Viridiplantae	Zm00042ab001200
2.0	Domain: Eukaryota	Zm00042ab001210
2.0	Domain: Eukaryota	Zm00042ab001220
1.0	Cellular organisms	Zm00042ab001230
1.0	Cellular organisms	Zm00042ab001240
1.0	Cellular organisms	Zm00042ab001260
4.0	Phylum: Streptophyta	Zm00042ab001270
1.0	Cellular organisms	Zm00042ab001290
11.0	Tribe: Andropogoneae	Zm00042ab001300
1.0	Cellular organisms	Zm00042ab001310
11.0	Tribe: Andropogoneae	Zm00042ab001320
2.0	Domain: Eukaryota	Zm00042ab001330
9.0	Family: Poaceae	Zm00042ab001340
5.0	Land Plants (Embryophyta)	Zm00042ab001350
3.0	Kingdom: Viridiplantae	Zm00042ab001370
1.0	Cellular organisms	Zm00042ab001380
5.0	Land Plants (Embryophyta)	Zm00042ab001390
4.0	Phylum: Streptophyta	Zm00042ab001400
1.0	Cellular organisms	Zm00042ab001410
4.0	Phylum: Streptophyta	Zm00042ab001420
1.0	Cellular organisms	Zm00042ab001430
4.0	Phylum: Streptophyta	Zm00042ab001440
7.0	Monocots (Liliopsida)	Zm00042ab001450
1.0	Cellular organisms	Zm00042ab001460
6.0	Class: Magnoliopsida	Zm00042ab001470
1.0	Cellular organisms	Zm00042ab001480
4.0	Phylum: Streptophyta	Zm00042ab001490
5.0	Land Plants (Embryophyta)	Zm00042ab001500
2.0	Domain: Eukaryota	Zm00042ab001510
1.0	Cellular organisms	Zm00042ab001520
2.0	Domain: Eukaryota	Zm00042ab001530
2.0	Domain: Eukaryota	Zm00042ab001540
1.0	Cellular organisms	Zm00042ab001550
1.0	Cellular organisms	Zm00042ab001570
2.0	Domain: Eukaryota	Zm00042ab001590
4.0	Phylum: Streptophyta	Zm00042ab001610
2.0	Domain: Eukaryota	Zm00042ab001620
12.0	Genus: Zea	Zm00042ab001630
5.0	Land Plants (Embryophyta)	Zm00042ab001650
2.0	Domain: Eukaryota	Zm00042ab001660
4.0	Phylum: Streptophyta	Zm00042ab001670
5.0	Land Plants (Embryophyta)	Zm00042ab001680
2.0	Domain: Eukaryota	Zm00042ab001690
1.0	Cellular organisms	Zm00042ab001700
2.0	Domain: Eukaryota	Zm00042ab001710
2.0	Domain: Eukaryota	Zm00042ab001720
5.0	Land Plants (Embryophyta)	Zm00042ab001730
3.0	Kingdom: Viridiplantae	Zm00042ab001740
3.0	Kingdom: Viridiplantae	Zm00042ab001750
9.0	Family: Poaceae	Zm00042ab001770
4.0	Phylum: Streptophyta	Zm00042ab001780
3.0	Kingdom: Viridiplantae	Zm00042ab001790
1.0	Cellular organisms	Zm00042ab001800
6.0	Class: Magnoliopsida	Zm00042ab001810
1.0	Cellular organisms	Zm00042ab001820
3.0	Kingdom: Viridiplantae	Zm00042ab001830
1.0	Cellular organisms	Zm00042ab001840
