LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00018ab000010
2.0	Domain: Eukaryota	Zm00018ab000020
7.0	Monocots (Liliopsida)	Zm00018ab000030
5.0	Land Plants (Embryophyta)	Zm00018ab000040
4.0	Phylum: Streptophyta	Zm00018ab000060
1.0	Cellular organisms	Zm00018ab000070
9.0	Family: Poaceae	Zm00018ab000080
7.0	Monocots (Liliopsida)	Zm00018ab000090
1.0	Cellular organisms	Zm00018ab000100
9.0	Family: Poaceae	Zm00018ab000130
1.0	Cellular organisms	Zm00018ab000160
5.0	Land Plants (Embryophyta)	Zm00018ab000180
2.0	Domain: Eukaryota	Zm00018ab000200
4.0	Phylum: Streptophyta	Zm00018ab000220
1.0	Cellular organisms	Zm00018ab000230
5.0	Land Plants (Embryophyta)	Zm00018ab000250
1.0	Cellular organisms	Zm00018ab000260
1.0	Cellular organisms	Zm00018ab000280
2.0	Domain: Eukaryota	Zm00018ab000290
2.0	Domain: Eukaryota	Zm00018ab000310
1.0	Cellular organisms	Zm00018ab000320
1.0	Cellular organisms	Zm00018ab000330
14.0	Subspecies: Zea mays mays	Zm00018ab000340
9.0	Family: Poaceae	Zm00018ab000350
5.0	Land Plants (Embryophyta)	Zm00018ab000370
9.0	Family: Poaceae	Zm00018ab000380
1.0	Cellular organisms	Zm00018ab000390
3.0	Kingdom: Viridiplantae	Zm00018ab000400
1.0	Cellular organisms	Zm00018ab000410
1.0	Cellular organisms	Zm00018ab000420
1.0	Cellular organisms	Zm00018ab000430
1.0	Cellular organisms	Zm00018ab000440
2.0	Domain: Eukaryota	Zm00018ab000450
3.0	Kingdom: Viridiplantae	Zm00018ab000460
7.0	Monocots (Liliopsida)	Zm00018ab000470
3.0	Kingdom: Viridiplantae	Zm00018ab000480
1.0	Cellular organisms	Zm00018ab000490
		Zm00018ab000500
1.0	Cellular organisms	Zm00018ab000510
4.0	Phylum: Streptophyta	Zm00018ab000520
3.0	Kingdom: Viridiplantae	Zm00018ab000540
5.0	Land Plants (Embryophyta)	Zm00018ab000550
3.0	Kingdom: Viridiplantae	Zm00018ab000560
5.0	Land Plants (Embryophyta)	Zm00018ab000570
6.0	Class: Magnoliopsida	Zm00018ab000580
14.0	Subspecies: Zea mays mays	Zm00018ab000590
5.0	Land Plants (Embryophyta)	Zm00018ab000600
5.0	Land Plants (Embryophyta)	Zm00018ab000610
1.0	Cellular organisms	Zm00018ab000620
2.0	Domain: Eukaryota	Zm00018ab000630
5.0	Land Plants (Embryophyta)	Zm00018ab000640
1.0	Cellular organisms	Zm00018ab000650
2.0	Domain: Eukaryota	Zm00018ab000660
6.0	Class: Magnoliopsida	Zm00018ab000680
2.0	Domain: Eukaryota	Zm00018ab000690
3.0	Kingdom: Viridiplantae	Zm00018ab000700
1.0	Cellular organisms	Zm00018ab000710
6.0	Class: Magnoliopsida	Zm00018ab000720
4.0	Phylum: Streptophyta	Zm00018ab000730
2.0	Domain: Eukaryota	Zm00018ab000740
1.0	Cellular organisms	Zm00018ab000750
3.0	Kingdom: Viridiplantae	Zm00018ab000760
3.0	Kingdom: Viridiplantae	Zm00018ab000770
5.0	Land Plants (Embryophyta)	Zm00018ab000780
9.0	Family: Poaceae	Zm00018ab000790
2.0	Domain: Eukaryota	Zm00018ab000800
4.0	Phylum: Streptophyta	Zm00018ab000810
2.0	Domain: Eukaryota	Zm00018ab000820
5.0	Land Plants (Embryophyta)	Zm00018ab000830
4.0	Phylum: Streptophyta	Zm00018ab000840
2.0	Domain: Eukaryota	Zm00018ab000850
1.0	Cellular organisms	Zm00018ab000860
1.0	Cellular organisms	Zm00018ab000870
6.0	Class: Magnoliopsida	Zm00018ab000880
1.0	Cellular organisms	Zm00018ab000890
5.0	Land Plants (Embryophyta)	Zm00018ab000900
6.0	Class: Magnoliopsida	Zm00018ab000910
2.0	Domain: Eukaryota	Zm00018ab000920
2.0	Domain: Eukaryota	Zm00018ab000930
2.0	Domain: Eukaryota	Zm00018ab000940
