LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00031ab000010
2.0	Domain: Eukaryota	Zm00031ab000020
5.0	Land Plants (Embryophyta)	Zm00031ab000030
7.0	Monocots (Liliopsida)	Zm00031ab000040
2.0	Domain: Eukaryota	Zm00031ab000050
11.0	Tribe: Andropogoneae	Zm00031ab000060
4.0	Phylum: Streptophyta	Zm00031ab000070
1.0	Cellular organisms	Zm00031ab000080
1.0	Cellular organisms	Zm00031ab000100
5.0	Land Plants (Embryophyta)	Zm00031ab000110
11.0	Tribe: Andropogoneae	Zm00031ab000120
9.0	Family: Poaceae	Zm00031ab000130
14.0	Subspecies: Zea mays mays	Zm00031ab000150
5.0	Land Plants (Embryophyta)	Zm00031ab000160
10.0	Subfamily: Panicoideae	Zm00031ab000170
1.0	Cellular organisms	Zm00031ab000180
12.0	Genus: Zea	Zm00031ab000210
1.0	Cellular organisms	Zm00031ab000220
4.0	Phylum: Streptophyta	Zm00031ab000230
5.0	Land Plants (Embryophyta)	Zm00031ab000240
1.0	Cellular organisms	Zm00031ab000250
4.0	Phylum: Streptophyta	Zm00031ab000260
6.0	Class: Magnoliopsida	Zm00031ab000270
5.0	Land Plants (Embryophyta)	Zm00031ab000280
4.0	Phylum: Streptophyta	Zm00031ab000290
5.0	Land Plants (Embryophyta)	Zm00031ab000300
1.0	Cellular organisms	Zm00031ab000310
14.0	Subspecies: Zea mays mays	Zm00031ab000320
14.0	Subspecies: Zea mays mays	Zm00031ab000330
1.0	Cellular organisms	Zm00031ab000340
2.0	Domain: Eukaryota	Zm00031ab000350
14.0	Subspecies: Zea mays mays	Zm00031ab000360
2.0	Domain: Eukaryota	Zm00031ab000370
1.0	Cellular organisms	Zm00031ab000380
9.0	Family: Poaceae	Zm00031ab000390
14.0	Subspecies: Zea mays mays	Zm00031ab000400
1.0	Cellular organisms	Zm00031ab000420
6.0	Class: Magnoliopsida	Zm00031ab000430
1.0	Cellular organisms	Zm00031ab000440
3.0	Kingdom: Viridiplantae	Zm00031ab000450
5.0	Land Plants (Embryophyta)	Zm00031ab000460
5.0	Land Plants (Embryophyta)	Zm00031ab000470
2.0	Domain: Eukaryota	Zm00031ab000480
3.0	Kingdom: Viridiplantae	Zm00031ab000490
3.0	Kingdom: Viridiplantae	Zm00031ab000500
3.0	Kingdom: Viridiplantae	Zm00031ab000510
1.0	Cellular organisms	Zm00031ab000520
1.0	Cellular organisms	Zm00031ab000530
4.0	Phylum: Streptophyta	Zm00031ab000540
5.0	Land Plants (Embryophyta)	Zm00031ab000550
6.0	Class: Magnoliopsida	Zm00031ab000560
5.0	Land Plants (Embryophyta)	Zm00031ab000580
5.0	Land Plants (Embryophyta)	Zm00031ab000590
1.0	Cellular organisms	Zm00031ab000600
2.0	Domain: Eukaryota	Zm00031ab000610
5.0	Land Plants (Embryophyta)	Zm00031ab000620
1.0	Cellular organisms	Zm00031ab000630
2.0	Domain: Eukaryota	Zm00031ab000640
14.0	Subspecies: Zea mays mays	Zm00031ab000660
6.0	Class: Magnoliopsida	Zm00031ab000680
2.0	Domain: Eukaryota	Zm00031ab000690
1.0	Cellular organisms	Zm00031ab000700
1.0	Cellular organisms	Zm00031ab000710
1.0	Cellular organisms	Zm00031ab000720
4.0	Phylum: Streptophyta	Zm00031ab000730
2.0	Domain: Eukaryota	Zm00031ab000740
1.0	Cellular organisms	Zm00031ab000750
2.0	Domain: Eukaryota	Zm00031ab000760
3.0	Kingdom: Viridiplantae	Zm00031ab000770
2.0	Domain: Eukaryota	Zm00031ab000780
4.0	Phylum: Streptophyta	Zm00031ab000790
2.0	Domain: Eukaryota	Zm00031ab000800
5.0	Land Plants (Embryophyta)	Zm00031ab000810
4.0	Phylum: Streptophyta	Zm00031ab000820
2.0	Domain: Eukaryota	Zm00031ab000830
1.0	Cellular organisms	Zm00031ab000840
1.0	Cellular organisms	Zm00031ab000850
1.0	Cellular organisms	Zm00031ab000860
1.0	Cellular organisms	Zm00031ab000870
5.0	Land Plants (Embryophyta)	Zm00031ab000880
6.0	Class: Magnoliopsida	Zm00031ab000890
