SCORE	NAME	GENE_MODEL
0.77173	True	Zm00041ab000010
0.93258	True	Zm00041ab000020
0.99705	True	Zm00041ab000030
0.09126	False	Zm00041ab000040
0.99903	True	Zm00041ab000060
0.99939	True	Zm00041ab000070
0.85736	True	Zm00041ab000080
0.9992	True	Zm00041ab000100
0.93962	True	Zm00041ab000110
0.53448	True	Zm00041ab000130
0.25475	False	Zm00041ab000150
0.98205	True	Zm00041ab000160
0.29267	False	Zm00041ab000200
0.99859	True	Zm00041ab000210
0.91441	True	Zm00041ab000220
0.98348	True	Zm00041ab000230
0.99158	True	Zm00041ab000240
0.99626	True	Zm00041ab000250
0.15808	False	Zm00041ab000270
0.9948	True	Zm00041ab000280
0.9194	True	Zm00041ab000290
0.99941	True	Zm00041ab000300
0.99078	True	Zm00041ab000310
0.99844	True	Zm00041ab000320
0.2563	False	Zm00041ab000330
0.06309	False	Zm00041ab000340
0.99625	True	Zm00041ab000350
0.60514	True	Zm00041ab000360
0.96287	True	Zm00041ab000370
0.99469	True	Zm00041ab000380
0.83964	True	Zm00041ab000390
0.49137	False	Zm00041ab000400
0.52503	True	Zm00041ab000410
0.99121	True	Zm00041ab000420
0.99719	True	Zm00041ab000430
0.03327	False	Zm00041ab000440
0.02279	False	Zm00041ab000450
0.99949	True	Zm00041ab000460
0.97952	True	Zm00041ab000480
0.87004	True	Zm00041ab000490
0.53106	True	Zm00041ab000500
0.99883	True	Zm00041ab000510
0.17017	False	Zm00041ab000520
0.64215	True	Zm00041ab000530
0.94239	True	Zm00041ab000540
0.09703	False	Zm00041ab000550
0.10026	False	Zm00041ab000560
0.97111	True	Zm00041ab000570
0.00196	False	Zm00041ab000580
0.99908	True	Zm00041ab000590
0.9699	True	Zm00041ab000600
0.99365	True	Zm00041ab000610
0.98418	True	Zm00041ab000620
0.97379	True	Zm00041ab000630
0.85256	True	Zm00041ab000640
0.97455	True	Zm00041ab000650
0.99972	True	Zm00041ab000680
0.99899	True	Zm00041ab000690
0.94898	True	Zm00041ab000700
0.00587	False	Zm00041ab000710
0.94291	True	Zm00041ab000720
0.99661	True	Zm00041ab000730
0.99919	True	Zm00041ab000740
0.99052	True	Zm00041ab000750
0.97254	True	Zm00041ab000760
0.99911	True	Zm00041ab000770
0.99589	True	Zm00041ab000780
0.88451	True	Zm00041ab000790
0.6785	True	Zm00041ab000800
0.90392	True	Zm00041ab000810
0.9959	True	Zm00041ab000820
0.9987	True	Zm00041ab000830
0.99994	True	Zm00041ab000840
0.98771	True	Zm00041ab000850
0.99944	True	Zm00041ab000860
0.98806	True	Zm00041ab000870
0.99655	True	Zm00041ab000880
