LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00020ab237010;Zm00020ab293230;Zm00020ab237010;Zm00020ab190740;Zm00020ab190740;Zm00020ab094390;Zm00020ab298930;Zm00020ab296810;Zm00020ab255420;Zm00020ab255420;Zm00020ab111530;Zm00020ab201510;Zm00020ab201510;Zm00020ab201510;Zm00020ab365200;Zm00020ab057230;Zm00020ab017330;Zm00020ab077010;Zm00020ab077010;Zm00020ab158580;Zm00020ab158580;Zm00020ab158580;Zm00020ab158580;Zm00020ab158580;Zm00020ab148020;Zm00020ab148020;Zm00020ab148020;Zm00020ab148020;Zm00020ab148020;Zm00020ab148020;Zm00020ab205340;Zm00020ab205340;Zm00020ab205340;Zm00020ab205340;Zm00020ab288460;Zm00020ab413890;Zm00020ab413890;Zm00020ab111540
IPR000008	C2 domain	Zm00020ab245580;Zm00020ab245580;Zm00020ab245580;Zm00020ab245580;Zm00020ab341850;Zm00020ab019210;Zm00020ab019210;Zm00020ab019210;Zm00020ab019210;Zm00020ab019210;Zm00020ab250000;Zm00020ab189060;Zm00020ab189060;Zm00020ab189060;Zm00020ab191470;Zm00020ab191470;Zm00020ab341850;Zm00020ab245580;Zm00020ab245580;Zm00020ab256480;Zm00020ab019210;Zm00020ab341850;Zm00020ab256480;Zm00020ab191470;Zm00020ab191470;Zm00020ab256480;Zm00020ab019210;Zm00020ab256480;Zm00020ab191470;Zm00020ab341850;Zm00020ab341850;Zm00020ab326300;Zm00020ab019210;Zm00020ab019210;Zm00020ab250000;Zm00020ab341850;Zm00020ab341850;Zm00020ab250000;Zm00020ab191470;Zm00020ab285270;Zm00020ab285270;Zm00020ab441410;Zm00020ab289480;Zm00020ab158260;Zm00020ab441410;Zm00020ab406720;Zm00020ab069260;Zm00020ab069260;Zm00020ab097990;Zm00020ab097990;Zm00020ab097990;Zm00020ab097990;Zm00020ab104520;Zm00020ab110830;Zm00020ab110830;Zm00020ab341650;Zm00020ab341650;Zm00020ab441410;Zm00020ab406720;Zm00020ab406720;Zm00020ab105440;Zm00020ab105440;Zm00020ab105440;Zm00020ab105440;Zm00020ab406720;Zm00020ab346590;Zm00020ab105440;Zm00020ab105440;Zm00020ab105440;Zm00020ab001440;Zm00020ab110830;Zm00020ab110830;Zm00020ab232980;Zm00020ab193950;Zm00020ab080930;Zm00020ab080930;Zm00020ab080930;Zm00020ab312270;Zm00020ab204120;Zm00020ab204120;Zm00020ab204120;Zm00020ab204120;Zm00020ab204120;Zm00020ab204120;Zm00020ab204120;Zm00020ab204120;Zm00020ab239090;Zm00020ab239090;Zm00020ab024900;Zm00020ab024900;Zm00020ab024900;Zm00020ab024900;Zm00020ab231830;Zm00020ab312270;Zm00020ab312270;Zm00020ab090290;Zm00020ab312270;Zm00020ab024900;Zm00020ab024900;Zm00020ab304720;Zm00020ab304720;Zm00020ab304720;Zm00020ab304720;Zm00020ab204120;Zm00020ab231830;Zm00020ab239090;Zm00020ab239090;Zm00020ab312270;Zm00020ab312270;Zm00020ab312270;Zm00020ab312270;Zm00020ab391730;Zm00020ab228220;Zm00020ab228220;Zm00020ab393660;Zm00020ab393660;Zm00020ab228220;Zm00020ab228220;Zm00020ab309640;Zm00020ab399260;Zm00020ab364550;Zm00020ab123440;Zm00020ab393660;Zm00020ab393660;Zm00020ab123440;Zm00020ab123440;Zm00020ab391730;Zm00020ab293520;Zm00020ab293520;Zm00020ab293520;Zm00020ab293520;Zm00020ab293520;Zm00020ab293520;Zm00020ab206060;Zm00020ab013990;Zm00020ab080760;Zm00020ab080760;Zm00020ab080760;Zm00020ab080760;Zm00020ab393660;Zm00020ab393660;Zm00020ab393660;Zm00020ab393660;Zm00020ab393660;Zm00020ab393660;Zm00020ab123440;Zm00020ab123440;Zm00020ab123440;Zm00020ab123440;Zm00020ab123440;Zm00020ab123440;Zm00020ab393660;Zm00020ab393660;Zm00020ab393660;Zm00020ab293520;Zm00020ab309640;Zm00020ab123440;Zm00020ab309640;Zm00020ab309640;Zm00020ab302650;Zm00020ab392720;Zm00020ab323270;Zm00020ab392720;Zm00020ab367990;Zm00020ab193080;Zm00020ab193080;Zm00020ab367990;Zm00020ab104380;Zm00020ab104380;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab280040;Zm00020ab392720;Zm00020ab367990;Zm00020ab104380;Zm00020ab104380;Zm00020ab323270;Zm00020ab104380;Zm00020ab104380;Zm00020ab193080;Zm00020ab104380;Zm00020ab104380;Zm00020ab367990;Zm00020ab367990;Zm00020ab287130;Zm00020ab367590;Zm00020ab143410;Zm00020ab368700;Zm00020ab368700;Zm00020ab076610;Zm00020ab149610;Zm00020ab399860;Zm00020ab441490;Zm00020ab441490;Zm00020ab441490;Zm00020ab441490;Zm00020ab399860;Zm00020ab076610;Zm00020ab353540;Zm00020ab353540;Zm00020ab353540;Zm00020ab353540;Zm00020ab353540;Zm00020ab353540;Zm00020ab096700;Zm00020ab076610;Zm00020ab100440;Zm00020ab077430;Zm00020ab077430;Zm00020ab077430;Zm00020ab112650;Zm00020ab034270;Zm00020ab034270;Zm00020ab392050;Zm00020ab392050;Zm00020ab372330;Zm00020ab011490;Zm00020ab112650;Zm00020ab392050;Zm00020ab392050;Zm00020ab392050;Zm00020ab392050;Zm00020ab112650;Zm00020ab066530;Zm00020ab066530;Zm00020ab066530;Zm00020ab066530;Zm00020ab066530;Zm00020ab066530;Zm00020ab066530;Zm00020ab066530;Zm00020ab231840;Zm00020ab362260;Zm00020ab362260;Zm00020ab362260;Zm00020ab362260;Zm00020ab034270;Zm00020ab034270;Zm00020ab392050;Zm00020ab392050;Zm00020ab077430;Zm00020ab077430;Zm00020ab077430;Zm00020ab077430;Zm00020ab372330;Zm00020ab112650;Zm00020ab008820;Zm00020ab008820;Zm00020ab008820;Zm00020ab008820;Zm00020ab008820;Zm00020ab231840;Zm00020ab290970;Zm00020ab392050;Zm00020ab386780;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab325970;Zm00020ab034270;Zm00020ab034270;Zm00020ab034270;Zm00020ab290970;Zm00020ab289360;Zm00020ab289360;Zm00020ab100440;Zm00020ab112650;Zm00020ab112650;Zm00020ab302860;Zm00020ab330230;Zm00020ab330230;Zm00020ab330230;Zm00020ab302860;Zm00020ab280390;Zm00020ab206200;Zm00020ab302860;Zm00020ab039410;Zm00020ab021570;Zm00020ab377590;Zm00020ab103440;Zm00020ab341450;Zm00020ab206200;Zm00020ab206200;Zm00020ab103440;Zm00020ab021570;Zm00020ab161260;Zm00020ab206200;Zm00020ab021570;Zm00020ab161260;Zm00020ab280080;Zm00020ab280080;Zm00020ab280080;Zm00020ab336380;Zm00020ab336380;Zm00020ab397880;Zm00020ab092190;Zm00020ab092190;Zm00020ab106160;Zm00020ab433600;Zm00020ab433600;Zm00020ab221310;Zm00020ab221310;Zm00020ab221310;Zm00020ab221310;Zm00020ab221310;Zm00020ab221310;Zm00020ab221310;Zm00020ab221310;Zm00020ab336380;Zm00020ab336380;Zm00020ab433600;Zm00020ab092190;Zm00020ab092190;Zm00020ab092190;Zm00020ab336380;Zm00020ab336380;Zm00020ab108570;Zm00020ab108570;Zm00020ab108570;Zm00020ab108570;Zm00020ab326570;Zm00020ab187990;Zm00020ab239180;Zm00020ab239180;Zm00020ab280590;Zm00020ab126440;Zm00020ab126440;Zm00020ab126440;Zm00020ab200680;Zm00020ab262270;Zm00020ab262270;Zm00020ab262270;Zm00020ab262270;Zm00020ab239180;Zm00020ab239180;Zm00020ab239180;Zm00020ab336050;Zm00020ab363520;Zm00020ab334690;Zm00020ab200680
IPR000010	Cystatin domain	Zm00020ab170600;Zm00020ab292010;Zm00020ab337520;Zm00020ab292010;Zm00020ab337520;Zm00020ab374380;Zm00020ab374380;Zm00020ab354330;Zm00020ab354330;Zm00020ab369930;Zm00020ab407950;Zm00020ab374400;Zm00020ab407940;Zm00020ab021180;Zm00020ab021180;Zm00020ab021180;Zm00020ab170590;Zm00020ab151840;Zm00020ab151840;Zm00020ab374390;Zm00020ab021150;Zm00020ab170570;Zm00020ab170560;Zm00020ab170580;Zm00020ab006110;Zm00020ab295490;Zm00020ab407960;Zm00020ab295490;Zm00020ab170610;Zm00020ab021170;Zm00020ab006120
IPR000014	PAS domain	Zm00020ab235180;Zm00020ab122120;Zm00020ab122120;Zm00020ab122120;Zm00020ab122120;Zm00020ab122120;Zm00020ab122120;Zm00020ab122120;Zm00020ab122120;Zm00020ab277510;Zm00020ab277510;Zm00020ab122120;Zm00020ab122120;Zm00020ab122120;Zm00020ab122120;Zm00020ab043430;Zm00020ab043430;Zm00020ab043430;Zm00020ab043430;Zm00020ab043430;Zm00020ab043430;Zm00020ab043430;Zm00020ab043430;Zm00020ab228880;Zm00020ab204430;Zm00020ab114490;Zm00020ab166770;Zm00020ab166770;Zm00020ab166770;Zm00020ab164690;Zm00020ab164690
IPR000023	Phosphofructokinase domain	Zm00020ab297600;Zm00020ab191230;Zm00020ab191230;Zm00020ab288520;Zm00020ab387650;Zm00020ab387650;Zm00020ab387650;Zm00020ab100290;Zm00020ab049000;Zm00020ab100290;Zm00020ab100290;Zm00020ab100290;Zm00020ab100290;Zm00020ab432060;Zm00020ab313540;Zm00020ab155330;Zm00020ab382660;Zm00020ab155330;Zm00020ab043750;Zm00020ab043750;Zm00020ab382660;Zm00020ab376900;Zm00020ab342350;Zm00020ab376900;Zm00020ab376900;Zm00020ab376900;Zm00020ab121880;Zm00020ab342350;Zm00020ab284330;Zm00020ab284330;Zm00020ab354970;Zm00020ab121880;Zm00020ab255960;Zm00020ab255960;Zm00020ab255960;Zm00020ab255960;Zm00020ab275240;Zm00020ab041670;Zm00020ab275240;Zm00020ab275240;Zm00020ab041670
IPR000031	PurE domain	Zm00020ab121090
IPR000043	Adenosylhomocysteinase-like	Zm00020ab171860;Zm00020ab171860;Zm00020ab171860
IPR000048	IQ motif, EF-hand binding site	Zm00020ab377340;Zm00020ab377340;Zm00020ab377340;Zm00020ab393860;Zm00020ab286040;Zm00020ab286040;Zm00020ab144380;Zm00020ab144380;Zm00020ab162250;Zm00020ab162250;Zm00020ab162250;Zm00020ab162250;Zm00020ab162250;Zm00020ab342390;Zm00020ab342390;Zm00020ab301870;Zm00020ab301870;Zm00020ab342390;Zm00020ab342390;Zm00020ab370110;Zm00020ab370110;Zm00020ab178500;Zm00020ab326170;Zm00020ab326170;Zm00020ab326170;Zm00020ab206720;Zm00020ab371020;Zm00020ab326170;Zm00020ab326170;Zm00020ab045840;Zm00020ab045840;Zm00020ab045840;Zm00020ab162250;Zm00020ab162250;Zm00020ab162250;Zm00020ab162250;Zm00020ab162250;Zm00020ab051410;Zm00020ab051410;Zm00020ab326170;Zm00020ab326170;Zm00020ab326170;Zm00020ab063030;Zm00020ab063030;Zm00020ab361390;Zm00020ab361390;Zm00020ab377340;Zm00020ab377340;Zm00020ab377340;Zm00020ab144380;Zm00020ab144380;Zm00020ab045840;Zm00020ab045840;Zm00020ab045840;Zm00020ab233190;Zm00020ab233190;Zm00020ab233190;Zm00020ab268480;Zm00020ab268480;Zm00020ab099200;Zm00020ab099200;Zm00020ab406600;Zm00020ab406600;Zm00020ab163110;Zm00020ab102870;Zm00020ab102870;Zm00020ab313230;Zm00020ab313230;Zm00020ab440450;Zm00020ab354870;Zm00020ab354870;Zm00020ab413650;Zm00020ab413650;Zm00020ab361740;Zm00020ab361740;Zm00020ab107530;Zm00020ab419080;Zm00020ab440450;Zm00020ab152280;Zm00020ab152280;Zm00020ab440450;Zm00020ab044120;Zm00020ab044120;Zm00020ab354870;Zm00020ab354870;Zm00020ab335960;Zm00020ab335960;Zm00020ab318800;Zm00020ab318800;Zm00020ab337060;Zm00020ab337060;Zm00020ab027170;Zm00020ab027170;Zm00020ab240330;Zm00020ab027930;Zm00020ab027930;Zm00020ab048430;Zm00020ab048430;Zm00020ab155070;Zm00020ab155070;Zm00020ab155070;Zm00020ab155070;Zm00020ab155070;Zm00020ab155070;Zm00020ab294910;Zm00020ab294910;Zm00020ab027930;Zm00020ab027930;Zm00020ab370100;Zm00020ab370100;Zm00020ab233160;Zm00020ab233160;Zm00020ab233160;Zm00020ab088960;Zm00020ab088960;Zm00020ab316660;Zm00020ab316660;Zm00020ab273160;Zm00020ab126750;Zm00020ab126750;Zm00020ab027930;Zm00020ab027930;Zm00020ab027930;Zm00020ab027930;Zm00020ab155070;Zm00020ab155070;Zm00020ab027930;Zm00020ab027930;Zm00020ab217960;Zm00020ab217960;Zm00020ab089750;Zm00020ab089750;Zm00020ab155070;Zm00020ab155070;Zm00020ab155070;Zm00020ab155070;Zm00020ab088960;Zm00020ab088960;Zm00020ab155070;Zm00020ab155070;Zm00020ab438490;Zm00020ab438490;Zm00020ab217750;Zm00020ab217750;Zm00020ab358660;Zm00020ab358660;Zm00020ab360230;Zm00020ab360230;Zm00020ab388390;Zm00020ab388390;Zm00020ab408500;Zm00020ab160080;Zm00020ab160080;Zm00020ab327270;Zm00020ab327270;Zm00020ab327270;Zm00020ab327270;Zm00020ab327270;Zm00020ab327270;Zm00020ab327270;Zm00020ab121640;Zm00020ab409400;Zm00020ab409400;Zm00020ab409400;Zm00020ab409400;Zm00020ab409400;Zm00020ab409400;Zm00020ab376910;Zm00020ab376910;Zm00020ab195560;Zm00020ab195560;Zm00020ab195560;Zm00020ab195560;Zm00020ab195560;Zm00020ab121640;Zm00020ab121640;Zm00020ab092170;Zm00020ab092170;Zm00020ab305520;Zm00020ab305520;Zm00020ab246630;Zm00020ab156770;Zm00020ab156770;Zm00020ab294040;Zm00020ab428140;Zm00020ab428140;Zm00020ab297740;Zm00020ab297740;Zm00020ab297740;Zm00020ab297740;Zm00020ab368430;Zm00020ab368430;Zm00020ab175630;Zm00020ab175630;Zm00020ab175630;Zm00020ab175630;Zm00020ab433280;Zm00020ab433280;Zm00020ab294040;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab074480;Zm00020ab088000;Zm00020ab088000;Zm00020ab074480;Zm00020ab032420;Zm00020ab182920;Zm00020ab182920;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab262340;Zm00020ab032420;Zm00020ab032420;Zm00020ab032420;Zm00020ab172830;Zm00020ab172830;Zm00020ab428140;Zm00020ab428140;Zm00020ab298490;Zm00020ab298490;Zm00020ab042100;Zm00020ab197220;Zm00020ab197220;Zm00020ab365140;Zm00020ab365140;Zm00020ab428350;Zm00020ab428350;Zm00020ab427860;Zm00020ab427860;Zm00020ab003860;Zm00020ab003860;Zm00020ab397760;Zm00020ab397760;Zm00020ab328770;Zm00020ab012920;Zm00020ab012920;Zm00020ab397760;Zm00020ab397760;Zm00020ab397760;Zm00020ab397760;Zm00020ab366210;Zm00020ab366210;Zm00020ab028460;Zm00020ab028460;Zm00020ab249010;Zm00020ab249010;Zm00020ab397760;Zm00020ab397760;Zm00020ab160110;Zm00020ab316480;Zm00020ab376890;Zm00020ab376890;Zm00020ab051630;Zm00020ab051630;Zm00020ab397170;Zm00020ab397170;Zm00020ab136250;Zm00020ab050950;Zm00020ab050950;Zm00020ab050950;Zm00020ab050950;Zm00020ab344900;Zm00020ab344900;Zm00020ab282430;Zm00020ab282430;Zm00020ab038260;Zm00020ab038260;Zm00020ab269620;Zm00020ab269620;Zm00020ab269620;Zm00020ab269620;Zm00020ab105150;Zm00020ab105150;Zm00020ab390160;Zm00020ab390160;Zm00020ab345670;Zm00020ab345670;Zm00020ab121940;Zm00020ab121940;Zm00020ab171890;Zm00020ab121940;Zm00020ab121940;Zm00020ab017550;Zm00020ab349460;Zm00020ab349460;Zm00020ab150200;Zm00020ab332200;Zm00020ab332200;Zm00020ab332200;Zm00020ab332200;Zm00020ab086310;Zm00020ab086310;Zm00020ab111320;Zm00020ab111320;Zm00020ab332200;Zm00020ab332200;Zm00020ab136870;Zm00020ab136870;Zm00020ab086310;Zm00020ab086310;Zm00020ab382290;Zm00020ab382290;Zm00020ab185380;Zm00020ab185380;Zm00020ab232560;Zm00020ab232560;Zm00020ab150200;Zm00020ab150200;Zm00020ab150200;Zm00020ab150200;Zm00020ab150200;Zm00020ab150200;Zm00020ab287730;Zm00020ab287730;Zm00020ab226740;Zm00020ab226740;Zm00020ab011830;Zm00020ab011830;Zm00020ab226740;Zm00020ab226740;Zm00020ab298240;Zm00020ab298240;Zm00020ab298240;Zm00020ab298240;Zm00020ab298240;Zm00020ab298240;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab370780;Zm00020ab298240;Zm00020ab298240;Zm00020ab091730;Zm00020ab171070;Zm00020ab171070;Zm00020ab007420;Zm00020ab007420;Zm00020ab269090;Zm00020ab269090;Zm00020ab088230;Zm00020ab088230;Zm00020ab007420;Zm00020ab007420;Zm00020ab361960;Zm00020ab361960;Zm00020ab196940;Zm00020ab196940;Zm00020ab226740;Zm00020ab226740;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab226740;Zm00020ab226740;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab435970;Zm00020ab231440;Zm00020ab231440;Zm00020ab060540;Zm00020ab060540;Zm00020ab060540;Zm00020ab060540;Zm00020ab060540;Zm00020ab060540;Zm00020ab361960;Zm00020ab361960;Zm00020ab007420;Zm00020ab007420;Zm00020ab370780;Zm00020ab309880;Zm00020ab309880;Zm00020ab309880;Zm00020ab309880;Zm00020ab309880;Zm00020ab361960;Zm00020ab361960;Zm00020ab370780;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab065940;Zm00020ab007420;Zm00020ab007420;Zm00020ab361960;Zm00020ab361960;Zm00020ab361960;Zm00020ab361960;Zm00020ab007420;Zm00020ab007420;Zm00020ab239560;Zm00020ab239560;Zm00020ab022990;Zm00020ab022990;Zm00020ab226740;Zm00020ab226740;Zm00020ab226740;Zm00020ab226740;Zm00020ab060540;Zm00020ab060540;Zm00020ab087810;Zm00020ab087810;Zm00020ab364520;Zm00020ab364520;Zm00020ab216370;Zm00020ab216370;Zm00020ab068100;Zm00020ab216370;Zm00020ab216370;Zm00020ab424420;Zm00020ab424420;Zm00020ab160100;Zm00020ab160100;Zm00020ab383850;Zm00020ab156450;Zm00020ab156450;Zm00020ab216370;Zm00020ab216370;Zm00020ab216370;Zm00020ab216370;Zm00020ab224000;Zm00020ab224000;Zm00020ab224000;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab098770;Zm00020ab098770;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab156450;Zm00020ab216370;Zm00020ab216370;Zm00020ab108090;Zm00020ab108090;Zm00020ab216370;Zm00020ab216370;Zm00020ab141920;Zm00020ab141920
IPR000054	Ribosomal protein L31e	Zm00020ab387480;Zm00020ab035380;Zm00020ab256160;Zm00020ab191580
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00020ab408200;Zm00020ab408200;Zm00020ab408200;Zm00020ab005860;Zm00020ab005860;Zm00020ab005860;Zm00020ab005860;Zm00020ab005860;Zm00020ab322380;Zm00020ab322380
