LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00035ab303980;Zm00035ab303980;Zm00035ab194390;Zm00035ab151190;Zm00035ab151190;Zm00035ab151190;Zm00035ab151190;Zm00035ab241740;Zm00035ab241740;Zm00035ab241740;Zm00035ab381140;Zm00035ab373930;Zm00035ab373930;Zm00035ab373930;Zm00035ab127280;Zm00035ab127280;Zm00035ab300320;Zm00035ab300320;Zm00035ab300320;Zm00035ab300320;Zm00035ab205220;Zm00035ab205220;Zm00035ab205220;Zm00035ab205220;Zm00035ab261380;Zm00035ab078070;Zm00035ab078070;Zm00035ab113830;Zm00035ab162150;Zm00035ab162150;Zm00035ab422940;Zm00035ab422940;Zm00035ab422940;Zm00035ab422940;Zm00035ab422940;Zm00035ab422940;Zm00035ab209070;Zm00035ab209070;Zm00035ab209070;Zm00035ab209070;Zm00035ab017530;Zm00035ab017530;Zm00035ab017530
IPR000008	C2 domain	Zm00035ab192650;Zm00035ab192650;Zm00035ab192650;Zm00035ab135940;Zm00035ab395130;Zm00035ab395130;Zm00035ab250830;Zm00035ab250830;Zm00035ab250830;Zm00035ab250830;Zm00035ab250830;Zm00035ab250830;Zm00035ab114940;Zm00035ab250830;Zm00035ab250830;Zm00035ab250830;Zm00035ab372220;Zm00035ab250830;Zm00035ab250830;Zm00035ab082240;Zm00035ab082240;Zm00035ab082240;Zm00035ab013960;Zm00035ab243940;Zm00035ab243940;Zm00035ab443190;Zm00035ab443190;Zm00035ab243940;Zm00035ab243940;Zm00035ab243940;Zm00035ab243940;Zm00035ab377280;Zm00035ab443190;Zm00035ab255550;Zm00035ab070150;Zm00035ab290310;Zm00035ab070150;Zm00035ab070150;Zm00035ab451350;Zm00035ab451350;Zm00035ab349960;Zm00035ab349960;Zm00035ab349960;Zm00035ab294070;Zm00035ab294070;Zm00035ab294070;Zm00035ab401610;Zm00035ab401610;Zm00035ab310060;Zm00035ab310060;Zm00035ab244030;Zm00035ab286250;Zm00035ab286250;Zm00035ab286250;Zm00035ab286250;Zm00035ab286250;Zm00035ab286250;Zm00035ab286250;Zm00035ab286250;Zm00035ab286250;Zm00035ab269010;Zm00035ab269010;Zm00035ab269010;Zm00035ab269010;Zm00035ab310060;Zm00035ab244030;Zm00035ab244030;Zm00035ab244030;Zm00035ab106480;Zm00035ab106480;Zm00035ab244030;Zm00035ab106480;Zm00035ab106480;Zm00035ab415860;Zm00035ab415860;Zm00035ab415860;Zm00035ab415860;Zm00035ab126310;Zm00035ab286920;Zm00035ab126310;Zm00035ab126310;Zm00035ab126310;Zm00035ab126310;Zm00035ab126310;Zm00035ab126310;Zm00035ab011440;Zm00035ab319470;Zm00035ab319470;Zm00035ab309820;Zm00035ab126310;Zm00035ab126310;Zm00035ab126310;Zm00035ab291910;Zm00035ab291910;Zm00035ab286720;Zm00035ab286720;Zm00035ab286720;Zm00035ab108420;Zm00035ab376300;Zm00035ab286990;Zm00035ab106660;Zm00035ab338990;Zm00035ab338990;Zm00035ab338990;Zm00035ab099610;Zm00035ab099610;Zm00035ab099610;Zm00035ab099610;Zm00035ab312060;Zm00035ab312060;Zm00035ab312060;Zm00035ab312060;Zm00035ab343490;Zm00035ab164640;Zm00035ab300590;Zm00035ab300590;Zm00035ab300590;Zm00035ab386400;Zm00035ab296300;Zm00035ab338350;Zm00035ab334730;Zm00035ab334730;Zm00035ab334730;Zm00035ab334730;Zm00035ab098500;Zm00035ab008780;Zm00035ab008780;Zm00035ab008780;Zm00035ab110940;Zm00035ab110940;Zm00035ab110940;Zm00035ab236510;Zm00035ab236510;Zm00035ab225410;Zm00035ab225410;Zm00035ab225410;Zm00035ab225410;Zm00035ab407110;Zm00035ab195180;Zm00035ab455690;Zm00035ab455690;Zm00035ab455690;Zm00035ab195180;Zm00035ab195180;Zm00035ab195180;Zm00035ab107730;Zm00035ab107730;Zm00035ab107730;Zm00035ab107730;Zm00035ab195180;Zm00035ab040150;Zm00035ab207700;Zm00035ab207700;Zm00035ab207700;Zm00035ab207700;Zm00035ab210030;Zm00035ab210030;Zm00035ab210030;Zm00035ab077620;Zm00035ab451200;Zm00035ab077620;Zm00035ab077620;Zm00035ab344860;Zm00035ab077620;Zm00035ab077620;Zm00035ab077620;Zm00035ab129140;Zm00035ab129140;Zm00035ab129140;Zm00035ab236480;Zm00035ab236480;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab067020;Zm00035ab320220;Zm00035ab320220;Zm00035ab320220;Zm00035ab320220;Zm00035ab320220;Zm00035ab320220;Zm00035ab191530;Zm00035ab092060;Zm00035ab320220;Zm00035ab320220;Zm00035ab197730;Zm00035ab362060;Zm00035ab362060;Zm00035ab362060;Zm00035ab196810;Zm00035ab196810;Zm00035ab102040;Zm00035ab298020;Zm00035ab298020;Zm00035ab113240;Zm00035ab113240;Zm00035ab262430;Zm00035ab262430;Zm00035ab262430;Zm00035ab262430;Zm00035ab113240;Zm00035ab113240;Zm00035ab400960;Zm00035ab400960;Zm00035ab262430;Zm00035ab262430;Zm00035ab286310;Zm00035ab286310;Zm00035ab286310;Zm00035ab400960;Zm00035ab001460;Zm00035ab152820;Zm00035ab376670;Zm00035ab376670;Zm00035ab376670;Zm00035ab380890;Zm00035ab082000;Zm00035ab082000;Zm00035ab237810;Zm00035ab082000;Zm00035ab082000;Zm00035ab082000;Zm00035ab082000;Zm00035ab082000;Zm00035ab082000;Zm00035ab082000;Zm00035ab082000;Zm00035ab370940;Zm00035ab370940;Zm00035ab370940;Zm00035ab370940;Zm00035ab021980;Zm00035ab154410;Zm00035ab021980;Zm00035ab025340;Zm00035ab025340;Zm00035ab025340;Zm00035ab025340;Zm00035ab025340;Zm00035ab025340;Zm00035ab021980;Zm00035ab402670;Zm00035ab402670;Zm00035ab402670;Zm00035ab402670;Zm00035ab402670;Zm00035ab402670;Zm00035ab035120;Zm00035ab035120;Zm00035ab093950;Zm00035ab105450;Zm00035ab035120;Zm00035ab035120;Zm00035ab035120;Zm00035ab035120;Zm00035ab296190;Zm00035ab296190;Zm00035ab093950;Zm00035ab093950;Zm00035ab093950;Zm00035ab035120;Zm00035ab400640;Zm00035ab400640;Zm00035ab408530;Zm00035ab409070;Zm00035ab078560;Zm00035ab078560;Zm00035ab078560;Zm00035ab409070;Zm00035ab409070;Zm00035ab219510;Zm00035ab409070;Zm00035ab078560;Zm00035ab078560;Zm00035ab078560;Zm00035ab078560;Zm00035ab409070;Zm00035ab317190;Zm00035ab317190;Zm00035ab317190;Zm00035ab204370;Zm00035ab317190;Zm00035ab232910;Zm00035ab232910;Zm00035ab232910;Zm00035ab232910;Zm00035ab232910;Zm00035ab232910;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab345170;Zm00035ab232910;Zm00035ab232910;Zm00035ab331770;Zm00035ab019450;Zm00035ab331770;Zm00035ab331770;Zm00035ab331770;Zm00035ab331770;Zm00035ab019450;Zm00035ab350180;Zm00035ab350180;Zm00035ab146630;Zm00035ab350180;Zm00035ab350180;Zm00035ab019450;Zm00035ab019450;Zm00035ab350180;Zm00035ab019450;Zm00035ab019450;Zm00035ab019450;Zm00035ab019450;Zm00035ab019450;Zm00035ab350180
IPR000010	Cystatin domain	Zm00035ab021580;Zm00035ab174280;Zm00035ab416900;Zm00035ab299090;Zm00035ab299090;Zm00035ab299090;Zm00035ab299090;Zm00035ab299090;Zm00035ab299090;Zm00035ab021570;Zm00035ab174290;Zm00035ab021550;Zm00035ab383050;Zm00035ab302720;Zm00035ab416880;Zm00035ab383040;Zm00035ab383040;Zm00035ab378560;Zm00035ab378560;Zm00035ab383060;Zm00035ab155200;Zm00035ab155200;Zm00035ab155200;Zm00035ab155200;Zm00035ab362870;Zm00035ab362870;Zm00035ab362870;Zm00035ab006100;Zm00035ab006090;Zm00035ab346210;Zm00035ab174310;Zm00035ab346210
IPR000014	PAS domain	Zm00035ab239940;Zm00035ab044070;Zm00035ab044070;Zm00035ab044070;Zm00035ab044070;Zm00035ab283620;Zm00035ab170380;Zm00035ab124960;Zm00035ab124960;Zm00035ab124960;Zm00035ab124960;Zm00035ab124960;Zm00035ab124960;Zm00035ab124960;Zm00035ab124960;Zm00035ab124960;Zm00035ab124960;Zm00035ab208130;Zm00035ab168340;Zm00035ab168340;Zm00035ab233540;Zm00035ab233540;Zm00035ab116760;Zm00035ab116760
IPR000023	Phosphofructokinase domain	Zm00035ab261930;Zm00035ab261930;Zm00035ab261930;Zm00035ab261930;Zm00035ab281130;Zm00035ab042360;Zm00035ab042360;Zm00035ab042360;Zm00035ab042360;Zm00035ab042360;Zm00035ab158860;Zm00035ab158860;Zm00035ab321540;Zm00035ab321540;Zm00035ab396050;Zm00035ab396050;Zm00035ab396050;Zm00035ab044390;Zm00035ab044390;Zm00035ab457040;Zm00035ab082460;Zm00035ab290950;Zm00035ab304780;Zm00035ab295280;Zm00035ab441540;Zm00035ab363480;Zm00035ab363480;Zm00035ab124680;Zm00035ab350630;Zm00035ab350630;Zm00035ab390930;Zm00035ab194960;Zm00035ab194960;Zm00035ab101870;Zm00035ab101870;Zm00035ab101870;Zm00035ab101870;Zm00035ab049980;Zm00035ab101870;Zm00035ab385670;Zm00035ab101870;Zm00035ab049980
IPR000031	PurE domain	Zm00035ab123870;Zm00035ab123870
IPR000043	Adenosylhomocysteinase-like	Zm00035ab175480;Zm00035ab175480
IPR000048	IQ motif, EF-hand binding site	Zm00035ab437690;Zm00035ab437690;Zm00035ab160290;Zm00035ab120360;Zm00035ab120360;Zm00035ab033240;Zm00035ab189990;Zm00035ab189990;Zm00035ab033240;Zm00035ab033240;Zm00035ab033240;Zm00035ab033240;Zm00035ab046740;Zm00035ab046740;Zm00035ab046740;Zm00035ab341160;Zm00035ab341160;Zm00035ab033240;Zm00035ab237960;Zm00035ab237960;Zm00035ab195390;Zm00035ab455820;Zm00035ab455820;Zm00035ab344770;Zm00035ab344770;Zm00035ab262250;Zm00035ab276990;Zm00035ab276990;Zm00035ab433940;Zm00035ab052480;Zm00035ab052480;Zm00035ab450230;Zm00035ab450230;Zm00035ab405200;Zm00035ab405200;Zm00035ab162470;Zm00035ab162470;Zm00035ab304920;Zm00035ab304920;Zm00035ab304920;Zm00035ab304920;Zm00035ab304920;Zm00035ab304920;Zm00035ab450230;Zm00035ab317480;Zm00035ab317480;Zm00035ab317480;Zm00035ab317480;Zm00035ab317480;Zm00035ab407010;Zm00035ab407010;Zm00035ab407010;Zm00035ab407010;Zm00035ab407010;Zm00035ab407010;Zm00035ab422620;Zm00035ab422620;Zm00035ab223850;Zm00035ab223850;Zm00035ab237940;Zm00035ab189980;Zm00035ab189980;Zm00035ab386180;Zm00035ab386180;Zm00035ab386180;Zm00035ab386180;Zm00035ab386180;Zm00035ab386180;Zm00035ab208750;Zm00035ab208750;Zm00035ab386180;Zm00035ab386180;Zm00035ab386180;Zm00035ab144860;Zm00035ab144860;Zm00035ab386180;Zm00035ab386180;Zm00035ab386180;Zm00035ab223730;Zm00035ab223730;Zm00035ab402910;Zm00035ab061340;Zm00035ab061340;Zm00035ab216860;Zm00035ab061340;Zm00035ab061340;Zm00035ab061340;Zm00035ab061340;Zm00035ab061340;Zm00035ab061340;Zm00035ab061340;Zm00035ab061340;Zm00035ab402910;Zm00035ab061570;Zm00035ab061570;Zm00035ab017760;Zm00035ab370160;Zm00035ab370160;Zm00035ab370160;Zm00035ab370160;Zm00035ab273540;Zm00035ab273540;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab228340;Zm00035ab029300;Zm00035ab029300;Zm00035ab435410;Zm00035ab435410;Zm00035ab199380;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab334940;Zm00035ab334940;Zm00035ab334940;Zm00035ab418210;Zm00035ab418210;Zm00035ab418210;Zm00035ab418210;Zm00035ab418210;Zm00035ab418210;Zm00035ab385030;Zm00035ab385030;Zm00035ab189800;Zm00035ab189800;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab165670;Zm00035ab332760;Zm00035ab332760;Zm00035ab418210;Zm00035ab418210;Zm00035ab355170;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab220160;Zm00035ab007350;Zm00035ab007350;Zm00035ab158630;Zm00035ab158630;Zm00035ab158630;Zm00035ab158630;Zm00035ab350660;Zm00035ab350660;Zm00035ab007350;Zm00035ab007350;Zm00035ab007350;Zm00035ab007350;Zm00035ab158630;Zm00035ab158630;Zm00035ab158630;Zm00035ab158630;Zm00035ab158630;Zm00035ab158630;Zm00035ab007350;Zm00035ab007350;Zm00035ab179150;Zm00035ab179150;Zm00035ab409170;Zm00035ab409170;Zm00035ab442760;Zm00035ab442760;Zm00035ab036280;Zm00035ab036280;Zm00035ab100330;Zm00035ab100330;Zm00035ab089850;Zm00035ab089850;Zm00035ab249310;Zm00035ab249310;Zm00035ab163240;Zm00035ab163240;Zm00035ab175520;Zm00035ab129500;Zm00035ab129500;Zm00035ab292750;Zm00035ab292750;Zm00035ab159960;Zm00035ab159960;Zm00035ab159960;Zm00035ab159960;Zm00035ab159960;Zm00035ab159960;Zm00035ab159960;Zm00035ab159960;Zm00035ab087800;Zm00035ab087800;Zm00035ab428420;Zm00035ab305540;Zm00035ab305540;Zm00035ab284060;Zm00035ab284060;Zm00035ab423950;Zm00035ab423950;Zm00035ab238030;Zm00035ab238030;Zm00035ab238030;Zm00035ab394330;Zm00035ab294490;Zm00035ab294490;Zm00035ab010220;Zm00035ab294490;Zm00035ab294490;Zm00035ab294490;Zm00035ab294490;Zm00035ab398830;Zm00035ab398830;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab066520;Zm00035ab075600;Zm00035ab147460;Zm00035ab147460;Zm00035ab075600;Zm00035ab305400;Zm00035ab445600;Zm00035ab147460;Zm00035ab147460;Zm00035ab075600;Zm00035ab147460;Zm00035ab147460;Zm00035ab390540;Zm00035ab390540;Zm00035ab075600;Zm00035ab075600;Zm00035ab379390;Zm00035ab305400;Zm00035ab075600;Zm00035ab444300;Zm00035ab444300;Zm00035ab301080;Zm00035ab231190;Zm00035ab231190;Zm00035ab336100;Zm00035ab336100;Zm00035ab336100;Zm00035ab336100;Zm00035ab336100;Zm00035ab336100;Zm00035ab336100;Zm00035ab231190;Zm00035ab231190;Zm00035ab231190;Zm00035ab231190;Zm00035ab301080;Zm00035ab301080;Zm00035ab231190;Zm00035ab231190;Zm00035ab231190;Zm00035ab231190;Zm00035ab044720;Zm00035ab044720;Zm00035ab404130;Zm00035ab404130;Zm00035ab231190;Zm00035ab231190;Zm00035ab417420;Zm00035ab341060;Zm00035ab341060;Zm00035ab093420;Zm00035ab341060;Zm00035ab341060;Zm00035ab341060;Zm00035ab341060;Zm00035ab028680;Zm00035ab028680;Zm00035ab028680;Zm00035ab028680;Zm00035ab349250;Zm00035ab349250;Zm00035ab028680;Zm00035ab028680;Zm00035ab028680;Zm00035ab028680;Zm00035ab028680;Zm00035ab028680;Zm00035ab312900;Zm00035ab312900;Zm00035ab052270;Zm00035ab052270;Zm00035ab390330;Zm00035ab390330;Zm00035ab221910;Zm00035ab221910;Zm00035ab221910;Zm00035ab367100;Zm00035ab367100;Zm00035ab229630;Zm00035ab229630;Zm00035ab221910;Zm00035ab221910;Zm00035ab091570;Zm00035ab091570;Zm00035ab237220;Zm00035ab237220;Zm00035ab368800;Zm00035ab368800;Zm00035ab368800;Zm00035ab399810;Zm00035ab399810;Zm00035ab068580;Zm00035ab068580;Zm00035ab273470;Zm00035ab273470;Zm00035ab385660;Zm00035ab385660;Zm00035ab296460;Zm00035ab296460;Zm00035ab343220;Zm00035ab343220;Zm00035ab396890;Zm00035ab051830;Zm00035ab051830;Zm00035ab051830;Zm00035ab051830;Zm00035ab051830;Zm00035ab051830;Zm00035ab186400;Zm00035ab186400;Zm00035ab237990;Zm00035ab237990;Zm00035ab237990;Zm00035ab274590;Zm00035ab274590;Zm00035ab274590;Zm00035ab274590;Zm00035ab109910;Zm00035ab049400;Zm00035ab049400;Zm00035ab314010;Zm00035ab314010;Zm00035ab049400;Zm00035ab049400;Zm00035ab293150;Zm00035ab293150;Zm00035ab385680;Zm00035ab049400;Zm00035ab049400;Zm00035ab027940;Zm00035ab027940;Zm00035ab337500;Zm00035ab140130;Zm00035ab140130;Zm00035ab370630;Zm00035ab370630;Zm00035ab370630;Zm00035ab370630;Zm00035ab370630;Zm00035ab370630;Zm00035ab423570;Zm00035ab090010;Zm00035ab090010;Zm00035ab140180;Zm00035ab124710;Zm00035ab124710;Zm00035ab199460;Zm00035ab199460;Zm00035ab199460;Zm00035ab199460;Zm00035ab199460;Zm00035ab230790;Zm00035ab230790;Zm00035ab230790;Zm00035ab305320;Zm00035ab305320;Zm00035ab305320;Zm00035ab305320;Zm00035ab305320;Zm00035ab305320;Zm00035ab258460;Zm00035ab258460;Zm00035ab188920;Zm00035ab188920;Zm00035ab153460;Zm00035ab153460;Zm00035ab153460;Zm00035ab153460;Zm00035ab153460;Zm00035ab153460;Zm00035ab275580;Zm00035ab275580;Zm00035ab340810;Zm00035ab340810;Zm00035ab269080;Zm00035ab269080;Zm00035ab269080;Zm00035ab269080;Zm00035ab269080;Zm00035ab269080;Zm00035ab269080;Zm00035ab269080;Zm00035ab269080;Zm00035ab269080;Zm00035ab269080;Zm00035ab153460;Zm00035ab363380;Zm00035ab363380;Zm00035ab006800;Zm00035ab006800;Zm00035ab363380;Zm00035ab363380
IPR000054	Ribosomal protein L31e	Zm00035ab195270;Zm00035ab262160;Zm00035ab216210;Zm00035ab395810
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00035ab330820;Zm00035ab330820;Zm00035ab330820;Zm00035ab330820;Zm00035ab005770;Zm00035ab005770;Zm00035ab005770;Zm00035ab005770;Zm00035ab005770;Zm00035ab417120;Zm00035ab417120;Zm00035ab417120
