LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00034ab000010
2.0	Domain: Eukaryota	Zm00034ab000020
4.0	Phylum: Streptophyta	Zm00034ab000040
5.0	Land Plants (Embryophyta)	Zm00034ab000070
11.0	Tribe: Andropogoneae	Zm00034ab000080
6.0	Class: Magnoliopsida	Zm00034ab000090
1.0	Cellular organisms	Zm00034ab000100
5.0	Land Plants (Embryophyta)	Zm00034ab000110
1.0	Cellular organisms	Zm00034ab000120
9.0	Family: Poaceae	Zm00034ab000130
6.0	Class: Magnoliopsida	Zm00034ab000140
14.0	Subspecies: Zea mays mays	Zm00034ab000160
9.0	Family: Poaceae	Zm00034ab000180
9.0	Family: Poaceae	Zm00034ab000190
5.0	Land Plants (Embryophyta)	Zm00034ab000210
1.0	Cellular organisms	Zm00034ab000220
5.0	Land Plants (Embryophyta)	Zm00034ab000240
1.0	Cellular organisms	Zm00034ab000270
4.0	Phylum: Streptophyta	Zm00034ab000280
5.0	Land Plants (Embryophyta)	Zm00034ab000290
1.0	Cellular organisms	Zm00034ab000300
5.0	Land Plants (Embryophyta)	Zm00034ab000310
1.0	Cellular organisms	Zm00034ab000320
2.0	Domain: Eukaryota	Zm00034ab000330
2.0	Domain: Eukaryota	Zm00034ab000340
1.0	Cellular organisms	Zm00034ab000350
9.0	Family: Poaceae	Zm00034ab000370
1.0	Cellular organisms	Zm00034ab000390
6.0	Class: Magnoliopsida	Zm00034ab000400
1.0	Cellular organisms	Zm00034ab000410
3.0	Kingdom: Viridiplantae	Zm00034ab000420
2.0	Domain: Eukaryota	Zm00034ab000430
3.0	Kingdom: Viridiplantae	Zm00034ab000440
3.0	Kingdom: Viridiplantae	Zm00034ab000450
1.0	Cellular organisms	Zm00034ab000460
1.0	Cellular organisms	Zm00034ab000470
4.0	Phylum: Streptophyta	Zm00034ab000480
1.0	Cellular organisms	Zm00034ab000490
5.0	Land Plants (Embryophyta)	Zm00034ab000500
14.0	Subspecies: Zea mays mays	Zm00034ab000510
7.0	Monocots (Liliopsida)	Zm00034ab000520
5.0	Land Plants (Embryophyta)	Zm00034ab000540
5.0	Land Plants (Embryophyta)	Zm00034ab000550
1.0	Cellular organisms	Zm00034ab000560
2.0	Domain: Eukaryota	Zm00034ab000570
5.0	Land Plants (Embryophyta)	Zm00034ab000580
1.0	Cellular organisms	Zm00034ab000610
2.0	Domain: Eukaryota	Zm00034ab000620
11.0	Tribe: Andropogoneae	Zm00034ab000630
6.0	Class: Magnoliopsida	Zm00034ab000640
13.0	Species: Zea mays	Zm00034ab000650
6.0	Class: Magnoliopsida	Zm00034ab000660
2.0	Domain: Eukaryota	Zm00034ab000670
1.0	Cellular organisms	Zm00034ab000680
14.0	Subspecies: Zea mays mays	Zm00034ab000690
3.0	Kingdom: Viridiplantae	Zm00034ab000700
5.0	Land Plants (Embryophyta)	Zm00034ab000710
9.0	Family: Poaceae	Zm00034ab000720
1.0	Cellular organisms	Zm00034ab000730
5.0	Land Plants (Embryophyta)	Zm00034ab000740
6.0	Class: Magnoliopsida	Zm00034ab000750
1.0	Cellular organisms	Zm00034ab000760
9.0	Family: Poaceae	Zm00034ab000770
4.0	Phylum: Streptophyta	Zm00034ab000780
