SCORE	NAME	GENE_MODEL
0.77173	True	Zm00019ab000010
0.93258	True	Zm00019ab000020
0.9962	True	Zm00019ab000050
0.25179	False	Zm00019ab000060
0.98048	True	Zm00019ab000070
0.99939	True	Zm00019ab000080
0.99727	True	Zm00019ab000100
0.99871	True	Zm00019ab000110
0.53448	True	Zm00019ab000120
0.25475	False	Zm00019ab000140
0.61718	True	Zm00019ab000180
0.99895	True	Zm00019ab000190
0.98348	True	Zm00019ab000200
0.99293	True	Zm00019ab000210
0.99804	True	Zm00019ab000220
0.54934	True	Zm00019ab000230
0.99282	True	Zm00019ab000240
0.99019	True	Zm00019ab000250
0.99293	True	Zm00019ab000260
0.11927	False	Zm00019ab000270
0.88846	True	Zm00019ab000300
0.74144	True	Zm00019ab000310
0.11927	False	Zm00019ab000330
0.40745	False	Zm00019ab000340
0.99076	True	Zm00019ab000350
0.99282	True	Zm00019ab000360
0.54934	True	Zm00019ab000370
0.99843	True	Zm00019ab000380
0.98348	True	Zm00019ab000390
0.97863	True	Zm00019ab000400
0.97362	True	Zm00019ab000410
0.88285	True	Zm00019ab000420
0.72604	True	Zm00019ab000430
0.9948	True	Zm00019ab000450
0.93574	True	Zm00019ab000460
0.64935	True	Zm00019ab000470
0.9994	True	Zm00019ab000480
0.99047	True	Zm00019ab000490
0.25633	False	Zm00019ab000510
0.28546	False	Zm00019ab000520
0.97862	True	Zm00019ab000540
0.03925	False	Zm00019ab000550
0.99131	True	Zm00019ab000560
0.84362	True	Zm00019ab000570
0.99723	True	Zm00019ab000580
0.89486	True	Zm00019ab000590
0.99112	True	Zm00019ab000600
0.99719	True	Zm00019ab000610
0.92096	True	Zm00019ab000620
0.99949	True	Zm00019ab000630
0.96585	True	Zm00019ab000640
0.90671	True	Zm00019ab000650
0.95054	True	Zm00019ab000660
0.53106	True	Zm00019ab000670
0.99886	True	Zm00019ab000680
0.11158	False	Zm00019ab000700
0.99005	True	Zm00019ab000710
0.11158	False	Zm00019ab000720
0.99005	True	Zm00019ab000730
0.99848	True	Zm00019ab000740
0.53393	True	Zm00019ab000760
0.10026	False	Zm00019ab000780
0.97111	True	Zm00019ab000790
0.99913	True	Zm00019ab000800
0.99365	True	Zm00019ab000810
0.98417	True	Zm00019ab000820
0.85391	True	Zm00019ab000830
0.97457	True	Zm00019ab000840
0.99756	True	Zm00019ab000860
0.99972	True	Zm00019ab000870
0.94594	True	Zm00019ab000880
0.97669	True	Zm00019ab000890
0.94709	True	Zm00019ab000900
0.19965	False	Zm00019ab000910
0.99829	True	Zm00019ab000920
0.85268	True	Zm00019ab000930
0.99916	True	Zm00019ab000940
0.9992	True	Zm00019ab000950
0.98807	True	Zm00019ab000960
0.99909	True	Zm00019ab000970
0.85991	True	Zm00019ab000980
0.97106	True	Zm00019ab000990
0.90912	True	Zm00019ab001000
0.99563	True	Zm00019ab001010
0.52876	True	Zm00019ab001020
0.99871	True	Zm00019ab001030
0.99994	True	Zm00019ab001040
0.98771	True	Zm00019ab001050
0.99947	True	Zm00019ab001060
0.98806	True	Zm00019ab001070
0.99652	True	Zm00019ab001090
0.87379	True	Zm00019ab001100
0.99661	True	Zm00019ab001110
0.99738	True	Zm00019ab001120
