SCORE	NAME	GENE_MODEL
0.77173	True	Zm00034ab000010
0.93258	True	Zm00034ab000020
0.99996	True	Zm00034ab000040
0.99569	True	Zm00034ab000070
0.81619	True	Zm00034ab000080
0.98203	True	Zm00034ab000090
0.91445	True	Zm00034ab000100
0.86982	True	Zm00034ab000110
0.99943	True	Zm00034ab000120
0.85736	True	Zm00034ab000130
0.99451	True	Zm00034ab000140
0.62704	True	Zm00034ab000160
0.53448	True	Zm00034ab000180
0.84567	True	Zm00034ab000190
0.25475	False	Zm00034ab000210
0.98205	True	Zm00034ab000220
0.98347	True	Zm00034ab000240
0.69455	True	Zm00034ab000270
0.99886	True	Zm00034ab000280
0.98348	True	Zm00034ab000290
0.91441	True	Zm00034ab000300
0.98549	True	Zm00034ab000310
0.9948	True	Zm00034ab000320
0.93574	True	Zm00034ab000330
0.9994	True	Zm00034ab000340
0.99078	True	Zm00034ab000350
0.84699	True	Zm00034ab000370
0.99816	True	Zm00034ab000390
0.03925	False	Zm00034ab000400
0.99213	True	Zm00034ab000410
0.83894	True	Zm00034ab000420
0.99121	True	Zm00034ab000430
0.99719	True	Zm00034ab000440
0.99949	True	Zm00034ab000450
0.98095	True	Zm00034ab000460
0.95964	True	Zm00034ab000470
0.53411	True	Zm00034ab000480
0.99965	True	Zm00034ab000490
0.99885	True	Zm00034ab000500
0.04804	False	Zm00034ab000510
0.12596	False	Zm00034ab000520
0.09568	False	Zm00034ab000540
0.97111	True	Zm00034ab000550
0.99908	True	Zm00034ab000560
0.99365	True	Zm00034ab000570
0.98409	True	Zm00034ab000580
0.85391	True	Zm00034ab000610
0.97506	True	Zm00034ab000620
0.14529	False	Zm00034ab000630
0.99756	True	Zm00034ab000640
0.16262	False	Zm00034ab000650
0.99659	True	Zm00034ab000660
0.99972	True	Zm00034ab000670
0.9808	True	Zm00034ab000680
0.19448	False	Zm00034ab000690
0.65978	True	Zm00034ab000700
0.78246	True	Zm00034ab000710
0.26205	False	Zm00034ab000720
0.93809	True	Zm00034ab000730
0.99398	True	Zm00034ab000740
0.90413	True	Zm00034ab000750
0.99713	True	Zm00034ab000760
0.9934	True	Zm00034ab000770
0.99262	True	Zm00034ab000780
0.99963	True	Zm00034ab000790
0.9992	True	Zm00034ab000800
0.98704	True	Zm00034ab000810
0.9992	True	Zm00034ab000820
0.85867	True	Zm00034ab000830
0.97106	True	Zm00034ab000840
0.89887	True	Zm00034ab000850
0.99592	True	Zm00034ab000860
0.9987	True	Zm00034ab000870
0.99994	True	Zm00034ab000880
0.98771	True	Zm00034ab000890
0.99944	True	Zm00034ab000900
0.98806	True	Zm00034ab000910
0.99641	True	Zm00034ab000920
0.87379	True	Zm00034ab000930
0.99741	True	Zm00034ab000940
0.91262	True	Zm00034ab000950
0.99725	True	Zm00034ab000960
0.91024	True	Zm00034ab000970
0.99833	True	Zm00034ab000980
0.99992	True	Zm00034ab000990
0.99443	True	Zm00034ab001000
0.9998	True	Zm00034ab001010
0.01054	False	Zm00034ab001020
0.99644	True	Zm00034ab001030
0.99513	True	Zm00034ab001040
0.99756	True	Zm00034ab001050
0.15375	False	Zm00034ab001060
0.56588	True	Zm00034ab001070
0.99938	True	Zm00034ab001080
0.50393	True	Zm00034ab001090
0.99672	True	Zm00034ab001100
0.43811	False	Zm00034ab001120
0.99668	True	Zm00034ab001130
0.9973	True	Zm00034ab001140
0.99272	True	Zm00034ab001170
0.99967	True	Zm00034ab001180
0.99794	True	Zm00034ab001190
0.97548	True	Zm00034ab001200
0.99678	True	Zm00034ab001210
0.99583	True	Zm00034ab001220
0.96672	True	Zm00034ab001230
0.99916	True	Zm00034ab001240
0.99951	True	Zm00034ab001250
0.97743	True	Zm00034ab001260
0.92307	True	Zm00034ab001270
0.96504	True	Zm00034ab001280
0.97075	True	Zm00034ab001290
0.98528	True	Zm00034ab001300
0.9993	True	Zm00034ab001310
0.99637	True	Zm00034ab001320
0.72929	True	Zm00034ab001330
0.99587	True	Zm00034ab001340
0.99207	True	Zm00034ab001350
0.96767	True	Zm00034ab001360
0.97609	True	Zm00034ab001370
0.99237	True	Zm00034ab001380
0.99712	True	Zm00034ab001390
0.94725	True	Zm00034ab001400
0.98701	True	Zm00034ab001410
0.97737	True	Zm00034ab001420
0.99639	True	Zm00034ab001430
0.99008	True	Zm00034ab001440
0.9787	True	Zm00034ab001450
0.98378	True	Zm00034ab001460
0.67381	True	Zm00034ab001470
0.99598	True	Zm00034ab001480
0.99652	True	Zm00034ab001490
0.97398	True	Zm00034ab001500
0.99528	True	Zm00034ab001510
0.37107	False	Zm00034ab001520
0.96495	True	Zm00034ab001530
0.95747	True	Zm00034ab001540
0.99971	True	Zm00034ab001550
0.99867	True	Zm00034ab001570
0.99459	True	Zm00034ab001580
0.98788	True	Zm00034ab001590
0.98276	True	Zm00034ab001610
0.99308	True	Zm00034ab001620
0.9958	True	Zm00034ab001630
0.99896	True	Zm00034ab001640
0.99998	True	Zm00034ab001650
0.99869	True	Zm00034ab001660
0.99385	True	Zm00034ab001670
0.99473	True	Zm00034ab001680
0.99807	True	Zm00034ab001690
0.03076	False	Zm00034ab001700
0.98968	True	Zm00034ab001710
0.90977	True	Zm00034ab001720
0.98511	True	Zm00034ab001730
0.98661	True	Zm00034ab001740
0.99229	True	Zm00034ab001750
0.99055	True	Zm00034ab001760
0.93822	True	Zm00034ab001770
0.11944	False	Zm00034ab001780
0.9825	True	Zm00034ab001790
0.99902	True	Zm00034ab001800
0.99983	True	Zm00034ab001820
0.9977	True	Zm00034ab001830
0.77851	True	Zm00034ab001840
0.99987	True	Zm00034ab001850
0.71025	True	Zm00034ab001860
0.99165	True	Zm00034ab001870
0.99491	True	Zm00034ab001880
0.97146	True	Zm00034ab001890
0.9922	True	Zm00034ab001900
0.5126	True	Zm00034ab001910
0.92302	True	Zm00034ab001930
0.97015	True	Zm00034ab001940
0.91951	True	Zm00034ab001950
0.99427	True	Zm00034ab001960
0.99024	True	Zm00034ab001970
0.05679	False	Zm00034ab001980
0.98747	True	Zm00034ab002000
0.9976	True	Zm00034ab002010
0.99237	True	Zm00034ab002020
0.99961	True	Zm00034ab002040
