SCORE	NAME	GENE_MODEL
0.77173	True	Zm00039ab000010
0.93258	True	Zm00039ab000020
0.9962	True	Zm00039ab000040
0.32692	False	Zm00039ab000050
0.98357	True	Zm00039ab000060
0.99939	True	Zm00039ab000070
0.99897	True	Zm00039ab000080
0.62704	True	Zm00039ab000100
0.41707	False	Zm00039ab000110
0.25475	False	Zm00039ab000130
0.00802	False	Zm00039ab000140
0.64593	True	Zm00039ab000160
0.99886	True	Zm00039ab000170
0.98348	True	Zm00039ab000190
0.91237	True	Zm00039ab000200
0.99117	True	Zm00039ab000220
0.99496	True	Zm00039ab000230
0.93574	True	Zm00039ab000240
0.99941	True	Zm00039ab000250
0.99078	True	Zm00039ab000260
0.99874	True	Zm00039ab000270
0.75398	True	Zm00039ab000280
0.98371	True	Zm00039ab000300
0.98336	True	Zm00039ab000310
0.99698	True	Zm00039ab000320
0.99213	True	Zm00039ab000330
0.83894	True	Zm00039ab000340
0.99121	True	Zm00039ab000360
0.9931	True	Zm00039ab000380
0.99723	True	Zm00039ab000390
0.99949	True	Zm00039ab000400
0.97952	True	Zm00039ab000410
0.97698	True	Zm00039ab000420
0.94884	True	Zm00039ab000430
0.48671	False	Zm00039ab000440
0.99883	True	Zm00039ab000450
0.57537	True	Zm00039ab000460
0.91786	True	Zm00039ab000470
0.09456	False	Zm00039ab000480
0.96996	True	Zm00039ab000490
0.99908	True	Zm00039ab000500
0.99365	True	Zm00039ab000510
0.98305	True	Zm00039ab000520
0.85097	True	Zm00039ab000530
0.97371	True	Zm00039ab000540
0.49977	False	Zm00039ab000550
0.99756	True	Zm00039ab000560
0.02306	False	Zm00039ab000570
0.99973	True	Zm00039ab000580
0.97673	True	Zm00039ab000600
0.9476	True	Zm00039ab000610
0.99919	True	Zm00039ab000620
0.98822	True	Zm00039ab000630
0.99909	True	Zm00039ab000640
0.99451	True	Zm00039ab000660
0.88127	True	Zm00039ab000670
0.87133	True	Zm00039ab000680
0.99522	True	Zm00039ab000690
0.99791	True	Zm00039ab000700
0.99996	True	Zm00039ab000710
0.98771	True	Zm00039ab000720
0.99944	True	Zm00039ab000730
0.98769	True	Zm00039ab000740
0.99602	True	Zm00039ab000750
0.26602	False	Zm00039ab000760
0.99641	True	Zm00039ab000770
0.99754	True	Zm00039ab000780
0.91262	True	Zm00039ab000790
0.99719	True	Zm00039ab000800
0.89769	True	Zm00039ab000810
0.99843	True	Zm00039ab000820
0.99455	True	Zm00039ab000830
0.99986	True	Zm00039ab000840
0.99898	True	Zm00039ab000850
0.17846	False	Zm00039ab000860
0.99639	True	Zm00039ab000870
0.9949	True	Zm00039ab000890
0.98832	True	Zm00039ab000900
0.99884	True	Zm00039ab000910
0.99744	True	Zm00039ab000920
0.99667	True	Zm00039ab000930
0.27209	False	Zm00039ab000950
0.99668	True	Zm00039ab000960
0.92474	True	Zm00039ab000980
0.99805	True	Zm00039ab000990
0.99198	True	Zm00039ab001000
0.00802	False	Zm00039ab001010
0.99932	True	Zm00039ab001020
0.99794	True	Zm00039ab001030
0.97628	True	Zm00039ab001040
0.99667	True	Zm00039ab001050
0.99639	True	Zm00039ab001060
0.96658	True	Zm00039ab001070
0.99916	True	Zm00039ab001080
0.99882	True	Zm00039ab001090
0.95652	True	Zm00039ab001100
0.94686	True	Zm00039ab001120
0.96218	True	Zm00039ab001130
0.00285	False	Zm00039ab001140
0.99808	True	Zm00039ab001150
0.96741	True	Zm00039ab001160
0.98492	True	Zm00039ab001170
0.99637	True	Zm00039ab001180
0.92784	True	Zm00039ab001190
0.92784	True	Zm00039ab001200
0.68316	True	Zm00039ab001210
0.99623	True	Zm00039ab001220
0.99215	True	Zm00039ab001230
0.96755	True	Zm00039ab001240
0.68035	True	Zm00039ab001250
0.98912	True	Zm00039ab001260
0.95516	True	Zm00039ab001270
0.99721	True	Zm00039ab001280
0.97385	True	Zm00039ab001290
0.98346	True	Zm00039ab001300
0.99646	True	Zm00039ab001320
0.94589	True	Zm00039ab001330
0.9787	True	Zm00039ab001340
0.9847	True	Zm00039ab001350
0.98158	True	Zm00039ab001360
0.99629	True	Zm00039ab001370
0.99619	True	Zm00039ab001380
0.98081	True	Zm00039ab001390
0.97309	True	Zm00039ab001400
0.99615	True	Zm00039ab001410
0.96495	True	Zm00039ab001420
0.95763	True	Zm00039ab001430
0.99971	True	Zm00039ab001440
0.99005	True	Zm00039ab001450
0.97236	True	Zm00039ab001460
0.99308	True	Zm00039ab001470
0.99607	True	Zm00039ab001480
0.99872	True	Zm00039ab001490
0.99998	True	Zm00039ab001500
0.99425	True	Zm00039ab001510
0.99869	True	Zm00039ab001520
0.99797	True	Zm00039ab001530
0.00314	False	Zm00039ab001550
0.98968	True	Zm00039ab001560
0.96437	True	Zm00039ab001570
0.90397	True	Zm00039ab001580
0.98452	True	Zm00039ab001590
0.98661	True	Zm00039ab001600
0.98424	True	Zm00039ab001610
0.39543	False	Zm00039ab001620
0.99055	True	Zm00039ab001630
0.93822	True	Zm00039ab001640
0.05104	False	Zm00039ab001650
0.99724	True	Zm00039ab001660
0.9809	True	Zm00039ab001670
0.0418	False	Zm00039ab001680
0.99902	True	Zm00039ab001690
0.99982	True	Zm00039ab001700
0.99751	True	Zm00039ab001710
0.99934	True	Zm00039ab001720
0.99987	True	Zm00039ab001740
0.30178	False	Zm00039ab001750
0.07692	False	Zm00039ab001760
0.76067	True	Zm00039ab001770
0.99085	True	Zm00039ab001780
0.9945	True	Zm00039ab001790
0.97455	True	Zm00039ab001800
0.99157	True	Zm00039ab001810
0.08843	False	Zm00039ab001820
0.94396	True	Zm00039ab001840
0.97477	True	Zm00039ab001850
0.93823	True	Zm00039ab001860
0.99983	True	Zm00039ab001870
0.0396	False	Zm00039ab001880
0.99012	True	Zm00039ab001890
0.99743	True	Zm00039ab001900
0.99237	True	Zm00039ab001910
0.99943	True	Zm00039ab001920
0.98446	True	Zm00039ab001930
0.99767	True	Zm00039ab001940
0.22489	False	Zm00039ab001970
0.99689	True	Zm00039ab001990
0.92348	True	Zm00039ab002000
0.99052	True	Zm00039ab002020
0.98745	True	Zm00039ab002030
0.86535	True	Zm00039ab002040
0.98143	True	Zm00039ab002060
0.99966	True	Zm00039ab002070
0.73612	True	Zm00039ab002080
0.9988	True	Zm00039ab002090
0.98103	True	Zm00039ab002100
0.66322	True	Zm00039ab002120
0.99884	True	Zm00039ab002130
0.99387	True	Zm00039ab002140
0.16508	False	Zm00039ab002150
0.98406	True	Zm00039ab002160
0.99197	True	Zm00039ab002170
0.9988	True	Zm00039ab002180
0.97935	True	Zm00039ab002190
0.99082	True	Zm00039ab002200
0.94559	True	Zm00039ab002210
0.99851	True	Zm00039ab002220
0.99861	True	Zm00039ab002230
0.99817	True	Zm00039ab002240
0.99042	True	Zm00039ab002250
0.738	True	Zm00039ab002260
0.42566	False	Zm00039ab002270
0.9873	True	Zm00039ab002280
0.99869	True	Zm00039ab002290
0.99945	True	Zm00039ab002310
0.85307	True	Zm00039ab002320
0.12894	False	Zm00039ab002340
0.99665	True	Zm00039ab002350
0.99315	True	Zm00039ab002360
0.99738	True	Zm00039ab002380
0.95733	True	Zm00039ab002390
0.99119	True	Zm00039ab002400
0.023	False	Zm00039ab002410
0.99268	True	Zm00039ab002420
0.01362	False	Zm00039ab002430
0.97265	True	Zm00039ab002440
0.99166	True	Zm00039ab002450
0.95026	True	Zm00039ab002460
0.99516	True	Zm00039ab002470
0.72618	True	Zm00039ab002480
0.99089	True	Zm00039ab002490
0.98802	True	Zm00039ab002500
0.02804	False	Zm00039ab002510
0.21534	False	Zm00039ab002520
0.88095	True	Zm00039ab002530
0.99915	True	Zm00039ab002540
0.99894	True	Zm00039ab002550
0.99052	True	Zm00039ab002560
0.88211	True	Zm00039ab002570
0.99934	True	Zm00039ab002580
0.99745	True	Zm00039ab002590
0.15278	False	Zm00039ab002600
0.98852	True	Zm00039ab002610
0.99554	True	Zm00039ab002620
0.98604	True	Zm00039ab002630
0.98954	True	Zm00039ab002640
0.9996	True	Zm00039ab002650
0.91304	True	Zm00039ab002660
0.99855	True	Zm00039ab002670
0.9892	True	Zm00039ab002690
0.99933	True	Zm00039ab002700
0.99476	True	Zm00039ab002710
0.99594	True	Zm00039ab002770
0.9917	True	Zm00039ab002780
0.83509	True	Zm00039ab002790
0.996	True	Zm00039ab002800
0.68299	True	Zm00039ab002810
0.99869	True	Zm00039ab002820
0.94036	True	Zm00039ab002840
0.98599	True	Zm00039ab002850
0.99929	True	Zm00039ab002860
0.99346	True	Zm00039ab002870
0.70226	True	Zm00039ab002880
0.82218	True	Zm00039ab002890
0.99689	True	Zm00039ab002910
0.99032	True	Zm00039ab002920
0.99156	True	Zm00039ab002940
0.00521	False	Zm00039ab002950
0.9349	True	Zm00039ab002960
0.98094	True	Zm00039ab002970
0.99969	True	Zm00039ab002980
0.9998	True	Zm00039ab002990
0.99939	True	Zm00039ab003000
0.21751	False	Zm00039ab003010
0.99754	True	Zm00039ab003020
0.99253	True	Zm00039ab003030
0.98524	True	Zm00039ab003050
0.98934	True	Zm00039ab003060
0.98873	True	Zm00039ab003070
0.99411	True	Zm00039ab003090
0.23558	False	Zm00039ab003100
0.99995	True	Zm00039ab003110
0.99597	True	Zm00039ab003120
0.99546	True	Zm00039ab003130
0.16217	False	Zm00039ab003140
0.99956	True	Zm00039ab003150
0.60093	True	Zm00039ab003160
0.99799	True	Zm00039ab003170
0.99603	True	Zm00039ab003180
0.99036	True	Zm00039ab003190
0.991	True	Zm00039ab003200
0.99201	True	Zm00039ab003210
0.98438	True	Zm00039ab003230
0.47606	False	Zm00039ab003240
0.99993	True	Zm00039ab003250
0.99876	True	Zm00039ab003260
0.9995	True	Zm00039ab003270
0.23558	False	Zm00039ab003280
0.99791	True	Zm00039ab003290
0.52965	True	Zm00039ab003310
0.98965	True	Zm00039ab003330
0.99629	True	Zm00039ab003340
0.99742	True	Zm00039ab003350
0.99788	True	Zm00039ab003360
0.99676	True	Zm00039ab003370
0.99881	True	Zm00039ab003380
0.99429	True	Zm00039ab003390
0.99448	True	Zm00039ab003400
0.93353	True	Zm00039ab003420
0.14281	False	Zm00039ab003440
0.99944	True	Zm00039ab003450
0.99553	True	Zm00039ab003460
0.98609	True	Zm00039ab003480
0.98682	True	Zm00039ab003490
0.96881	True	Zm00039ab003500
0.99481	True	Zm00039ab003510
0.99661	True	Zm00039ab003520
0.97395	True	Zm00039ab003530
0.48736	False	Zm00039ab003540
0.99904	True	Zm00039ab003550
0.99779	True	Zm00039ab003560
0.9885	True	Zm00039ab003570
0.53226	True	Zm00039ab003580
0.98864	True	Zm00039ab003590
0.19745	False	Zm00039ab003600
0.99795	True	Zm00039ab003610
0.958	True	Zm00039ab003620
0.3082	False	Zm00039ab003630
0.99389	True	Zm00039ab003640
0.79121	True	Zm00039ab003650
0.97894	True	Zm00039ab003660
0.98933	True	Zm00039ab003670
0.99682	True	Zm00039ab003680
0.99625	True	Zm00039ab003690
0.37187	False	Zm00039ab003700
0.28193	False	Zm00039ab003710
0.99752	True	Zm00039ab003720
0.93006	True	Zm00039ab003730
0.96055	True	Zm00039ab003740
0.99612	True	Zm00039ab003750
0.97285	True	Zm00039ab003770
0.97562	True	Zm00039ab003780
0.98825	True	Zm00039ab003790
0.53464	True	Zm00039ab003800
0.981	True	Zm00039ab003810
0.98524	True	Zm00039ab003820
0.89473	True	Zm00039ab003830
0.99741	True	Zm00039ab003840
0.93374	True	Zm00039ab003850
0.99701	True	Zm00039ab003860
0.98451	True	Zm00039ab003870
0.99529	True	Zm00039ab003880
0.86867	True	Zm00039ab003890
0.99383	True	Zm00039ab003900
0.99431	True	Zm00039ab003910
0.98148	True	Zm00039ab003920
0.99808	True	Zm00039ab003930
0.96396	True	Zm00039ab003940
0.9991	True	Zm00039ab003960
0.95792	True	Zm00039ab003970
0.93541	True	Zm00039ab003980
0.96206	True	Zm00039ab003990
0.94451	True	Zm00039ab004000
0.9964	True	Zm00039ab004010
0.98797	True	Zm00039ab004020
0.97734	True	Zm00039ab004030
0.9551	True	Zm00039ab004040
0.78053	True	Zm00039ab004050
0.45752	False	Zm00039ab004060
0.88362	True	Zm00039ab004070
0.97465	True	Zm00039ab004080
0.25203	False	Zm00039ab004090
0.92804	True	Zm00039ab004100
0.00019	False	Zm00039ab004110
0.96035	True	Zm00039ab004130
0.97214	True	Zm00039ab004140
0.84339	True	Zm00039ab004150
0.92842	True	Zm00039ab004160
0.64245	True	Zm00039ab004180
0.16948	False	Zm00039ab004190
0.98849	True	Zm00039ab004210
0.03716	False	Zm00039ab004220
0.97925	True	Zm00039ab004230
0.99688	True	Zm00039ab004240
0.91138	True	Zm00039ab004250
0.9967	True	Zm00039ab004260
0.99641	True	Zm00039ab004270
0.99988	True	Zm00039ab004280
0.99499	True	Zm00039ab004290
0.9925	True	Zm00039ab004300
0.99645	True	Zm00039ab004310
0.98265	True	Zm00039ab004320
0.9997	True	Zm00039ab004330
0.6741	True	Zm00039ab004340
0.99847	True	Zm00039ab004360
0.83208	True	Zm00039ab004370
0.52353	True	Zm00039ab004380
0.95339	True	Zm00039ab004390
0.99963	True	Zm00039ab004400
0.99948	True	Zm00039ab004410
0.99474	True	Zm00039ab004420
0.99671	True	Zm00039ab004430
0.78652	True	Zm00039ab004440
0.99709	True	Zm00039ab004450
0.74885	True	Zm00039ab004460
0.99555	True	Zm00039ab004480
0.03294	False	Zm00039ab004490
0.99223	True	Zm00039ab004500
0.54434	True	Zm00039ab004510
0.02754	False	Zm00039ab004520
0.99579	True	Zm00039ab004530
0.9983	True	Zm00039ab004540
0.99939	True	Zm00039ab004550
0.99921	True	Zm00039ab004560
0.9983	True	Zm00039ab004570
0.98874	True	Zm00039ab004580
0.89161	True	Zm00039ab004590
0.99906	True	Zm00039ab004600
0.99567	True	Zm00039ab004610
0.92615	True	Zm00039ab004620
0.98573	True	Zm00039ab004630
0.99301	True	Zm00039ab004640
0.9996	True	Zm00039ab004650
0.57771	True	Zm00039ab004660
0.97753	True	Zm00039ab004670
0.98997	True	Zm00039ab004680
0.91129	True	Zm00039ab004690
0.99622	True	Zm00039ab004710
0.99678	True	Zm00039ab004720
0.99733	True	Zm00039ab004730
0.996	True	Zm00039ab004740
0.99823	True	Zm00039ab004750
0.96514	True	Zm00039ab004760
0.99732	True	Zm00039ab004770
0.94302	True	Zm00039ab004780
0.99809	True	Zm00039ab004800
0.95187	True	Zm00039ab004810
0.99896	True	Zm00039ab004820
0.68764	True	Zm00039ab004830
0.00083	False	Zm00039ab004840
0.99494	True	Zm00039ab004850
0.96031	True	Zm00039ab004870
0.92794	True	Zm00039ab004880
0.98295	True	Zm00039ab004890
0.97648	True	Zm00039ab004900
0.9847	True	Zm00039ab004910
0.6369	True	Zm00039ab004920
0.35888	False	Zm00039ab004940
0.13909	False	Zm00039ab004950
0.96727	True	Zm00039ab004960
0.95246	True	Zm00039ab004970
0.07774	False	Zm00039ab005010
0.80233	True	Zm00039ab005020
0.07052	False	Zm00039ab005030
0.99999	True	Zm00039ab005040
0.92261	True	Zm00039ab005050
0.10864	False	Zm00039ab005060
0.84668	True	Zm00039ab005080
0.99247	True	Zm00039ab005090
0.26487	False	Zm00039ab005100
0.97087	True	Zm00039ab005110
0.99708	True	Zm00039ab005120
0.95697	True	Zm00039ab005130
0.99814	True	Zm00039ab005140
0.9861	True	Zm00039ab005150
0.99381	True	Zm00039ab005160
0.1172	False	Zm00039ab005170
0.58958	True	Zm00039ab005180
0.89512	True	Zm00039ab005190
0.67721	True	Zm00039ab005200
0.89512	True	Zm00039ab005210
0.67721	True	Zm00039ab005220
0.66332	True	Zm00039ab005230
0.67721	True	Zm00039ab005240
0.69415	True	Zm00039ab005250
0.6549	True	Zm00039ab005260
0.0283	False	Zm00039ab005280
0.99615	True	Zm00039ab005290
0.70777	True	Zm00039ab005300
0.51356	True	Zm00039ab005310
0.72284	True	Zm00039ab005320
