LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00041ab000010
2.0	Domain: Eukaryota	Zm00041ab000020
5.0	Land Plants (Embryophyta)	Zm00041ab000030
2.0	Domain: Eukaryota	Zm00041ab000040
4.0	Phylum: Streptophyta	Zm00041ab000060
1.0	Cellular organisms	Zm00041ab000070
9.0	Family: Poaceae	Zm00041ab000080
1.0	Cellular organisms	Zm00041ab000100
6.0	Class: Magnoliopsida	Zm00041ab000110
9.0	Family: Poaceae	Zm00041ab000130
5.0	Land Plants (Embryophyta)	Zm00041ab000150
1.0	Cellular organisms	Zm00041ab000160
1.0	Cellular organisms	Zm00041ab000200
4.0	Phylum: Streptophyta	Zm00041ab000210
1.0	Cellular organisms	Zm00041ab000220
5.0	Land Plants (Embryophyta)	Zm00041ab000230
2.0	Domain: Eukaryota	Zm00041ab000240
2.0	Domain: Eukaryota	Zm00041ab000250
14.0	Subspecies: Zea mays mays	Zm00041ab000270
1.0	Cellular organisms	Zm00041ab000280
2.0	Domain: Eukaryota	Zm00041ab000290
2.0	Domain: Eukaryota	Zm00041ab000300
1.0	Cellular organisms	Zm00041ab000310
9.0	Family: Poaceae	Zm00041ab000320
14.0	Subspecies: Zea mays mays	Zm00041ab000330
4.0	Phylum: Streptophyta	Zm00041ab000340
9.0	Family: Poaceae	Zm00041ab000350
2.0	Domain: Eukaryota	Zm00041ab000360
5.0	Land Plants (Embryophyta)	Zm00041ab000370
1.0	Cellular organisms	Zm00041ab000380
3.0	Kingdom: Viridiplantae	Zm00041ab000390
3.0	Kingdom: Viridiplantae	Zm00041ab000400
11.0	Tribe: Andropogoneae	Zm00041ab000410
2.0	Domain: Eukaryota	Zm00041ab000420
3.0	Kingdom: Viridiplantae	Zm00041ab000430
7.0	Monocots (Liliopsida)	Zm00041ab000440
12.0	Genus: Zea	Zm00041ab000450
3.0	Kingdom: Viridiplantae	Zm00041ab000460
1.0	Cellular organisms	Zm00041ab000480
1.0	Cellular organisms	Zm00041ab000490
4.0	Phylum: Streptophyta	Zm00041ab000500
5.0	Land Plants (Embryophyta)	Zm00041ab000510
