SCORE	NAME	GENE_MODEL
0.77697	True	Zm00038ab000010
0.93258	True	Zm00038ab000020
0.99366	True	Zm00038ab000030
0.25179	False	Zm00038ab000040
0.98357	True	Zm00038ab000050
0.99939	True	Zm00038ab000060
0.85736	True	Zm00038ab000070
0.99478	True	Zm00038ab000080
0.99565	True	Zm00038ab000090
0.497	False	Zm00038ab000110
0.85808	True	Zm00038ab000130
0.99624	True	Zm00038ab000140
0.99037	True	Zm00038ab000160
0.69434	True	Zm00038ab000180
0.99886	True	Zm00038ab000190
0.91441	True	Zm00038ab000200
0.98348	True	Zm00038ab000210
0.9948	True	Zm00038ab000220
0.93574	True	Zm00038ab000230
0.9994	True	Zm00038ab000240
0.99078	True	Zm00038ab000250
0.99951	True	Zm00038ab000260
0.19511	False	Zm00038ab000280
0.99366	True	Zm00038ab000290
0.89089	True	Zm00038ab000300
0.16071	False	Zm00038ab000310
0.99213	True	Zm00038ab000320
0.83894	True	Zm00038ab000340
0.99768	True	Zm00038ab000350
0.99549	True	Zm00038ab000360
0.99287	True	Zm00038ab000370
0.99121	True	Zm00038ab000380
0.99729	True	Zm00038ab000400
0.99951	True	Zm00038ab000410
0.98252	True	Zm00038ab000420
0.40148	False	Zm00038ab000430
0.96124	True	Zm00038ab000440
0.53106	True	Zm00038ab000450
0.65107	True	Zm00038ab000460
0.99999	True	Zm00038ab000480
0.99027	True	Zm00038ab000490
0.99884	True	Zm00038ab000500
0.00116	False	Zm00038ab000510
0.63301	True	Zm00038ab000520
0.0923	False	Zm00038ab000530
0.9711	True	Zm00038ab000540
0.99912	True	Zm00038ab000550
0.99365	True	Zm00038ab000560
0.98402	True	Zm00038ab000570
0.85539	True	Zm00038ab000580
0.9743	True	Zm00038ab000590
0.9961	True	Zm00038ab000610
0.99973	True	Zm00038ab000620
0.96499	True	Zm00038ab000630
0.07876	False	Zm00038ab000640
0.99277	True	Zm00038ab000650
0.01986	False	Zm00038ab000660
0.94291	True	Zm00038ab000670
0.99366	True	Zm00038ab000680
0.99963	True	Zm00038ab000690
0.99916	True	Zm00038ab000700
1.0	True	Zm00038ab000710
0.98178	True	Zm00038ab000720
