LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00028ab000010
2.0	Domain: Eukaryota	Zm00028ab000020
5.0	Land Plants (Embryophyta)	Zm00028ab000040
11.0	Tribe: Andropogoneae	Zm00028ab000050
4.0	Phylum: Streptophyta	Zm00028ab000060
1.0	Cellular organisms	Zm00028ab000070
9.0	Family: Poaceae	Zm00028ab000080
1.0	Cellular organisms	Zm00028ab000090
14.0	Subspecies: Zea mays mays	Zm00028ab000100
9.0	Family: Poaceae	Zm00028ab000130
5.0	Land Plants (Embryophyta)	Zm00028ab000150
13.0	Species: Zea mays	Zm00028ab000160
14.0	Subspecies: Zea mays mays	Zm00028ab000180
12.0	Genus: Zea	Zm00028ab000190
1.0	Cellular organisms	Zm00028ab000200
4.0	Phylum: Streptophyta	Zm00028ab000210
5.0	Land Plants (Embryophyta)	Zm00028ab000220
1.0	Cellular organisms	Zm00028ab000230
14.0	Subspecies: Zea mays mays	Zm00028ab000240
14.0	Subspecies: Zea mays mays	Zm00028ab000250
6.0	Class: Magnoliopsida	Zm00028ab000260
10.0	Subfamily: Panicoideae	Zm00028ab000270
1.0	Cellular organisms	Zm00028ab000280
2.0	Domain: Eukaryota	Zm00028ab000290
2.0	Domain: Eukaryota	Zm00028ab000300
1.0	Cellular organisms	Zm00028ab000310
9.0	Family: Poaceae	Zm00028ab000320
14.0	Subspecies: Zea mays mays	Zm00028ab000330
1.0	Cellular organisms	Zm00028ab000350
9.0	Family: Poaceae	Zm00028ab000360
1.0	Cellular organisms	Zm00028ab000370
1.0	Cellular organisms	Zm00028ab000380
3.0	Kingdom: Viridiplantae	Zm00028ab000390
2.0	Domain: Eukaryota	Zm00028ab000400
1.0	Cellular organisms	Zm00028ab000410
3.0	Kingdom: Viridiplantae	Zm00028ab000420
3.0	Kingdom: Viridiplantae	Zm00028ab000430
1.0	Cellular organisms	Zm00028ab000440
1.0	Cellular organisms	Zm00028ab000450
4.0	Phylum: Streptophyta	Zm00028ab000460
5.0	Land Plants (Embryophyta)	Zm00028ab000470
13.0	Species: Zea mays	Zm00028ab000480
5.0	Land Plants (Embryophyta)	Zm00028ab000490
6.0	Class: Magnoliopsida	Zm00028ab000500
5.0	Land Plants (Embryophyta)	Zm00028ab000510
5.0	Land Plants (Embryophyta)	Zm00028ab000520
1.0	Cellular organisms	Zm00028ab000530
2.0	Domain: Eukaryota	Zm00028ab000540
5.0	Land Plants (Embryophyta)	Zm00028ab000550
1.0	Cellular organisms	Zm00028ab000570
2.0	Domain: Eukaryota	Zm00028ab000580
6.0	Class: Magnoliopsida	Zm00028ab000590
2.0	Domain: Eukaryota	Zm00028ab000620
2.0	Domain: Eukaryota	Zm00028ab000630
1.0	Cellular organisms	Zm00028ab000640
1.0	Cellular organisms	Zm00028ab000650
4.0	Phylum: Streptophyta	Zm00028ab000660
2.0	Domain: Eukaryota	Zm00028ab000670
1.0	Cellular organisms	Zm00028ab000680
3.0	Kingdom: Viridiplantae	Zm00028ab000690
5.0	Land Plants (Embryophyta)	Zm00028ab000700
2.0	Domain: Eukaryota	Zm00028ab000710
4.0	Phylum: Streptophyta	Zm00028ab000720
2.0	Domain: Eukaryota	Zm00028ab000740
5.0	Land Plants (Embryophyta)	Zm00028ab000750
14.0	Subspecies: Zea mays mays	Zm00028ab000760
4.0	Phylum: Streptophyta	Zm00028ab000770
2.0	Domain: Eukaryota	Zm00028ab000780
1.0	Cellular organisms	Zm00028ab000790
1.0	Cellular organisms	Zm00028ab000800
1.0	Cellular organisms	Zm00028ab000810
1.0	Cellular organisms	Zm00028ab000820
5.0	Land Plants (Embryophyta)	Zm00028ab000840
6.0	Class: Magnoliopsida	Zm00028ab000850
2.0	Domain: Eukaryota	Zm00028ab000860
2.0	Domain: Eukaryota	Zm00028ab000870
2.0	Domain: Eukaryota	Zm00028ab000880
2.0	Domain: Eukaryota	Zm00028ab000890
5.0	Land Plants (Embryophyta)	Zm00028ab000900
14.0	Subspecies: Zea mays mays	Zm00028ab000910
2.0	Domain: Eukaryota	Zm00028ab000920
4.0	Phylum: Streptophyta	Zm00028ab000950
4.0	Phylum: Streptophyta	Zm00028ab000960
2.0	Domain: Eukaryota	Zm00028ab000970
6.0	Class: Magnoliopsida	Zm00028ab000980
3.0	Kingdom: Viridiplantae	Zm00028ab000990
1.0	Cellular organisms	Zm00028ab001000
1.0	Cellular organisms	Zm00028ab001010
9.0	Family: Poaceae	Zm00028ab001020
2.0	Domain: Eukaryota	Zm00028ab001030
5.0	Land Plants (Embryophyta)	Zm00028ab001040
2.0	Domain: Eukaryota	Zm00028ab001050
3.0	Kingdom: Viridiplantae	Zm00028ab001060
5.0	Land Plants (Embryophyta)	Zm00028ab001070
1.0	Cellular organisms	Zm00028ab001080
9.0	Family: Poaceae	Zm00028ab001090
6.0	Class: Magnoliopsida	Zm00028ab001100
5.0	Land Plants (Embryophyta)	Zm00028ab001110
1.0	Cellular organisms	Zm00028ab001120
4.0	Phylum: Streptophyta	Zm00028ab001130
		Zm00028ab001140
2.0	Domain: Eukaryota	Zm00028ab001150
2.0	Domain: Eukaryota	Zm00028ab001160
1.0	Cellular organisms	Zm00028ab001170
1.0	Cellular organisms	Zm00028ab001180
1.0	Cellular organisms	Zm00028ab001190
1.0	Cellular organisms	Zm00028ab001200
14.0	Subspecies: Zea mays mays	Zm00028ab001210
11.0	Tribe: Andropogoneae	Zm00028ab001220
2.0	Domain: Eukaryota	Zm00028ab001230
5.0	Land Plants (Embryophyta)	Zm00028ab001240
3.0	Kingdom: Viridiplantae	Zm00028ab001250
1.0	Cellular organisms	Zm00028ab001260
5.0	Land Plants (Embryophyta)	Zm00028ab001270
4.0	Phylum: Streptophyta	Zm00028ab001280
1.0	Cellular organisms	Zm00028ab001290
4.0	Phylum: Streptophyta	Zm00028ab001300
1.0	Cellular organisms	Zm00028ab001310
4.0	Phylum: Streptophyta	Zm00028ab001320
7.0	Monocots (Liliopsida)	Zm00028ab001330
1.0	Cellular organisms	Zm00028ab001350
9.0	Family: Poaceae	Zm00028ab001360
1.0	Cellular organisms	Zm00028ab001370
4.0	Phylum: Streptophyta	Zm00028ab001380
12.0	Genus: Zea	Zm00028ab001390
5.0	Land Plants (Embryophyta)	Zm00028ab001400
2.0	Domain: Eukaryota	Zm00028ab001410
1.0	Cellular organisms	Zm00028ab001420
2.0	Domain: Eukaryota	Zm00028ab001430
