LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00032ab000010
2.0	Domain: Eukaryota	Zm00032ab000020
9.0	Family: Poaceae	Zm00032ab000030
5.0	Land Plants (Embryophyta)	Zm00032ab000040
11.0	Tribe: Andropogoneae	Zm00032ab000050
4.0	Phylum: Streptophyta	Zm00032ab000060
10.0	Subfamily: Panicoideae	Zm00032ab000070
1.0	Cellular organisms	Zm00032ab000080
9.0	Family: Poaceae	Zm00032ab000090
1.0	Cellular organisms	Zm00032ab000100
9.0	Family: Poaceae	Zm00032ab000120
5.0	Land Plants (Embryophyta)	Zm00032ab000140
1.0	Cellular organisms	Zm00032ab000150
13.0	Species: Zea mays	Zm00032ab000170
5.0	Land Plants (Embryophyta)	Zm00032ab000180
4.0	Phylum: Streptophyta	Zm00032ab000190
1.0	Cellular organisms	Zm00032ab000200
5.0	Land Plants (Embryophyta)	Zm00032ab000210
1.0	Cellular organisms	Zm00032ab000220
		Zm00032ab000230
11.0	Tribe: Andropogoneae	Zm00032ab000240
1.0	Cellular organisms	Zm00032ab000250
2.0	Domain: Eukaryota	Zm00032ab000260
2.0	Domain: Eukaryota	Zm00032ab000270
1.0	Cellular organisms	Zm00032ab000280
9.0	Family: Poaceae	Zm00032ab000290
4.0	Phylum: Streptophyta	Zm00032ab000300
14.0	Subspecies: Zea mays mays	Zm00032ab000310
1.0	Cellular organisms	Zm00032ab000330
1.0	Cellular organisms	Zm00032ab000350
3.0	Kingdom: Viridiplantae	Zm00032ab000360
2.0	Domain: Eukaryota	Zm00032ab000370
3.0	Kingdom: Viridiplantae	Zm00032ab000380
7.0	Monocots (Liliopsida)	Zm00032ab000390
3.0	Kingdom: Viridiplantae	Zm00032ab000400
1.0	Cellular organisms	Zm00032ab000410
1.0	Cellular organisms	Zm00032ab000420
4.0	Phylum: Streptophyta	Zm00032ab000430
13.0	Species: Zea mays	Zm00032ab000440
5.0	Land Plants (Embryophyta)	Zm00032ab000450
3.0	Kingdom: Viridiplantae	Zm00032ab000460
2.0	Domain: Eukaryota	Zm00032ab000470
2.0	Domain: Eukaryota	Zm00032ab000480
14.0	Subspecies: Zea mays mays	Zm00032ab000490
4.0	Phylum: Streptophyta	Zm00032ab000500
2.0	Domain: Eukaryota	Zm00032ab000510
2.0	Domain: Eukaryota	Zm00032ab000520
1.0	Cellular organisms	Zm00032ab000540
13.0	Species: Zea mays	Zm00032ab000550
14.0	Subspecies: Zea mays mays	Zm00032ab000560
6.0	Class: Magnoliopsida	Zm00032ab000570
5.0	Land Plants (Embryophyta)	Zm00032ab000580
5.0	Land Plants (Embryophyta)	Zm00032ab000590
1.0	Cellular organisms	Zm00032ab000600
7.0	Monocots (Liliopsida)	Zm00032ab000610
5.0	Land Plants (Embryophyta)	Zm00032ab000620
2.0	Domain: Eukaryota	Zm00032ab000630
5.0	Land Plants (Embryophyta)	Zm00032ab000640
1.0	Cellular organisms	Zm00032ab000660
2.0	Domain: Eukaryota	Zm00032ab000670
11.0	Tribe: Andropogoneae	Zm00032ab000690
6.0	Class: Magnoliopsida	Zm00032ab000700
13.0	Species: Zea mays	Zm00032ab000720
2.0	Domain: Eukaryota	Zm00032ab000730
3.0	Kingdom: Viridiplantae	Zm00032ab000740
1.0	Cellular organisms	Zm00032ab000750
5.0	Land Plants (Embryophyta)	Zm00032ab000760
4.0	Phylum: Streptophyta	Zm00032ab000770
2.0	Domain: Eukaryota	Zm00032ab000780
1.0	Cellular organisms	Zm00032ab000790
3.0	Kingdom: Viridiplantae	Zm00032ab000800
11.0	Tribe: Andropogoneae	Zm00032ab000810
2.0	Domain: Eukaryota	Zm00032ab000820
4.0	Phylum: Streptophyta	Zm00032ab000830
2.0	Domain: Eukaryota	Zm00032ab000840
5.0	Land Plants (Embryophyta)	Zm00032ab000850
4.0	Phylum: Streptophyta	Zm00032ab000860
2.0	Domain: Eukaryota	Zm00032ab000870
1.0	Cellular organisms	Zm00032ab000880
9.0	Family: Poaceae	Zm00032ab000890
1.0	Cellular organisms	Zm00032ab000900
6.0	Class: Magnoliopsida	Zm00032ab000910
1.0	Cellular organisms	Zm00032ab000920
5.0	Land Plants (Embryophyta)	Zm00032ab000930
6.0	Class: Magnoliopsida	Zm00032ab000940
2.0	Domain: Eukaryota	Zm00032ab000950
		Zm00032ab000960
2.0	Domain: Eukaryota	Zm00032ab000970
2.0	Domain: Eukaryota	Zm00032ab000980
2.0	Domain: Eukaryota	Zm00032ab000990
5.0	Land Plants (Embryophyta)	Zm00032ab001000
2.0	Domain: Eukaryota	Zm00032ab001020
4.0	Phylum: Streptophyta	Zm00032ab001030
4.0	Phylum: Streptophyta	Zm00032ab001040
9.0	Family: Poaceae	Zm00032ab001050
2.0	Domain: Eukaryota	Zm00032ab001060
6.0	Class: Magnoliopsida	Zm00032ab001070
3.0	Kingdom: Viridiplantae	Zm00032ab001080
1.0	Cellular organisms	Zm00032ab001090
1.0	Cellular organisms	Zm00032ab001110
9.0	Family: Poaceae	Zm00032ab001120
2.0	Domain: Eukaryota	Zm00032ab001130
5.0	Land Plants (Embryophyta)	Zm00032ab001140
2.0	Domain: Eukaryota	Zm00032ab001150
3.0	Kingdom: Viridiplantae	Zm00032ab001160
5.0	Land Plants (Embryophyta)	Zm00032ab001170
1.0	Cellular organisms	Zm00032ab001180
6.0	Class: Magnoliopsida	Zm00032ab001200
