LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00027ab191410;Zm00027ab191410;Zm00027ab191410;Zm00027ab191410;Zm00027ab256640;Zm00027ab237970;Zm00027ab237970;Zm00027ab237970;Zm00027ab148400;Zm00027ab148400;Zm00027ab148400;Zm00027ab148400;Zm00027ab148400;Zm00027ab148400;Zm00027ab057040;Zm00027ab057040;Zm00027ab294250;Zm00027ab294250;Zm00027ab294250;Zm00027ab294250;Zm00027ab297960;Zm00027ab431310;Zm00027ab431310;Zm00027ab111470;Zm00027ab413470;Zm00027ab413470;Zm00027ab413470;Zm00027ab413470;Zm00027ab413470;Zm00027ab111490;Zm00027ab202030;Zm00027ab202030;Zm00027ab017110;Zm00027ab017110;Zm00027ab365240;Zm00027ab365240;Zm00027ab365240;Zm00027ab365240;Zm00027ab206120;Zm00027ab206120;Zm00027ab206120;Zm00027ab206120;Zm00027ab076280;Zm00027ab076280;Zm00027ab076280;Zm00027ab159090;Zm00027ab159090;Zm00027ab159090
IPR000008	C2 domain	Zm00027ab103420;Zm00027ab246750;Zm00027ab246750;Zm00027ab246750;Zm00027ab246750;Zm00027ab246750;Zm00027ab246750;Zm00027ab246750;Zm00027ab246750;Zm00027ab206870;Zm00027ab059490;Zm00027ab292050;Zm00027ab292050;Zm00027ab353380;Zm00027ab353380;Zm00027ab353380;Zm00027ab385810;Zm00027ab076740;Zm00027ab076740;Zm00027ab076740;Zm00027ab341890;Zm00027ab341890;Zm00027ab341890;Zm00027ab341890;Zm00027ab341890;Zm00027ab341890;Zm00027ab090010;Zm00027ab336830;Zm00027ab336830;Zm00027ab377160;Zm00027ab336830;Zm00027ab336830;Zm00027ab336830;Zm00027ab336830;Zm00027ab336830;Zm00027ab336830;Zm00027ab336830;Zm00027ab336830;Zm00027ab440480;Zm00027ab143830;Zm00027ab336540;Zm00027ab240480;Zm00027ab240480;Zm00027ab240480;Zm00027ab240480;Zm00027ab240480;Zm00027ab240480;Zm00027ab368610;Zm00027ab233230;Zm00027ab341650;Zm00027ab341650;Zm00027ab341650;Zm00027ab069000;Zm00027ab069000;Zm00027ab069000;Zm00027ab323370;Zm00027ab326220;Zm00027ab326220;Zm00027ab326220;Zm00027ab326220;Zm00027ab097690;Zm00027ab097690;Zm00027ab097690;Zm00027ab312330;Zm00027ab110810;Zm00027ab110810;Zm00027ab110810;Zm00027ab110810;Zm00027ab110810;Zm00027ab110810;Zm00027ab393290;Zm00027ab393290;Zm00027ab393290;Zm00027ab393290;Zm00027ab393290;Zm00027ab393290;Zm00027ab393290;Zm00027ab393290;Zm00027ab393290;Zm00027ab110810;Zm00027ab110810;Zm00027ab393290;Zm00027ab393290;Zm00027ab393290;Zm00027ab092090;Zm00027ab092090;Zm00027ab092090;Zm00027ab092090;Zm00027ab192140;Zm00027ab192140;Zm00027ab192140;Zm00027ab192140;Zm00027ab192140;Zm00027ab034550;Zm00027ab034550;Zm00027ab362330;Zm00027ab362330;Zm00027ab362330;Zm00027ab362330;Zm00027ab034550;Zm00027ab034550;Zm00027ab034550;Zm00027ab034550;Zm00027ab034550;Zm00027ab008730;Zm00027ab008730;Zm00027ab008730;Zm00027ab310410;Zm00027ab310410;Zm00027ab310410;Zm00027ab310410;Zm00027ab194520;Zm00027ab204810;Zm00027ab204810;Zm00027ab204810;Zm00027ab204810;Zm00027ab204810;Zm00027ab204810;Zm00027ab204810;Zm00027ab204810;Zm00027ab305590;Zm00027ab305590;Zm00027ab305590;Zm00027ab305590;Zm00027ab326630;Zm00027ab104620;Zm00027ab104620;Zm00027ab188440;Zm00027ab104620;Zm00027ab188440;Zm00027ab096540;Zm00027ab039230;Zm00027ab189460;Zm00027ab189460;Zm00027ab189460;Zm00027ab189460;Zm00027ab376930;Zm00027ab001480;Zm00027ab001480;Zm00027ab290450;Zm00027ab294550;Zm00027ab294550;Zm00027ab294550;Zm00027ab294550;Zm00027ab294550;Zm00027ab294550;Zm00027ab222470;Zm00027ab222470;Zm00027ab222470;Zm00027ab222470;Zm00027ab207000;Zm00027ab207000;Zm00027ab257650;Zm00027ab257650;Zm00027ab257650;Zm00027ab257650;Zm00027ab234350;Zm00027ab399420;Zm00027ab288330;Zm00027ab288330;Zm00027ab233220;Zm00027ab233220;Zm00027ab233220;Zm00027ab013810;Zm00027ab312830;Zm00027ab312830;Zm00027ab312830;Zm00027ab312830;Zm00027ab312830;Zm00027ab312830;Zm00027ab312830;Zm00027ab312830;Zm00027ab335100;Zm00027ab312830;Zm00027ab330540;Zm00027ab330540;Zm00027ab286220;Zm00027ab286220;Zm00027ab286220;Zm00027ab286220;Zm00027ab286220;Zm00027ab286220;Zm00027ab284630;Zm00027ab284630;Zm00027ab105600;Zm00027ab105600;Zm00027ab105600;Zm00027ab105600;Zm00027ab105600;Zm00027ab105600;Zm00027ab105600;Zm00027ab105600;Zm00027ab105600;Zm00027ab284630;Zm00027ab284630;Zm00027ab150210;Zm00027ab326960;Zm00027ab123540;Zm00027ab123540;Zm00027ab123540;Zm00027ab123540;Zm00027ab123540;Zm00027ab123540;Zm00027ab123540;Zm00027ab123540;Zm00027ab123540;Zm00027ab281100;Zm00027ab281100;Zm00027ab281100;Zm00027ab123540;Zm00027ab363620;Zm00027ab108540;Zm00027ab108540;Zm00027ab108540;Zm00027ab161700;Zm00027ab367630;Zm00027ab303800;Zm00027ab100390;Zm00027ab303800;Zm00027ab100390;Zm00027ab303800;Zm00027ab290350;Zm00027ab290350;Zm00027ab290350;Zm00027ab290350;Zm00027ab391450;Zm00027ab391450;Zm00027ab126720;Zm00027ab126720;Zm00027ab126720;Zm00027ab126720;Zm00027ab126720;Zm00027ab126720;Zm00027ab303610;Zm00027ab397690;Zm00027ab397690;Zm00027ab397690;Zm00027ab397690;Zm00027ab251410;Zm00027ab364660;Zm00027ab367980;Zm00027ab367980;Zm00027ab367980;Zm00027ab367980;Zm00027ab432940;Zm00027ab432940;Zm00027ab372150;Zm00027ab432940;Zm00027ab021480;Zm00027ab021480;Zm00027ab021480;Zm00027ab021480;Zm00027ab193730;Zm00027ab391720;Zm00027ab391720;Zm00027ab193730;Zm00027ab193730;Zm00027ab391720;Zm00027ab193730;Zm00027ab392380;Zm00027ab392380;Zm00027ab281420;Zm00027ab080090;Zm00027ab080090;Zm00027ab080090;Zm00027ab281420;Zm00027ab104480;Zm00027ab104480;Zm00027ab263240;Zm00027ab263240;Zm00027ab263240;Zm00027ab263240;Zm00027ab104480;Zm00027ab104480;Zm00027ab133220;Zm00027ab024760;Zm00027ab024760;Zm00027ab024760;Zm00027ab024760;Zm00027ab024760;Zm00027ab024760;Zm00027ab075820;Zm00027ab011090;Zm00027ab075820;Zm00027ab201140;Zm00027ab201140;Zm00027ab151620;Zm00027ab112560;Zm00027ab112560;Zm00027ab112560;Zm00027ab112560;Zm00027ab112560;Zm00027ab240570;Zm00027ab240570;Zm00027ab229630;Zm00027ab229630;Zm00027ab229630;Zm00027ab240570;Zm00027ab240570;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab240570;Zm00027ab240570;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab066340;Zm00027ab229630;Zm00027ab229630;Zm00027ab018940;Zm00027ab018940;Zm00027ab018940;Zm00027ab018940;Zm00027ab018940;Zm00027ab018940;Zm00027ab018940;Zm00027ab018940;Zm00027ab079910;Zm00027ab079910;Zm00027ab018940;Zm00027ab106180;Zm00027ab281070;Zm00027ab281070;Zm00027ab281070;Zm00027ab281070;Zm00027ab281070;Zm00027ab281070;Zm00027ab281070;Zm00027ab281070;Zm00027ab281070;Zm00027ab406370;Zm00027ab406370
IPR000010	Cystatin domain	Zm00027ab407380;Zm00027ab021050;Zm00027ab407360;Zm00027ab373900;Zm00027ab006170;Zm00027ab296620;Zm00027ab006160;Zm00027ab373910;Zm00027ab021040;Zm00027ab171120;Zm00027ab369850;Zm00027ab021030;Zm00027ab152430;Zm00027ab152430;Zm00027ab152430;Zm00027ab293120;Zm00027ab293120;Zm00027ab293120;Zm00027ab293120;Zm00027ab293120;Zm00027ab293120;Zm00027ab171130;Zm00027ab407370;Zm00027ab337880;Zm00027ab337880;Zm00027ab354270;Zm00027ab354270
IPR000014	PAS domain	Zm00027ab165070;Zm00027ab165070;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab122130;Zm00027ab230280;Zm00027ab230280;Zm00027ab167030;Zm00027ab167030;Zm00027ab167030;Zm00027ab167030;Zm00027ab167030;Zm00027ab043080;Zm00027ab043080;Zm00027ab043080;Zm00027ab043080;Zm00027ab043080;Zm00027ab043080;Zm00027ab043080;Zm00027ab043080;Zm00027ab278240;Zm00027ab278240;Zm00027ab236270;Zm00027ab114460;Zm00027ab114460;Zm00027ab205160
IPR000023	Phosphofructokinase domain	Zm00027ab191910;Zm00027ab191910;Zm00027ab276010;Zm00027ab276010;Zm00027ab285300;Zm00027ab381510;Zm00027ab355070;Zm00027ab155910;Zm00027ab289480;Zm00027ab048580;Zm00027ab376440;Zm00027ab376440;Zm00027ab298800;Zm00027ab041520;Zm00027ab041520;Zm00027ab041520;Zm00027ab041520;Zm00027ab041520;Zm00027ab088940;Zm00027ab100300;Zm00027ab100300;Zm00027ab100300;Zm00027ab100300;Zm00027ab100300;Zm00027ab043390;Zm00027ab043390;Zm00027ab313910;Zm00027ab121890;Zm00027ab121890;Zm00027ab431370;Zm00027ab342320;Zm00027ab342320
IPR000031	PurE domain	Zm00027ab121020;Zm00027ab289910;Zm00027ab289910
IPR000043	Adenosylhomocysteinase-like	Zm00027ab172360;Zm00027ab172360
IPR000048	IQ motif, EF-hand binding site	Zm00027ab172420;Zm00027ab432540;Zm00027ab432540;Zm00027ab439420;Zm00027ab439420;Zm00027ab439420;Zm00027ab032630;Zm00027ab032630;Zm00027ab032630;Zm00027ab032630;Zm00027ab032630;Zm00027ab032630;Zm00027ab087700;Zm00027ab087700;Zm00027ab048030;Zm00027ab048030;Zm00027ab227260;Zm00027ab227260;Zm00027ab048030;Zm00027ab048030;Zm00027ab227960;Zm00027ab227960;Zm00027ab227960;Zm00027ab227960;Zm00027ab227960;Zm00027ab227960;Zm00027ab227960;Zm00027ab227960;Zm00027ab111240;Zm00027ab111240;Zm00027ab111240;Zm00027ab111240;Zm00027ab332690;Zm00027ab332690;Zm00027ab233670;Zm00027ab233670;Zm00027ab332690;Zm00027ab332690;Zm00027ab380880;Zm00027ab380880;Zm00027ab329120;Zm00027ab375940;Zm00027ab375940;Zm00027ab186830;Zm00027ab219600;Zm00027ab219600;Zm00027ab435250;Zm00027ab219600;Zm00027ab219600;Zm00027ab435250;Zm00027ab085660;Zm00027ab085660;Zm00027ab085660;Zm00027ab085660;Zm00027ab295040;Zm00027ab295040;Zm00027ab298920;Zm00027ab298920;Zm00027ab298920;Zm00027ab298920;Zm00027ab065790;Zm00027ab065790;Zm00027ab065790;Zm00027ab295040;Zm00027ab065790;Zm00027ab065790;Zm00027ab065790;Zm00027ab065790;Zm00027ab065790;Zm00027ab065790;Zm00027ab319790;Zm00027ab319790;Zm00027ab299310;Zm00027ab299310;Zm00027ab179050;Zm00027ab287680;Zm00027ab287680;Zm00027ab299310;Zm00027ab299310;Zm00027ab299310;Zm00027ab299310;Zm00027ab191060;Zm00027ab191060;Zm00027ab384880;Zm00027ab326020;Zm00027ab326020;Zm00027ab358690;Zm00027ab358690;Zm00027ab017130;Zm00027ab017130;Zm00027ab405100;Zm00027ab405100;Zm00027ab426100;Zm00027ab270750;Zm00027ab270750;Zm00027ab270750;Zm00027ab270750;Zm00027ab045560;Zm00027ab045560;Zm00027ab045560;Zm00027ab045560;Zm00027ab045560;Zm00027ab045560;Zm00027ab045560;Zm00027ab045560;Zm00027ab045560;Zm00027ab073830;Zm00027ab073830;Zm00027ab050620;Zm00027ab050620;Zm00027ab050620;Zm00027ab050620;Zm00027ab254070;Zm00027ab254070;Zm00027ab217170;Zm00027ab217170;Zm00027ab217170;Zm00027ab217170;Zm00027ab217170;Zm00027ab217170;Zm00027ab217170;Zm00027ab217170;Zm00027ab217170;Zm00027ab217170;Zm00027ab336430;Zm00027ab336430;Zm00027ab393500;Zm00027ab096940;Zm00027ab096940;Zm00027ab232800;Zm00027ab232800;Zm00027ab340040;Zm00027ab340040;Zm00027ab067740;Zm00027ab148890;Zm00027ab348870;Zm00027ab205810;Zm00027ab205810;Zm00027ab017400;Zm00027ab396970;Zm00027ab396970;Zm00027ab288700;Zm00027ab288700;Zm00027ab288700;Zm00027ab288700;Zm00027ab288700;Zm00027ab288700;Zm00027ab173070;Zm00027ab173070;Zm00027ab240900;Zm00027ab240900;Zm00027ab157240;Zm00027ab137150;Zm00027ab137150;Zm00027ab322540;Zm00027ab322540;Zm00027ab361460;Zm00027ab361460;Zm00027ab218590;Zm00027ab218590;Zm00027ab361460;Zm00027ab361460;Zm00027ab093110;Zm00027ab093110;Zm00027ab233890;Zm00027ab233890;Zm00027ab208650;Zm00027ab208650;Zm00027ab286980;Zm00027ab286980;Zm00027ab091600;Zm00027ab156930;Zm00027ab156930;Zm00027ab156930;Zm00027ab156930;Zm00027ab156930;Zm00027ab156930;Zm00027ab156930;Zm00027ab156930;Zm00027ab173030;Zm00027ab173030;Zm00027ab427990;Zm00027ab427990;Zm00027ab007400;Zm00027ab007400;Zm00027ab427990;Zm00027ab427990;Zm00027ab007400;Zm00027ab007400;Zm00027ab007400;Zm00027ab007400;Zm00027ab425590;Zm00027ab425590;Zm00027ab427990;Zm00027ab427990;Zm00027ab397580;Zm00027ab397580;Zm00027ab397580;Zm00027ab397580;Zm00027ab397580;Zm00027ab397580;Zm00027ab397580;Zm00027ab397580;Zm00027ab397580;Zm00027ab397580;Zm00027ab185100;Zm00027ab185100;Zm00027ab248940;Zm00027ab370710;Zm00027ab149860;Zm00027ab149860;Zm00027ab034120;Zm00027ab074280;Zm00027ab315360;Zm00027ab192390;Zm00027ab340980;Zm00027ab340980;Zm00027ab028660;Zm00027ab028660;Zm00027ab258320;Zm00027ab326520;Zm00027ab326520;Zm00027ab326520;Zm00027ab326520;Zm00027ab326520;Zm00027ab326520;Zm00027ab027120;Zm00027ab027120;Zm00027ab099200;Zm00027ab099200;Zm00027ab144700;Zm00027ab144700;Zm00027ab144700;Zm00027ab144700;Zm00027ab299390;Zm00027ab089490;Zm00027ab089490;Zm00027ab273580;Zm00027ab273580;Zm00027ab376450;Zm00027ab376450;Zm00027ab186880;Zm00027ab186880;Zm00027ab311690;Zm00027ab311690;Zm00027ab349270;Zm00027ab349270;Zm00027ab028130;Zm00027ab028130;Zm00027ab028130;Zm00027ab028130;Zm00027ab028130;Zm00027ab028130;Zm00027ab326030;Zm00027ab326030;Zm00027ab186520;Zm00027ab408670;Zm00027ab408670;Zm00027ab101600;Zm00027ab408670;Zm00027ab408670;Zm00027ab408670;Zm00027ab408670;Zm00027ab028130;Zm00027ab028130;Zm00027ab107580;Zm00027ab107580;Zm00027ab107580;Zm00027ab107580;Zm00027ab360230;Zm00027ab360230;Zm00027ab360230;Zm00027ab177450;Zm00027ab177450;Zm00027ab252670;Zm00027ab252670;Zm00027ab034110;Zm00027ab034110;Zm00027ab121920;Zm00027ab121920;Zm00027ab387250;Zm00027ab387250;Zm00027ab253620;Zm00027ab362020;Zm00027ab362020;Zm00027ab362020;Zm00027ab362020;Zm00027ab334250;Zm00027ab334250;Zm00027ab362020;Zm00027ab362020;Zm00027ab362020;Zm00027ab362020;Zm00027ab155700;Zm00027ab155700;Zm00027ab155700;Zm00027ab155700;Zm00027ab155700;Zm00027ab155700;Zm00027ab155700;Zm00027ab155700;Zm00027ab155700;Zm00027ab155700;Zm00027ab183470;Zm00027ab183470;Zm00027ab087320;Zm00027ab381170;Zm00027ab381170;Zm00027ab299560;Zm00027ab299560;Zm00027ab274260;Zm00027ab283460;Zm00027ab283460;Zm00027ab407890;Zm00027ab390000;Zm00027ab390000;Zm00027ab162650;Zm00027ab162650;Zm00027ab162650;Zm00027ab162650;Zm00027ab162650;Zm00027ab162650;Zm00027ab162650;Zm00027ab162650;Zm00027ab162650;Zm00027ab162650;Zm00027ab225360;Zm00027ab225360;Zm00027ab225360;Zm00027ab225360;Zm00027ab225360;Zm00027ab225360;Zm00027ab196190;Zm00027ab196190;Zm00027ab196190;Zm00027ab196190;Zm00027ab196190;Zm00027ab295960;Zm00027ab295960;Zm00027ab011430;Zm00027ab390790;Zm00027ab390790;Zm00027ab345690;Zm00027ab345690;Zm00027ab354970;Zm00027ab354970;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab060600;Zm00027ab354970;Zm00027ab354970;Zm00027ab318880;Zm00027ab318880;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab218780;Zm00027ab218780;Zm00027ab218780;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab327650;Zm00027ab051040;Zm00027ab051040;Zm00027ab218780;Zm00027ab218780;Zm00027ab218780;Zm00027ab218780;Zm00027ab342360;Zm00027ab342360;Zm00027ab310610;Zm00027ab310610;Zm00027ab310610;Zm00027ab310610;Zm00027ab310610;Zm00027ab310610;Zm00027ab310610;Zm00027ab310610;Zm00027ab310610;Zm00027ab310610;Zm00027ab310610;Zm00027ab210330;Zm00027ab210330;Zm00027ab150780;Zm00027ab395130;Zm00027ab395130;Zm00027ab150780;Zm00027ab150780;Zm00027ab150780;Zm00027ab150780;Zm00027ab150780;Zm00027ab150780;Zm00027ab263310;Zm00027ab263310;Zm00027ab263310;Zm00027ab263310;Zm00027ab263310;Zm00027ab263310;Zm00027ab376950;Zm00027ab376950;Zm00027ab376950;Zm00027ab263310;Zm00027ab263310;Zm00027ab263310;Zm00027ab263310;Zm00027ab263310;Zm00027ab263310;Zm00027ab376950;Zm00027ab376950;Zm00027ab376950;Zm00027ab257480;Zm00027ab124620;Zm00027ab124620;Zm00027ab296030;Zm00027ab296030;Zm00027ab176280;Zm00027ab176280;Zm00027ab014330;Zm00027ab014330;Zm00027ab051270;Zm00027ab051270;Zm00027ab051270;Zm00027ab051270
IPR000054	Ribosomal protein L31e	Zm00027ab192260;Zm00027ab257380;Zm00027ab386430
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00027ab407620;Zm00027ab407620;Zm00027ab407620;Zm00027ab407620;Zm00027ab005900;Zm00027ab005900;Zm00027ab005900;Zm00027ab005900;Zm00027ab005900;Zm00027ab322430;Zm00027ab322430;Zm00027ab322430;Zm00027ab322430;Zm00027ab322430;Zm00027ab322430
