LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00030ab000010
2.0	Domain: Eukaryota	Zm00030ab000020
1.0	Cellular organisms	Zm00030ab000040
9.0	Family: Poaceae	Zm00030ab000050
5.0	Land Plants (Embryophyta)	Zm00030ab000060
4.0	Phylum: Streptophyta	Zm00030ab000080
4.0	Phylum: Streptophyta	Zm00030ab000090
3.0	Kingdom: Viridiplantae	Zm00030ab000100
1.0	Cellular organisms	Zm00030ab000110
9.0	Family: Poaceae	Zm00030ab000120
1.0	Cellular organisms	Zm00030ab000130
9.0	Family: Poaceae	Zm00030ab000140
5.0	Land Plants (Embryophyta)	Zm00030ab000160
5.0	Land Plants (Embryophyta)	Zm00030ab000180
1.0	Cellular organisms	Zm00030ab000200
4.0	Phylum: Streptophyta	Zm00030ab000210
1.0	Cellular organisms	Zm00030ab000220
5.0	Land Plants (Embryophyta)	Zm00030ab000230
5.0	Land Plants (Embryophyta)	Zm00030ab000240
4.0	Phylum: Streptophyta	Zm00030ab000250
1.0	Cellular organisms	Zm00030ab000260
1.0	Cellular organisms	Zm00030ab000270
6.0	Class: Magnoliopsida	Zm00030ab000280
2.0	Domain: Eukaryota	Zm00030ab000290
7.0	Monocots (Liliopsida)	Zm00030ab000300
9.0	Family: Poaceae	Zm00030ab000310
14.0	Subspecies: Zea mays mays	Zm00030ab000320
5.0	Land Plants (Embryophyta)	Zm00030ab000350
9.0	Family: Poaceae	Zm00030ab000360
9.0	Family: Poaceae	Zm00030ab000370
6.0	Class: Magnoliopsida	Zm00030ab000380
14.0	Subspecies: Zea mays mays	Zm00030ab000420
1.0	Cellular organisms	Zm00030ab000430
1.0	Cellular organisms	Zm00030ab000440
1.0	Cellular organisms	Zm00030ab000450
4.0	Phylum: Streptophyta	Zm00030ab000460
1.0	Cellular organisms	Zm00030ab000470
5.0	Land Plants (Embryophyta)	Zm00030ab000480
4.0	Phylum: Streptophyta	Zm00030ab000490
14.0	Subspecies: Zea mays mays	Zm00030ab000500
1.0	Cellular organisms	Zm00030ab000510
2.0	Domain: Eukaryota	Zm00030ab000520
14.0	Subspecies: Zea mays mays	Zm00030ab000530
2.0	Domain: Eukaryota	Zm00030ab000540
1.0	Cellular organisms	Zm00030ab000550
9.0	Family: Poaceae	Zm00030ab000560
4.0	Phylum: Streptophyta	Zm00030ab000570
1.0	Cellular organisms	Zm00030ab000590
6.0	Class: Magnoliopsida	Zm00030ab000600
14.0	Subspecies: Zea mays mays	Zm00030ab000610
1.0	Cellular organisms	Zm00030ab000620
3.0	Kingdom: Viridiplantae	Zm00030ab000630
2.0	Domain: Eukaryota	Zm00030ab000640
3.0	Kingdom: Viridiplantae	Zm00030ab000650
3.0	Kingdom: Viridiplantae	Zm00030ab000660
1.0	Cellular organisms	Zm00030ab000670
1.0	Cellular organisms	Zm00030ab000680
4.0	Phylum: Streptophyta	Zm00030ab000690
2.0	Domain: Eukaryota	Zm00030ab000700
5.0	Land Plants (Embryophyta)	Zm00030ab000710
1.0	Cellular organisms	Zm00030ab000720
7.0	Monocots (Liliopsida)	Zm00030ab000730
6.0	Class: Magnoliopsida	Zm00030ab000740
5.0	Land Plants (Embryophyta)	Zm00030ab000750
5.0	Land Plants (Embryophyta)	Zm00030ab000760
5.0	Land Plants (Embryophyta)	Zm00030ab000770
1.0	Cellular organisms	Zm00030ab000780
2.0	Domain: Eukaryota	Zm00030ab000790
5.0	Land Plants (Embryophyta)	Zm00030ab000800
1.0	Cellular organisms	Zm00030ab000820
2.0	Domain: Eukaryota	Zm00030ab000830
6.0	Class: Magnoliopsida	Zm00030ab000850
2.0	Domain: Eukaryota	Zm00030ab000860
1.0	Cellular organisms	Zm00030ab000870
1.0	Cellular organisms	Zm00030ab000880
1.0	Cellular organisms	Zm00030ab000890
