LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00038ab160230;Zm00038ab160230;Zm00038ab160230;Zm00038ab160230;Zm00038ab160230;Zm00038ab383170;Zm00038ab383170;Zm00038ab201800;Zm00038ab201800;Zm00038ab113260;Zm00038ab295790;Zm00038ab295790;Zm00038ab205680;Zm00038ab205680;Zm00038ab205680;Zm00038ab205680;Zm00038ab191200;Zm00038ab113240;Zm00038ab149400;Zm00038ab149400;Zm00038ab149400;Zm00038ab149400;Zm00038ab149400;Zm00038ab149400;Zm00038ab286950;Zm00038ab256960;Zm00038ab256960;Zm00038ab067350;Zm00038ab067350;Zm00038ab368690;Zm00038ab368690;Zm00038ab368690;Zm00038ab368690;Zm00038ab368690;Zm00038ab368690;Zm00038ab238450;Zm00038ab238450;Zm00038ab077650;Zm00038ab299460;Zm00038ab017580
IPR000008	C2 domain	Zm00038ab081700;Zm00038ab081700;Zm00038ab081700;Zm00038ab344800;Zm00038ab344800;Zm00038ab344800;Zm00038ab344800;Zm00038ab344800;Zm00038ab344800;Zm00038ab107190;Zm00038ab193660;Zm00038ab329450;Zm00038ab193660;Zm00038ab193660;Zm00038ab101880;Zm00038ab101880;Zm00038ab107200;Zm00038ab107200;Zm00038ab107200;Zm00038ab314590;Zm00038ab314590;Zm00038ab107830;Zm00038ab070290;Zm00038ab070290;Zm00038ab312490;Zm00038ab312490;Zm00038ab305260;Zm00038ab312490;Zm00038ab312490;Zm00038ab258050;Zm00038ab258050;Zm00038ab258050;Zm00038ab258050;Zm00038ab258050;Zm00038ab258050;Zm00038ab258050;Zm00038ab258050;Zm00038ab011250;Zm00038ab114370;Zm00038ab011250;Zm00038ab025680;Zm00038ab025680;Zm00038ab025680;Zm00038ab025680;Zm00038ab222290;Zm00038ab222290;Zm00038ab222290;Zm00038ab222290;Zm00038ab025680;Zm00038ab025680;Zm00038ab417730;Zm00038ab417730;Zm00038ab417730;Zm00038ab417730;Zm00038ab251510;Zm00038ab251510;Zm00038ab285940;Zm00038ab404880;Zm00038ab404880;Zm00038ab404880;Zm00038ab404880;Zm00038ab404880;Zm00038ab404880;Zm00038ab404880;Zm00038ab404880;Zm00038ab404880;Zm00038ab371290;Zm00038ab371290;Zm00038ab371290;Zm00038ab098270;Zm00038ab194500;Zm00038ab233470;Zm00038ab344560;Zm00038ab344560;Zm00038ab344560;Zm00038ab282270;Zm00038ab282270;Zm00038ab282270;Zm00038ab282270;Zm00038ab282270;Zm00038ab282270;Zm00038ab282270;Zm00038ab282270;Zm00038ab282270;Zm00038ab305490;Zm00038ab305490;Zm00038ab008610;Zm00038ab008610;Zm00038ab008610;Zm00038ab403020;Zm00038ab403020;Zm00038ab305490;Zm00038ab110320;Zm00038ab110320;Zm00038ab110320;Zm00038ab110320;Zm00038ab291700;Zm00038ab291700;Zm00038ab291700;Zm00038ab291700;Zm00038ab291700;Zm00038ab291700;Zm00038ab099620;Zm00038ab099620;Zm00038ab099620;Zm00038ab291700;Zm00038ab291700;Zm00038ab291700;Zm00038ab291700;Zm00038ab081510;Zm00038ab081510;Zm00038ab081510;Zm00038ab134620;Zm00038ab162750;Zm00038ab356920;Zm00038ab356920;Zm00038ab356920;Zm00038ab356920;Zm00038ab356920;Zm00038ab356920;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab444570;Zm00038ab204340;Zm00038ab204340;Zm00038ab291830;Zm00038ab090360;Zm00038ab247040;Zm00038ab247040;Zm00038ab192100;Zm00038ab247040;Zm00038ab247040;Zm00038ab192100;Zm00038ab192100;Zm00038ab247040;Zm00038ab247040;Zm00038ab247040;Zm00038ab247040;Zm00038ab247040;Zm00038ab247040;Zm00038ab192100;Zm00038ab247040;Zm00038ab247040;Zm00038ab192100;Zm00038ab013990;Zm00038ab287480;Zm00038ab287480;Zm00038ab287480;Zm00038ab287480;Zm00038ab287480;Zm00038ab287480;Zm00038ab013990;Zm00038ab105010;Zm00038ab296050;Zm00038ab296050;Zm00038ab296050;Zm00038ab307360;Zm00038ab307360;Zm00038ab307360;Zm00038ab307360;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab067590;Zm00038ab387990;Zm00038ab333390;Zm00038ab333390;Zm00038ab333390;Zm00038ab375630;Zm00038ab375630;Zm00038ab240630;Zm00038ab240630;Zm00038ab240630;Zm00038ab240630;Zm00038ab240630;Zm00038ab022290;Zm00038ab315170;Zm00038ab315170;Zm00038ab315170;Zm00038ab315170;Zm00038ab315170;Zm00038ab315170;Zm00038ab315170;Zm00038ab315170;Zm00038ab022290;Zm00038ab077270;Zm00038ab077270;Zm00038ab077270;Zm00038ab240530;Zm00038ab240530;Zm00038ab240530;Zm00038ab240530;Zm00038ab366990;Zm00038ab200910;Zm00038ab200910;Zm00038ab200910;Zm00038ab229780;Zm00038ab229780;Zm00038ab229780;Zm00038ab229780;Zm00038ab289640;Zm00038ab289640;Zm00038ab144990;Zm00038ab144990;Zm00038ab403300;Zm00038ab403300;Zm00038ab282300;Zm00038ab282300;Zm00038ab282300;Zm00038ab282300;Zm00038ab282300;Zm00038ab282300;Zm00038ab403300;Zm00038ab409250;Zm00038ab019580;Zm00038ab019580;Zm00038ab019580;Zm00038ab019580;Zm00038ab019580;Zm00038ab019580;Zm00038ab019580;Zm00038ab019580;Zm00038ab019580;Zm00038ab329140;Zm00038ab329140;Zm00038ab329140;Zm00038ab329140;Zm00038ab337920;Zm00038ab329140;Zm00038ab329140;Zm00038ab329140;Zm00038ab329140;Zm00038ab039960;Zm00038ab125400;Zm00038ab125400;Zm00038ab125400;Zm00038ab125400;Zm00038ab125400;Zm00038ab125400;Zm00038ab125400;Zm00038ab125400;Zm00038ab125400;Zm00038ab125400;Zm00038ab365730;Zm00038ab365730;Zm00038ab365730;Zm00038ab365730;Zm00038ab339350;Zm00038ab233490;Zm00038ab188380;Zm00038ab282570;Zm00038ab282570;Zm00038ab189440;Zm00038ab189440;Zm00038ab189440;Zm00038ab436990;Zm00038ab436990;Zm00038ab001440;Zm00038ab371910;Zm00038ab436990;Zm00038ab388250;Zm00038ab035080;Zm00038ab035080;Zm00038ab035080;Zm00038ab035080;Zm00038ab035080;Zm00038ab035080;Zm00038ab035080;Zm00038ab329770;Zm00038ab397030;Zm00038ab397030;Zm00038ab397030;Zm00038ab397030;Zm00038ab397030;Zm00038ab397030;Zm00038ab093530;Zm00038ab093530;Zm00038ab093530;Zm00038ab282740;Zm00038ab293450;Zm00038ab293450;Zm00038ab293450;Zm00038ab349920;Zm00038ab106190;Zm00038ab106190;Zm00038ab106190;Zm00038ab326330;Zm00038ab326330;Zm00038ab370960;Zm00038ab403940;Zm00038ab403940;Zm00038ab444450;Zm00038ab444450;Zm00038ab078240;Zm00038ab078240;Zm00038ab078240;Zm00038ab078240;Zm00038ab151000;Zm00038ab411040;Zm00038ab411040;Zm00038ab411040;Zm00038ab339660;Zm00038ab339660;Zm00038ab339660;Zm00038ab339660;Zm00038ab339660;Zm00038ab339660;Zm00038ab339660;Zm00038ab339660;Zm00038ab112600;Zm00038ab112600;Zm00038ab128220;Zm00038ab128220;Zm00038ab128220;Zm00038ab128220;Zm00038ab128220;Zm00038ab128220;Zm00038ab206710;Zm00038ab206710;Zm00038ab206710;Zm00038ab206710;Zm00038ab263930;Zm00038ab263930;Zm00038ab263930;Zm00038ab263930;Zm00038ab106000;Zm00038ab106000;Zm00038ab106000;Zm00038ab106000;Zm00038ab106000;Zm00038ab106000;Zm00038ab152380
IPR000010	Cystatin domain	Zm00038ab021860;Zm00038ab357670;Zm00038ab357670;Zm00038ab340670;Zm00038ab340670;Zm00038ab373110;Zm00038ab373110;Zm00038ab418850;Zm00038ab298220;Zm00038ab294520;Zm00038ab294520;Zm00038ab294520;Zm00038ab294520;Zm00038ab294520;Zm00038ab294520;Zm00038ab006030;Zm00038ab377730;Zm00038ab418880;Zm00038ab021870;Zm00038ab171860;Zm00038ab377750;Zm00038ab006020;Zm00038ab171870;Zm00038ab153080;Zm00038ab021880;Zm00038ab418840;Zm00038ab377740
IPR000014	PAS domain	Zm00038ab230460;Zm00038ab044060;Zm00038ab044060;Zm00038ab044060;Zm00038ab044060;Zm00038ab044060;Zm00038ab044060;Zm00038ab211530;Zm00038ab279710;Zm00038ab279710;Zm00038ab166190;Zm00038ab166190;Zm00038ab166190;Zm00038ab166190;Zm00038ab115980;Zm00038ab168120;Zm00038ab168120;Zm00038ab168120;Zm00038ab168120;Zm00038ab124020;Zm00038ab124020;Zm00038ab124020;Zm00038ab124020;Zm00038ab124020;Zm00038ab124020;Zm00038ab124020;Zm00038ab124020;Zm00038ab124020;Zm00038ab124020;Zm00038ab204740;Zm00038ab236870
IPR000023	Phosphofructokinase domain	Zm00038ab277260;Zm00038ab277260;Zm00038ab277260;Zm00038ab277260;Zm00038ab044350;Zm00038ab044350;Zm00038ab422000;Zm00038ab049910;Zm00038ab345260;Zm00038ab345260;Zm00038ab345260;Zm00038ab290770;Zm00038ab316280;Zm00038ab316280;Zm00038ab101710;Zm00038ab101710;Zm00038ab101710;Zm00038ab101710;Zm00038ab101710;Zm00038ab101710;Zm00038ab286570;Zm00038ab123670;Zm00038ab105180;Zm00038ab392730;Zm00038ab397960;Zm00038ab435380;Zm00038ab257560;Zm00038ab257560;Zm00038ab257560;Zm00038ab257560;Zm00038ab358290;Zm00038ab191710;Zm00038ab191710;Zm00038ab300260;Zm00038ab156890;Zm00038ab042340;Zm00038ab042340;Zm00038ab042340;Zm00038ab042340;Zm00038ab042340
IPR000031	PurE domain	Zm00038ab291250;Zm00038ab122840
IPR000043	Adenosylhomocysteinase-like	Zm00038ab172970;Zm00038ab172970
IPR000048	IQ motif, EF-hand binding site	Zm00038ab419340;Zm00038ab401320;Zm00038ab401320;Zm00038ab431710;Zm00038ab431710;Zm00038ab398830;Zm00038ab398830;Zm00038ab034670;Zm00038ab034670;Zm00038ab392260;Zm00038ab392260;Zm00038ab317960;Zm00038ab317960;Zm00038ab431900;Zm00038ab431900;Zm00038ab029440;Zm00038ab029440;Zm00038ab007320;Zm00038ab007320;Zm00038ab280170;Zm00038ab280170;Zm00038ab312670;Zm00038ab312670;Zm00038ab312670;Zm00038ab312670;Zm00038ab312670;Zm00038ab153490;Zm00038ab153490;Zm00038ab275450;Zm00038ab393810;Zm00038ab176460;Zm00038ab176460;Zm00038ab046730;Zm00038ab046730;Zm00038ab409120;Zm00038ab409120;Zm00038ab158790;Zm00038ab158790;Zm00038ab151560;Zm00038ab151560;Zm00038ab151560;Zm00038ab151560;Zm00038ab151560;Zm00038ab151560;Zm00038ab151560;Zm00038ab409120;Zm00038ab409120;Zm00038ab409120;Zm00038ab409120;Zm00038ab052200;Zm00038ab052200;Zm00038ab254110;Zm00038ab254110;Zm00038ab017830;Zm00038ab179170;Zm00038ab367920;Zm00038ab367920;Zm00038ab339250;Zm00038ab339250;Zm00038ab350250;Zm00038ab422010;Zm00038ab422010;Zm00038ab396070;Zm00038ab329310;Zm00038ab329310;Zm00038ab329310;Zm00038ab361790;Zm00038ab361790;Zm00038ab394080;Zm00038ab394080;Zm00038ab069080;Zm00038ab300380;Zm00038ab300380;Zm00038ab300380;Zm00038ab300380;Zm00038ab002900;Zm00038ab002900;Zm00038ab224590;Zm00038ab224590;Zm00038ab392220;Zm00038ab392220;Zm00038ab119510;Zm00038ab119510;Zm00038ab119510;Zm00038ab119510;Zm00038ab443500;Zm00038ab443500;Zm00038ab443500;Zm00038ab358180;Zm00038ab358180;Zm00038ab075630;Zm00038ab304470;Zm00038ab304470;Zm00038ab134130;Zm00038ab134130;Zm00038ab253690;Zm00038ab257860;Zm00038ab028870;Zm00038ab028870;Zm00038ab028870;Zm00038ab028870;Zm00038ab028870;Zm00038ab028870;Zm00038ab028870;Zm00038ab028870;Zm00038ab301050;Zm00038ab270450;Zm00038ab270450;Zm00038ab352390;Zm00038ab087330;Zm00038ab087330;Zm00038ab421990;Zm00038ab421990;Zm00038ab087330;Zm00038ab087330;Zm00038ab405070;Zm00038ab052410;Zm00038ab052410;Zm00038ab416620;Zm00038ab416620;Zm00038ab158250;Zm00038ab335460;Zm00038ab335460;Zm00038ab335460;Zm00038ab335460;Zm00038ab335460;Zm00038ab335460;Zm00038ab328840;Zm00038ab328840;Zm00038ab028360;Zm00038ab028360;Zm00038ab004040;Zm00038ab004040;Zm00038ab234180;Zm00038ab234180;Zm00038ab357620;Zm00038ab138480;Zm00038ab138480;Zm00038ab270360;Zm00038ab270360;Zm00038ab123710;Zm00038ab123710;Zm00038ab143210;Zm00038ab143210;Zm00038ab123780;Zm00038ab123780;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab067020;Zm00038ab263990;Zm00038ab263990;Zm00038ab263990;Zm00038ab263990;Zm00038ab263990;Zm00038ab263990;Zm00038ab408510;Zm00038ab408510;Zm00038ab300900;Zm00038ab156670;Zm00038ab156670;Zm00038ab156670;Zm00038ab156670;Zm00038ab156670;Zm00038ab156670;Zm00038ab094010;Zm00038ab094010;Zm00038ab156670;Zm00038ab156670;Zm00038ab330550;Zm00038ab330550;Zm00038ab330550;Zm00038ab330550;Zm00038ab330550;Zm00038ab330550;Zm00038ab330550;Zm00038ab130290;Zm00038ab130290;Zm00038ab439350;Zm00038ab441830;Zm00038ab441830;Zm00038ab439350;Zm00038ab439350;Zm00038ab439350;Zm00038ab145800;Zm00038ab145800;Zm00038ab345290;Zm00038ab345290;Zm00038ab145800;Zm00038ab145800;Zm00038ab128550;Zm00038ab128550;Zm00038ab374000;Zm00038ab296620;Zm00038ab374000;Zm00038ab183530;Zm00038ab183530;Zm00038ab196160;Zm00038ab196160;Zm00038ab196160;Zm00038ab196160;Zm00038ab196160;Zm00038ab346840;Zm00038ab346840;Zm00038ab289990;Zm00038ab289990;Zm00038ab327320;Zm00038ab327320;Zm00038ab289990;Zm00038ab289990;Zm00038ab289990;Zm00038ab289990;Zm00038ab166750;Zm00038ab166750;Zm00038ab288310;Zm00038ab288310;Zm00038ab205360;Zm00038ab205360;Zm00038ab402210;Zm00038ab271500;Zm00038ab271500;Zm00038ab271500;Zm00038ab271500;Zm00038ab271500;Zm00038ab185920;Zm00038ab185920;Zm00038ab279720;Zm00038ab279720;Zm00038ab388000;Zm00038ab388000;Zm00038ab388000;Zm00038ab163760;Zm00038ab163760;Zm00038ab163760;Zm00038ab163760;Zm00038ab163760;Zm00038ab388000;Zm00038ab388000;Zm00038ab388000;Zm00038ab271660;Zm00038ab388000;Zm00038ab388000;Zm00038ab388000;Zm00038ab271660;Zm00038ab369670;Zm00038ab369670;Zm00038ab185060;Zm00038ab185060;Zm00038ab061710;Zm00038ab061710;Zm00038ab192330;Zm00038ab061710;Zm00038ab061710;Zm00038ab061710;Zm00038ab061710;Zm00038ab061710;Zm00038ab061710;Zm00038ab061710;Zm00038ab061710;Zm00038ab225320;Zm00038ab225320;Zm00038ab225320;Zm00038ab218650;Zm00038ab218650;Zm00038ab049390;Zm00038ab049390;Zm00038ab297620;Zm00038ab297620;Zm00038ab157480;Zm00038ab157480;Zm00038ab109220;Zm00038ab109220;Zm00038ab016740;Zm00038ab016740;Zm00038ab331960;Zm00038ab420140;Zm00038ab420140;Zm00038ab420140;Zm00038ab420140;Zm00038ab164950;Zm00038ab164950;Zm00038ab173010;Zm00038ab245460;Zm00038ab245460;Zm00038ab300800;Zm00038ab300800;Zm00038ab300800;Zm00038ab300800;Zm00038ab300800;Zm00038ab300800;Zm00038ab300800;Zm00038ab300800;Zm00038ab124810;Zm00038ab124810;Zm00038ab363520;Zm00038ab363520;Zm00038ab363520;Zm00038ab321710;Zm00038ab321710;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab365390;Zm00038ab046750;Zm00038ab046750;Zm00038ab046750;Zm00038ab046750;Zm00038ab046750;Zm00038ab046750;Zm00038ab248080;Zm00038ab248080;Zm00038ab241760;Zm00038ab382900;Zm00038ab382900;Zm00038ab337630;Zm00038ab337630;Zm00038ab090940;Zm00038ab090940;Zm00038ab042820;Zm00038ab157930;Zm00038ab157930;Zm00038ab157930;Zm00038ab157930;Zm00038ab157930;Zm00038ab157930;Zm00038ab157930;Zm00038ab157930;Zm00038ab157930;Zm00038ab157930;Zm00038ab228080;Zm00038ab228080;Zm00038ab228080;Zm00038ab228080;Zm00038ab380300;Zm00038ab380300;Zm00038ab157930;Zm00038ab157930;Zm00038ab190840;Zm00038ab190840;Zm00038ab089430;Zm00038ab089430;Zm00038ab033270;Zm00038ab033270;Zm00038ab033270;Zm00038ab033270;Zm00038ab118980;Zm00038ab118980;Zm00038ab033270;Zm00038ab100430;Zm00038ab100430;Zm00038ab364830;Zm00038ab364830;Zm00038ab364830;Zm00038ab364830;Zm00038ab364830;Zm00038ab364830;Zm00038ab325490;Zm00038ab325490;Zm00038ab075160;Zm00038ab093510;Zm00038ab093510;Zm00038ab075160;Zm00038ab051760;Zm00038ab051760;Zm00038ab051760;Zm00038ab051760;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab217020;Zm00038ab240970;Zm00038ab240970;Zm00038ab436640;Zm00038ab436640
IPR000054	Ribosomal protein L31e	Zm00038ab397700;Zm00038ab192230;Zm00038ab257770;Zm00038ab257770
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00038ab005770;Zm00038ab005770;Zm00038ab005770;Zm00038ab005770;Zm00038ab005770;Zm00038ab005770;Zm00038ab325380;Zm00038ab325380;Zm00038ab419110;Zm00038ab419110;Zm00038ab419110;Zm00038ab419110
