LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00028ab296830;Zm00028ab296830;Zm00028ab296830;Zm00028ab296830;Zm00028ab296830;Zm00028ab017280;Zm00028ab017280;Zm00028ab113140;Zm00028ab113140;Zm00028ab400370;Zm00028ab400370;Zm00028ab149980;Zm00028ab149980;Zm00028ab149980;Zm00028ab149980;Zm00028ab149980;Zm00028ab149980;Zm00028ab160890;Zm00028ab160890;Zm00028ab160890;Zm00028ab160890;Zm00028ab300630;Zm00028ab300630;Zm00028ab126310;Zm00028ab259410;Zm00028ab193930;Zm00028ab076970;Zm00028ab240350;Zm00028ab240350;Zm00028ab418500;Zm00028ab418500;Zm00028ab204460;Zm00028ab204460;Zm00028ab204460;Zm00028ab208290;Zm00028ab369720;Zm00028ab369720;Zm00028ab369720
IPR000008	C2 domain	Zm00028ab373340;Zm00028ab340620;Zm00028ab340620;Zm00028ab340620;Zm00028ab340620;Zm00028ab340620;Zm00028ab340620;Zm00028ab340620;Zm00028ab340620;Zm00028ab294550;Zm00028ab294550;Zm00028ab368160;Zm00028ab120630;Zm00028ab372760;Zm00028ab397190;Zm00028ab372760;Zm00028ab397190;Zm00028ab313230;Zm00028ab313230;Zm00028ab313230;Zm00028ab313230;Zm00028ab313230;Zm00028ab106000;Zm00028ab106000;Zm00028ab106000;Zm00028ab106000;Zm00028ab106000;Zm00028ab106000;Zm00028ab106000;Zm00028ab106000;Zm00028ab242950;Zm00028ab242950;Zm00028ab242950;Zm00028ab242950;Zm00028ab242950;Zm00028ab106000;Zm00028ab106000;Zm00028ab345710;Zm00028ab345710;Zm00028ab345710;Zm00028ab345710;Zm00028ab345710;Zm00028ab235500;Zm00028ab191250;Zm00028ab191250;Zm00028ab198570;Zm00028ab330790;Zm00028ab249320;Zm00028ab249320;Zm00028ab249320;Zm00028ab249320;Zm00028ab249320;Zm00028ab249320;Zm00028ab260440;Zm00028ab260440;Zm00028ab260440;Zm00028ab235490;Zm00028ab197110;Zm00028ab235490;Zm00028ab235490;Zm00028ab196310;Zm00028ab164080;Zm00028ab196310;Zm00028ab196310;Zm00028ab196310;Zm00028ab306390;Zm00028ab192300;Zm00028ab192300;Zm00028ab192300;Zm00028ab306390;Zm00028ab306390;Zm00028ab107230;Zm00028ab107230;Zm00028ab107230;Zm00028ab107230;Zm00028ab107230;Zm00028ab107230;Zm00028ab107230;Zm00028ab107230;Zm00028ab396210;Zm00028ab396210;Zm00028ab396210;Zm00028ab345480;Zm00028ab345480;Zm00028ab106170;Zm00028ab106170;Zm00028ab145400;Zm00028ab145400;Zm00028ab106170;Zm00028ab308360;Zm00028ab308360;Zm00028ab308360;Zm00028ab308360;Zm00028ab283030;Zm00028ab283030;Zm00028ab283030;Zm00028ab283030;Zm00028ab283030;Zm00028ab283030;Zm00028ab203660;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab329970;Zm00028ab231800;Zm00028ab231800;Zm00028ab231800;Zm00028ab231800;Zm00028ab231800;Zm00028ab231800;Zm00028ab134880;Zm00028ab128340;Zm00028ab128340;Zm00028ab128340;Zm00028ab128340;Zm00028ab128340;Zm00028ab128340;Zm00028ab128340;Zm00028ab128340;Zm00028ab128340;Zm00028ab206980;Zm00028ab069410;Zm00028ab069410;Zm00028ab069410;Zm00028ab112490;Zm00028ab112490;Zm00028ab286940;Zm00028ab286940;Zm00028ab112490;Zm00028ab112490;Zm00028ab297120;Zm00028ab297120;Zm00028ab297120;Zm00028ab297120;Zm00028ab297120;Zm00028ab297120;Zm00028ab288590;Zm00028ab288590;Zm00028ab288590;Zm00028ab288590;Zm00028ab398270;Zm00028ab398270;Zm00028ab398270;Zm00028ab288590;Zm00028ab288590;Zm00028ab398270;Zm00028ab398270;Zm00028ab398270;Zm00028ab398270;Zm00028ab398270;Zm00028ab398270;Zm00028ab288590;Zm00028ab288590;Zm00028ab107820;Zm00028ab306160;Zm00028ab110170;Zm00028ab110170;Zm00028ab110170;Zm00028ab125330;Zm00028ab125330;Zm00028ab125330;Zm00028ab110170;Zm00028ab125330;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab282980;Zm00028ab125330;Zm00028ab125330;Zm00028ab125330;Zm00028ab125330;Zm00028ab125330;Zm00028ab125330;Zm00028ab266200;Zm00028ab266200;Zm00028ab266200;Zm00028ab266200;Zm00028ab315550;Zm00028ab315550;Zm00028ab366900;Zm00028ab366900;Zm00028ab366900;Zm00028ab366900;Zm00028ab101610;Zm00028ab224640;Zm00028ab224640;Zm00028ab224640;Zm00028ab224640;Zm00028ab390910;Zm00028ab396540;Zm00028ab396540;Zm00028ab396540;Zm00028ab396540;Zm00028ab396540;Zm00028ab396540;Zm00028ab151570;Zm00028ab021460;Zm00028ab021460;Zm00028ab283400;Zm00028ab080910;Zm00028ab080910;Zm00028ab008540;Zm00028ab008540;Zm00028ab008540;Zm00028ab092880;Zm00028ab092880;Zm00028ab092880;Zm00028ab092880;Zm00028ab092880;Zm00028ab382440;Zm00028ab114190;Zm00028ab340360;Zm00028ab114190;Zm00028ab080910;Zm00028ab080910;Zm00028ab080910;Zm00028ab080910;Zm00028ab382440;Zm00028ab292860;Zm00028ab292860;Zm00028ab292860;Zm00028ab292860;Zm00028ab292860;Zm00028ab292860;Zm00028ab292860;Zm00028ab438390;Zm00028ab089530;Zm00028ab039570;Zm00028ab292940;Zm00028ab316140;Zm00028ab316140;Zm00028ab316140;Zm00028ab316140;Zm00028ab316140;Zm00028ab316140;Zm00028ab316140;Zm00028ab316140;Zm00028ab316140;Zm00028ab316140;Zm00028ab327070;Zm00028ab327070;Zm00028ab013690;Zm00028ab013690;Zm00028ab209180;Zm00028ab209180;Zm00028ab209180;Zm00028ab209180;Zm00028ab209180;Zm00028ab024830;Zm00028ab024830;Zm00028ab024830;Zm00028ab024830;Zm00028ab024830;Zm00028ab024830;Zm00028ab024830;Zm00028ab024830;Zm00028ab369160;Zm00028ab290820;Zm00028ab290820;Zm00028ab010980;Zm00028ab153010;Zm00028ab372410;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab066600;Zm00028ab253940;Zm00028ab253940;Zm00028ab253940;Zm00028ab253940;Zm00028ab253940;Zm00028ab330410;Zm00028ab446320;Zm00028ab034480;Zm00028ab034480;Zm00028ab034480;Zm00028ab034480;Zm00028ab034480;Zm00028ab034480;Zm00028ab034480;Zm00028ab081060;Zm00028ab081060;Zm00028ab081060;Zm00028ab099030;Zm00028ab099030;Zm00028ab099030;Zm00028ab099030;Zm00028ab099030;Zm00028ab001450;Zm00028ab446410;Zm00028ab446410;Zm00028ab446410;Zm00028ab019080;Zm00028ab019080;Zm00028ab019080;Zm00028ab019080;Zm00028ab019080;Zm00028ab019080;Zm00028ab019080;Zm00028ab019080;Zm00028ab019080;Zm00028ab357990;Zm00028ab357990;Zm00028ab357990;Zm00028ab097750;Zm00028ab334360;Zm00028ab334360;Zm00028ab077470;Zm00028ab077470;Zm00028ab077470;Zm00028ab077470;Zm00028ab077470;Zm00028ab077470;Zm00028ab077470;Zm00028ab077470;Zm00028ab077470;Zm00028ab077470;Zm00028ab077470;Zm00028ab411540;Zm00028ab411540;Zm00028ab411540;Zm00028ab411540;Zm00028ab236680;Zm00028ab076590;Zm00028ab076590;Zm00028ab076590;Zm00028ab076590;Zm00028ab194720;Zm00028ab194720;Zm00028ab194720;Zm00028ab104870;Zm00028ab194720;Zm00028ab104870;Zm00028ab194720;Zm00028ab404350;Zm00028ab404350;Zm00028ab242820;Zm00028ab242820;Zm00028ab242820;Zm00028ab242820;Zm00028ab404350;Zm00028ab338920;Zm00028ab376900
IPR000010	Cystatin domain	Zm00028ab299410;Zm00028ab021060;Zm00028ab412600;Zm00028ab005800;Zm00028ab021050;Zm00028ab021070;Zm00028ab374570;Zm00028ab379080;Zm00028ab173990;Zm00028ab173980;Zm00028ab412630;Zm00028ab412590;Zm00028ab379100;Zm00028ab379040;Zm00028ab005770;Zm00028ab153820;Zm00028ab295620;Zm00028ab295620;Zm00028ab295620;Zm00028ab295620;Zm00028ab295620;Zm00028ab358830;Zm00028ab358830;Zm00028ab341620;Zm00028ab341620;Zm00028ab379090;Zm00028ab174010
IPR000014	PAS domain	Zm00028ab169940;Zm00028ab167650;Zm00028ab167650;Zm00028ab238640;Zm00028ab207380;Zm00028ab232420;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab124010;Zm00028ab280300;Zm00028ab280300;Zm00028ab124010;Zm00028ab124010;Zm00028ab043470;Zm00028ab043470;Zm00028ab116040
IPR000023	Phosphofructokinase domain	Zm00028ab346200;Zm00028ab346200;Zm00028ab381640;Zm00028ab324530;Zm00028ab043790;Zm00028ab043790;Zm00028ab049110;Zm00028ab041880;Zm00028ab041880;Zm00028ab436830;Zm00028ab123720;Zm00028ab157440;Zm00028ab301400;Zm00028ab277670;Zm00028ab359390;Zm00028ab194460;Zm00028ab194460;Zm00028ab194460;Zm00028ab101490;Zm00028ab101490;Zm00028ab101490;Zm00028ab101490;Zm00028ab101490;Zm00028ab287580;Zm00028ab287580;Zm00028ab287580;Zm00028ab259960;Zm00028ab259960;Zm00028ab259960;Zm00028ab259960;Zm00028ab386860;Zm00028ab391750;Zm00028ab391750;Zm00028ab291970;Zm00028ab317210
IPR000031	PurE domain	Zm00028ab292390;Zm00028ab292390;Zm00028ab122880
IPR000043	Adenosylhomocysteinase-like	Zm00028ab092040;Zm00028ab175180;Zm00028ab175180
IPR000048	IQ motif, EF-hand binding site	Zm00028ab051740;Zm00028ab051740;Zm00028ab051740;Zm00028ab051740;Zm00028ab271070;Zm00028ab271070;Zm00028ab152210;Zm00028ab152210;Zm00028ab152210;Zm00028ab152210;Zm00028ab152210;Zm00028ab152210;Zm00028ab152210;Zm00028ab221100;Zm00028ab221100;Zm00028ab221100;Zm00028ab221100;Zm00028ab221100;Zm00028ab247870;Zm00028ab247870;Zm00028ab253030;Zm00028ab253030;Zm00028ab429400;Zm00028ab429400;Zm00028ab051120;Zm00028ab051120;Zm00028ab315670;Zm00028ab315670;Zm00028ab165070;Zm00028ab165070;Zm00028ab165070;Zm00028ab165070;Zm00028ab165070;Zm00028ab340280;Zm00028ab340280;Zm00028ab186270;Zm00028ab186270;Zm00028ab093870;Zm00028ab093870;Zm00028ab093870;Zm00028ab313480;Zm00028ab313480;Zm00028ab313480;Zm00028ab313480;Zm00028ab313480;Zm00028ab366570;Zm00028ab366570;Zm00028ab366570;Zm00028ab366570;Zm00028ab366570;Zm00028ab366570;Zm00028ab366570;Zm00028ab366570;Zm00028ab229920;Zm00028ab229920;Zm00028ab381650;Zm00028ab381650;Zm00028ab408730;Zm00028ab408730;Zm00028ab032690;Zm00028ab032690;Zm00028ab032690;Zm00028ab032690;Zm00028ab364740;Zm00028ab364740;Zm00028ab364740;Zm00028ab046250;Zm00028ab046250;Zm00028ab046250;Zm00028ab046250;Zm00028ab046250;Zm00028ab046250;Zm00028ab297780;Zm00028ab297780;Zm00028ab297780;Zm00028ab046250;Zm00028ab046250;Zm00028ab046250;Zm00028ab157240;Zm00028ab157240;Zm00028ab157240;Zm00028ab157240;Zm00028ab157240;Zm00028ab157240;Zm00028ab157240;Zm00028ab157240;Zm00028ab157240;Zm00028ab157240;Zm00028ab158960;Zm00028ab189490;Zm00028ab189490;Zm00028ab330280;Zm00028ab330280;Zm00028ab330280;Zm00028ab195000;Zm00028ab099520;Zm00028ab099520;Zm00028ab349440;Zm00028ab349440;Zm00028ab447440;Zm00028ab447440;Zm00028ab302000;Zm00028ab050140;Zm00028ab050140;Zm00028ab354910;Zm00028ab354910;Zm00028ab301510;Zm00028ab301510;Zm00028ab090130;Zm00028ab090130;Zm00028ab219530;Zm00028ab219530;Zm00028ab219530;Zm00028ab219530;Zm00028ab219530;Zm00028ab219530;Zm00028ab219530;Zm00028ab219530;Zm00028ab219530;Zm00028ab219530;Zm00028ab440900;Zm00028ab440900;Zm00028ab440900;Zm00028ab074580;Zm00028ab074580;Zm00028ab074580;Zm00028ab109110;Zm00028ab074580;Zm00028ab074580;Zm00028ab109110;Zm00028ab222960;Zm00028ab222960;Zm00028ab291140;Zm00028ab291140;Zm00028ab291140;Zm00028ab291140;Zm00028ab291140;Zm00028ab291140;Zm00028ab198750;Zm00028ab198750;Zm00028ab198750;Zm00028ab198750;Zm00028ab198750;Zm00028ab198750;Zm00028ab198750;Zm00028ab198750;Zm00028ab198750;Zm00028ab198750;Zm00028ab260240;Zm00028ab445390;Zm00028ab445390;Zm00028ab375470;Zm00028ab270930;Zm00028ab270930;Zm00028ab445390;Zm00028ab188800;Zm00028ab188800;Zm00028ab162730;Zm00028ab162730;Zm00028ab331500;Zm00028ab331500;Zm00028ab331500;Zm00028ab331500;Zm00028ab331500;Zm00028ab363130;Zm00028ab363130;Zm00028ab386480;Zm00028ab386480;Zm00028ab381080;Zm00028ab381080;Zm00028ab381080;Zm00028ab381080;Zm00028ab272000;Zm00028ab272000;Zm00028ab272000;Zm00028ab272000;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab066010;Zm00028ab123760;Zm00028ab123760;Zm00028ab230200;Zm00028ab230200;Zm00028ab433170;Zm00028ab433170;Zm00028ab230200;Zm00028ab230200;Zm00028ab433170;Zm00028ab433170;Zm00028ab190330;Zm00028ab190330;Zm00028ab230200;Zm00028ab230200;Zm00028ab230200;Zm00028ab230200;Zm00028ab230200;Zm00028ab230200;Zm00028ab390100;Zm00028ab413110;Zm00028ab293130;Zm00028ab293130;Zm00028ab315890;Zm00028ab315890;Zm00028ab326240;Zm00028ab326240;Zm00028ab068160;Zm00028ab077750;Zm00028ab077750;Zm00028ab222480;Zm00028ab222480;Zm00028ab222480;Zm00028ab222480;Zm00028ab222480;Zm00028ab222480;Zm00028ab151170;Zm00028ab151170;Zm00028ab138790;Zm00028ab138790;Zm00028ab382230;Zm00028ab382230;Zm00028ab382230;Zm00028ab241820;Zm00028ab241820;Zm00028ab060690;Zm00028ab060690;Zm00028ab449920;Zm00028ab449920;Zm00028ab060690;Zm00028ab060690;Zm00028ab060690;Zm00028ab060690;Zm00028ab060690;Zm00028ab060690;Zm00028ab402460;Zm00028ab402460;Zm00028ab402460;Zm00028ab402460;Zm00028ab402460;Zm00028ab402460;Zm00028ab402460;Zm00028ab402460;Zm00028ab028190;Zm00028ab028190;Zm00028ab346220;Zm00028ab346220;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab266270;Zm00028ab028190;Zm00028ab028190;Zm00028ab028190;Zm00028ab028190;Zm00028ab028190;Zm00028ab028190;Zm00028ab028190;Zm00028ab028190;Zm00028ab028190;Zm00028ab028190;Zm00028ab437970;Zm00028ab437970;Zm00028ab302140;Zm00028ab302140;Zm00028ab302140;Zm00028ab283330;Zm00028ab283330;Zm00028ab336420;Zm00028ab336420;Zm00028ab336420;Zm00028ab336420;Zm00028ab227420;Zm00028ab227420;Zm00028ab227420;Zm00028ab365970;Zm00028ab365970;Zm00028ab365970;Zm00028ab365970;Zm00028ab365970;Zm00028ab365970;Zm00028ab385180;Zm00028ab385180;Zm00028ab305400;Zm00028ab305400;Zm00028ab430710;Zm00028ab430710;Zm00028ab301890;Zm00028ab301890;Zm00028ab301890;Zm00028ab301890;Zm00028ab301890;Zm00028ab301890;Zm00028ab008930;Zm00028ab008930;Zm00028ab301890;Zm00028ab301890;Zm00028ab179220;Zm00028ab179220;Zm00028ab353260;Zm00028ab359330;Zm00028ab359330;Zm00028ab359330;Zm00028ab359330;Zm00028ab413880;Zm00028ab413880;Zm00028ab158610;Zm00028ab158610;Zm00028ab413880;Zm00028ab413880;Zm00028ab413880;Zm00028ab413880;Zm00028ab413880;Zm00028ab413880;Zm00028ab158610;Zm00028ab158610;Zm00028ab158610;Zm00028ab158610;Zm00028ab017520;Zm00028ab017520;Zm00028ab017520;Zm00028ab175220;Zm00028ab393510;Zm00028ab401380;Zm00028ab382080;Zm00028ab382080;Zm00028ab007140;Zm00028ab007140;Zm00028ab007140;Zm00028ab007140;Zm00028ab048620;Zm00028ab048620;Zm00028ab048620;Zm00028ab048620;Zm00028ab398500;Zm00028ab048620;Zm00028ab048620;Zm00028ab332860;Zm00028ab398500;Zm00028ab146360;Zm00028ab146360;Zm00028ab146360;Zm00028ab146360;Zm00028ab086630;Zm00028ab086630;Zm00028ab086630;Zm00028ab086630;Zm00028ab315910;Zm00028ab315910
IPR000054	Ribosomal protein L31e	Zm00028ab260140;Zm00028ab391550;Zm00028ab194850
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00028ab005470;Zm00028ab005470;Zm00028ab005470;Zm00028ab005470;Zm00028ab005470;Zm00028ab412870;Zm00028ab412870;Zm00028ab412870;Zm00028ab412870;Zm00028ab326140
