SCORE	NAME	GENE_MODEL
0.09919	False	Zm00040ab000020
0.12782	False	Zm00040ab000030
0.20123	False	Zm00040ab000040
0.99942	True	Zm00040ab000060
0.9967	True	Zm00040ab000070
0.85861	True	Zm00040ab000090
0.99646	True	Zm00040ab000100
0.4978	False	Zm00040ab000110
0.999	True	Zm00040ab000120
0.94052	True	Zm00040ab000130
0.77307	True	Zm00040ab000150
0.91307	True	Zm00040ab000160
0.01006	False	Zm00040ab000180
0.78942	True	Zm00040ab000190
0.87727	True	Zm00040ab000200
0.282	False	Zm00040ab000220
0.76556	True	Zm00040ab000230
0.77381	True	Zm00040ab000240
0.90828	True	Zm00040ab000250
0.77243	True	Zm00040ab000260
0.99543	True	Zm00040ab000270
0.98347	True	Zm00040ab000280
0.99886	True	Zm00040ab000310
0.81642	True	Zm00040ab000320
0.98348	True	Zm00040ab000330
0.91441	True	Zm00040ab000340
0.01043	False	Zm00040ab000350
0.99954	True	Zm00040ab000360
0.9948	True	Zm00040ab000370
0.93574	True	Zm00040ab000380
0.68742	True	Zm00040ab000390
0.9994	True	Zm00040ab000400
0.99078	True	Zm00040ab000410
0.99823	True	Zm00040ab000420
0.99426	True	Zm00040ab000450
0.99131	True	Zm00040ab000460
0.84024	True	Zm00040ab000480
0.99121	True	Zm00040ab000490
0.99719	True	Zm00040ab000510
0.03327	False	Zm00040ab000520
0.99901	True	Zm00040ab000530
0.99946	True	Zm00040ab000540
0.98252	True	Zm00040ab000550
0.40148	False	Zm00040ab000560
0.96124	True	Zm00040ab000570
0.53106	True	Zm00040ab000580
0.63322	True	Zm00040ab000590
0.99996	True	Zm00040ab000600
0.99865	True	Zm00040ab000610
0.9991	True	Zm00040ab000620
0.99883	True	Zm00040ab000630
0.54804	True	Zm00040ab000650
0.00468	False	Zm00040ab000660
0.0923	False	Zm00040ab000670
0.97106	True	Zm00040ab000680
0.99912	True	Zm00040ab000690
0.99707	True	Zm00040ab000700
0.99365	True	Zm00040ab000710
0.98402	True	Zm00040ab000720
0.85539	True	Zm00040ab000730
0.9743	True	Zm00040ab000740
0.99756	True	Zm00040ab000760
0.99973	True	Zm00040ab000770
0.99279	True	Zm00040ab000780
0.9476	True	Zm00040ab000790
0.99917	True	Zm00040ab000810
0.98934	True	Zm00040ab000820
0.99891	True	Zm00040ab000830
0.87762	True	Zm00040ab000840
0.91088	True	Zm00040ab000850
0.49052	False	Zm00040ab000860
0.99501	True	Zm00040ab000870
0.99841	True	Zm00040ab000880
0.99995	True	Zm00040ab000890
0.98771	True	Zm00040ab000900
0.99944	True	Zm00040ab000910
0.98836	True	Zm00040ab000920
0.99621	True	Zm00040ab000930
0.87219	True	Zm00040ab000940
0.99743	True	Zm00040ab000950
0.91262	True	Zm00040ab000960
0.9972	True	Zm00040ab000970
0.87377	True	Zm00040ab000980
0.99843	True	Zm00040ab000990
