SCORE	NAME	GENE_MODEL
0.77173	True	Zm00035ab000010
0.93258	True	Zm00035ab000020
0.99642	True	Zm00035ab000040
0.25179	False	Zm00035ab000070
0.98357	True	Zm00035ab000080
0.99939	True	Zm00035ab000090
0.53448	True	Zm00035ab000100
0.26725	False	Zm00035ab000120
0.80217	True	Zm00035ab000130
0.98205	True	Zm00035ab000140
0.99682	True	Zm00035ab000160
0.65596	True	Zm00035ab000180
0.9985	True	Zm00035ab000190
0.98348	True	Zm00035ab000200
0.91441	True	Zm00035ab000210
0.99446	True	Zm00035ab000230
0.93574	True	Zm00035ab000240
0.9994	True	Zm00035ab000250
0.99078	True	Zm00035ab000260
0.97822	True	Zm00035ab000270
0.99862	True	Zm00035ab000290
0.98679	True	Zm00035ab000300
0.44528	False	Zm00035ab000310
0.92823	True	Zm00035ab000320
0.99131	True	Zm00035ab000330
0.83964	True	Zm00035ab000340
0.99121	True	Zm00035ab000350
0.99719	True	Zm00035ab000360
0.99703	True	Zm00035ab000370
0.99949	True	Zm00035ab000380
0.99885	True	Zm00035ab000390
0.97909	True	Zm00035ab000400
0.73342	True	Zm00035ab000410
0.54394	True	Zm00035ab000420
0.91511	True	Zm00035ab000430
0.99879	True	Zm00035ab000440
0.12596	False	Zm00035ab000450
0.00227	False	Zm00035ab000460
0.99993	True	Zm00035ab000470
0.0923	False	Zm00035ab000480
0.97111	True	Zm00035ab000490
0.99905	True	Zm00035ab000500
0.99294	True	Zm00035ab000510
0.99365	True	Zm00035ab000520
0.98297	True	Zm00035ab000530
0.85391	True	Zm00035ab000540
0.97407	True	Zm00035ab000550
0.49977	False	Zm00035ab000560
0.99756	True	Zm00035ab000570
0.99972	True	Zm00035ab000580
0.91544	True	Zm00035ab000590
0.97971	True	Zm00035ab000600
0.9476	True	Zm00035ab000610
0.00048	False	Zm00035ab000620
0.99918	True	Zm00035ab000640
0.95072	True	Zm00035ab000650
0.99243	True	Zm00035ab000660
0.94203	True	Zm00035ab000670
0.99911	True	Zm00035ab000680
0.99557	True	Zm00035ab000690
0.79029	True	Zm00035ab000700
0.88322	True	Zm00035ab000710
0.6785	True	Zm00035ab000720
0.93658	True	Zm00035ab000730
0.99572	True	Zm00035ab000740
0.99854	True	Zm00035ab000750
0.99996	True	Zm00035ab000760
0.98796	True	Zm00035ab000770
0.99944	True	Zm00035ab000780
0.98787	True	Zm00035ab000800
0.99652	True	Zm00035ab000810
0.8734	True	Zm00035ab000820
0.99599	True	Zm00035ab000830
0.99742	True	Zm00035ab000840
0.91286	True	Zm00035ab000850
0.99718	True	Zm00035ab000860
0.91201	True	Zm00035ab000870
0.99843	True	Zm00035ab000880
0.99992	True	Zm00035ab000890
0.99443	True	Zm00035ab000900
0.99989	True	Zm00035ab000910
0.13751	False	Zm00035ab000930
0.99639	True	Zm00035ab000940
0.99466	True	Zm00035ab000950
0.99745	True	Zm00035ab000960
0.9968	True	Zm00035ab000970
0.31943	False	Zm00035ab000990
