LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00037ab110780;Zm00037ab204560;Zm00037ab204560;Zm00037ab204560;Zm00037ab204560;Zm00037ab254940;Zm00037ab158030;Zm00037ab158030;Zm00037ab158030;Zm00037ab158030;Zm00037ab158030;Zm00037ab297110;Zm00037ab147390;Zm00037ab147390;Zm00037ab147390;Zm00037ab147390;Zm00037ab147390;Zm00037ab147390;Zm00037ab236570;Zm00037ab236570;Zm00037ab236570;Zm00037ab190070;Zm00037ab412110;Zm00037ab412110;Zm00037ab412110;Zm00037ab412110;Zm00037ab141330;Zm00037ab017240;Zm00037ab017240;Zm00037ab017240;Zm00037ab110770;Zm00037ab076380;Zm00037ab364400;Zm00037ab364400;Zm00037ab364400;Zm00037ab364400;Zm00037ab200920;Zm00037ab200920;Zm00037ab200920;Zm00037ab293560;Zm00037ab293560;Zm00037ab293560;Zm00037ab293560;Zm00037ab293560
IPR000008	C2 domain	Zm00037ab302860;Zm00037ab111820;Zm00037ab238850;Zm00037ab238850;Zm00037ab238850;Zm00037ab238850;Zm00037ab150500;Zm00037ab238850;Zm00037ab238850;Zm00037ab310010;Zm00037ab310010;Zm00037ab310010;Zm00037ab310010;Zm00037ab289630;Zm00037ab149090;Zm00037ab256000;Zm00037ab256000;Zm00037ab256000;Zm00037ab390940;Zm00037ab390940;Zm00037ab390940;Zm00037ab051680;Zm00037ab103770;Zm00037ab103770;Zm00037ab103770;Zm00037ab103770;Zm00037ab103770;Zm00037ab103770;Zm00037ab289490;Zm00037ab103770;Zm00037ab103770;Zm00037ab103770;Zm00037ab103770;Zm00037ab289490;Zm00037ab289490;Zm00037ab291180;Zm00037ab291180;Zm00037ab192340;Zm00037ab371090;Zm00037ab371090;Zm00037ab262030;Zm00037ab262030;Zm00037ab262030;Zm00037ab262030;Zm00037ab110160;Zm00037ab110160;Zm00037ab110160;Zm00037ab110160;Zm00037ab110160;Zm00037ab110160;Zm00037ab389980;Zm00037ab389980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab065980;Zm00037ab091690;Zm00037ab091690;Zm00037ab091690;Zm00037ab091690;Zm00037ab361560;Zm00037ab361560;Zm00037ab361560;Zm00037ab361560;Zm00037ab340760;Zm00037ab340760;Zm00037ab091690;Zm00037ab340760;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab391910;Zm00037ab019140;Zm00037ab019140;Zm00037ab376100;Zm00037ab019140;Zm00037ab019140;Zm00037ab019140;Zm00037ab019140;Zm00037ab019140;Zm00037ab330030;Zm00037ab330030;Zm00037ab330030;Zm00037ab033990;Zm00037ab033990;Zm00037ab033990;Zm00037ab033990;Zm00037ab033990;Zm00037ab033990;Zm00037ab033990;Zm00037ab122930;Zm00037ab122930;Zm00037ab122930;Zm00037ab122930;Zm00037ab122930;Zm00037ab122930;Zm00037ab122930;Zm00037ab122930;Zm00037ab122930;Zm00037ab122930;Zm00037ab366770;Zm00037ab199990;Zm00037ab245100;Zm00037ab245100;Zm00037ab245100;Zm00037ab245100;Zm00037ab245100;Zm00037ab245100;Zm00037ab245100;Zm00037ab322890;Zm00037ab322890;Zm00037ab322890;Zm00037ab322890;Zm00037ab080270;Zm00037ab080270;Zm00037ab080270;Zm00037ab187180;Zm00037ab367110;Zm00037ab367110;Zm00037ab367110;Zm00037ab367110;Zm00037ab227760;Zm00037ab227760;Zm00037ab404710;Zm00037ab404710;Zm00037ab404710;Zm00037ab404710;Zm00037ab227760;Zm00037ab227760;Zm00037ab305000;Zm00037ab305000;Zm00037ab305000;Zm00037ab305000;Zm00037ab190750;Zm00037ab190750;Zm00037ab190750;Zm00037ab190750;Zm00037ab190750;Zm00037ab280450;Zm00037ab280450;Zm00037ab280450;Zm00037ab203300;Zm00037ab203300;Zm00037ab203300;Zm00037ab203300;Zm00037ab203300;Zm00037ab203300;Zm00037ab021570;Zm00037ab021570;Zm00037ab283730;Zm00037ab390320;Zm00037ab390320;Zm00037ab390320;Zm00037ab390320;Zm00037ab390320;Zm00037ab390320;Zm00037ab283730;Zm00037ab038920;Zm00037ab249460;Zm00037ab132370;Zm00037ab340950;Zm00037ab340950;Zm00037ab340950;Zm00037ab340950;Zm00037ab340950;Zm00037ab340950;Zm00037ab076800;Zm00037ab076800;Zm00037ab076800;Zm00037ab076800;Zm00037ab238740;Zm00037ab238740;Zm00037ab238740;Zm00037ab238740;Zm00037ab335790;Zm00037ab238740;Zm00037ab238740;Zm00037ab024900;Zm00037ab024900;Zm00037ab024900;Zm00037ab024900;Zm00037ab024900;Zm00037ab024900;Zm00037ab285420;Zm00037ab285420;Zm00037ab142810;Zm00037ab325780;Zm00037ab325780;Zm00037ab325780;Zm00037ab325780;Zm00037ab097170;Zm00037ab336110;Zm00037ab336110;Zm00037ab097170;Zm00037ab336110;Zm00037ab336110;Zm00037ab336110;Zm00037ab336110;Zm00037ab336110;Zm00037ab336110;Zm00037ab336110;Zm00037ab336110;Zm00037ab193190;Zm00037ab097170;Zm00037ab097170;Zm00037ab097170;Zm00037ab326140;Zm00037ab334370;Zm00037ab220560;Zm00037ab220560;Zm00037ab220560;Zm00037ab220560;Zm00037ab013790;Zm00037ab068840;Zm00037ab068840;Zm00037ab068840;Zm00037ab102840;Zm00037ab102840;Zm00037ab001330;Zm00037ab312060;Zm00037ab080090;Zm00037ab080090;Zm00037ab188360;Zm00037ab287450;Zm00037ab287450;Zm00037ab080090;Zm00037ab080090;Zm00037ab080090;Zm00037ab080090;Zm00037ab080090;Zm00037ab080090;Zm00037ab125840;Zm00037ab125840;Zm00037ab125840;Zm00037ab160390;Zm00037ab397750;Zm00037ab303110;Zm00037ab303110;Zm00037ab303110;Zm00037ab293830;Zm00037ab293830;Zm00037ab293830;Zm00037ab075890;Zm00037ab075890;Zm00037ab194600;Zm00037ab367790;Zm00037ab367790;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab280000;Zm00037ab362770;Zm00037ab312570;Zm00037ab312570;Zm00037ab312570;Zm00037ab312570;Zm00037ab312570;Zm00037ab312570;Zm00037ab312570;Zm00037ab312570;Zm00037ab011010;Zm00037ab011010;Zm00037ab103970;Zm00037ab103970;Zm00037ab103970;Zm00037ab008580;Zm00037ab008580;Zm00037ab008580;Zm00037ab103970;Zm00037ab439070;Zm00037ab395930;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab439170;Zm00037ab395930;Zm00037ab395930;Zm00037ab395930;Zm00037ab395930;Zm00037ab205470;Zm00037ab096020;Zm00037ab205470;Zm00037ab326490;Zm00037ab205470;Zm00037ab431170;Zm00037ab376380;Zm00037ab431170;Zm00037ab385050;Zm00037ab385050;Zm00037ab431170;Zm00037ab431170;Zm00037ab431170;Zm00037ab385050;Zm00037ab188310;Zm00037ab188310;Zm00037ab188310;Zm00037ab099530;Zm00037ab231510;Zm00037ab280040;Zm00037ab280040;Zm00037ab280040;Zm00037ab280040;Zm00037ab280040;Zm00037ab280040;Zm00037ab231510;Zm00037ab280040;Zm00037ab280040;Zm00037ab280040;Zm00037ab231510;Zm00037ab107890;Zm00037ab107890;Zm00037ab107890;Zm00037ab232680;Zm00037ab352860;Zm00037ab352860;Zm00037ab352860;Zm00037ab352860;Zm00037ab352860;Zm00037ab352860;Zm00037ab231490;Zm00037ab105560;Zm00037ab104840;Zm00037ab104840;Zm00037ab104840;Zm00037ab104840;Zm00037ab089740
IPR000010	Cystatin domain	Zm00037ab006000;Zm00037ab005990;Zm00037ab021050;Zm00037ab170040;Zm00037ab021070;Zm00037ab170030;Zm00037ab405820;Zm00037ab405810;Zm00037ab337180;Zm00037ab151260;Zm00037ab151260;Zm00037ab151260;Zm00037ab170050;Zm00037ab337180;Zm00037ab337180;Zm00037ab405830;Zm00037ab292320;Zm00037ab292320;Zm00037ab292320;Zm00037ab353680;Zm00037ab353680;Zm00037ab353680;Zm00037ab295920;Zm00037ab170000;Zm00037ab373130;Zm00037ab373130;Zm00037ab368910;Zm00037ab021060
IPR000014	PAS domain	Zm00037ab277390;Zm00037ab277390;Zm00037ab234870;Zm00037ab228510;Zm00037ab228510;Zm00037ab165940;Zm00037ab165940;Zm00037ab203650;Zm00037ab203650;Zm00037ab042900;Zm00037ab042900;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab121510;Zm00037ab113630;Zm00037ab163900;Zm00037ab163900
IPR000023	Phosphofructokinase domain	Zm00037ab275270;Zm00037ab275270;Zm00037ab275270;Zm00037ab297790;Zm00037ab041260;Zm00037ab041260;Zm00037ab121170;Zm00037ab121170;Zm00037ab099380;Zm00037ab099380;Zm00037ab099380;Zm00037ab099380;Zm00037ab099380;Zm00037ab354420;Zm00037ab154710;Zm00037ab154710;Zm00037ab313510;Zm00037ab380930;Zm00037ab190530;Zm00037ab288600;Zm00037ab385830;Zm00037ab385830;Zm00037ab385830;Zm00037ab255530;Zm00037ab255530;Zm00037ab255530;Zm00037ab255530;Zm00037ab043260;Zm00037ab043260;Zm00037ab284430;Zm00037ab284430;Zm00037ab048520;Zm00037ab341380;Zm00037ab341380;Zm00037ab341380;Zm00037ab429510;Zm00037ab375650
IPR000031	PurE domain	Zm00037ab120330
IPR000043	Adenosylhomocysteinase-like	Zm00037ab171180;Zm00037ab171180;Zm00037ab171180;Zm00037ab171180;Zm00037ab171180
IPR000048	IQ motif, EF-hand binding site	Zm00037ab147790;Zm00037ab392100;Zm00037ab401620;Zm00037ab386530;Zm00037ab386530;Zm00037ab223350;Zm00037ab223350;Zm00037ab223350;Zm00037ab223350;Zm00037ab223350;Zm00037ab223350;Zm00037ab002030;Zm00037ab002030;Zm00037ab179050;Zm00037ab179050;Zm00037ab222690;Zm00037ab222690;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab327230;Zm00037ab341400;Zm00037ab341400;Zm00037ab394150;Zm00037ab394150;Zm00037ab341400;Zm00037ab341400;Zm00037ab341400;Zm00037ab341400;Zm00037ab149690;Zm00037ab229410;Zm00037ab229410;Zm00037ab149690;Zm00037ab149690;Zm00037ab149690;Zm00037ab149690;Zm00037ab149690;Zm00037ab149690;Zm00037ab293760;Zm00037ab293760;Zm00037ab016510;Zm00037ab016510;Zm00037ab194850;Zm00037ab194850;Zm00037ab194850;Zm00037ab194850;Zm00037ab194850;Zm00037ab375130;Zm00037ab375130;Zm00037ab194850;Zm00037ab194850;Zm00037ab194850;Zm00037ab194850;Zm00037ab194850;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab262100;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab217030;Zm00037ab217030;Zm00037ab041680;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab155930;Zm00037ab326020;Zm00037ab326020;Zm00037ab326020;Zm00037ab012650;Zm00037ab012650;Zm00037ab359410;Zm00037ab409940;Zm00037ab409940;Zm00037ab217200;Zm00037ab217200;Zm00037ab359410;Zm00037ab359410;Zm00037ab359410;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab403610;Zm00037ab403610;Zm00037ab215660;Zm00037ab215660;Zm00037ab364340;Zm00037ab364340;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab215660;Zm00037ab162120;Zm00037ab162120;Zm00037ab162120;Zm00037ab007210;Zm00037ab007210;Zm00037ab007210;Zm00037ab007210;Zm00037ab407050;Zm00037ab407050;Zm00037ab407050;Zm00037ab407050;Zm00037ab407050;Zm00037ab407050;Zm00037ab407050;Zm00037ab407050;Zm00037ab060310;Zm00037ab060310;Zm00037ab354320;Zm00037ab354320;Zm00037ab354320;Zm00037ab354320;Zm00037ab092560;Zm00037ab092560;Zm00037ab431720;Zm00037ab431720;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab045390;Zm00037ab172590;Zm00037ab172590;Zm00037ab393220;Zm00037ab393220;Zm00037ab438010;Zm00037ab438010;Zm00037ab298310;Zm00037ab298310;Zm00037ab298310;Zm00037ab298310;Zm00037ab298310;Zm00037ab298310;Zm00037ab298310;Zm00037ab298310;Zm00037ab156200;Zm00037ab171270;Zm00037ab171270;Zm00037ab051050;Zm00037ab051050;Zm00037ab357890;Zm00037ab357890;Zm00037ab089220;Zm00037ab089220;Zm00037ab382110;Zm00037ab163960;Zm00037ab163960;Zm00037ab027810;Zm00037ab027810;Zm00037ab318510;Zm00037ab318510;Zm00037ab027810;Zm00037ab027810;Zm00037ab027810;Zm00037ab027810;Zm00037ab027810;Zm00037ab027810;Zm00037ab120890;Zm00037ab002500;Zm00037ab002500;Zm00037ab265280;Zm00037ab265280;Zm00037ab043550;Zm00037ab043550;Zm00037ab268560;Zm00037ab268560;Zm00037ab136110;Zm00037ab136110;Zm00037ab226050;Zm00037ab226050;Zm00037ab226050;Zm00037ab226050;Zm00037ab226050;Zm00037ab226050;Zm00037ab226050;Zm00037ab226050;Zm00037ab226050;Zm00037ab226050;Zm00037ab255840;Zm00037ab073780;Zm00037ab147780;Zm00037ab077000;Zm00037ab077000;Zm00037ab025170;Zm00037ab025170;Zm00037ab188180;Zm00037ab188180;Zm00037ab239170;Zm00037ab239170;Zm00037ab294410;Zm00037ab294410;Zm00037ab294410;Zm00037ab295320;Zm00037ab295320;Zm00037ab060100;Zm00037ab060100;Zm00037ab060100;Zm00037ab060100;Zm00037ab060100;Zm00037ab060100;Zm00037ab060100;Zm00037ab060100;Zm00037ab060100;Zm00037ab060100;Zm00037ab099990;Zm00037ab099990;Zm00037ab143660;Zm00037ab143660;Zm00037ab143660;Zm00037ab143660;Zm00037ab361220;Zm00037ab361220;Zm00037ab361220;Zm00037ab361220;Zm00037ab361220;Zm00037ab361220;Zm00037ab361220;Zm00037ab361220;Zm00037ab027110;Zm00037ab027110;Zm00037ab174850;Zm00037ab174850;Zm00037ab401610;Zm00037ab401610;Zm00037ab380520;Zm00037ab380520;Zm00037ab302100;Zm00037ab302100;Zm00037ab098430;Zm00037ab098430;Zm00037ab376000;Zm00037ab376000;Zm00037ab050660;Zm00037ab050660;Zm00037ab017550;Zm00037ab050660;Zm00037ab050660;Zm00037ab348680;Zm00037ab348680;Zm00037ab232190;Zm00037ab232190;Zm00037ab395250;Zm00037ab395250;Zm00037ab332080;Zm00037ab332080;Zm00037ab332080;Zm00037ab332080;Zm00037ab332080;Zm00037ab332080;Zm00037ab406260;Zm00037ab348160;Zm00037ab335690;Zm00037ab335690;Zm00037ab425980;Zm00037ab425980;Zm00037ab425980;Zm00037ab425980;Zm00037ab425980;Zm00037ab425980;Zm00037ab047960;Zm00037ab047960;Zm00037ab297970;Zm00037ab297970;Zm00037ab297970;Zm00037ab297970;Zm00037ab297970;Zm00037ab297970;Zm00037ab286160;Zm00037ab286160;Zm00037ab032370;Zm00037ab032370;Zm00037ab032370;Zm00037ab051250;Zm00037ab051250;Zm00037ab395850;Zm00037ab395850;Zm00037ab395850;Zm00037ab395850;Zm00037ab395850;Zm00037ab395850;Zm00037ab395850;Zm00037ab395850;Zm00037ab422250;Zm00037ab261990;Zm00037ab261990;Zm00037ab085880;Zm00037ab085880;Zm00037ab384190;Zm00037ab369030;Zm00037ab369030;Zm00037ab240000;Zm00037ab174910;Zm00037ab174910;Zm00037ab269660;Zm00037ab269660;Zm00037ab269660;Zm00037ab269660;Zm00037ab435180;Zm00037ab435180;Zm00037ab097900;Zm00037ab097900;Zm00037ab360710;Zm00037ab360710;Zm00037ab360710;Zm00037ab360710;Zm00037ab355050;Zm00037ab037640;Zm00037ab037640;Zm00037ab182130;Zm00037ab182130;Zm00037ab328610;Zm00037ab328610;Zm00037ab328610;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab065480;Zm00037ab369730;Zm00037ab369730;Zm00037ab298610;Zm00037ab171220;Zm00037ab388340;Zm00037ab388340;Zm00037ab096940;Zm00037ab096940;Zm00037ab435920;Zm00037ab435920;Zm00037ab176110;Zm00037ab176110;Zm00037ab067530;Zm00037ab067530;Zm00037ab376110;Zm00037ab376110;Zm00037ab376110;Zm00037ab433510;Zm00037ab243640;Zm00037ab243640;Zm00037ab433510;Zm00037ab121270;Zm00037ab121270;Zm00037ab161310;Zm00037ab161310;Zm00037ab161310;Zm00037ab161310;Zm00037ab161310;Zm00037ab106920;Zm00037ab106920;Zm00037ab161310;Zm00037ab161310;Zm00037ab161310;Zm00037ab161310;Zm00037ab161310;Zm00037ab002490;Zm00037ab002490;Zm00037ab002490;Zm00037ab002490;Zm00037ab062610;Zm00037ab126210;Zm00037ab126210;Zm00037ab287860;Zm00037ab287860;Zm00037ab287860;Zm00037ab287860;Zm00037ab287860;Zm00037ab287860;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180;Zm00037ab310180
IPR000054	Ribosomal protein L31e	Zm00037ab190890;Zm00037ab385660;Zm00037ab034830;Zm00037ab255750
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00037ab005700;Zm00037ab005700;Zm00037ab005700;Zm00037ab005700;Zm00037ab005700;Zm00037ab321970;Zm00037ab321970;Zm00037ab321970;Zm00037ab321970;Zm00037ab321970;Zm00037ab406050;Zm00037ab406050;Zm00037ab406050
