LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00027ab000010
2.0	Domain: Eukaryota	Zm00027ab000020
5.0	Land Plants (Embryophyta)	Zm00027ab000050
4.0	Phylum: Streptophyta	Zm00027ab000060
4.0	Phylum: Streptophyta	Zm00027ab000070
1.0	Cellular organisms	Zm00027ab000080
7.0	Monocots (Liliopsida)	Zm00027ab000090
1.0	Cellular organisms	Zm00027ab000100
9.0	Family: Poaceae	Zm00027ab000110
5.0	Land Plants (Embryophyta)	Zm00027ab000130
5.0	Land Plants (Embryophyta)	Zm00027ab000150
2.0	Domain: Eukaryota	Zm00027ab000160
1.0	Cellular organisms	Zm00027ab000170
4.0	Phylum: Streptophyta	Zm00027ab000180
5.0	Land Plants (Embryophyta)	Zm00027ab000210
1.0	Cellular organisms	Zm00027ab000220
7.0	Monocots (Liliopsida)	Zm00027ab000230
1.0	Cellular organisms	Zm00027ab000240
2.0	Domain: Eukaryota	Zm00027ab000250
14.0	Subspecies: Zea mays mays	Zm00027ab000260
2.0	Domain: Eukaryota	Zm00027ab000270
1.0	Cellular organisms	Zm00027ab000280
11.0	Tribe: Andropogoneae	Zm00027ab000290
4.0	Phylum: Streptophyta	Zm00027ab000300
5.0	Land Plants (Embryophyta)	Zm00027ab000320
1.0	Cellular organisms	Zm00027ab000330
3.0	Kingdom: Viridiplantae	Zm00027ab000340
1.0	Cellular organisms	Zm00027ab000350
1.0	Cellular organisms	Zm00027ab000360
1.0	Cellular organisms	Zm00027ab000370
2.0	Domain: Eukaryota	Zm00027ab000380
3.0	Kingdom: Viridiplantae	Zm00027ab000400
7.0	Monocots (Liliopsida)	Zm00027ab000410
3.0	Kingdom: Viridiplantae	Zm00027ab000430
1.0	Cellular organisms	Zm00027ab000450
1.0	Cellular organisms	Zm00027ab000460
4.0	Phylum: Streptophyta	Zm00027ab000470
3.0	Kingdom: Viridiplantae	Zm00027ab000480
5.0	Land Plants (Embryophyta)	Zm00027ab000490
2.0	Domain: Eukaryota	Zm00027ab000510
7.0	Monocots (Liliopsida)	Zm00027ab000520
14.0	Subspecies: Zea mays mays	Zm00027ab000530
5.0	Land Plants (Embryophyta)	Zm00027ab000540
6.0	Class: Magnoliopsida	Zm00027ab000550
5.0	Land Plants (Embryophyta)	Zm00027ab000560
5.0	Land Plants (Embryophyta)	Zm00027ab000570
		Zm00027ab000580
1.0	Cellular organisms	Zm00027ab000590
2.0	Domain: Eukaryota	Zm00027ab000600
5.0	Land Plants (Embryophyta)	Zm00027ab000610
1.0	Cellular organisms	Zm00027ab000620
2.0	Domain: Eukaryota	Zm00027ab000630
6.0	Class: Magnoliopsida	Zm00027ab000640
14.0	Subspecies: Zea mays mays	Zm00027ab000650
13.0	Species: Zea mays	Zm00027ab000660
2.0	Domain: Eukaryota	Zm00027ab000670
1.0	Cellular organisms	Zm00027ab000680
1.0	Cellular organisms	Zm00027ab000690
1.0	Cellular organisms	Zm00027ab000700
14.0	Subspecies: Zea mays mays	Zm00027ab000710
4.0	Phylum: Streptophyta	Zm00027ab000720
4.0	Phylum: Streptophyta	Zm00027ab000730
2.0	Domain: Eukaryota	Zm00027ab000740
1.0	Cellular organisms	Zm00027ab000750
2.0	Domain: Eukaryota	Zm00027ab000760
3.0	Kingdom: Viridiplantae	Zm00027ab000770
2.0	Domain: Eukaryota	Zm00027ab000780
4.0	Phylum: Streptophyta	Zm00027ab000790
2.0	Domain: Eukaryota	Zm00027ab000800
5.0	Land Plants (Embryophyta)	Zm00027ab000810
4.0	Phylum: Streptophyta	Zm00027ab000820
2.0	Domain: Eukaryota	Zm00027ab000830
1.0	Cellular organisms	Zm00027ab000840
1.0	Cellular organisms	Zm00027ab000850
1.0	Cellular organisms	Zm00027ab000860
1.0	Cellular organisms	Zm00027ab000870
9.0	Family: Poaceae	Zm00027ab000880
6.0	Class: Magnoliopsida	Zm00027ab000890
6.0	Class: Magnoliopsida	Zm00027ab000900
2.0	Domain: Eukaryota	Zm00027ab000910
2.0	Domain: Eukaryota	Zm00027ab000920
2.0	Domain: Eukaryota	Zm00027ab000930
4.0	Phylum: Streptophyta	Zm00027ab000940
2.0	Domain: Eukaryota	Zm00027ab000950
5.0	Land Plants (Embryophyta)	Zm00027ab000960
14.0	Subspecies: Zea mays mays	Zm00027ab000970
2.0	Domain: Eukaryota	Zm00027ab000980
2.0	Domain: Eukaryota	Zm00027ab000990
4.0	Phylum: Streptophyta	Zm00027ab001010
2.0	Domain: Eukaryota	Zm00027ab001020
6.0	Class: Magnoliopsida	Zm00027ab001040
3.0	Kingdom: Viridiplantae	Zm00027ab001050
1.0	Cellular organisms	Zm00027ab001060
1.0	Cellular organisms	Zm00027ab001070
9.0	Family: Poaceae	Zm00027ab001080
2.0	Domain: Eukaryota	Zm00027ab001090
