LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00038ab000010
2.0	Domain: Eukaryota	Zm00038ab000020
5.0	Land Plants (Embryophyta)	Zm00038ab000030
11.0	Tribe: Andropogoneae	Zm00038ab000040
6.0	Class: Magnoliopsida	Zm00038ab000050
1.0	Cellular organisms	Zm00038ab000060
9.0	Family: Poaceae	Zm00038ab000070
7.0	Monocots (Liliopsida)	Zm00038ab000080
6.0	Class: Magnoliopsida	Zm00038ab000090
9.0	Family: Poaceae	Zm00038ab000110
10.0	Subfamily: Panicoideae	Zm00038ab000130
1.0	Cellular organisms	Zm00038ab000140
5.0	Land Plants (Embryophyta)	Zm00038ab000160
1.0	Cellular organisms	Zm00038ab000180
4.0	Phylum: Streptophyta	Zm00038ab000190
1.0	Cellular organisms	Zm00038ab000200
5.0	Land Plants (Embryophyta)	Zm00038ab000210
1.0	Cellular organisms	Zm00038ab000220
2.0	Domain: Eukaryota	Zm00038ab000230
2.0	Domain: Eukaryota	Zm00038ab000240
1.0	Cellular organisms	Zm00038ab000250
1.0	Cellular organisms	Zm00038ab000260
4.0	Phylum: Streptophyta	Zm00038ab000280
9.0	Family: Poaceae	Zm00038ab000290
5.0	Land Plants (Embryophyta)	Zm00038ab000300
5.0	Land Plants (Embryophyta)	Zm00038ab000310
1.0	Cellular organisms	Zm00038ab000320
3.0	Kingdom: Viridiplantae	Zm00038ab000340
1.0	Cellular organisms	Zm00038ab000350
1.0	Cellular organisms	Zm00038ab000360
1.0	Cellular organisms	Zm00038ab000370
2.0	Domain: Eukaryota	Zm00038ab000380
3.0	Kingdom: Viridiplantae	Zm00038ab000400
3.0	Kingdom: Viridiplantae	Zm00038ab000410
1.0	Cellular organisms	Zm00038ab000420
5.0	Land Plants (Embryophyta)	Zm00038ab000430
1.0	Cellular organisms	Zm00038ab000440
4.0	Phylum: Streptophyta	Zm00038ab000450
3.0	Kingdom: Viridiplantae	Zm00038ab000460
5.0	Land Plants (Embryophyta)	Zm00038ab000480
3.0	Kingdom: Viridiplantae	Zm00038ab000490
5.0	Land Plants (Embryophyta)	Zm00038ab000500
14.0	Subspecies: Zea mays mays	Zm00038ab000510
6.0	Class: Magnoliopsida	Zm00038ab000520
5.0	Land Plants (Embryophyta)	Zm00038ab000530
5.0	Land Plants (Embryophyta)	Zm00038ab000540
1.0	Cellular organisms	Zm00038ab000550
2.0	Domain: Eukaryota	Zm00038ab000560
5.0	Land Plants (Embryophyta)	Zm00038ab000570
1.0	Cellular organisms	Zm00038ab000580
2.0	Domain: Eukaryota	Zm00038ab000590
6.0	Class: Magnoliopsida	Zm00038ab000610
2.0	Domain: Eukaryota	Zm00038ab000620
2.0	Domain: Eukaryota	Zm00038ab000630
2.0	Domain: Eukaryota	Zm00038ab000640
1.0	Cellular organisms	Zm00038ab000650
14.0	Subspecies: Zea mays mays	Zm00038ab000660
1.0	Cellular organisms	Zm00038ab000670
4.0	Phylum: Streptophyta	Zm00038ab000680
5.0	Land Plants (Embryophyta)	Zm00038ab000690
4.0	Phylum: Streptophyta	Zm00038ab000700
11.0	Tribe: Andropogoneae	Zm00038ab000710
2.0	Domain: Eukaryota	Zm00038ab000720
1.0	Cellular organisms	Zm00038ab000730
3.0	Kingdom: Viridiplantae	Zm00038ab000740
2.0	Domain: Eukaryota	Zm00038ab000750
4.0	Phylum: Streptophyta	Zm00038ab000760
2.0	Domain: Eukaryota	Zm00038ab000770
5.0	Land Plants (Embryophyta)	Zm00038ab000780
4.0	Phylum: Streptophyta	Zm00038ab000790
2.0	Domain: Eukaryota	Zm00038ab000800
1.0	Cellular organisms	Zm00038ab000810
1.0	Cellular organisms	Zm00038ab000830
1.0	Cellular organisms	Zm00038ab000840
1.0	Cellular organisms	Zm00038ab000850
5.0	Land Plants (Embryophyta)	Zm00038ab000860
6.0	Class: Magnoliopsida	Zm00038ab000870
2.0	Domain: Eukaryota	Zm00038ab000880
2.0	Domain: Eukaryota	Zm00038ab000890
2.0	Domain: Eukaryota	Zm00038ab000900
4.0	Phylum: Streptophyta	Zm00038ab000910
2.0	Domain: Eukaryota	Zm00038ab000920
5.0	Land Plants (Embryophyta)	Zm00038ab000930
14.0	Subspecies: Zea mays mays	Zm00038ab000940
2.0	Domain: Eukaryota	Zm00038ab000950
4.0	Phylum: Streptophyta	Zm00038ab000960
4.0	Phylum: Streptophyta	Zm00038ab000970
		Zm00038ab000980
14.0	Subspecies: Zea mays mays	Zm00038ab000990
2.0	Domain: Eukaryota	Zm00038ab001000
6.0	Class: Magnoliopsida	Zm00038ab001020
3.0	Kingdom: Viridiplantae	Zm00038ab001030
1.0	Cellular organisms	Zm00038ab001040
1.0	Cellular organisms	Zm00038ab001050
9.0	Family: Poaceae	Zm00038ab001060
2.0	Domain: Eukaryota	Zm00038ab001070
5.0	Land Plants (Embryophyta)	Zm00038ab001080
2.0	Domain: Eukaryota	Zm00038ab001090
3.0	Kingdom: Viridiplantae	Zm00038ab001100
5.0	Land Plants (Embryophyta)	Zm00038ab001110
1.0	Cellular organisms	Zm00038ab001120
6.0	Class: Magnoliopsida	Zm00038ab001130
4.0	Phylum: Streptophyta	Zm00038ab001140
2.0	Domain: Eukaryota	Zm00038ab001150
1.0	Cellular organisms	Zm00038ab001160
1.0	Cellular organisms	Zm00038ab001170
