LABEL	NAME	GENE_MODEL
6.0	Class: Magnoliopsida	Zm00040ab000020
6.0	Class: Magnoliopsida	Zm00040ab000030
11.0	Tribe: Andropogoneae	Zm00040ab000040
1.0	Cellular organisms	Zm00040ab000060
1.0	Cellular organisms	Zm00040ab000070
2.0	Domain: Eukaryota	Zm00040ab000090
1.0	Cellular organisms	Zm00040ab000100
		Zm00040ab000110
5.0	Land Plants (Embryophyta)	Zm00040ab000120
2.0	Domain: Eukaryota	Zm00040ab000130
5.0	Land Plants (Embryophyta)	Zm00040ab000150
10.0	Subfamily: Panicoideae	Zm00040ab000160
7.0	Monocots (Liliopsida)	Zm00040ab000180
7.0	Monocots (Liliopsida)	Zm00040ab000190
11.0	Tribe: Andropogoneae	Zm00040ab000200
13.0	Species: Zea mays	Zm00040ab000220
5.0	Land Plants (Embryophyta)	Zm00040ab000230
5.0	Land Plants (Embryophyta)	Zm00040ab000240
11.0	Tribe: Andropogoneae	Zm00040ab000250
5.0	Land Plants (Embryophyta)	Zm00040ab000260
10.0	Subfamily: Panicoideae	Zm00040ab000270
5.0	Land Plants (Embryophyta)	Zm00040ab000280
4.0	Phylum: Streptophyta	Zm00040ab000310
1.0	Cellular organisms	Zm00040ab000320
5.0	Land Plants (Embryophyta)	Zm00040ab000330
1.0	Cellular organisms	Zm00040ab000340
14.0	Subspecies: Zea mays mays	Zm00040ab000350
11.0	Tribe: Andropogoneae	Zm00040ab000360
1.0	Cellular organisms	Zm00040ab000370
2.0	Domain: Eukaryota	Zm00040ab000380
14.0	Subspecies: Zea mays mays	Zm00040ab000390
2.0	Domain: Eukaryota	Zm00040ab000400
1.0	Cellular organisms	Zm00040ab000410
9.0	Family: Poaceae	Zm00040ab000420
1.0	Cellular organisms	Zm00040ab000450
1.0	Cellular organisms	Zm00040ab000460
3.0	Kingdom: Viridiplantae	Zm00040ab000480
2.0	Domain: Eukaryota	Zm00040ab000490
3.0	Kingdom: Viridiplantae	Zm00040ab000510
7.0	Monocots (Liliopsida)	Zm00040ab000520
11.0	Tribe: Andropogoneae	Zm00040ab000530
3.0	Kingdom: Viridiplantae	Zm00040ab000540
1.0	Cellular organisms	Zm00040ab000550
5.0	Land Plants (Embryophyta)	Zm00040ab000560
1.0	Cellular organisms	Zm00040ab000570
4.0	Phylum: Streptophyta	Zm00040ab000580
3.0	Kingdom: Viridiplantae	Zm00040ab000590
5.0	Land Plants (Embryophyta)	Zm00040ab000600
3.0	Kingdom: Viridiplantae	Zm00040ab000610
4.0	Phylum: Streptophyta	Zm00040ab000620
5.0	Land Plants (Embryophyta)	Zm00040ab000630
6.0	Class: Magnoliopsida	Zm00040ab000650
14.0	Subspecies: Zea mays mays	Zm00040ab000660
5.0	Land Plants (Embryophyta)	Zm00040ab000670
5.0	Land Plants (Embryophyta)	Zm00040ab000680
1.0	Cellular organisms	Zm00040ab000690
6.0	Class: Magnoliopsida	Zm00040ab000700
2.0	Domain: Eukaryota	Zm00040ab000710
5.0	Land Plants (Embryophyta)	Zm00040ab000720
1.0	Cellular organisms	Zm00040ab000730
2.0	Domain: Eukaryota	Zm00040ab000740
6.0	Class: Magnoliopsida	Zm00040ab000760
2.0	Domain: Eukaryota	Zm00040ab000770
1.0	Cellular organisms	Zm00040ab000780
1.0	Cellular organisms	Zm00040ab000790
4.0	Phylum: Streptophyta	Zm00040ab000810
2.0	Domain: Eukaryota	Zm00040ab000820
1.0	Cellular organisms	Zm00040ab000830
3.0	Kingdom: Viridiplantae	Zm00040ab000840
5.0	Land Plants (Embryophyta)	Zm00040ab000850
2.0	Domain: Eukaryota	Zm00040ab000860
4.0	Phylum: Streptophyta	Zm00040ab000870
2.0	Domain: Eukaryota	Zm00040ab000880
5.0	Land Plants (Embryophyta)	Zm00040ab000890
4.0	Phylum: Streptophyta	Zm00040ab000900
2.0	Domain: Eukaryota	Zm00040ab000910
1.0	Cellular organisms	Zm00040ab000920
1.0	Cellular organisms	Zm00040ab000930
1.0	Cellular organisms	Zm00040ab000940
6.0	Class: Magnoliopsida	Zm00040ab000950
6.0	Class: Magnoliopsida	Zm00040ab000960
2.0	Domain: Eukaryota	Zm00040ab000970
2.0	Domain: Eukaryota	Zm00040ab000980
2.0	Domain: Eukaryota	Zm00040ab000990
4.0	Phylum: Streptophyta	Zm00040ab001000
2.0	Domain: Eukaryota	Zm00040ab001010
14.0	Subspecies: Zea mays mays	Zm00040ab001020
5.0	Land Plants (Embryophyta)	Zm00040ab001030
14.0	Subspecies: Zea mays mays	Zm00040ab001040
2.0	Domain: Eukaryota	Zm00040ab001050
4.0	Phylum: Streptophyta	Zm00040ab001060
4.0	Phylum: Streptophyta	Zm00040ab001070
2.0	Domain: Eukaryota	Zm00040ab001080
6.0	Class: Magnoliopsida	Zm00040ab001100
3.0	Kingdom: Viridiplantae	Zm00040ab001110
1.0	Cellular organisms	Zm00040ab001120
5.0	Land Plants (Embryophyta)	Zm00040ab001130
1.0	Cellular organisms	Zm00040ab001140
9.0	Family: Poaceae	Zm00040ab001150
2.0	Domain: Eukaryota	Zm00040ab001160
5.0	Land Plants (Embryophyta)	Zm00040ab001170
2.0	Domain: Eukaryota	Zm00040ab001180
3.0	Kingdom: Viridiplantae	Zm00040ab001190
5.0	Land Plants (Embryophyta)	Zm00040ab001200
1.0	Cellular organisms	Zm00040ab001210
6.0	Class: Magnoliopsida	Zm00040ab001220
4.0	Phylum: Streptophyta	Zm00040ab001230
2.0	Domain: Eukaryota	Zm00040ab001250
1.0	Cellular organisms	Zm00040ab001260
9.0	Family: Poaceae	Zm00040ab001270
1.0	Cellular organisms	Zm00040ab001280
9.0	Family: Poaceae	Zm00040ab001290
1.0	Cellular organisms	Zm00040ab001320
1.0	Cellular organisms	Zm00040ab001330
10.0	Subfamily: Panicoideae	Zm00040ab001340
11.0	Tribe: Andropogoneae	Zm00040ab001350
11.0	Tribe: Andropogoneae	Zm00040ab001360
2.0	Domain: Eukaryota	Zm00040ab001380
5.0	Land Plants (Embryophyta)	Zm00040ab001390
3.0	Kingdom: Viridiplantae	Zm00040ab001400
