SCORE	NAME	GENE_MODEL
0.77173	True	Zm00036ab000010
0.93258	True	Zm00036ab000020
0.9962	True	Zm00036ab000050
0.99881	True	Zm00036ab000070
0.89692	True	Zm00036ab000080
0.9993	True	Zm00036ab000090
0.85736	True	Zm00036ab000100
0.99871	True	Zm00036ab000110
0.41707	False	Zm00036ab000140
0.35803	False	Zm00036ab000150
0.25475	False	Zm00036ab000160
0.00802	False	Zm00036ab000200
0.01317	False	Zm00036ab000210
0.9985	True	Zm00036ab000220
0.84521	True	Zm00036ab000230
0.99066	True	Zm00036ab000250
0.91441	True	Zm00036ab000260
0.9948	True	Zm00036ab000270
0.93574	True	Zm00036ab000280
0.9994	True	Zm00036ab000290
0.99078	True	Zm00036ab000300
0.99817	True	Zm00036ab000310
0.2563	False	Zm00036ab000320
0.28546	False	Zm00036ab000330
0.99858	True	Zm00036ab000350
0.99917	True	Zm00036ab000360
0.99779	True	Zm00036ab000370
0.99131	True	Zm00036ab000380
0.83964	True	Zm00036ab000390
0.99121	True	Zm00036ab000400
0.99719	True	Zm00036ab000410
0.9974	True	Zm00036ab000420
0.99949	True	Zm00036ab000430
0.99929	True	Zm00036ab000440
0.97983	True	Zm00036ab000450
0.91911	True	Zm00036ab000460
0.93772	True	Zm00036ab000480
0.54394	True	Zm00036ab000490
0.99886	True	Zm00036ab000500
0.37371	False	Zm00036ab000510
0.97968	True	Zm00036ab000520
0.09195	False	Zm00036ab000530
0.27665	False	Zm00036ab000540
0.91091	True	Zm00036ab000550
0.10026	False	Zm00036ab000560
0.97106	True	Zm00036ab000570
0.99901	True	Zm00036ab000580
0.99294	True	Zm00036ab000590
0.98936	True	Zm00036ab000600
0.99365	True	Zm00036ab000610
0.98402	True	Zm00036ab000620
0.8555	True	Zm00036ab000640
0.97584	True	Zm00036ab000650
0.21043	False	Zm00036ab000670
0.99828	True	Zm00036ab000680
0.99973	True	Zm00036ab000690
0.96198	True	Zm00036ab000700
0.98088	True	Zm00036ab000710
0.95499	True	Zm00036ab000720
0.9992	True	Zm00036ab000730
0.98555	True	Zm00036ab000740
0.99911	True	Zm00036ab000750
0.99589	True	Zm00036ab000770
0.88322	True	Zm00036ab000780
0.6785	True	Zm00036ab000790
0.88988	True	Zm00036ab000800
0.99559	True	Zm00036ab000810
0.86354	True	Zm00036ab000820
0.99886	True	Zm00036ab000830
0.99995	True	Zm00036ab000840
0.98771	True	Zm00036ab000850
0.99943	True	Zm00036ab000860
0.98836	True	Zm00036ab000870
0.98932	True	Zm00036ab000880
0.86221	True	Zm00036ab000890
0.99621	True	Zm00036ab000900
0.99734	True	Zm00036ab000910
0.9107	True	Zm00036ab000920
0.99718	True	Zm00036ab000930
0.93166	True	Zm00036ab000940
0.99843	True	Zm00036ab000950
0.99992	True	Zm00036ab000960
0.99469	True	Zm00036ab000970
0.9998	True	Zm00036ab000980
0.00612	False	Zm00036ab000990
0.99636	True	Zm00036ab001000
0.99553	True	Zm00036ab001020
0.99772	True	Zm00036ab001030
0.99659	True	Zm00036ab001050
0.30785	False	Zm00036ab001060
0.99668	True	Zm00036ab001070
0.9973	True	Zm00036ab001080
0.99157	True	Zm00036ab001100
0.00767	False	Zm00036ab001110
0.99967	True	Zm00036ab001120
0.99794	True	Zm00036ab001130
0.97548	True	Zm00036ab001140
0.99639	True	Zm00036ab001150
0.99682	True	Zm00036ab001160
0.96528	True	Zm00036ab001170
0.99918	True	Zm00036ab001180
0.99862	True	Zm00036ab001190
