LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00025ab000010
2.0	Domain: Eukaryota	Zm00025ab000020
5.0	Land Plants (Embryophyta)	Zm00025ab000030
1.0	Cellular organisms	Zm00025ab000040
1.0	Cellular organisms	Zm00025ab000050
1.0	Cellular organisms	Zm00025ab000060
14.0	Subspecies: Zea mays mays	Zm00025ab000070
9.0	Family: Poaceae	Zm00025ab000080
5.0	Land Plants (Embryophyta)	Zm00025ab000100
1.0	Cellular organisms	Zm00025ab000110
13.0	Species: Zea mays	Zm00025ab000130
5.0	Land Plants (Embryophyta)	Zm00025ab000140
1.0	Cellular organisms	Zm00025ab000170
3.0	Kingdom: Viridiplantae	Zm00025ab000180
4.0	Phylum: Streptophyta	Zm00025ab000190
5.0	Land Plants (Embryophyta)	Zm00025ab000200
1.0	Cellular organisms	Zm00025ab000210
5.0	Land Plants (Embryophyta)	Zm00025ab000220
4.0	Phylum: Streptophyta	Zm00025ab000230
1.0	Cellular organisms	Zm00025ab000240
1.0	Cellular organisms	Zm00025ab000250
6.0	Class: Magnoliopsida	Zm00025ab000260
2.0	Domain: Eukaryota	Zm00025ab000270
1.0	Cellular organisms	Zm00025ab000280
6.0	Class: Magnoliopsida	Zm00025ab000290
14.0	Subspecies: Zea mays mays	Zm00025ab000300
1.0	Cellular organisms	Zm00025ab000340
6.0	Class: Magnoliopsida	Zm00025ab000350
1.0	Cellular organisms	Zm00025ab000390
1.0	Cellular organisms	Zm00025ab000400
1.0	Cellular organisms	Zm00025ab000410
4.0	Phylum: Streptophyta	Zm00025ab000420
5.0	Land Plants (Embryophyta)	Zm00025ab000430
1.0	Cellular organisms	Zm00025ab000440
14.0	Subspecies: Zea mays mays	Zm00025ab000450
1.0	Cellular organisms	Zm00025ab000470
2.0	Domain: Eukaryota	Zm00025ab000480
14.0	Subspecies: Zea mays mays	Zm00025ab000490
2.0	Domain: Eukaryota	Zm00025ab000500
1.0	Cellular organisms	Zm00025ab000510
9.0	Family: Poaceae	Zm00025ab000520
14.0	Subspecies: Zea mays mays	Zm00025ab000530
4.0	Phylum: Streptophyta	Zm00025ab000540
14.0	Subspecies: Zea mays mays	Zm00025ab000560
14.0	Subspecies: Zea mays mays	Zm00025ab000570
