LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00036ab000010
2.0	Domain: Eukaryota	Zm00036ab000020
5.0	Land Plants (Embryophyta)	Zm00036ab000050
4.0	Phylum: Streptophyta	Zm00036ab000070
6.0	Class: Magnoliopsida	Zm00036ab000080
1.0	Cellular organisms	Zm00036ab000090
9.0	Family: Poaceae	Zm00036ab000100
1.0	Cellular organisms	Zm00036ab000110
9.0	Family: Poaceae	Zm00036ab000140
9.0	Family: Poaceae	Zm00036ab000150
5.0	Land Plants (Embryophyta)	Zm00036ab000160
14.0	Subspecies: Zea mays mays	Zm00036ab000200
14.0	Subspecies: Zea mays mays	Zm00036ab000210
4.0	Phylum: Streptophyta	Zm00036ab000220
1.0	Cellular organisms	Zm00036ab000230
5.0	Land Plants (Embryophyta)	Zm00036ab000250
1.0	Cellular organisms	Zm00036ab000260
1.0	Cellular organisms	Zm00036ab000270
2.0	Domain: Eukaryota	Zm00036ab000280
2.0	Domain: Eukaryota	Zm00036ab000290
1.0	Cellular organisms	Zm00036ab000300
9.0	Family: Poaceae	Zm00036ab000310
14.0	Subspecies: Zea mays mays	Zm00036ab000320
4.0	Phylum: Streptophyta	Zm00036ab000330
11.0	Tribe: Andropogoneae	Zm00036ab000350
1.0	Cellular organisms	Zm00036ab000360
2.0	Domain: Eukaryota	Zm00036ab000370
1.0	Cellular organisms	Zm00036ab000380
3.0	Kingdom: Viridiplantae	Zm00036ab000390
2.0	Domain: Eukaryota	Zm00036ab000400
3.0	Kingdom: Viridiplantae	Zm00036ab000410
10.0	Subfamily: Panicoideae	Zm00036ab000420
3.0	Kingdom: Viridiplantae	Zm00036ab000430
10.0	Subfamily: Panicoideae	Zm00036ab000440
1.0	Cellular organisms	Zm00036ab000450
11.0	Tribe: Andropogoneae	Zm00036ab000460
1.0	Cellular organisms	Zm00036ab000480
4.0	Phylum: Streptophyta	Zm00036ab000490
5.0	Land Plants (Embryophyta)	Zm00036ab000500
14.0	Subspecies: Zea mays mays	Zm00036ab000510
2.0	Domain: Eukaryota	Zm00036ab000520
7.0	Monocots (Liliopsida)	Zm00036ab000530
5.0	Land Plants (Embryophyta)	Zm00036ab000540
5.0	Land Plants (Embryophyta)	Zm00036ab000550
5.0	Land Plants (Embryophyta)	Zm00036ab000560
5.0	Land Plants (Embryophyta)	Zm00036ab000570
1.0	Cellular organisms	Zm00036ab000580
6.0	Class: Magnoliopsida	Zm00036ab000590
6.0	Class: Magnoliopsida	Zm00036ab000600
2.0	Domain: Eukaryota	Zm00036ab000610
5.0	Land Plants (Embryophyta)	Zm00036ab000620
1.0	Cellular organisms	Zm00036ab000640
2.0	Domain: Eukaryota	Zm00036ab000650
11.0	Tribe: Andropogoneae	Zm00036ab000670
6.0	Class: Magnoliopsida	Zm00036ab000680
2.0	Domain: Eukaryota	Zm00036ab000690
1.0	Cellular organisms	Zm00036ab000700
1.0	Cellular organisms	Zm00036ab000710
1.0	Cellular organisms	Zm00036ab000720
4.0	Phylum: Streptophyta	Zm00036ab000730
2.0	Domain: Eukaryota	Zm00036ab000740
1.0	Cellular organisms	Zm00036ab000750
3.0	Kingdom: Viridiplantae	Zm00036ab000770
3.0	Kingdom: Viridiplantae	Zm00036ab000780
7.0	Monocots (Liliopsida)	Zm00036ab000790
2.0	Domain: Eukaryota	Zm00036ab000800
4.0	Phylum: Streptophyta	Zm00036ab000810
1.0	Cellular organisms	Zm00036ab000820
2.0	Domain: Eukaryota	Zm00036ab000830
5.0	Land Plants (Embryophyta)	Zm00036ab000840
4.0	Phylum: Streptophyta	Zm00036ab000850
2.0	Domain: Eukaryota	Zm00036ab000860
1.0	Cellular organisms	Zm00036ab000870
6.0	Class: Magnoliopsida	Zm00036ab000880
1.0	Cellular organisms	Zm00036ab000890
1.0	Cellular organisms	Zm00036ab000900
5.0	Land Plants (Embryophyta)	Zm00036ab000910
6.0	Class: Magnoliopsida	Zm00036ab000920
2.0	Domain: Eukaryota	Zm00036ab000930
2.0	Domain: Eukaryota	Zm00036ab000940
2.0	Domain: Eukaryota	Zm00036ab000950
4.0	Phylum: Streptophyta	Zm00036ab000960
2.0	Domain: Eukaryota	Zm00036ab000970
5.0	Land Plants (Embryophyta)	Zm00036ab000980
14.0	Subspecies: Zea mays mays	Zm00036ab000990
2.0	Domain: Eukaryota	Zm00036ab001000
4.0	Phylum: Streptophyta	Zm00036ab001020
4.0	Phylum: Streptophyta	Zm00036ab001030
2.0	Domain: Eukaryota	Zm00036ab001050
6.0	Class: Magnoliopsida	Zm00036ab001060
3.0	Kingdom: Viridiplantae	Zm00036ab001070
1.0	Cellular organisms	Zm00036ab001080
1.0	Cellular organisms	Zm00036ab001100
9.0	Family: Poaceae	Zm00036ab001110
2.0	Domain: Eukaryota	Zm00036ab001120
5.0	Land Plants (Embryophyta)	Zm00036ab001130
