LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00001eb000010
2.0	Domain: Eukaryota	Zm00001eb000020
9.0	Family: Poaceae	Zm00001eb000050
11.0	Tribe: Andropogoneae	Zm00001eb000060
4.0	Phylum: Streptophyta	Zm00001eb000070
1.0	Cellular organisms	Zm00001eb000080
1.0	Cellular organisms	Zm00001eb000100
5.0	Land Plants (Embryophyta)	Zm00001eb000110
9.0	Family: Poaceae	Zm00001eb000120
5.0	Land Plants (Embryophyta)	Zm00001eb000140
5.0	Land Plants (Embryophyta)	Zm00001eb000150
4.0	Phylum: Streptophyta	Zm00001eb000170
1.0	Cellular organisms	Zm00001eb000180
1.0	Cellular organisms	Zm00001eb000190
5.0	Land Plants (Embryophyta)	Zm00001eb000200
1.0	Cellular organisms	Zm00001eb000210
2.0	Domain: Eukaryota	Zm00001eb000220
2.0	Domain: Eukaryota	Zm00001eb000230
1.0	Cellular organisms	Zm00001eb000240
9.0	Family: Poaceae	Zm00001eb000250
4.0	Phylum: Streptophyta	Zm00001eb000270
1.0	Cellular organisms	Zm00001eb000290
9.0	Family: Poaceae	Zm00001eb000300
1.0	Cellular organisms	Zm00001eb000310
1.0	Cellular organisms	Zm00001eb000320
3.0	Kingdom: Viridiplantae	Zm00001eb000330
3.0	Kingdom: Viridiplantae	Zm00001eb000330
2.0	Domain: Eukaryota	Zm00001eb000340
1.0	Cellular organisms	Zm00001eb000360
3.0	Kingdom: Viridiplantae	Zm00001eb000370
3.0	Kingdom: Viridiplantae	Zm00001eb000380
1.0	Cellular organisms	Zm00001eb000390
1.0	Cellular organisms	Zm00001eb000400
4.0	Phylum: Streptophyta	Zm00001eb000410
5.0	Land Plants (Embryophyta)	Zm00001eb000420
6.0	Class: Magnoliopsida	Zm00001eb000430
5.0	Land Plants (Embryophyta)	Zm00001eb000440
5.0	Land Plants (Embryophyta)	Zm00001eb000450
9.0	Family: Poaceae	Zm00001eb000460
5.0	Land Plants (Embryophyta)	Zm00001eb000470
1.0	Cellular organisms	Zm00001eb000480
2.0	Domain: Eukaryota	Zm00001eb000490
5.0	Land Plants (Embryophyta)	Zm00001eb000500
1.0	Cellular organisms	Zm00001eb000510
4.0	Phylum: Streptophyta	Zm00001eb000520
11.0	Tribe: Andropogoneae	Zm00001eb000530
6.0	Class: Magnoliopsida	Zm00001eb000540
2.0	Domain: Eukaryota	Zm00001eb000550
1.0	Cellular organisms	Zm00001eb000560
1.0	Cellular organisms	Zm00001eb000570
1.0	Cellular organisms	Zm00001eb000580
4.0	Phylum: Streptophyta	Zm00001eb000590
2.0	Domain: Eukaryota	Zm00001eb000600
1.0	Cellular organisms	Zm00001eb000620
2.0	Domain: Eukaryota	Zm00001eb000630
3.0	Kingdom: Viridiplantae	Zm00001eb000640
2.0	Domain: Eukaryota	Zm00001eb000650
4.0	Phylum: Streptophyta	Zm00001eb000660
