SCORE	NAME	GENE_MODEL
0.77173	True	Zm00042ab000010
0.93258	True	Zm00042ab000020
0.87169	True	Zm00042ab000040
0.71651	True	Zm00042ab000050
0.9962	True	Zm00042ab000060
0.9989	True	Zm00042ab000070
0.89281	True	Zm00042ab000080
0.99939	True	Zm00042ab000090
0.99726	True	Zm00042ab000100
0.12341	False	Zm00042ab000110
0.25475	False	Zm00042ab000130
0.99082	True	Zm00042ab000140
0.99886	True	Zm00042ab000150
0.81642	True	Zm00042ab000160
0.98348	True	Zm00042ab000180
0.91441	True	Zm00042ab000190
0.12612	False	Zm00042ab000200
0.99461	True	Zm00042ab000210
0.93574	True	Zm00042ab000220
0.64935	True	Zm00042ab000230
0.9997	True	Zm00042ab000240
0.99047	True	Zm00042ab000250
0.76727	True	Zm00042ab000260
0.99925	True	Zm00042ab000280
0.73477	True	Zm00042ab000290
0.8969	True	Zm00042ab000300
0.99213	True	Zm00042ab000310
0.83894	True	Zm00042ab000320
0.99121	True	Zm00042ab000330
0.99709	True	Zm00042ab000340
0.99949	True	Zm00042ab000350
0.98007	True	Zm00042ab000360
0.94042	True	Zm00042ab000370
0.54394	True	Zm00042ab000380
0.99879	True	Zm00042ab000390
0.99947	True	Zm00042ab000400
0.99005	True	Zm00042ab000410
0.99817	True	Zm00042ab000420
0.08247	False	Zm00042ab000430
0.3317	False	Zm00042ab000440
0.0923	False	Zm00042ab000450
0.97111	True	Zm00042ab000460
0.99908	True	Zm00042ab000470
0.99531	True	Zm00042ab000480
0.99365	True	Zm00042ab000490
0.98418	True	Zm00042ab000500
0.85256	True	Zm00042ab000520
0.97457	True	Zm00042ab000530
0.37076	False	Zm00042ab000540
0.99748	True	Zm00042ab000550
0.02306	False	Zm00042ab000560
0.99973	True	Zm00042ab000570
0.9912	True	Zm00042ab000580
0.97669	True	Zm00042ab000590
0.95111	True	Zm00042ab000610
0.34094	False	Zm00042ab000620
0.99963	True	Zm00042ab000630
0.9992	True	Zm00042ab000640
0.98592	True	Zm00042ab000650
0.99946	True	Zm00042ab000660
0.88002	True	Zm00042ab000670
0.91088	True	Zm00042ab000680
0.89461	True	Zm00042ab000690
0.99342	True	Zm00042ab000700
0.99864	True	Zm00042ab000710
