LABEL	NAME	GENE_MODEL
GO:0000009	alpha-1,6-mannosyltransferase activity	Zm00039ab119280;Zm00039ab119280
GO:0000012	single strand break repair	Zm00039ab025540;Zm00039ab025540;Zm00039ab025540;Zm00039ab025540;Zm00039ab385160
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	Zm00039ab068530;Zm00039ab126560;Zm00039ab126560;Zm00039ab342190
GO:0000015	phosphopyruvate hydratase complex	Zm00039ab027470;Zm00039ab027470;Zm00039ab385780;Zm00039ab385780;Zm00039ab385780;Zm00039ab385780;Zm00039ab431050
GO:0000018	regulation of DNA recombination	Zm00039ab275460
GO:0000025	maltose catabolic process	Zm00039ab334760
GO:0000026	alpha-1,2-mannosyltransferase activity	Zm00039ab234320;Zm00039ab234320;Zm00039ab234370
GO:0000027	ribosomal large subunit assembly	Zm00039ab002650;Zm00039ab003610;Zm00039ab012720;Zm00039ab012720;Zm00039ab012720;Zm00039ab012720;Zm00039ab029300;Zm00039ab030740;Zm00039ab050050;Zm00039ab050050;Zm00039ab052130;Zm00039ab052360;Zm00039ab078720;Zm00039ab078720;Zm00039ab078720;Zm00039ab083490;Zm00039ab083490;Zm00039ab083490;Zm00039ab083490;Zm00039ab092750;Zm00039ab092750;Zm00039ab092750;Zm00039ab094970;Zm00039ab131190;Zm00039ab146310;Zm00039ab146310;Zm00039ab165020;Zm00039ab187300;Zm00039ab187300;Zm00039ab187300;Zm00039ab187300;Zm00039ab187300;Zm00039ab187300;Zm00039ab187300;Zm00039ab187310;Zm00039ab224250;Zm00039ab224250;Zm00039ab224250;Zm00039ab224250;Zm00039ab224250;Zm00039ab251120;Zm00039ab251120;Zm00039ab251130;Zm00039ab251130;Zm00039ab251130;Zm00039ab251130;Zm00039ab251130;Zm00039ab251130;Zm00039ab261020;Zm00039ab287330;Zm00039ab287330;Zm00039ab296480;Zm00039ab296480;Zm00039ab296480;Zm00039ab297980;Zm00039ab297980;Zm00039ab297980;Zm00039ab303700;Zm00039ab303700;Zm00039ab303700;Zm00039ab361530;Zm00039ab361530;Zm00039ab373670;Zm00039ab373670;Zm00039ab373670;Zm00039ab373670;Zm00039ab408590;Zm00039ab408590;Zm00039ab408620;Zm00039ab425740;Zm00039ab448200
GO:0000028	ribosomal small subunit assembly	Zm00039ab009800;Zm00039ab018400;Zm00039ab020610;Zm00039ab020610;Zm00039ab049820;Zm00039ab049820;Zm00039ab110140;Zm00039ab110650;Zm00039ab110660;Zm00039ab117680;Zm00039ab117700;Zm00039ab117730;Zm00039ab183780;Zm00039ab183780;Zm00039ab185810;Zm00039ab186050;Zm00039ab186580;Zm00039ab186770;Zm00039ab206440;Zm00039ab207540;Zm00039ab224270;Zm00039ab229960;Zm00039ab229960;Zm00039ab229960;Zm00039ab229960;Zm00039ab258670;Zm00039ab258670;Zm00039ab258670;Zm00039ab258670;Zm00039ab258670;Zm00039ab258670;Zm00039ab258670;Zm00039ab261270;Zm00039ab278600;Zm00039ab278600;Zm00039ab278620;Zm00039ab278620;Zm00039ab299580;Zm00039ab299580;Zm00039ab307520;Zm00039ab328660;Zm00039ab341040;Zm00039ab341040;Zm00039ab341040;Zm00039ab341040;Zm00039ab346850;Zm00039ab346890;Zm00039ab350280;Zm00039ab350280;Zm00039ab351330;Zm00039ab351330;Zm00039ab401020;Zm00039ab404520;Zm00039ab410630;Zm00039ab410630;Zm00039ab421320;Zm00039ab422790;Zm00039ab422790;Zm00039ab445480;Zm00039ab446390;Zm00039ab446970
GO:0000030	mannosyltransferase activity	Zm00039ab006320;Zm00039ab019260;Zm00039ab019260;Zm00039ab019260;Zm00039ab123540;Zm00039ab123540;Zm00039ab313580;Zm00039ab400340;Zm00039ab400350;Zm00039ab409910;Zm00039ab409910;Zm00039ab409910;Zm00039ab409910;Zm00039ab409910;Zm00039ab409910
GO:0000033	alpha-1,3-mannosyltransferase activity	Zm00039ab072840;Zm00039ab072840;Zm00039ab072840
GO:0000035	acyl binding	Zm00039ab050220;Zm00039ab239010;Zm00039ab239010;Zm00039ab280380;Zm00039ab280380;Zm00039ab280380;Zm00039ab394830;Zm00039ab394830;Zm00039ab394830;Zm00039ab408980
GO:0000036	acyl carrier activity	Zm00039ab387030;Zm00039ab387030;Zm00039ab387030;Zm00039ab408980
GO:0000038	very long-chain fatty acid metabolic process	Zm00039ab010880;Zm00039ab027200;Zm00039ab054610;Zm00039ab125060;Zm00039ab131540;Zm00039ab131540;Zm00039ab131540;Zm00039ab131540;Zm00039ab131540;Zm00039ab135210;Zm00039ab235340;Zm00039ab277540;Zm00039ab277540;Zm00039ab277540;Zm00039ab343020;Zm00039ab343020;Zm00039ab354790;Zm00039ab354790;Zm00039ab359190;Zm00039ab359190;Zm00039ab359190;Zm00039ab384030;Zm00039ab384030;Zm00039ab387550;Zm00039ab387550;Zm00039ab406800
GO:0000041	transition metal ion transport	Zm00039ab230770;Zm00039ab230770
GO:0000045	autophagosome assembly	Zm00039ab052140;Zm00039ab052140;Zm00039ab052140;Zm00039ab052140;Zm00039ab057580;Zm00039ab057580;Zm00039ab075620;Zm00039ab075620;Zm00039ab078940;Zm00039ab081030;Zm00039ab092950;Zm00039ab092950;Zm00039ab092950;Zm00039ab092950;Zm00039ab180360;Zm00039ab189630;Zm00039ab189630;Zm00039ab211370;Zm00039ab238570;Zm00039ab238570;Zm00039ab239180;Zm00039ab254180;Zm00039ab254180;Zm00039ab262160;Zm00039ab263230;Zm00039ab395320;Zm00039ab395320;Zm00039ab395320;Zm00039ab395320;Zm00039ab408120;Zm00039ab433920;Zm00039ab436880;Zm00039ab436880;Zm00039ab436880
GO:0000048	peptidyltransferase activity	Zm00039ab081430;Zm00039ab109440;Zm00039ab333390;Zm00039ab343090;Zm00039ab401000
GO:0000049	tRNA binding	Zm00039ab003670;Zm00039ab008000;Zm00039ab008000;Zm00039ab008000;Zm00039ab008000;Zm00039ab008010;Zm00039ab008010;Zm00039ab009040;Zm00039ab012450;Zm00039ab012560;Zm00039ab012560;Zm00039ab012560;Zm00039ab012560;Zm00039ab034400;Zm00039ab034400;Zm00039ab034400;Zm00039ab034400;Zm00039ab070710;Zm00039ab070710;Zm00039ab082850;Zm00039ab082850;Zm00039ab082850;Zm00039ab107920;Zm00039ab109980;Zm00039ab113690;Zm00039ab113690;Zm00039ab113690;Zm00039ab113690;Zm00039ab123030;Zm00039ab123030;Zm00039ab123030;Zm00039ab144340;Zm00039ab155620;Zm00039ab155620;Zm00039ab155620;Zm00039ab155620;Zm00039ab155620;Zm00039ab168810;Zm00039ab168810;Zm00039ab168810;Zm00039ab168810;Zm00039ab194050;Zm00039ab194050;Zm00039ab194050;Zm00039ab194050;Zm00039ab194050;Zm00039ab213110;Zm00039ab213110;Zm00039ab225010;Zm00039ab235290;Zm00039ab235290;Zm00039ab235290;Zm00039ab235290;Zm00039ab235290;Zm00039ab251920;Zm00039ab251920;Zm00039ab260380;Zm00039ab261100;Zm00039ab262300;Zm00039ab280350;Zm00039ab280350;Zm00039ab290850;Zm00039ab290850;Zm00039ab290850;Zm00039ab290850;Zm00039ab322480;Zm00039ab322480;Zm00039ab322480;Zm00039ab331270;Zm00039ab331270;Zm00039ab331270;Zm00039ab331270;Zm00039ab331270;Zm00039ab331270;Zm00039ab333250;Zm00039ab333250;Zm00039ab333250;Zm00039ab333250;Zm00039ab352040;Zm00039ab371960;Zm00039ab379350;Zm00039ab379350;Zm00039ab379600;Zm00039ab379600;Zm00039ab379600;Zm00039ab379600;Zm00039ab379600;Zm00039ab394740;Zm00039ab408160;Zm00039ab409080;Zm00039ab409080
GO:0000050	urea cycle	Zm00039ab420800;Zm00039ab420800;Zm00039ab420800;Zm00039ab420800;Zm00039ab428010
GO:0000053	argininosuccinate metabolic process	Zm00039ab420800;Zm00039ab420800;Zm00039ab420800;Zm00039ab420800
GO:0000054	ribosomal subunit export from nucleus	Zm00039ab016320;Zm00039ab016320;Zm00039ab016320;Zm00039ab016320;Zm00039ab038030;Zm00039ab038030;Zm00039ab128350;Zm00039ab142680;Zm00039ab142680;Zm00039ab194380;Zm00039ab292610;Zm00039ab339570;Zm00039ab339570;Zm00039ab340990;Zm00039ab354530;Zm00039ab364180;Zm00039ab364180;Zm00039ab364180;Zm00039ab364180;Zm00039ab364180
GO:0000055	ribosomal large subunit export from nucleus	Zm00039ab024680;Zm00039ab024680;Zm00039ab024680;Zm00039ab065510;Zm00039ab065510;Zm00039ab070010;Zm00039ab215070;Zm00039ab215070;Zm00039ab215070;Zm00039ab296480;Zm00039ab296480;Zm00039ab439980;Zm00039ab439980;Zm00039ab439980
GO:0000056	ribosomal small subunit export from nucleus	Zm00039ab003560;Zm00039ab018530;Zm00039ab065510;Zm00039ab065510;Zm00039ab169370;Zm00039ab215070;Zm00039ab215070;Zm00039ab215070;Zm00039ab335170;Zm00039ab361930;Zm00039ab439980;Zm00039ab439980;Zm00039ab439980
GO:0000062	fatty-acyl-CoA binding	Zm00039ab010770;Zm00039ab010770;Zm00039ab064060;Zm00039ab064060;Zm00039ab064060;Zm00039ab386900;Zm00039ab393600;Zm00039ab393600;Zm00039ab393600;Zm00039ab393600
GO:0000064	L-ornithine transmembrane transporter activity	Zm00039ab024690;Zm00039ab024690;Zm00039ab024690;Zm00039ab024690;Zm00039ab043950;Zm00039ab043950;Zm00039ab043950;Zm00039ab043950;Zm00039ab043950;Zm00039ab043950;Zm00039ab043950;Zm00039ab043950;Zm00039ab346180;Zm00039ab346180
GO:0000070	mitotic sister chromatid segregation	Zm00039ab078900;Zm00039ab078910;Zm00039ab078920;Zm00039ab288180;Zm00039ab288180;Zm00039ab288180;Zm00039ab303020;Zm00039ab303020;Zm00039ab316520;Zm00039ab373630;Zm00039ab373630;Zm00039ab373630
GO:0000075	cell cycle checkpoint signaling	Zm00039ab434470;Zm00039ab434470;Zm00039ab434470
