LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00030ab411090;Zm00030ab411090;Zm00030ab203710;Zm00030ab203710;Zm00030ab203710;Zm00030ab203710;Zm00030ab253750;Zm00030ab110940;Zm00030ab146480;Zm00030ab146480;Zm00030ab146480;Zm00030ab146480;Zm00030ab146480;Zm00030ab146480;Zm00030ab362760;Zm00030ab110930;Zm00030ab362760;Zm00030ab362760;Zm00030ab362760;Zm00030ab362760;Zm00030ab075620;Zm00030ab189380;Zm00030ab289840;Zm00030ab293650;Zm00030ab235110;Zm00030ab235110;Zm00030ab017000;Zm00030ab017000;Zm00030ab017000;Zm00030ab017000;Zm00030ab199970;Zm00030ab199970;Zm00030ab199970;Zm00030ab157080;Zm00030ab157080;Zm00030ab157080;Zm00030ab157080
IPR000008	C2 domain	Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab065610;Zm00030ab276850;Zm00030ab276850;Zm00030ab193920;Zm00030ab076110;Zm00030ab076110;Zm00030ab076110;Zm00030ab076110;Zm00030ab076110;Zm00030ab076110;Zm00030ab076110;Zm00030ab024790;Zm00030ab024790;Zm00030ab024790;Zm00030ab024790;Zm00030ab024790;Zm00030ab024790;Zm00030ab024790;Zm00030ab024790;Zm00030ab388920;Zm00030ab388920;Zm00030ab374510;Zm00030ab103680;Zm00030ab103680;Zm00030ab103680;Zm00030ab103680;Zm00030ab104920;Zm00030ab104920;Zm00030ab104920;Zm00030ab104920;Zm00030ab104920;Zm00030ab104920;Zm00030ab104920;Zm00030ab104920;Zm00030ab103680;Zm00030ab103680;Zm00030ab159640;Zm00030ab366120;Zm00030ab103680;Zm00030ab103680;Zm00030ab105560;Zm00030ab324330;Zm00030ab187620;Zm00030ab187620;Zm00030ab187620;Zm00030ab079490;Zm00030ab079490;Zm00030ab079490;Zm00030ab281780;Zm00030ab281780;Zm00030ab287600;Zm00030ab287600;Zm00030ab361110;Zm00030ab001660;Zm00030ab011070;Zm00030ab396770;Zm00030ab396770;Zm00030ab396770;Zm00030ab396770;Zm00030ab125490;Zm00030ab125490;Zm00030ab125490;Zm00030ab125490;Zm00030ab125490;Zm00030ab125490;Zm00030ab365130;Zm00030ab365130;Zm00030ab365130;Zm00030ab202450;Zm00030ab202450;Zm00030ab202450;Zm00030ab390790;Zm00030ab390790;Zm00030ab390790;Zm00030ab390790;Zm00030ab390790;Zm00030ab390790;Zm00030ab390790;Zm00030ab390790;Zm00030ab390790;Zm00030ab199200;Zm00030ab204400;Zm00030ab204400;Zm00030ab301560;Zm00030ab301560;Zm00030ab301560;Zm00030ab301560;Zm00030ab237440;Zm00030ab237440;Zm00030ab237440;Zm00030ab339300;Zm00030ab339300;Zm00030ab237440;Zm00030ab237440;Zm00030ab339300;Zm00030ab339300;Zm00030ab339300;Zm00030ab339300;Zm00030ab191710;Zm00030ab191710;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab323590;Zm00030ab260650;Zm00030ab260650;Zm00030ab260650;Zm00030ab260650;Zm00030ab091210;Zm00030ab091210;Zm00030ab091210;Zm00030ab091210;Zm00030ab283810;Zm00030ab283810;Zm00030ab192460;Zm00030ab276380;Zm00030ab276380;Zm00030ab276380;Zm00030ab276380;Zm00030ab276380;Zm00030ab276380;Zm00030ab374710;Zm00030ab008690;Zm00030ab008690;Zm00030ab008690;Zm00030ab097060;Zm00030ab097060;Zm00030ab097060;Zm00030ab097060;Zm00030ab097060;Zm00030ab333760;Zm00030ab394860;Zm00030ab394860;Zm00030ab351030;Zm00030ab351030;Zm00030ab351030;Zm00030ab276320;Zm00030ab276320;Zm00030ab276320;Zm00030ab276320;Zm00030ab276320;Zm00030ab276320;Zm00030ab276320;Zm00030ab276320;Zm00030ab276320;Zm00030ab324000;Zm00030ab018880;Zm00030ab018880;Zm00030ab018880;Zm00030ab018880;Zm00030ab018880;Zm00030ab018880;Zm00030ab018880;Zm00030ab018880;Zm00030ab018880;Zm00030ab075160;Zm00030ab359860;Zm00030ab359860;Zm00030ab359860;Zm00030ab359860;Zm00030ab230380;Zm00030ab230380;Zm00030ab230380;Zm00030ab403890;Zm00030ab403890;Zm00030ab403890;Zm00030ab403890;Zm00030ab403890;Zm00030ab088990;Zm00030ab308640;Zm00030ab308640;Zm00030ab339120;Zm00030ab339120;Zm00030ab148000;Zm00030ab187610;Zm00030ab187610;Zm00030ab187610;Zm00030ab132190;Zm00030ab204540;Zm00030ab204540;Zm00030ab204540;Zm00030ab204540;Zm00030ab280270;Zm00030ab280270;Zm00030ab349120;Zm00030ab142200;Zm00030ab286100;Zm00030ab254770;Zm00030ab254770;Zm00030ab254770;Zm00030ab254770;Zm00030ab254770;Zm00030ab332410;Zm00030ab389840;Zm00030ab389840;Zm00030ab102750;Zm00030ab102750;Zm00030ab102750;Zm00030ab320760;Zm00030ab320760;Zm00030ab231570;Zm00030ab231570;Zm00030ab299460;Zm00030ab248400;Zm00030ab068350;Zm00030ab068350;Zm00030ab243960;Zm00030ab243960;Zm00030ab344120;Zm00030ab243960;Zm00030ab243960;Zm00030ab243960;Zm00030ab243960;Zm00030ab437950;Zm00030ab021280;Zm00030ab334080;Zm00030ab334080;Zm00030ab334080;Zm00030ab334080;Zm00030ab437950;Zm00030ab334080;Zm00030ab334080;Zm00030ab334080;Zm00030ab334080;Zm00030ab334080;Zm00030ab334080;Zm00030ab021280;Zm00030ab219480;Zm00030ab219480;Zm00030ab219480;Zm00030ab219480;Zm00030ab099670;Zm00030ab230370;Zm00030ab327940;Zm00030ab327940;Zm00030ab327940;Zm00030ab365450;Zm00030ab365450;Zm00030ab365450;Zm00030ab389220;Zm00030ab389220;Zm00030ab389220;Zm00030ab079350;Zm00030ab079350;Zm00030ab149480;Zm00030ab290090;Zm00030ab290090;Zm00030ab290090;Zm00030ab309180;Zm00030ab309180;Zm00030ab186460;Zm00030ab309180;Zm00030ab186460;Zm00030ab309180;Zm00030ab309180;Zm00030ab309180;Zm00030ab309180;Zm00030ab095990;Zm00030ab306660;Zm00030ab306660;Zm00030ab306660;Zm00030ab306660;Zm00030ab111980;Zm00030ab111980;Zm00030ab430480;Zm00030ab111980;Zm00030ab111980;Zm00030ab430480;Zm00030ab430480;Zm00030ab430480;Zm00030ab430480;Zm00030ab190050;Zm00030ab190050;Zm00030ab190050;Zm00030ab190050;Zm00030ab107890;Zm00030ab107890;Zm00030ab107890;Zm00030ab190050;Zm00030ab190050;Zm00030ab034080;Zm00030ab034080;Zm00030ab034080;Zm00030ab034080;Zm00030ab237360;Zm00030ab237360;Zm00030ab369640;Zm00030ab237360;Zm00030ab237360;Zm00030ab237360;Zm00030ab237360;Zm00030ab034080;Zm00030ab034080;Zm00030ab034080;Zm00030ab122620;Zm00030ab122620;Zm00030ab122620;Zm00030ab122620;Zm00030ab122620;Zm00030ab122620;Zm00030ab122620;Zm00030ab122620;Zm00030ab122620;Zm00030ab122620;Zm00030ab285990;Zm00030ab285990;Zm00030ab285990;Zm00030ab285990;Zm00030ab285990;Zm00030ab285990;Zm00030ab285990;Zm00030ab285990;Zm00030ab285990;Zm00030ab285990;Zm00030ab038730;Zm00030ab103870;Zm00030ab013700;Zm00030ab110290;Zm00030ab110290;Zm00030ab226860;Zm00030ab226860;Zm00030ab299720;Zm00030ab299720;Zm00030ab299720;Zm00030ab299720;Zm00030ab438030;Zm00030ab438030;Zm00030ab438030;Zm00030ab438030;Zm00030ab438030
IPR000010	Cystatin domain	Zm00030ab169180;Zm00030ab335140;Zm00030ab335140;Zm00030ab371540;Zm00030ab371540;Zm00030ab169170;Zm00030ab367360;Zm00030ab020880;Zm00030ab169160;Zm00030ab351880;Zm00030ab351880;Zm00030ab020890;Zm00030ab169190;Zm00030ab404820;Zm00030ab292400;Zm00030ab404810;Zm00030ab288610;Zm00030ab288610;Zm00030ab288610;Zm00030ab288610;Zm00030ab288610;Zm00030ab006080;Zm00030ab006070;Zm00030ab150310;Zm00030ab150310;Zm00030ab150310;Zm00030ab150310;Zm00030ab020900;Zm00030ab020900
IPR000014	PAS domain	Zm00030ab113760;Zm00030ab227490;Zm00030ab227490;Zm00030ab042770;Zm00030ab042770;Zm00030ab042770;Zm00030ab042770;Zm00030ab042770;Zm00030ab042770;Zm00030ab202800;Zm00030ab163160;Zm00030ab163160;Zm00030ab165240;Zm00030ab233520;Zm00030ab273850;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350;Zm00030ab121350
IPR000023	Phosphofructokinase domain	Zm00030ab310350;Zm00030ab310350;Zm00030ab310350;Zm00030ab352570;Zm00030ab043040;Zm00030ab254270;Zm00030ab254270;Zm00030ab254270;Zm00030ab254270;Zm00030ab428860;Zm00030ab294490;Zm00030ab271530;Zm00030ab271530;Zm00030ab271530;Zm00030ab189770;Zm00030ab189770;Zm00030ab339840;Zm00030ab339840;Zm00030ab280870;Zm00030ab048520;Zm00030ab285130;Zm00030ab121020;Zm00030ab041120;Zm00030ab041120;Zm00030ab374010;Zm00030ab153730;Zm00030ab099510;Zm00030ab099510;Zm00030ab099510;Zm00030ab099510;Zm00030ab099510;Zm00030ab379600
IPR000031	PurE domain	Zm00030ab120310
IPR000043	Adenosylhomocysteinase-like	Zm00030ab170440;Zm00030ab170440;Zm00030ab170440;Zm00030ab090410
IPR000048	IQ motif, EF-hand binding site	Zm00030ab407910;Zm00030ab407910;Zm00030ab181350;Zm00030ab181350;Zm00030ab406130;Zm00030ab406130;Zm00030ab406130;Zm00030ab406130;Zm00030ab406130;Zm00030ab406130;Zm00030ab131600;Zm00030ab131600;Zm00030ab295070;Zm00030ab295070;Zm00030ab295070;Zm00030ab295070;Zm00030ab295070;Zm00030ab295070;Zm00030ab124180;Zm00030ab124180;Zm00030ab106770;Zm00030ab343210;Zm00030ab343210;Zm00030ab295070;Zm00030ab295070;Zm00030ab148310;Zm00030ab148310;Zm00030ab290710;Zm00030ab416370;Zm00030ab290710;Zm00030ab035680;Zm00030ab035680;Zm00030ab290710;Zm00030ab028350;Zm00030ab028350;Zm00030ab352510;Zm00030ab352510;Zm00030ab352510;Zm00030ab352510;Zm00030ab243900;Zm00030ab243900;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab155020;Zm00030ab387380;Zm00030ab387380;Zm00030ab412270;Zm00030ab342860;Zm00030ab342860;Zm00030ab001720;Zm00030ab001720;Zm00030ab265870;Zm00030ab265870;Zm00030ab315850;Zm00030ab315850;Zm00030ab182990;Zm00030ab182990;Zm00030ab323250;Zm00030ab323250;Zm00030ab333660;Zm00030ab333660;Zm00030ab392860;Zm00030ab392860;Zm00030ab158750;Zm00030ab158750;Zm00030ab143040;Zm00030ab143040;Zm00030ab143040;Zm00030ab143040;Zm00030ab143040;Zm00030ab143040;Zm00030ab017210;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab260730;Zm00030ab017210;Zm00030ab266440;Zm00030ab187280;Zm00030ab187280;Zm00030ab135900;Zm00030ab135900;Zm00030ab135900;Zm00030ab135900;Zm00030ab135900;Zm00030ab135900;Zm00030ab155300;Zm00030ab008010;Zm00030ab008010;Zm00030ab356270;Zm00030ab356270;Zm00030ab386340;Zm00030ab238540;Zm00030ab238540;Zm00030ab265120;Zm00030ab265120;Zm00030ab405350;Zm00030ab357860;Zm00030ab357860;Zm00030ab357860;Zm00030ab374000;Zm00030ab374000;Zm00030ab325060;Zm00030ab325060;Zm00030ab325060;Zm00030ab325060;Zm00030ab325060;Zm00030ab325060;Zm00030ab325060;Zm00030ab228030;Zm00030ab231050;Zm00030ab231050;Zm00030ab357860;Zm00030ab326450;Zm00030ab047970;Zm00030ab047970;Zm00030ab096340;Zm00030ab096340;Zm00030ab096340;Zm00030ab147640;Zm00030ab045200;Zm00030ab045200;Zm00030ab045200;Zm00030ab045200;Zm00030ab045200;Zm00030ab045200;Zm00030ab045200;Zm00030ab045200;Zm00030ab045200;Zm00030ab385550;Zm00030ab385550;Zm00030ab059830;Zm00030ab059830;Zm00030ab059830;Zm00030ab059830;Zm00030ab059830;Zm00030ab059830;Zm00030ab059830;Zm00030ab059830;Zm00030ab059830;Zm00030ab059830;Zm00030ab291770;Zm00030ab190360;Zm00030ab266290;Zm00030ab266290;Zm00030ab266290;Zm00030ab266290;Zm00030ab266290;Zm00030ab050650;Zm00030ab050650;Zm00030ab050650;Zm00030ab050650;Zm00030ab050650;Zm00030ab050650;Zm00030ab050650;Zm00030ab050650;Zm00030ab362090;Zm00030ab362090;Zm00030ab294640;Zm00030ab294640;Zm00030ab034360;Zm00030ab034360;Zm00030ab097520;Zm00030ab097520;Zm00030ab436990;Zm00030ab225310;Zm00030ab225310;Zm00030ab216170;Zm00030ab216170;Zm00030ab225310;Zm00030ab225310;Zm00030ab225310;Zm00030ab225310;Zm00030ab225310;Zm00030ab225310;Zm00030ab225310;Zm00030ab225310;Zm00030ab435190;Zm00030ab435190;Zm00030ab436990;Zm00030ab225310;Zm00030ab225310;Zm00030ab216170;Zm00030ab216170;Zm00030ab216170;Zm00030ab359560;Zm00030ab359560;Zm00030ab237190;Zm00030ab237190;Zm00030ab194160;Zm00030ab194160;Zm00030ab194160;Zm00030ab194160;Zm00030ab194160;Zm00030ab359560;Zm00030ab359560;Zm00030ab185830;Zm00030ab185830;Zm00030ab359560;Zm00030ab359560;Zm00030ab359560;Zm00030ab359560;Zm00030ab368140;Zm00030ab368140;Zm00030ab374520;Zm00030ab374520;Zm00030ab374520;Zm00030ab374520;Zm00030ab374520;Zm00030ab374520;Zm00030ab374520;Zm00030ab374520;Zm00030ab374520;Zm00030ab272320;Zm00030ab272320;Zm00030ab195990;Zm00030ab195990;Zm00030ab359100;Zm00030ab359100;Zm00030ab359100;Zm00030ab359100;Zm00030ab425480;Zm00030ab425480;Zm00030ab183860;Zm00030ab183860;Zm00030ab425480;Zm00030ab425480;Zm00030ab394770;Zm00030ab394770;Zm00030ab425480;Zm00030ab425480;Zm00030ab394770;Zm00030ab394770;Zm00030ab394770;Zm00030ab394770;Zm00030ab409120;Zm00030ab409120;Zm00030ab121050;Zm00030ab121050;Zm00030ab282570;Zm00030ab282570;Zm00030ab332170;Zm00030ab332170;Zm00030ab016320;Zm00030ab016320;Zm00030ab073840;Zm00030ab073840;Zm00030ab410810;Zm00030ab410810;Zm00030ab170470;Zm00030ab214660;Zm00030ab214660;Zm00030ab214660;Zm00030ab214660;Zm00030ab214660;Zm00030ab214660;Zm00030ab214660;Zm00030ab214660;Zm00030ab214660;Zm00030ab214660;Zm00030ab223690;Zm00030ab223690;Zm00030ab291830;Zm00030ab007330;Zm00030ab007330;Zm00030ab007330;Zm00030ab007330;Zm00030ab007330;Zm00030ab007330;Zm00030ab090620;Zm00030ab374020;Zm00030ab374020;Zm00030ab295390;Zm00030ab295390;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab065120;Zm00030ab162840;Zm00030ab162840;Zm00030ab269150;Zm00030ab269150;Zm00030ab051300;Zm00030ab051300;Zm00030ab284310;Zm00030ab284310;Zm00030ab284310;Zm00030ab284310;Zm00030ab284310;Zm00030ab284310;Zm00030ab041560;Zm00030ab041560;Zm00030ab228050;Zm00030ab228050;Zm00030ab254550;Zm00030ab347030;Zm00030ab347030;Zm00030ab073100;Zm00030ab306890;Zm00030ab306890;Zm00030ab306890;Zm00030ab306890;Zm00030ab306890;Zm00030ab160650;Zm00030ab160650;Zm00030ab160650;Zm00030ab160650;Zm00030ab160650;Zm00030ab221810;Zm00030ab221810;Zm00030ab388250;Zm00030ab388250;Zm00030ab295330;Zm00030ab084860;Zm00030ab084860;Zm00030ab084860;Zm00030ab084860;Zm00030ab162230;Zm00030ab162230;Zm00030ab216000;Zm00030ab216000;Zm00030ab097870;Zm00030ab097870;Zm00030ab251050;Zm00030ab379260;Zm00030ab379260;Zm00030ab116440;Zm00030ab116440;Zm00030ab067120;Zm00030ab390980;Zm00030ab390980;Zm00030ab339860;Zm00030ab339860;Zm00030ab373470;Zm00030ab373470;Zm00030ab339860;Zm00030ab339860;Zm00030ab241410;Zm00030ab241410;Zm00030ab241410;Zm00030ab280050;Zm00030ab280050;Zm00030ab010010;Zm00030ab048900;Zm00030ab032250;Zm00030ab032250;Zm00030ab032250;Zm00030ab032250;Zm00030ab204970;Zm00030ab032250;Zm00030ab032250;Zm00030ab342390;Zm00030ab342390;Zm00030ab176920;Zm00030ab222520;Zm00030ab222520;Zm00030ab222520;Zm00030ab222520;Zm00030ab222520;Zm00030ab222520;Zm00030ab174140;Zm00030ab174140;Zm00030ab128600;Zm00030ab128600;Zm00030ab321680;Zm00030ab321680;Zm00030ab323840;Zm00030ab323840;Zm00030ab323840;Zm00030ab027720;Zm00030ab027720;Zm00030ab315860;Zm00030ab315860;Zm00030ab027720;Zm00030ab027720;Zm00030ab027720;Zm00030ab027720;Zm00030ab027720;Zm00030ab027720;Zm00030ab027720;Zm00030ab027720;Zm00030ab313300;Zm00030ab313300;Zm00030ab027720;Zm00030ab027720;Zm00030ab421790;Zm00030ab421790;Zm00030ab140630;Zm00030ab140630;Zm00030ab330000;Zm00030ab330000;Zm00030ab330000;Zm00030ab330000;Zm00030ab153500;Zm00030ab153500;Zm00030ab153500;Zm00030ab153500;Zm00030ab153500;Zm00030ab153500;Zm00030ab153500;Zm00030ab153500;Zm00030ab153500;Zm00030ab153500;Zm00030ab248900;Zm00030ab248900;Zm00030ab248900;Zm00030ab432910;Zm00030ab148580;Zm00030ab148580;Zm00030ab148580;Zm00030ab148580;Zm00030ab148580;Zm00030ab148580;Zm00030ab148580;Zm00030ab432910;Zm00030ab224930;Zm00030ab224930;Zm00030ab185820;Zm00030ab393570;Zm00030ab393570;Zm00030ab386350
IPR000054	Ribosomal protein L31e	Zm00030ab034900;Zm00030ab384620;Zm00030ab190210;Zm00030ab254460
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00030ab005810;Zm00030ab005810;Zm00030ab005810;Zm00030ab005810;Zm00030ab005810;Zm00030ab405070;Zm00030ab405070;Zm00030ab405070;Zm00030ab319870;Zm00030ab319870;Zm00030ab319870;Zm00030ab319870;Zm00030ab319870;Zm00030ab319870;Zm00030ab319870
