LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00040ab249370;Zm00040ab249370;Zm00040ab167320;Zm00040ab167320;Zm00040ab167320;Zm00040ab156660;Zm00040ab156660;Zm00040ab156660;Zm00040ab156660;Zm00040ab156660;Zm00040ab156660;Zm00040ab383720;Zm00040ab383720;Zm00040ab383720;Zm00040ab311620;Zm00040ab311620;Zm00040ab118120;Zm00040ab118120;Zm00040ab018110;Zm00040ab018110;Zm00040ab018110;Zm00040ab307920;Zm00040ab307920;Zm00040ab307920;Zm00040ab307920;Zm00040ab080940;Zm00040ab080940;Zm00040ab080940;Zm00040ab269020;Zm00040ab212370;Zm00040ab212370;Zm00040ab212370;Zm00040ab216290;Zm00040ab216290;Zm00040ab201130;Zm00040ab433580;Zm00040ab433580;Zm00040ab433580;Zm00040ab433580;Zm00040ab433580
IPR000008	C2 domain	Zm00040ab294130;Zm00040ab303550;Zm00040ab303550;Zm00040ab303550;Zm00040ab303550;Zm00040ab294130;Zm00040ab386280;Zm00040ab133600;Zm00040ab133600;Zm00040ab133600;Zm00040ab133600;Zm00040ab133600;Zm00040ab133600;Zm00040ab251640;Zm00040ab251640;Zm00040ab251640;Zm00040ab251640;Zm00040ab251640;Zm00040ab251640;Zm00040ab308230;Zm00040ab308230;Zm00040ab308230;Zm00040ab299330;Zm00040ab299330;Zm00040ab299330;Zm00040ab299330;Zm00040ab276090;Zm00040ab276090;Zm00040ab276090;Zm00040ab276090;Zm00040ab396300;Zm00040ab240300;Zm00040ab240300;Zm00040ab240300;Zm00040ab240300;Zm00040ab240300;Zm00040ab240300;Zm00040ab426140;Zm00040ab426140;Zm00040ab426140;Zm00040ab426140;Zm00040ab351670;Zm00040ab102840;Zm00040ab303640;Zm00040ab001610;Zm00040ab001610;Zm00040ab158320;Zm00040ab328040;Zm00040ab328040;Zm00040ab328040;Zm00040ab198290;Zm00040ab328040;Zm00040ab198290;Zm00040ab328040;Zm00040ab328040;Zm00040ab328040;Zm00040ab328040;Zm00040ab201810;Zm00040ab201810;Zm00040ab201810;Zm00040ab201810;Zm00040ab353080;Zm00040ab353480;Zm00040ab353480;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab293620;Zm00040ab353480;Zm00040ab353480;Zm00040ab353480;Zm00040ab353480;Zm00040ab112180;Zm00040ab112180;Zm00040ab112180;Zm00040ab112180;Zm00040ab112180;Zm00040ab041090;Zm00040ab358750;Zm00040ab358750;Zm00040ab358750;Zm00040ab358750;Zm00040ab358750;Zm00040ab462190;Zm00040ab462190;Zm00040ab462190;Zm00040ab411610;Zm00040ab411610;Zm00040ab217320;Zm00040ab217320;Zm00040ab217320;Zm00040ab217320;Zm00040ab217320;Zm00040ab036110;Zm00040ab036110;Zm00040ab036110;Zm00040ab036110;Zm00040ab170020;Zm00040ab036110;Zm00040ab036110;Zm00040ab036110;Zm00040ab327490;Zm00040ab293650;Zm00040ab293650;Zm00040ab293650;Zm00040ab293650;Zm00040ab293650;Zm00040ab293650;Zm00040ab297580;Zm00040ab297580;Zm00040ab339290;Zm00040ab339290;Zm00040ab270030;Zm00040ab270030;Zm00040ab270030;Zm00040ab270030;Zm00040ab214880;Zm00040ab214880;Zm00040ab085300;Zm00040ab085300;Zm00040ab085300;Zm00040ab159840;Zm00040ab305390;Zm00040ab305390;Zm00040ab390790;Zm00040ab390790;Zm00040ab325180;Zm00040ab325180;Zm00040ab325180;Zm00040ab325180;Zm00040ab342290;Zm00040ab342290;Zm00040ab342290;Zm00040ab342290;Zm00040ab342290;Zm00040ab342290;Zm00040ab342290;Zm00040ab342290;Zm00040ab342290;Zm00040ab244200;Zm00040ab244200;Zm00040ab081460;Zm00040ab081460;Zm00040ab081460;Zm00040ab081460;Zm00040ab011620;Zm00040ab141010;Zm00040ab244200;Zm00040ab453980;Zm00040ab094270;Zm00040ab453980;Zm00040ab106750;Zm00040ab453980;Zm00040ab211560;Zm00040ab211560;Zm00040ab080550;Zm00040ab020040;Zm00040ab020040;Zm00040ab020040;Zm00040ab020040;Zm00040ab020040;Zm00040ab020040;Zm00040ab020040;Zm00040ab020040;Zm00040ab020040;Zm00040ab080550;Zm00040ab020040;Zm00040ab251760;Zm00040ab251760;Zm00040ab251760;Zm00040ab251760;Zm00040ab109960;Zm00040ab109960;Zm00040ab317780;Zm00040ab317780;Zm00040ab112790;Zm00040ab317780;Zm00040ab117440;Zm00040ab117440;Zm00040ab117440;Zm00040ab117440;Zm00040ab117440;Zm00040ab117440;Zm00040ab117440;Zm00040ab386570;Zm00040ab386570;Zm00040ab386570;Zm00040ab386570;Zm00040ab022700;Zm00040ab022700;Zm00040ab342670;Zm00040ab244190;Zm00040ab244190;Zm00040ab358580;Zm00040ab358580;Zm00040ab244190;Zm00040ab417200;Zm00040ab111140;Zm00040ab405200;Zm00040ab405200;Zm00040ab405200;Zm00040ab405200;Zm00040ab111140;Zm00040ab233030;Zm00040ab233030;Zm00040ab233030;Zm00040ab233030;Zm00040ab245450;Zm00040ab008830;Zm00040ab008830;Zm00040ab008830;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab069840;Zm00040ab104050;Zm00040ab104050;Zm00040ab199420;Zm00040ab203590;Zm00040ab203590;Zm00040ab203590;Zm00040ab258710;Zm00040ab258710;Zm00040ab317540;Zm00040ab258710;Zm00040ab258710;Zm00040ab214890;Zm00040ab152290;Zm00040ab026320;Zm00040ab026320;Zm00040ab026320;Zm00040ab026320;Zm00040ab380830;Zm00040ab380830;Zm00040ab380830;Zm00040ab380830;Zm00040ab026320;Zm00040ab026320;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab412750;Zm00040ab319900;Zm00040ab319900;Zm00040ab319900;Zm00040ab319900;Zm00040ab085130;Zm00040ab085130;Zm00040ab085130;Zm00040ab085130;Zm00040ab301480;Zm00040ab301480;Zm00040ab199380;Zm00040ab199380;Zm00040ab199380;Zm00040ab014380;Zm00040ab115250;Zm00040ab115250;Zm00040ab115250;Zm00040ab115250;Zm00040ab115250;Zm00040ab462070;Zm00040ab014380;Zm00040ab014380;Zm00040ab387190;Zm00040ab097800;Zm00040ab119260;Zm00040ab119260;Zm00040ab119260;Zm00040ab119260;Zm00040ab396070;Zm00040ab119260;Zm00040ab371390;Zm00040ab371390;Zm00040ab371390;Zm00040ab346900;Zm00040ab346900;Zm00040ab346900;Zm00040ab130500;Zm00040ab130500;Zm00040ab130500;Zm00040ab130500;Zm00040ab130500;Zm00040ab130500;Zm00040ab130500;Zm00040ab130500;Zm00040ab130500;Zm00040ab410860;Zm00040ab110980;Zm00040ab110980;Zm00040ab110980;Zm00040ab110980;Zm00040ab110980;Zm00040ab110980;Zm00040ab410860;Zm00040ab410860;Zm00040ab410570;Zm00040ab110980;Zm00040ab110980;Zm00040ab410570;Zm00040ab382100;Zm00040ab072860;Zm00040ab072860;Zm00040ab072860;Zm00040ab204370;Zm00040ab263360;Zm00040ab419110;Zm00040ab419110
IPR000010	Cystatin domain	Zm00040ab179930;Zm00040ab310300;Zm00040ab022250;Zm00040ab427310;Zm00040ab388440;Zm00040ab306610;Zm00040ab306610;Zm00040ab306610;Zm00040ab306610;Zm00040ab306610;Zm00040ab306610;Zm00040ab006160;Zm00040ab468340;Zm00040ab006190;Zm00040ab022220;Zm00040ab392940;Zm00040ab354530;Zm00040ab392900;Zm00040ab392950;Zm00040ab427250;Zm00040ab179920;Zm00040ab427280;Zm00040ab372160;Zm00040ab372160;Zm00040ab022230;Zm00040ab022230
IPR000014	PAS domain	Zm00040ab121000;Zm00040ab175840;Zm00040ab175840;Zm00040ab045240;Zm00040ab045240;Zm00040ab045240;Zm00040ab045240;Zm00040ab045240;Zm00040ab045240;Zm00040ab045240;Zm00040ab045240;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab129140;Zm00040ab215300;Zm00040ab173630;Zm00040ab173630;Zm00040ab247590;Zm00040ab241010;Zm00040ab241010;Zm00040ab290830;Zm00040ab290830;Zm00040ab290830
IPR000023	Phosphofructokinase domain	Zm00040ab329310;Zm00040ab329310;Zm00040ab045570;Zm00040ab045570;Zm00040ab045570;Zm00040ab045570;Zm00040ab201570;Zm00040ab201570;Zm00040ab400870;Zm00040ab128850;Zm00040ab312460;Zm00040ab298380;Zm00040ab051390;Zm00040ab359170;Zm00040ab359170;Zm00040ab372890;Zm00040ab164100;Zm00040ab302650;Zm00040ab302650;Zm00040ab395550;Zm00040ab395550;Zm00040ab452270;Zm00040ab288350;Zm00040ab288350;Zm00040ab043550;Zm00040ab043550;Zm00040ab043550;Zm00040ab269600;Zm00040ab269600;Zm00040ab269600;Zm00040ab269600;Zm00040ab106600;Zm00040ab106600;Zm00040ab106600;Zm00040ab106600;Zm00040ab106600;Zm00040ab106600
IPR000031	PurE domain	Zm00040ab303120;Zm00040ab303120;Zm00040ab128000
IPR000043	Adenosylhomocysteinase-like	Zm00040ab096950;Zm00040ab181190;Zm00040ab181190;Zm00040ab181190
IPR000048	IQ motif, EF-hand binding site	Zm00040ab281480;Zm00040ab145350;Zm00040ab145350;Zm00040ab345390;Zm00040ab165260;Zm00040ab165260;Zm00040ab165260;Zm00040ab165260;Zm00040ab165260;Zm00040ab165260;Zm00040ab235880;Zm00040ab235880;Zm00040ab235880;Zm00040ab235880;Zm00040ab235880;Zm00040ab235880;Zm00040ab350670;Zm00040ab350670;Zm00040ab408970;Zm00040ab408970;Zm00040ab050820;Zm00040ab050820;Zm00040ab050820;Zm00040ab050820;Zm00040ab197280;Zm00040ab197280;Zm00040ab218460;Zm00040ab218460;Zm00040ab181230;Zm00040ab153100;Zm00040ab153100;Zm00040ab153100;Zm00040ab153100;Zm00040ab071530;Zm00040ab395560;Zm00040ab395560;Zm00040ab389300;Zm00040ab389300;Zm00040ab456750;Zm00040ab362840;Zm00040ab362840;Zm00040ab456750;Zm00040ab425710;Zm00040ab425710;Zm00040ab372820;Zm00040ab372820;Zm00040ab372820;Zm00040ab372820;Zm00040ab372820;Zm00040ab372820;Zm00040ab325450;Zm00040ab325450;Zm00040ab325450;Zm00040ab325450;Zm00040ab325450;Zm00040ab334890;Zm00040ab334890;Zm00040ab240620;Zm00040ab453510;Zm00040ab453510;Zm00040ab265720;Zm00040ab409120;Zm00040ab409120;Zm00040ab400440;Zm00040ab400440;Zm00040ab238710;Zm00040ab238710;Zm00040ab238710;Zm00040ab238710;Zm00040ab238710;Zm00040ab238710;Zm00040ab238710;Zm00040ab238710;Zm00040ab238710;Zm00040ab238710;Zm00040ab063540;Zm00040ab063540;Zm00040ab063540;Zm00040ab063540;Zm00040ab063540;Zm00040ab063540;Zm00040ab063540;Zm00040ab063540;Zm00040ab395540;Zm00040ab395540;Zm00040ab017240;Zm00040ab017240;Zm00040ab004020;Zm00040ab004020;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab029570;Zm00040ab054270;Zm00040ab054270;Zm00040ab251510;Zm00040ab251510;Zm00040ab312580;Zm00040ab312580;Zm00040ab342530;Zm00040ab342530;Zm00040ab342530;Zm00040ab396090;Zm00040ab396090;Zm00040ab396090;Zm00040ab301800;Zm00040ab301800;Zm00040ab301800;Zm00040ab301800;Zm00040ab396090;Zm00040ab396090;Zm00040ab396090;Zm00040ab301800;Zm00040ab301800;Zm00040ab301800;Zm00040ab301800;Zm00040ab320690;Zm00040ab185430;Zm00040ab185430;Zm00040ab269880;Zm00040ab376850;Zm00040ab376850;Zm00040ab418130;Zm00040ab418130;Zm00040ab412990;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab069240;Zm00040ab238480;Zm00040ab238480;Zm00040ab359550;Zm00040ab359550;Zm00040ab206150;Zm00040ab206150;Zm00040ab206150;Zm00040ab206150;Zm00040ab206150;Zm00040ab206150;Zm00040ab206150;Zm00040ab206150;Zm00040ab206150;Zm00040ab206150;Zm00040ab467860;Zm00040ab467860;Zm00040ab353020;Zm00040ab034300;Zm00040ab034300;Zm00040ab034300;Zm00040ab034300;Zm00040ab034300;Zm00040ab308780;Zm00040ab378520;Zm00040ab378520;Zm00040ab378520;Zm00040ab308780;Zm00040ab308780;Zm00040ab417080;Zm00040ab417080;Zm00040ab417080;Zm00040ab417080;Zm00040ab417080;Zm00040ab417080;Zm00040ab238390;Zm00040ab395960;Zm00040ab395960;Zm00040ab195730;Zm00040ab195730;Zm00040ab171030;Zm00040ab171030;Zm00040ab171030;Zm00040ab171030;Zm00040ab171030;Zm00040ab171030;Zm00040ab171030;Zm00040ab171030;Zm00040ab171030;Zm00040ab171030;Zm00040ab052360;Zm00040ab052360;Zm00040ab194790;Zm00040ab194790;Zm00040ab291760;Zm00040ab291760;Zm00040ab340330;Zm00040ab340330;Zm00040ab193010;Zm00040ab193010;Zm00040ab128890;Zm00040ab128890;Zm00040ab448700;Zm00040ab448700;Zm00040ab448700;Zm00040ab448700;Zm00040ab284980;Zm00040ab284980;Zm00040ab448700;Zm00040ab448700;Zm00040ab448700;Zm00040ab448700;Zm00040ab448700;Zm00040ab448700;Zm00040ab219040;Zm00040ab219040;Zm00040ab097780;Zm00040ab097780;Zm00040ab032820;Zm00040ab032820;Zm00040ab461060;Zm00040ab461060;Zm00040ab461060;Zm00040ab461060;Zm00040ab095660;Zm00040ab047960;Zm00040ab047960;Zm00040ab047960;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab276170;Zm00040ab401550;Zm00040ab401550;Zm00040ab407040;Zm00040ab407040;Zm00040ab282640;Zm00040ab282640;Zm00040ab282640;Zm00040ab282640;Zm00040ab050390;Zm00040ab047960;Zm00040ab047960;Zm00040ab047960;Zm00040ab253100;Zm00040ab256940;Zm00040ab256940;Zm00040ab094920;Zm00040ab094920;Zm00040ab252150;Zm00040ab252150;Zm00040ab376800;Zm00040ab229430;Zm00040ab229430;Zm00040ab380000;Zm00040ab380000;Zm00040ab024780;Zm00040ab024780;Zm00040ab404280;Zm00040ab327840;Zm00040ab327840;Zm00040ab093320;Zm00040ab093320;Zm00040ab434770;Zm00040ab434770;Zm00040ab053520;Zm00040ab053520;Zm00040ab057110;Zm00040ab057110;Zm00040ab427810;Zm00040ab150460;Zm00040ab150460;Zm00040ab428580;Zm00040ab428580;Zm00040ab428580;Zm00040ab428580;Zm00040ab428580;Zm00040ab428580;Zm00040ab380500;Zm00040ab380500;Zm00040ab380500;Zm00040ab380500;Zm00040ab380500;Zm00040ab380500;Zm00040ab009790;Zm00040ab009790;Zm00040ab380500;Zm00040ab380500;Zm00040ab380500;Zm00040ab380500;Zm00040ab393970;Zm00040ab393970;Zm00040ab349020;Zm00040ab349020;Zm00040ab244950;Zm00040ab244950;Zm00040ab439100;Zm00040ab359190;Zm00040ab359190;Zm00040ab078500;Zm00040ab018360;Zm00040ab018360;Zm00040ab078500;Zm00040ab078500;Zm00040ab091320;Zm00040ab091320;Zm00040ab444780;Zm00040ab444780;Zm00040ab172640;Zm00040ab172640;Zm00040ab196380;Zm00040ab160500;Zm00040ab244700;Zm00040ab244700;Zm00040ab202020;Zm00040ab158940;Zm00040ab158940;Zm00040ab158940;Zm00040ab158940;Zm00040ab158940;Zm00040ab158940;Zm00040ab158940;Zm00040ab114100;Zm00040ab114100;Zm00040ab227670;Zm00040ab227670;Zm00040ab227670;Zm00040ab227670;Zm00040ab227670;Zm00040ab227670;Zm00040ab114100;Zm00040ab114100;Zm00040ab227670;Zm00040ab227670;Zm00040ab227670;Zm00040ab227670;Zm00040ab227670;Zm00040ab227670;Zm00040ab408960;Zm00040ab196680;Zm00040ab196680;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab343790;Zm00040ab313240;Zm00040ab430450;Zm00040ab430450;Zm00040ab163890;Zm00040ab163890;Zm00040ab163890;Zm00040ab163890;Zm00040ab163890;Zm00040ab163890;Zm00040ab007470;Zm00040ab007470;Zm00040ab007470;Zm00040ab007470;Zm00040ab334900;Zm00040ab334900;Zm00040ab163890;Zm00040ab163890;Zm00040ab163890;Zm00040ab163890;Zm00040ab157940;Zm00040ab157940;Zm00040ab165620;Zm00040ab303780;Zm00040ab303780;Zm00040ab294080;Zm00040ab294080;Zm00040ab373530;Zm00040ab312970;Zm00040ab312970;Zm00040ab312970;Zm00040ab312970;Zm00040ab312970;Zm00040ab312970;Zm00040ab312970;Zm00040ab312970
IPR000054	Ribosomal protein L31e	Zm00040ab269800;Zm00040ab405840;Zm00040ab201900
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00040ab338340;Zm00040ab338340;Zm00040ab427530;Zm00040ab427530;Zm00040ab427530;Zm00040ab427530;Zm00040ab005840;Zm00040ab005840;Zm00040ab005840;Zm00040ab005840;Zm00040ab005840
