SCORE	NAME	GENE_MODEL
0.77697	True	Zm00018ab000010
0.93258	True	Zm00018ab000020
0.98414	True	Zm00018ab000030
0.99766	True	Zm00018ab000040
0.99893	True	Zm00018ab000060
0.9994	True	Zm00018ab000070
0.31478	False	Zm00018ab000080
0.99715	True	Zm00018ab000090
0.96902	True	Zm00018ab000100
0.41707	False	Zm00018ab000130
0.98205	True	Zm00018ab000160
0.99082	True	Zm00018ab000180
0.99856	True	Zm00018ab000200
0.99837	True	Zm00018ab000220
0.18744	False	Zm00018ab000230
0.98348	True	Zm00018ab000250
0.91441	True	Zm00018ab000260
0.9948	True	Zm00018ab000280
0.93574	True	Zm00018ab000290
0.9994	True	Zm00018ab000310
0.99078	True	Zm00018ab000320
0.99831	True	Zm00018ab000330
0.2563	False	Zm00018ab000340
0.99702	True	Zm00018ab000350
0.03395	False	Zm00018ab000370
0.69049	True	Zm00018ab000380
0.99213	True	Zm00018ab000390
0.83894	True	Zm00018ab000400
0.99768	True	Zm00018ab000410
0.99549	True	Zm00018ab000420
0.99287	True	Zm00018ab000430
0.89486	True	Zm00018ab000440
0.99121	True	Zm00018ab000450
0.99729	True	Zm00018ab000460
0.03058	False	Zm00018ab000470
0.99951	True	Zm00018ab000480
0.98252	True	Zm00018ab000490
0.19047	False	Zm00018ab000500
0.96935	True	Zm00018ab000510
0.53106	True	Zm00018ab000520
0.71314	True	Zm00018ab000540
0.9997	True	Zm00018ab000550
0.99011	True	Zm00018ab000560
0.99884	True	Zm00018ab000570
0.63301	True	Zm00018ab000580
0.00129	False	Zm00018ab000590
0.0923	False	Zm00018ab000600
0.9711	True	Zm00018ab000610
0.99912	True	Zm00018ab000620
0.99365	True	Zm00018ab000630
0.98402	True	Zm00018ab000640
0.85539	True	Zm00018ab000650
0.9743	True	Zm00018ab000660
0.99756	True	Zm00018ab000680
0.99973	True	Zm00018ab000690
0.92672	True	Zm00018ab000700
0.94709	True	Zm00018ab000710
0.96602	True	Zm00018ab000720
0.99919	True	Zm00018ab000730
0.98582	True	Zm00018ab000740
0.99909	True	Zm00018ab000750
0.99515	True	Zm00018ab000760
0.85991	True	Zm00018ab000770
0.97106	True	Zm00018ab000780
0.91908	True	Zm00018ab000790
0.90912	True	Zm00018ab000800
0.99563	True	Zm00018ab000810
0.99864	True	Zm00018ab000820
0.99996	True	Zm00018ab000830
0.98771	True	Zm00018ab000840
0.99935	True	Zm00018ab000850
0.98762	True	Zm00018ab000860
0.99641	True	Zm00018ab000870
0.99234	True	Zm00018ab000880
0.87379	True	Zm00018ab000890
0.99722	True	Zm00018ab000900
0.93185	True	Zm00018ab000910
0.99715	True	Zm00018ab000920
0.90387	True	Zm00018ab000930
0.99843	True	Zm00018ab000940
0.99992	True	Zm00018ab000950
0.99443	True	Zm00018ab000960
0.99986	True	Zm00018ab000970
0.99941	True	Zm00018ab000980
0.72048	True	Zm00018ab001000
0.99639	True	Zm00018ab001010
0.99522	True	Zm00018ab001030
0.76739	True	Zm00018ab001040
0.99787	True	Zm00018ab001050
0.99684	True	Zm00018ab001060
0.38341	False	Zm00018ab001070
0.99668	True	Zm00018ab001080
0.90454	True	Zm00018ab001100
0.99725	True	Zm00018ab001110
0.99222	True	Zm00018ab001120
0.99967	True	Zm00018ab001130
0.99794	True	Zm00018ab001140
0.97518	True	Zm00018ab001150
0.99678	True	Zm00018ab001160
0.99646	True	Zm00018ab001170
0.96678	True	Zm00018ab001180
0.99916	True	Zm00018ab001190
0.99877	True	Zm00018ab001200
0.95652	True	Zm00018ab001210
0.07974	False	Zm00018ab001220
0.94686	True	Zm00018ab001230
0.96218	True	Zm00018ab001240
0.96781	True	Zm00018ab001250
0.98839	True	Zm00018ab001260
0.99795	True	Zm00018ab001270
0.99643	True	Zm00018ab001280
0.66805	True	Zm00018ab001290
0.99606	True	Zm00018ab001310
0.99204	True	Zm00018ab001320
0.96951	True	Zm00018ab001330
0.97605	True	Zm00018ab001340
0.99187	True	Zm00018ab001360
0.95516	True	Zm00018ab001370
0.99721	True	Zm00018ab001380
0.96475	True	Zm00018ab001390
0.98811	True	Zm00018ab001400
0.04248	False	Zm00018ab001410
0.99639	True	Zm00018ab001420
0.97942	True	Zm00018ab001430
0.97169	True	Zm00018ab001440
0.9848	True	Zm00018ab001450
0.97682	True	Zm00018ab001460
0.99609	True	Zm00018ab001470
0.99661	True	Zm00018ab001480
0.97885	True	Zm00018ab001490
0.99528	True	Zm00018ab001500
0.95953	True	Zm00018ab001510
0.50543	True	Zm00018ab001520
0.95701	True	Zm00018ab001530
0.99974	True	Zm00018ab001540
0.86685	True	Zm00018ab001560
0.99008	True	Zm00018ab001570
0.98311	True	Zm00018ab001580
0.99308	True	Zm00018ab001590
0.09018	False	Zm00018ab001600
0.9958	True	Zm00018ab001610
0.99896	True	Zm00018ab001620
0.99998	True	Zm00018ab001630
0.99869	True	Zm00018ab001640
0.99292	True	Zm00018ab001650
0.99797	True	Zm00018ab001660
0.9857	True	Zm00018ab001670
0.91251	True	Zm00018ab001700
0.98606	True	Zm00018ab001710
0.98655	True	Zm00018ab001720
0.00571	False	Zm00018ab001730
0.99061	True	Zm00018ab001740
0.9278	True	Zm00018ab001750
0.98033	True	Zm00018ab001760
0.99894	True	Zm00018ab001770
0.99984	True	Zm00018ab001780
0.99671	True	Zm00018ab001790
0.99987	True	Zm00018ab001810
0.89955	True	Zm00018ab001820
0.99088	True	Zm00018ab001830
0.99551	True	Zm00018ab001840
0.97344	True	Zm00018ab001850
0.99253	True	Zm00018ab001880
0.22792	False	Zm00018ab001890
0.92302	True	Zm00018ab001910
0.99731	True	Zm00018ab001920
0.9847	True	Zm00018ab001930
0.9762	True	Zm00018ab001940
0.97058	True	Zm00018ab001950
0.92041	True	Zm00018ab001960
0.99151	True	Zm00018ab001970
0.05813	False	Zm00018ab001980
0.98961	True	Zm00018ab002000
0.99756	True	Zm00018ab002010
0.99146	True	Zm00018ab002020
0.99961	True	Zm00018ab002030
0.98441	True	Zm00018ab002040
0.99772	True	Zm00018ab002050
0.93872	True	Zm00018ab002070
0.99711	True	Zm00018ab002080
0.81411	True	Zm00018ab002090
0.99137	True	Zm00018ab002100
0.98877	True	Zm00018ab002110
0.79261	True	Zm00018ab002120
0.99986	True	Zm00018ab002140
0.99894	True	Zm00018ab002150
0.0205	False	Zm00018ab002160
0.98103	True	Zm00018ab002170
0.58273	True	Zm00018ab002190
0.99801	True	Zm00018ab002200
0.99227	True	Zm00018ab002210
0.98209	True	Zm00018ab002220
0.99053	True	Zm00018ab002230
0.99873	True	Zm00018ab002240
0.97656	True	Zm00018ab002250
0.99046	True	Zm00018ab002260
0.99851	True	Zm00018ab002270
0.99866	True	Zm00018ab002280
0.99816	True	Zm00018ab002290
0.99386	True	Zm00018ab002300
0.94666	True	Zm00018ab002320
0.98748	True	Zm00018ab002340
0.99941	True	Zm00018ab002350
0.85834	True	Zm00018ab002360
0.99814	True	Zm00018ab002370
0.99262	True	Zm00018ab002380
0.99676	True	Zm00018ab002390
0.95248	True	Zm00018ab002400
0.99118	True	Zm00018ab002410
0.01262	False	Zm00018ab002420
1.0	True	Zm00018ab002430
0.72552	True	Zm00018ab002440
0.99255	True	Zm00018ab002450
0.01362	False	Zm00018ab002460
0.97265	True	Zm00018ab002470
0.99166	True	Zm00018ab002480
0.92025	True	Zm00018ab002490
0.99516	True	Zm00018ab002500
0.98412	True	Zm00018ab002510
0.99708	True	Zm00018ab002520
0.98656	True	Zm00018ab002530
0.96153	True	Zm00018ab002560
0.99921	True	Zm00018ab002570
0.99887	True	Zm00018ab002580
0.98953	True	Zm00018ab002590
0.87915	True	Zm00018ab002600
0.99946	True	Zm00018ab002610
0.98976	True	Zm00018ab002620
0.99517	True	Zm00018ab002630
0.98628	True	Zm00018ab002640
0.98954	True	Zm00018ab002660
0.99957	True	Zm00018ab002670
0.99861	True	Zm00018ab002680
0.98909	True	Zm00018ab002690
0.99933	True	Zm00018ab002700
0.38824	False	Zm00018ab002710
0.99552	True	Zm00018ab002720
0.99569	True	Zm00018ab002730
0.99002	True	Zm00018ab002740
0.83967	True	Zm00018ab002750
0.99867	True	Zm00018ab002760
0.93667	True	Zm00018ab002770
0.97023	True	Zm00018ab002780
0.98553	True	Zm00018ab002790
0.99457	True	Zm00018ab002810
0.79821	True	Zm00018ab002820
0.16916	False	Zm00018ab002830
0.99704	True	Zm00018ab002840
0.99062	True	Zm00018ab002850
0.00925	False	Zm00018ab002860
0.99153	True	Zm00018ab002870
0.00389	False	Zm00018ab002880
0.9349	True	Zm00018ab002890
0.25996	False	Zm00018ab002900
0.98087	True	Zm00018ab002910
0.9997	True	Zm00018ab002920
0.9998	True	Zm00018ab002930
0.99939	True	Zm00018ab002940
0.99879	True	Zm00018ab002950
0.21751	False	Zm00018ab002960
0.99754	True	Zm00018ab002970
0.99002	True	Zm00018ab002980
0.02201	False	Zm00018ab002990
0.98468	True	Zm00018ab003000
0.98901	True	Zm00018ab003010
0.9878	True	Zm00018ab003020
0.99989	True	Zm00018ab003030
0.88736	True	Zm00018ab003050
0.99981	True	Zm00018ab003060
0.99996	True	Zm00018ab003070
0.87385	True	Zm00018ab003080
0.99621	True	Zm00018ab003090
0.99995	True	Zm00018ab003100
0.99649	True	Zm00018ab003110
0.99597	True	Zm00018ab003120
0.99957	True	Zm00018ab003130
0.9977	True	Zm00018ab003140
0.99608	True	Zm00018ab003150
0.99743	True	Zm00018ab003160
0.86706	True	Zm00018ab003170
0.99036	True	Zm00018ab003180
0.991	True	Zm00018ab003190
0.99201	True	Zm00018ab003200
0.52952	True	Zm00018ab003210
0.98438	True	Zm00018ab003220
0.0771	False	Zm00018ab003230
0.99994	True	Zm00018ab003240
0.99986	True	Zm00018ab003250
0.24194	False	Zm00018ab003260
0.97605	True	Zm00018ab003270
0.52965	True	Zm00018ab003300
0.99272	True	Zm00018ab003340
0.99995	True	Zm00018ab003350
0.99611	True	Zm00018ab003360
0.99356	True	Zm00018ab003370
0.99834	True	Zm00018ab003380
0.99742	True	Zm00018ab003390
0.99788	True	Zm00018ab003400
0.98044	True	Zm00018ab003410
0.99535	True	Zm00018ab003420
0.93353	True	Zm00018ab003430
0.99378	True	Zm00018ab003440
0.03375	False	Zm00018ab003450
0.99402	True	Zm00018ab003460
0.98725	True	Zm00018ab003470
0.9853	True	Zm00018ab003480
0.96827	True	Zm00018ab003490
0.99472	True	Zm00018ab003510
0.18644	False	Zm00018ab003520
0.99661	True	Zm00018ab003530
0.96794	True	Zm00018ab003540
0.51541	True	Zm00018ab003550
0.99882	True	Zm00018ab003560
0.98762	True	Zm00018ab003570
0.98914	True	Zm00018ab003580
0.1841	False	Zm00018ab003590
0.99994	True	Zm00018ab003600
0.67466	True	Zm00018ab003610
0.80294	True	Zm00018ab003620
0.98011	True	Zm00018ab003640
0.99027	True	Zm00018ab003650
0.99597	True	Zm00018ab003660
0.9962	True	Zm00018ab003670
0.99372	True	Zm00018ab003680
