LABEL	NAME	GENE_MODEL
GO:0000009	alpha-1,6-mannosyltransferase activity	Zm00024ab120360;Zm00024ab120360;Zm00024ab165560
GO:0000012	single strand break repair	Zm00024ab025590;Zm00024ab385530
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	Zm00024ab127680;Zm00024ab127680
GO:0000015	phosphopyruvate hydratase complex	Zm00024ab012340;Zm00024ab027190;Zm00024ab092310;Zm00024ab100370;Zm00024ab275140;Zm00024ab317890;Zm00024ab386130;Zm00024ab386130;Zm00024ab386130;Zm00024ab406360
GO:0000018	regulation of DNA recombination	Zm00024ab275500
GO:0000023	maltose metabolic process	Zm00024ab072640
GO:0000025	maltose catabolic process	Zm00024ab334860
GO:0000026	alpha-1,2-mannosyltransferase activity	Zm00024ab051460;Zm00024ab118690;Zm00024ab233260;Zm00024ab233330
GO:0000027	ribosomal large subunit assembly	Zm00024ab002670;Zm00024ab012940;Zm00024ab012940;Zm00024ab012940;Zm00024ab016990;Zm00024ab016990;Zm00024ab016990;Zm00024ab016990;Zm00024ab029140;Zm00024ab030660;Zm00024ab036290;Zm00024ab050340;Zm00024ab050340;Zm00024ab052570;Zm00024ab052800;Zm00024ab066250;Zm00024ab079520;Zm00024ab084090;Zm00024ab084090;Zm00024ab084130;Zm00024ab084130;Zm00024ab084130;Zm00024ab084130;Zm00024ab093760;Zm00024ab093760;Zm00024ab093760;Zm00024ab093780;Zm00024ab093780;Zm00024ab093780;Zm00024ab095990;Zm00024ab132170;Zm00024ab147370;Zm00024ab147370;Zm00024ab156690;Zm00024ab165990;Zm00024ab167760;Zm00024ab186580;Zm00024ab186580;Zm00024ab186580;Zm00024ab186580;Zm00024ab186580;Zm00024ab186580;Zm00024ab186600;Zm00024ab200140;Zm00024ab222800;Zm00024ab222800;Zm00024ab222800;Zm00024ab222800;Zm00024ab222800;Zm00024ab249730;Zm00024ab249740;Zm00024ab249740;Zm00024ab249740;Zm00024ab259720;Zm00024ab287100;Zm00024ab296060;Zm00024ab297650;Zm00024ab303230;Zm00024ab361450;Zm00024ab361450;Zm00024ab373660;Zm00024ab373660;Zm00024ab373660;Zm00024ab373660;Zm00024ab409060;Zm00024ab409090;Zm00024ab438840
GO:0000028	ribosomal small subunit assembly	Zm00024ab002820;Zm00024ab002820;Zm00024ab005550;Zm00024ab006580;Zm00024ab006590;Zm00024ab010180;Zm00024ab014450;Zm00024ab018450;Zm00024ab018460;Zm00024ab020430;Zm00024ab020430;Zm00024ab050140;Zm00024ab050140;Zm00024ab111090;Zm00024ab118740;Zm00024ab118760;Zm00024ab118770;Zm00024ab174070;Zm00024ab174070;Zm00024ab174070;Zm00024ab184560;Zm00024ab184560;Zm00024ab205460;Zm00024ab206360;Zm00024ab218590;Zm00024ab222830;Zm00024ab228500;Zm00024ab228500;Zm00024ab228500;Zm00024ab245410;Zm00024ab257520;Zm00024ab257520;Zm00024ab260050;Zm00024ab278670;Zm00024ab278670;Zm00024ab278680;Zm00024ab278680;Zm00024ab278690;Zm00024ab278690;Zm00024ab291030;Zm00024ab291030;Zm00024ab299250;Zm00024ab299250;Zm00024ab307240;Zm00024ab341040;Zm00024ab341040;Zm00024ab341040;Zm00024ab341040;Zm00024ab350060;Zm00024ab350060;Zm00024ab350980;Zm00024ab395170;Zm00024ab395170;Zm00024ab395170;Zm00024ab395170;Zm00024ab395170;Zm00024ab401370;Zm00024ab401370;Zm00024ab404940;Zm00024ab404940;Zm00024ab410260;Zm00024ab410260;Zm00024ab411300;Zm00024ab421640;Zm00024ab423350;Zm00024ab423350;Zm00024ab445740;Zm00024ab445900;Zm00024ab446240;Zm00024ab446290;Zm00024ab447810;Zm00024ab448130;Zm00024ab449880;Zm00024ab450300;Zm00024ab450340;Zm00024ab450750
GO:0000030	mannosyltransferase activity	Zm00024ab006420;Zm00024ab006440;Zm00024ab019280;Zm00024ab019280;Zm00024ab019310;Zm00024ab124630;Zm00024ab400600;Zm00024ab400610;Zm00024ab400620;Zm00024ab410450;Zm00024ab410450;Zm00024ab410450
GO:0000033	alpha-1,3-mannosyltransferase activity	Zm00024ab073550
GO:0000035	acyl binding	Zm00024ab050550;Zm00024ab238090;Zm00024ab280340;Zm00024ab292210;Zm00024ab308910;Zm00024ab395220;Zm00024ab409410
GO:0000036	acyl carrier activity	Zm00024ab040490;Zm00024ab040490;Zm00024ab196680;Zm00024ab206200;Zm00024ab206200;Zm00024ab206200;Zm00024ab213840;Zm00024ab292210;Zm00024ab338860;Zm00024ab409410
GO:0000038	very long-chain fatty acid metabolic process	Zm00024ab011090;Zm00024ab026940;Zm00024ab031980;Zm00024ab031980;Zm00024ab055110;Zm00024ab126190;Zm00024ab126190;Zm00024ab136280;Zm00024ab212100;Zm00024ab212100;Zm00024ab231170;Zm00024ab234250;Zm00024ab234250;Zm00024ab277470;Zm00024ab342990;Zm00024ab354630;Zm00024ab384220;Zm00024ab384220;Zm00024ab384220;Zm00024ab384220;Zm00024ab384220;Zm00024ab387800;Zm00024ab387800;Zm00024ab387800;Zm00024ab407200
GO:0000041	transition metal ion transport	Zm00024ab020120;Zm00024ab038440;Zm00024ab038440;Zm00024ab098670;Zm00024ab142350;Zm00024ab209440;Zm00024ab217130;Zm00024ab229320;Zm00024ab229320;Zm00024ab309340;Zm00024ab417610;Zm00024ab417610
GO:0000045	autophagosome assembly	Zm00024ab052590;Zm00024ab057800;Zm00024ab057800;Zm00024ab076330;Zm00024ab076330;Zm00024ab081790;Zm00024ab087680;Zm00024ab093950;Zm00024ab181170;Zm00024ab189350;Zm00024ab205660;Zm00024ab210040;Zm00024ab237710;Zm00024ab237710;Zm00024ab238280;Zm00024ab252730;Zm00024ab252730;Zm00024ab261000;Zm00024ab261000;Zm00024ab261000;Zm00024ab300700;Zm00024ab332760;Zm00024ab350190;Zm00024ab395730;Zm00024ab395730;Zm00024ab399300;Zm00024ab434610;Zm00024ab437670
GO:0000048	peptidyltransferase activity	Zm00024ab020390;Zm00024ab020390;Zm00024ab020390;Zm00024ab082230;Zm00024ab110370;Zm00024ab333470;Zm00024ab343030;Zm00024ab343030;Zm00024ab401360
