LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00035ab000010
2.0	Domain: Eukaryota	Zm00035ab000020
5.0	Land Plants (Embryophyta)	Zm00035ab000040
11.0	Tribe: Andropogoneae	Zm00035ab000070
6.0	Class: Magnoliopsida	Zm00035ab000080
1.0	Cellular organisms	Zm00035ab000090
9.0	Family: Poaceae	Zm00035ab000100
9.0	Family: Poaceae	Zm00035ab000120
6.0	Class: Magnoliopsida	Zm00035ab000130
1.0	Cellular organisms	Zm00035ab000140
5.0	Land Plants (Embryophyta)	Zm00035ab000160
1.0	Cellular organisms	Zm00035ab000180
4.0	Phylum: Streptophyta	Zm00035ab000190
5.0	Land Plants (Embryophyta)	Zm00035ab000200
1.0	Cellular organisms	Zm00035ab000210
1.0	Cellular organisms	Zm00035ab000230
2.0	Domain: Eukaryota	Zm00035ab000240
2.0	Domain: Eukaryota	Zm00035ab000250
1.0	Cellular organisms	Zm00035ab000260
5.0	Land Plants (Embryophyta)	Zm00035ab000270
11.0	Tribe: Andropogoneae	Zm00035ab000290
3.0	Kingdom: Viridiplantae	Zm00035ab000300
6.0	Class: Magnoliopsida	Zm00035ab000310
5.0	Land Plants (Embryophyta)	Zm00035ab000320
1.0	Cellular organisms	Zm00035ab000330
3.0	Kingdom: Viridiplantae	Zm00035ab000340
2.0	Domain: Eukaryota	Zm00035ab000350
3.0	Kingdom: Viridiplantae	Zm00035ab000360
10.0	Subfamily: Panicoideae	Zm00035ab000370
3.0	Kingdom: Viridiplantae	Zm00035ab000380
4.0	Phylum: Streptophyta	Zm00035ab000390
1.0	Cellular organisms	Zm00035ab000400
1.0	Cellular organisms	Zm00035ab000410
4.0	Phylum: Streptophyta	Zm00035ab000420
1.0	Cellular organisms	Zm00035ab000430
5.0	Land Plants (Embryophyta)	Zm00035ab000440
7.0	Monocots (Liliopsida)	Zm00035ab000450
14.0	Subspecies: Zea mays mays	Zm00035ab000460
4.0	Phylum: Streptophyta	Zm00035ab000470
5.0	Land Plants (Embryophyta)	Zm00035ab000480
5.0	Land Plants (Embryophyta)	Zm00035ab000490
1.0	Cellular organisms	Zm00035ab000500
6.0	Class: Magnoliopsida	Zm00035ab000510
2.0	Domain: Eukaryota	Zm00035ab000520
5.0	Land Plants (Embryophyta)	Zm00035ab000530
1.0	Cellular organisms	Zm00035ab000540
2.0	Domain: Eukaryota	Zm00035ab000550
14.0	Subspecies: Zea mays mays	Zm00035ab000560
6.0	Class: Magnoliopsida	Zm00035ab000570
2.0	Domain: Eukaryota	Zm00035ab000580
1.0	Cellular organisms	Zm00035ab000590
1.0	Cellular organisms	Zm00035ab000600
1.0	Cellular organisms	Zm00035ab000610
9.0	Family: Poaceae	Zm00035ab000620
4.0	Phylum: Streptophyta	Zm00035ab000640
4.0	Phylum: Streptophyta	Zm00035ab000650
2.0	Domain: Eukaryota	Zm00035ab000660
4.0	Phylum: Streptophyta	Zm00035ab000670
1.0	Cellular organisms	Zm00035ab000680
3.0	Kingdom: Viridiplantae	Zm00035ab000690
		Zm00035ab000700
3.0	Kingdom: Viridiplantae	Zm00035ab000710
7.0	Monocots (Liliopsida)	Zm00035ab000720
