SCORE	NAME	GENE_MODEL
0.77173	True	Zm00001eb000010
0.93258	True	Zm00001eb000020
0.27443	False	Zm00001eb000050
0.25179	False	Zm00001eb000060
0.99561	True	Zm00001eb000070
0.99985	True	Zm00001eb000080
0.99705	True	Zm00001eb000100
0.96517	True	Zm00001eb000110
0.53448	True	Zm00001eb000120
0.99913	True	Zm00001eb000140
0.28608	False	Zm00001eb000150
0.99886	True	Zm00001eb000170
0.78674	True	Zm00001eb000180
0.91237	True	Zm00001eb000190
0.98348	True	Zm00001eb000200
0.9948	True	Zm00001eb000210
0.93574	True	Zm00001eb000220
0.99941	True	Zm00001eb000230
0.99078	True	Zm00001eb000240
0.99823	True	Zm00001eb000250
0.28546	False	Zm00001eb000270
0.99917	True	Zm00001eb000290
0.91794	True	Zm00001eb000300
0.99698	True	Zm00001eb000310
0.99213	True	Zm00001eb000320
0.83894	True	Zm00001eb000330
0.83894	True	Zm00001eb000330
0.99121	True	Zm00001eb000340
0.99949	True	Zm00001eb000360
0.99723	True	Zm00001eb000370
0.99946	True	Zm00001eb000380
0.9799	True	Zm00001eb000390
0.93772	True	Zm00001eb000400
0.54394	True	Zm00001eb000410
0.99883	True	Zm00001eb000420
0.57537	True	Zm00001eb000430
0.91786	True	Zm00001eb000440
0.0923	False	Zm00001eb000450
0.00196	False	Zm00001eb000460
0.97111	True	Zm00001eb000470
0.99899	True	Zm00001eb000480
0.99365	True	Zm00001eb000490
0.98305	True	Zm00001eb000500
0.85391	True	Zm00001eb000510
0.97139	True	Zm00001eb000520
0.14245	False	Zm00001eb000530
0.99757	True	Zm00001eb000540
0.99973	True	Zm00001eb000550
0.97799	True	Zm00001eb000560
0.9778	True	Zm00001eb000570
0.95499	True	Zm00001eb000580
0.99918	True	Zm00001eb000590
0.98564	True	Zm00001eb000600
0.99911	True	Zm00001eb000620
0.99451	True	Zm00001eb000630
0.88127	True	Zm00001eb000640
0.88796	True	Zm00001eb000650
0.99544	True	Zm00001eb000660
0.99804	True	Zm00001eb000670
0.99994	True	Zm00001eb000680
0.98771	True	Zm00001eb000690
0.99943	True	Zm00001eb000700
0.98806	True	Zm00001eb000710
0.99607	True	Zm00001eb000720
0.87379	True	Zm00001eb000740
0.99641	True	Zm00001eb000750
0.99754	True	Zm00001eb000760
0.91567	True	Zm00001eb000770
0.99718	True	Zm00001eb000780
0.90387	True	Zm00001eb000790
0.99843	True	Zm00001eb000800
0.99992	True	Zm00001eb000810
0.99378	True	Zm00001eb000820
0.57012	True	Zm00001eb000830
0.9998	True	Zm00001eb000840
0.53544	True	Zm00001eb000850
0.99634	True	Zm00001eb000860
0.99508	True	Zm00001eb000870
0.99783	True	Zm00001eb000880
0.99654	True	Zm00001eb000890
0.33946	False	Zm00001eb000900
0.33946	False	Zm00001eb000900
0.99668	True	Zm00001eb000910
0.99689	True	Zm00001eb000920
0.99263	True	Zm00001eb000930
0.00928	False	Zm00001eb000940
0.99794	True	Zm00001eb000960
0.97518	True	Zm00001eb000970
0.99678	True	Zm00001eb000980
0.99682	True	Zm00001eb000990
0.9654	True	Zm00001eb001000
0.99916	True	Zm00001eb001010
0.99916	True	Zm00001eb001010
0.99864	True	Zm00001eb001020
0.12779	False	Zm00001eb001030
0.95436	True	Zm00001eb001040
0.92307	True	Zm00001eb001050
0.9635	True	Zm00001eb001060
0.96913	True	Zm00001eb001070
0.5009	True	Zm00001eb001090
0.99795	True	Zm00001eb001100
0.99643	True	Zm00001eb001110
0.66805	True	Zm00001eb001120
0.99548	True	Zm00001eb001130
0.99183	True	Zm00001eb001140
0.96716	True	Zm00001eb001150
0.08224	False	Zm00001eb001160
0.98179	True	Zm00001eb001170
0.99089	True	Zm00001eb001180
0.96295	True	Zm00001eb001190
0.99672	True	Zm00001eb001200
0.96291	True	Zm00001eb001210
0.98229	True	Zm00001eb001220
0.04248	False	Zm00001eb001230
0.99639	True	Zm00001eb001240
0.9774	True	Zm00001eb001250
0.97169	True	Zm00001eb001260
0.9847	True	Zm00001eb001270
0.97682	True	Zm00001eb001280
0.99564	True	Zm00001eb001290
0.99176	True	Zm00001eb001300
0.99962	True	Zm00001eb001310
0.89269	True	Zm00001eb001320
0.0175	False	Zm00001eb001330
0.99659	True	Zm00001eb001340
0.97742	True	Zm00001eb001350
0.9954	True	Zm00001eb001360
0.96509	True	Zm00001eb001370
0.99974	True	Zm00001eb001400
0.12202	False	Zm00001eb001410
0.94756	True	Zm00001eb001420
0.99008	True	Zm00001eb001430
0.98311	True	Zm00001eb001440
0.9958	True	Zm00001eb001460
0.99896	True	Zm00001eb001470
0.99998	True	Zm00001eb001480
0.99876	True	Zm00001eb001490
0.99336	True	Zm00001eb001500
0.9979	True	Zm00001eb001510
0.25707	False	Zm00001eb001520
0.98949	True	Zm00001eb001530
0.91426	True	Zm00001eb001550
0.98499	True	Zm00001eb001560
0.98661	True	Zm00001eb001570
0.98424	True	Zm00001eb001580
0.99006	True	Zm00001eb001590
0.94142	True	Zm00001eb001600
0.07336	False	Zm00001eb001610
0.4083	False	Zm00001eb001620
0.9765	True	Zm00001eb001630
0.99896	True	Zm00001eb001640
0.99982	True	Zm00001eb001650
0.99442	True	Zm00001eb001660
0.99987	True	Zm00001eb001670
0.71025	True	Zm00001eb001680
