LABEL	NAME	GENE_MODEL
EC:2.7.6.1	ribose-phosphate diphosphokinase.	Zm00001eb000180;Zm00001eb154480;Zm00001eb231020;Zm00001eb252660;Zm00001eb388190;Zm00001eb442050
EC:7.1.2.1	P-type H(+)-exporting transporter.	Zm00001eb000210;Zm00001eb000570;Zm00001eb002300;Zm00001eb053440;Zm00001eb067750;Zm00001eb092720;Zm00001eb116500;Zm00001eb119630;Zm00001eb134090;Zm00001eb157850;Zm00001eb178280;Zm00001eb192290;Zm00001eb196930;Zm00001eb226690;Zm00001eb226700;Zm00001eb226710;Zm00001eb226720;Zm00001eb262750;Zm00001eb275100;Zm00001eb302400;Zm00001eb307890;Zm00001eb317300;Zm00001eb359540;Zm00001eb374840;Zm00001eb386740;Zm00001eb410900;Zm00001eb422480;Zm00001eb432500
EC:2.7.12.1	dual-specificity kinase.	Zm00001eb000220;Zm00001eb054400;Zm00001eb062230;Zm00001eb100280;Zm00001eb104380;Zm00001eb183610;Zm00001eb218210;Zm00001eb242490;Zm00001eb386840
EC:1.3.1.74	2-alkenal reductase [NAD(P)(+)].	Zm00001eb000240;Zm00001eb002030;Zm00001eb003520;Zm00001eb015270;Zm00001eb015720;Zm00001eb016040;Zm00001eb020430;Zm00001eb020600;Zm00001eb021530;Zm00001eb022230;Zm00001eb024700;Zm00001eb029200;Zm00001eb032940;Zm00001eb034900;Zm00001eb035540;Zm00001eb039650;Zm00001eb041870;Zm00001eb052440;Zm00001eb052680;Zm00001eb053750;Zm00001eb055750;Zm00001eb065410;Zm00001eb066830;Zm00001eb068400;Zm00001eb075090;Zm00001eb077980;Zm00001eb080810;Zm00001eb081140;Zm00001eb094200;Zm00001eb099000;Zm00001eb102130;Zm00001eb105400;Zm00001eb113940;Zm00001eb115870;Zm00001eb117670;Zm00001eb122920;Zm00001eb127290;Zm00001eb129030;Zm00001eb132610;Zm00001eb133480;Zm00001eb136490;Zm00001eb139810;Zm00001eb140560;Zm00001eb144510;Zm00001eb148420;Zm00001eb150320;Zm00001eb151750;Zm00001eb152020;Zm00001eb154300;Zm00001eb156980;Zm00001eb165510;Zm00001eb168260;Zm00001eb173700;Zm00001eb179120;Zm00001eb179320;Zm00001eb188700;Zm00001eb193380;Zm00001eb202510;Zm00001eb203690;Zm00001eb209550;Zm00001eb211520;Zm00001eb215790;Zm00001eb217010;Zm00001eb218190;Zm00001eb223800;Zm00001eb228140;Zm00001eb228740;Zm00001eb229700;Zm00001eb229930;Zm00001eb231880;Zm00001eb234320;Zm00001eb239520;Zm00001eb248530;Zm00001eb252410;Zm00001eb253390;Zm00001eb255490;Zm00001eb256270;Zm00001eb259460;Zm00001eb272780;Zm00001eb273440;Zm00001eb278640;Zm00001eb279440;Zm00001eb279850;Zm00001eb281770;Zm00001eb283380;Zm00001eb283470;Zm00001eb297830;Zm00001eb301180;Zm00001eb303000;Zm00001eb327620;Zm00001eb333900;Zm00001eb333940;Zm00001eb336650;Zm00001eb344570;Zm00001eb351340;Zm00001eb352880;Zm00001eb362650;Zm00001eb370130;Zm00001eb375200;Zm00001eb375740;Zm00001eb375770;Zm00001eb375790;Zm00001eb375810;Zm00001eb377440;Zm00001eb391140;Zm00001eb408980;Zm00001eb409950;Zm00001eb419430;Zm00001eb423920;Zm00001eb432170;Zm00001eb440220
EC:1.6.5.5	NADPH:quinone reductase.	Zm00001eb000320;Zm00001eb013550;Zm00001eb042530
EC:3.1.4.41	sphingomyelin phosphodiesterase D.	Zm00001eb000330
EC:3.2.1.14	chitinase.	Zm00001eb000330;Zm00001eb002620;Zm00001eb003150;Zm00001eb007850;Zm00001eb014930;Zm00001eb022470;Zm00001eb022500;Zm00001eb022530;Zm00001eb022560;Zm00001eb078720;Zm00001eb078730;Zm00001eb078740;Zm00001eb112270;Zm00001eb142850;Zm00001eb167340;Zm00001eb169950;Zm00001eb228500;Zm00001eb246640;Zm00001eb270450;Zm00001eb272050;Zm00001eb272090;Zm00001eb283260;Zm00001eb283280;Zm00001eb295470;Zm00001eb301490;Zm00001eb301500;Zm00001eb317090;Zm00001eb325340;Zm00001eb332350;Zm00001eb340820;Zm00001eb346860;Zm00001eb354540;Zm00001eb399870;Zm00001eb420850;Zm00001eb425600
EC:3.1.4.12	sphingomyelin phosphodiesterase.	Zm00001eb000330;Zm00001eb259660;Zm00001eb339100
EC:3.6.4.13	RNA helicase.	Zm00001eb000360;Zm00001eb004400;Zm00001eb014780;Zm00001eb015060;Zm00001eb036270;Zm00001eb042430;Zm00001eb044130;Zm00001eb046110;Zm00001eb053970;Zm00001eb054650;Zm00001eb057040;Zm00001eb057210;Zm00001eb063300;Zm00001eb073080;Zm00001eb074890;Zm00001eb077380;Zm00001eb080820;Zm00001eb082690;Zm00001eb102610;Zm00001eb103030;Zm00001eb105540;Zm00001eb105730;Zm00001eb106050;Zm00001eb116020;Zm00001eb116250;Zm00001eb116270;Zm00001eb120110;Zm00001eb120880;Zm00001eb122880;Zm00001eb126070;Zm00001eb135960;Zm00001eb143850;Zm00001eb145430;Zm00001eb158270;Zm00001eb159670;Zm00001eb159710;Zm00001eb164820;Zm00001eb167520;Zm00001eb176340;Zm00001eb179010;Zm00001eb185930;Zm00001eb187310;Zm00001eb190630;Zm00001eb191090;Zm00001eb201140;Zm00001eb211400;Zm00001eb212700;Zm00001eb215620;Zm00001eb216520;Zm00001eb220770;Zm00001eb226920;Zm00001eb228070;Zm00001eb232200;Zm00001eb232660;Zm00001eb234540;Zm00001eb235630;Zm00001eb236680;Zm00001eb248240;Zm00001eb248580;Zm00001eb253900;Zm00001eb259260;Zm00001eb259470;Zm00001eb269830;Zm00001eb272920;Zm00001eb276780;Zm00001eb279850;Zm00001eb284740;Zm00001eb288400;Zm00001eb296550;Zm00001eb299860;Zm00001eb311790;Zm00001eb318210;Zm00001eb318770;Zm00001eb322020;Zm00001eb327760;Zm00001eb328480;Zm00001eb329450;Zm00001eb329470;Zm00001eb336740;Zm00001eb337140;Zm00001eb345420;Zm00001eb348990;Zm00001eb349300;Zm00001eb356560;Zm00001eb363860;Zm00001eb370170;Zm00001eb375140;Zm00001eb379350;Zm00001eb383060;Zm00001eb394960;Zm00001eb395790;Zm00001eb396040;Zm00001eb404280;Zm00001eb407490;Zm00001eb415650;Zm00001eb424140;Zm00001eb424180;Zm00001eb424230;Zm00001eb428430
EC:1.14.13.8	flavin-containing monooxygenase.	Zm00001eb000400;Zm00001eb004710;Zm00001eb006050;Zm00001eb023110;Zm00001eb023540;Zm00001eb023590;Zm00001eb030320;Zm00001eb031030;Zm00001eb088280;Zm00001eb088290;Zm00001eb088950;Zm00001eb096820;Zm00001eb119530;Zm00001eb135440;Zm00001eb158550;Zm00001eb167020;Zm00001eb179100;Zm00001eb264510;Zm00001eb280550;Zm00001eb298520;Zm00001eb298540;Zm00001eb298550;Zm00001eb298560;Zm00001eb306140;Zm00001eb320960;Zm00001eb320970;Zm00001eb332870;Zm00001eb362000;Zm00001eb401730;Zm00001eb419450
