LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00041ab211090;Zm00041ab211090;Zm00041ab211090;Zm00041ab211090;Zm00041ab262740;Zm00041ab262740;Zm00041ab152730;Zm00041ab152730;Zm00041ab152730;Zm00041ab152730;Zm00041ab152730;Zm00041ab152730;Zm00041ab152730;Zm00041ab114550;Zm00041ab163540;Zm00041ab163540;Zm00041ab163540;Zm00041ab077630;Zm00041ab077630;Zm00041ab163540;Zm00041ab163540;Zm00041ab163540;Zm00041ab163540;Zm00041ab300520;Zm00041ab300520;Zm00041ab300520;Zm00041ab300520;Zm00041ab300520;Zm00041ab207300;Zm00041ab243570;Zm00041ab243570;Zm00041ab207300;Zm00041ab207300;Zm00041ab207300;Zm00041ab243570;Zm00041ab291570;Zm00041ab196630;Zm00041ab375170;Zm00041ab375170;Zm00041ab424540;Zm00041ab424540;Zm00041ab424540;Zm00041ab424540;Zm00041ab304220;Zm00041ab185870;Zm00041ab185870;Zm00041ab017710;Zm00041ab017710;Zm00041ab017710;Zm00041ab382270
IPR000008	C2 domain	Zm00041ab081710;Zm00041ab081710;Zm00041ab081710;Zm00041ab081710;Zm00041ab238470;Zm00041ab238470;Zm00041ab238470;Zm00041ab401660;Zm00041ab401660;Zm00041ab401660;Zm00041ab452640;Zm00041ab452640;Zm00041ab452640;Zm00041ab206470;Zm00041ab452640;Zm00041ab452640;Zm00041ab409640;Zm00041ab409640;Zm00041ab409640;Zm00041ab409640;Zm00041ab416950;Zm00041ab416950;Zm00041ab416950;Zm00041ab416950;Zm00041ab373630;Zm00041ab409640;Zm00041ab409640;Zm00041ab409640;Zm00041ab409640;Zm00041ab409640;Zm00041ab396110;Zm00041ab396110;Zm00041ab396110;Zm00041ab335550;Zm00041ab396110;Zm00041ab396110;Zm00041ab396110;Zm00041ab212020;Zm00041ab212020;Zm00041ab212020;Zm00041ab212020;Zm00041ab212020;Zm00041ab292180;Zm00041ab292180;Zm00041ab194830;Zm00041ab292180;Zm00041ab292180;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab334840;Zm00041ab292180;Zm00041ab292180;Zm00041ab154280;Zm00041ab077160;Zm00041ab077160;Zm00041ab077160;Zm00041ab362990;Zm00041ab362990;Zm00041ab362990;Zm00041ab106310;Zm00041ab106310;Zm00041ab099090;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab403410;Zm00041ab263700;Zm00041ab310370;Zm00041ab211850;Zm00041ab310370;Zm00041ab263700;Zm00041ab263700;Zm00041ab108520;Zm00041ab108520;Zm00041ab108520;Zm00041ab108520;Zm00041ab263700;Zm00041ab108520;Zm00041ab108520;Zm00041ab108520;Zm00041ab310370;Zm00041ab455910;Zm00041ab296160;Zm00041ab296160;Zm00041ab296160;Zm00041ab296160;Zm00041ab296160;Zm00041ab296160;Zm00041ab296160;Zm00041ab296160;Zm00041ab296160;Zm00041ab296160;Zm00041ab455910;Zm00041ab387180;Zm00041ab387180;Zm00041ab209770;Zm00041ab209770;Zm00041ab209770;Zm00041ab209770;Zm00041ab198820;Zm00041ab198820;Zm00041ab350600;Zm00041ab350600;Zm00041ab198820;Zm00041ab109160;Zm00041ab317600;Zm00041ab317600;Zm00041ab317600;Zm00041ab081900;Zm00041ab081900;Zm00041ab081900;Zm00041ab317600;Zm00041ab317600;Zm00041ab402330;Zm00041ab402330;Zm00041ab014200;Zm00041ab201100;Zm00041ab372220;Zm00041ab372220;Zm00041ab372220;Zm00041ab372220;Zm00041ab350790;Zm00041ab350790;Zm00041ab350790;Zm00041ab350790;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab286480;Zm00041ab166100;Zm00041ab350790;Zm00041ab350790;Zm00041ab350790;Zm00041ab102840;Zm00041ab401400;Zm00041ab401400;Zm00041ab454830;Zm00041ab378010;Zm00041ab378010;Zm00041ab239730;Zm00041ab239730;Zm00041ab130380;Zm00041ab130380;Zm00041ab130380;Zm00041ab115510;Zm00041ab115510;Zm00041ab115510;Zm00041ab115510;Zm00041ab115510;Zm00041ab115510;Zm00041ab345150;Zm00041ab107550;Zm00041ab039970;Zm00041ab374580;Zm00041ab001510;Zm00041ab382040;Zm00041ab245790;Zm00041ab245790;Zm00041ab245790;Zm00041ab245790;Zm00041ab025690;Zm00041ab025690;Zm00041ab025690;Zm00041ab025690;Zm00041ab001510;Zm00041ab025690;Zm00041ab025690;Zm00041ab257050;Zm00041ab011590;Zm00041ab100290;Zm00041ab100290;Zm00041ab127240;Zm00041ab127240;Zm00041ab127240;Zm00041ab127240;Zm00041ab127240;Zm00041ab127240;Zm00041ab127240;Zm00041ab127240;Zm00041ab127240;Zm00041ab022060;Zm00041ab234670;Zm00041ab234670;Zm00041ab234670;Zm00041ab234670;Zm00041ab234670;Zm00041ab234670;Zm00041ab022060;Zm00041ab294230;Zm00041ab294230;Zm00041ab331800;Zm00041ab331800;Zm00041ab148160;Zm00041ab378660;Zm00041ab148160;Zm00041ab193470;Zm00041ab377650;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab067300;Zm00041ab444590;Zm00041ab444590;Zm00041ab019480;Zm00041ab019480;Zm00041ab019480;Zm00041ab444590;Zm00041ab444590;Zm00041ab019480;Zm00041ab444590;Zm00041ab019480;Zm00041ab019480;Zm00041ab019480;Zm00041ab019480;Zm00041ab444590;Zm00041ab091980;Zm00041ab019480;Zm00041ab194720;Zm00041ab194720;Zm00041ab194720;Zm00041ab290460;Zm00041ab386930;Zm00041ab319760;Zm00041ab245900;Zm00041ab245900;Zm00041ab245900;Zm00041ab245900;Zm00041ab245900;Zm00041ab199650;Zm00041ab113920;Zm00041ab113920;Zm00041ab407720;Zm00041ab286510;Zm00041ab286510;Zm00041ab286510;Zm00041ab286510;Zm00041ab286510;Zm00041ab286510;Zm00041ab286960;Zm00041ab113920;Zm00041ab113920;Zm00041ab113920;Zm00041ab113920;Zm00041ab269860;Zm00041ab269860;Zm00041ab269860;Zm00041ab269860;Zm00041ab113920;Zm00041ab113920;Zm00041ab320450;Zm00041ab320450;Zm00041ab320450;Zm00041ab094190;Zm00041ab094190;Zm00041ab094190;Zm00041ab094190;Zm00041ab320450;Zm00041ab312280;Zm00041ab312280;Zm00041ab312280;Zm00041ab312280;Zm00041ab310130;Zm00041ab320450;Zm00041ab320450;Zm00041ab320450;Zm00041ab320450;Zm00041ab320450;Zm00041ab078130;Zm00041ab078130;Zm00041ab078130;Zm00041ab107370;Zm00041ab107370;Zm00041ab078130;Zm00041ab078130;Zm00041ab078130;Zm00041ab078130;Zm00041ab107370;Zm00041ab107370;Zm00041ab107370;Zm00041ab107370;Zm00041ab300840;Zm00041ab300840;Zm00041ab300840;Zm00041ab339140;Zm00041ab339140;Zm00041ab339140;Zm00041ab070110;Zm00041ab070110;Zm00041ab197340;Zm00041ab197340;Zm00041ab197340;Zm00041ab197340;Zm00041ab009150;Zm00041ab035220;Zm00041ab035220;Zm00041ab227340;Zm00041ab227340;Zm00041ab227340;Zm00041ab227340;Zm00041ab035220;Zm00041ab035220;Zm00041ab035220;Zm00041ab035220;Zm00041ab035220;Zm00041ab035220;Zm00041ab035220;Zm00041ab343650;Zm00041ab111640;Zm00041ab111640;Zm00041ab111640;Zm00041ab111640;Zm00041ab298110;Zm00041ab298110;Zm00041ab136800;Zm00041ab252660;Zm00041ab252660;Zm00041ab252660;Zm00041ab252660;Zm00041ab252660;Zm00041ab252660;Zm00041ab238500;Zm00041ab345490;Zm00041ab345490;Zm00041ab345490;Zm00041ab345490;Zm00041ab252660;Zm00041ab238500;Zm00041ab252660;Zm00041ab252660;Zm00041ab155670
IPR000010	Cystatin domain	Zm00041ab006390;Zm00041ab379880;Zm00041ab346570;Zm00041ab346570;Zm00041ab021560;Zm00041ab384030;Zm00041ab384030;Zm00041ab175530;Zm00041ab175530;Zm00041ab364100;Zm00041ab364100;Zm00041ab383980;Zm00041ab383980;Zm00041ab156520;Zm00041ab156520;Zm00041ab021550;Zm00041ab302920;Zm00041ab302920;Zm00041ab383970;Zm00041ab418060;Zm00041ab006400;Zm00041ab383990;Zm00041ab021570;Zm00041ab299160;Zm00041ab299160;Zm00041ab299160;Zm00041ab299160;Zm00041ab299160;Zm00041ab299160;Zm00041ab418080;Zm00041ab418090
IPR000014	PAS domain	Zm00041ab235420;Zm00041ab235420;Zm00041ab241910;Zm00041ab283720;Zm00041ab283720;Zm00041ab283720;Zm00041ab044050;Zm00041ab044050;Zm00041ab044050;Zm00041ab044050;Zm00041ab044050;Zm00041ab117280;Zm00041ab169760;Zm00041ab169760;Zm00041ab171820;Zm00041ab210090;Zm00041ab125670;Zm00041ab125670;Zm00041ab125670;Zm00041ab125670;Zm00041ab125670;Zm00041ab125670;Zm00041ab125670;Zm00041ab125670
IPR000023	Phosphofructokinase domain	Zm00041ab397030;Zm00041ab397030;Zm00041ab397030;Zm00041ab397030;Zm00041ab442930;Zm00041ab442930;Zm00041ab042330;Zm00041ab042330;Zm00041ab042330;Zm00041ab042330;Zm00041ab263230;Zm00041ab263230;Zm00041ab263230;Zm00041ab263230;Zm00041ab305020;Zm00041ab125270;Zm00041ab125270;Zm00041ab386430;Zm00041ab160150;Zm00041ab160150;Zm00041ab102720;Zm00041ab102720;Zm00041ab102720;Zm00041ab102720;Zm00041ab102720;Zm00041ab295310;Zm00041ab291210;Zm00041ab351330;Zm00041ab050010;Zm00041ab050010;Zm00041ab351330;Zm00041ab197050;Zm00041ab197050;Zm00041ab321750;Zm00041ab281300;Zm00041ab044290;Zm00041ab044290;Zm00041ab364660;Zm00041ab364660;Zm00041ab391850;Zm00041ab391850
IPR000031	PurE domain	Zm00041ab124410;Zm00041ab124410;Zm00041ab015790;Zm00041ab015790
IPR000043	Adenosylhomocysteinase-like	Zm00041ab176850;Zm00041ab176850;Zm00041ab176850
IPR000048	IQ motif, EF-hand binding site	Zm00041ab151070;Zm00041ab320590;Zm00041ab320590;Zm00041ab301320;Zm00041ab301320;Zm00041ab364570;Zm00041ab364570;Zm00041ab364570;Zm00041ab364570;Zm00041ab075180;Zm00041ab075180;Zm00041ab075180;Zm00041ab391450;Zm00041ab391450;Zm00041ab075180;Zm00041ab095840;Zm00041ab275580;Zm00041ab129180;Zm00041ab129180;Zm00041ab275580;Zm00041ab275580;Zm00041ab275580;Zm00041ab275580;Zm00041ab294550;Zm00041ab294550;Zm00041ab424230;Zm00041ab424230;Zm00041ab294550;Zm00041ab294550;Zm00041ab294550;Zm00041ab294550;Zm00041ab068820;Zm00041ab232670;Zm00041ab332800;Zm00041ab332800;Zm00041ab368540;Zm00041ab368540;Zm00041ab232670;Zm00041ab337620;Zm00041ab403610;Zm00041ab175970;Zm00041ab175970;Zm00041ab403610;Zm00041ab110530;Zm00041ab110530;Zm00041ab246300;Zm00041ab246300;Zm00041ab033760;Zm00041ab033760;Zm00041ab221910;Zm00041ab221910;Zm00041ab419440;Zm00041ab419440;Zm00041ab419440;Zm00041ab419440;Zm00041ab419440;Zm00041ab419440;Zm00041ab177570;Zm00041ab177570;Zm00041ab419440;Zm00041ab419440;Zm00041ab221910;Zm00041ab221910;Zm00041ab221910;Zm00041ab221910;Zm00041ab221910;Zm00041ab221910;Zm00041ab221910;Zm00041ab221910;Zm00041ab221910;Zm00041ab221910;Zm00041ab046640;Zm00041ab046640;Zm00041ab046640;Zm00041ab146400;Zm00041ab146400;Zm00041ab161230;Zm00041ab161230;Zm00041ab161230;Zm00041ab161230;Zm00041ab161230;Zm00041ab161230;Zm00041ab046640;Zm00041ab046640;Zm00041ab046640;Zm00041ab435490;Zm00041ab435490;Zm00041ab105650;Zm00041ab105650;Zm00041ab161230;Zm00041ab161230;Zm00041ab161230;Zm00041ab161230;Zm00041ab292960;Zm00041ab292960;Zm00041ab106400;Zm00041ab106400;Zm00041ab340910;Zm00041ab340910;Zm00041ab078400;Zm00041ab078400;Zm00041ab371250;Zm00041ab371250;Zm00041ab436010;Zm00041ab183840;Zm00041ab168200;Zm00041ab168200;Zm00041ab309320;Zm00041ab309320;Zm00041ab049030;Zm00041ab159880;Zm00041ab159880;Zm00041ab159880;Zm00041ab159880;Zm00041ab159880;Zm00041ab159880;Zm00041ab159880;Zm00041ab159880;Zm00041ab075680;Zm00041ab435790;Zm00041ab460670;Zm00041ab460670;Zm00041ab263540;Zm00041ab154850;Zm00041ab154850;Zm00041ab154850;Zm00041ab154850;Zm00041ab154850;Zm00041ab284290;Zm00041ab284290;Zm00041ab406540;Zm00041ab284680;Zm00041ab284680;Zm00041ab161580;Zm00041ab161580;Zm00041ab345050;Zm00041ab345050;Zm00041ab230100;Zm00041ab230100;Zm00041ab230100;Zm00041ab252590;Zm00041ab252590;Zm00041ab051970;Zm00041ab051970;Zm00041ab051970;Zm00041ab051970;Zm00041ab051970;Zm00041ab051970;Zm00041ab230100;Zm00041ab230100;Zm00041ab230100;Zm00041ab176890;Zm00041ab051970;Zm00041ab051970;Zm00041ab051970;Zm00041ab051970;Zm00041ab051970;Zm00041ab051970;Zm00041ab305830;Zm00041ab257300;Zm00041ab257300;Zm00041ab052560;Zm00041ab052560;Zm00041ab445800;Zm00041ab445800;Zm00041ab274380;Zm00041ab274380;Zm00041ab167100;Zm00041ab167100;Zm00041ab167100;Zm00041ab167100;Zm00041ab167100;Zm00041ab151660;Zm00041ab151660;Zm00041ab177560;Zm00041ab177560;Zm00041ab447490;Zm00041ab447490;Zm00041ab082650;Zm00041ab082650;Zm00041ab232970;Zm00041ab232970;Zm00041ab232970;Zm00041ab232970;Zm00041ab087680;Zm00041ab087680;Zm00041ab335050;Zm00041ab335050;Zm00041ab335050;Zm00041ab094540;Zm00041ab094540;Zm00041ab291790;Zm00041ab291790;Zm00041ab302260;Zm00041ab302260;Zm00041ab087680;Zm00041ab087680;Zm00041ab194810;Zm00041ab370060;Zm00041ab370060;Zm00041ab370060;Zm00041ab450420;Zm00041ab450420;Zm00041ab201320;Zm00041ab201320;Zm00041ab201320;Zm00041ab201320;Zm00041ab201320;Zm00041ab029030;Zm00041ab029030;Zm00041ab029030;Zm00041ab029030;Zm00041ab029030;Zm00041ab029030;Zm00041ab201320;Zm00041ab201320;Zm00041ab201320;Zm00041ab201320;Zm00041ab201320;Zm00041ab066790;Zm00041ab066790;Zm00041ab066790;Zm00041ab066790;Zm00041ab149080;Zm00041ab149080;Zm00041ab066790;Zm00041ab066790;Zm00041ab066790;Zm00041ab066790;Zm00041ab178320;Zm00041ab178320;Zm00041ab029030;Zm00041ab029030;Zm00041ab029030;Zm00041ab029030;Zm00041ab149080;Zm00041ab149080;Zm00041ab066790;Zm00041ab066790;Zm00041ab066790;Zm00041ab066790;Zm00041ab029030;Zm00041ab029030;Zm00041ab351350;Zm00041ab351350;Zm00041ab042830;Zm00041ab252910;Zm00041ab252910;Zm00041ab017980;Zm00041ab017980;Zm00041ab017980;Zm00041ab017980;Zm00041ab168700;Zm00041ab168700;Zm00041ab210710;Zm00041ab210710;Zm00041ab190920;Zm00041ab190920;Zm00041ab356110;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab336290;Zm00041ab180900;Zm00041ab180900;Zm00041ab052500;Zm00041ab052500;Zm00041ab317810;Zm00041ab317810;Zm00041ab317810;Zm00041ab317810;Zm00041ab317810;Zm00041ab130130;Zm00041ab130130;Zm00041ab130130;Zm00041ab399730;Zm00041ab399730;Zm00041ab305170;Zm00041ab305170;Zm00041ab305170;Zm00041ab305170;Zm00041ab397990;Zm00041ab397990;Zm00041ab324950;Zm00041ab324950;Zm00041ab010510;Zm00041ab447120;Zm00041ab447120;Zm00041ab447120;Zm00041ab371850;Zm00041ab371850;Zm00041ab185210;Zm00041ab185210;Zm00041ab371850;Zm00041ab371850;Zm00041ab136260;Zm00041ab136260;Zm00041ab371850;Zm00041ab371850;Zm00041ab371850;Zm00041ab371850;Zm00041ab371850;Zm00041ab371850;Zm00041ab407610;Zm00041ab407610;Zm00041ab449710;Zm00041ab449710;Zm00041ab407610;Zm00041ab407610;Zm00041ab250990;Zm00041ab250990;Zm00041ab407610;Zm00041ab407610;Zm00041ab407610;Zm00041ab407610;Zm00041ab341130;Zm00041ab341130;Zm00041ab341130;Zm00041ab341130;Zm00041ab341130;Zm00041ab341130;Zm00041ab130700;Zm00041ab447500;Zm00041ab447500;Zm00041ab447500;Zm00041ab447500;Zm00041ab447500;Zm00041ab447500;Zm00041ab447500;Zm00041ab447500;Zm00041ab203160;Zm00041ab203160;Zm00041ab275790;Zm00041ab239220;Zm00041ab239220;Zm00041ab194370;Zm00041ab194370;Zm00041ab141040;Zm00041ab141040;Zm00041ab007720;Zm00041ab007720;Zm00041ab444190;Zm00041ab444190;Zm00041ab358850;Zm00041ab358850;Zm00041ab180970;Zm00041ab180970;Zm00041ab125410;Zm00041ab125410;Zm00041ab098070;Zm00041ab180970;Zm00041ab180970;Zm00041ab223520;Zm00041ab223520;Zm00041ab025950;Zm00041ab025950;Zm00041ab162110;Zm00041ab162110;Zm00041ab101100;Zm00041ab101100;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab061450;Zm00041ab061450;Zm00041ab061450;Zm00041ab061450;Zm00041ab061450;Zm00041ab061450;Zm00041ab061450;Zm00041ab061450;Zm00041ab061450;Zm00041ab061450;Zm00041ab439610;Zm00041ab439610;Zm00041ab439610;Zm00041ab439610;Zm00041ab439610;Zm00041ab439610;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab269920;Zm00041ab061450;Zm00041ab061450;Zm00041ab201240;Zm00041ab327300;Zm00041ab327300;Zm00041ab127350;Zm00041ab127350;Zm00041ab029630;Zm00041ab029630;Zm00041ab380770;Zm00041ab380770;Zm00041ab380770;Zm00041ab213660;Zm00041ab213660;Zm00041ab033740;Zm00041ab049460;Zm00041ab049460;Zm00041ab049460;Zm00041ab049460;Zm00041ab455190;Zm00041ab455190;Zm00041ab455190;Zm00041ab455190;Zm00041ab258820;Zm00041ab258820;Zm00041ab455190;Zm00041ab455190;Zm00041ab049460;Zm00041ab049460;Zm00041ab386940;Zm00041ab386940;Zm00041ab386940;Zm00041ab091420;Zm00041ab091420;Zm00041ab386940;Zm00041ab386940;Zm00041ab386940;Zm00041ab451620;Zm00041ab451620;Zm00041ab328600;Zm00041ab188270;Zm00041ab188270;Zm00041ab414070;Zm00041ab223720;Zm00041ab223720;Zm00041ab223720;Zm00041ab223720;Zm00041ab385890;Zm00041ab385890;Zm00041ab305590;Zm00041ab305590;Zm00041ab305590;Zm00041ab305590;Zm00041ab305590;Zm00041ab305590;Zm00041ab305590;Zm00041ab305590;Zm00041ab418550
IPR000054	Ribosomal protein L31e	Zm00041ab263430;Zm00041ab036040;Zm00041ab396850;Zm00041ab197480
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00041ab418310;Zm00041ab418310;Zm00041ab418310;Zm00041ab418310;Zm00041ab006070;Zm00041ab006070;Zm00041ab006070;Zm00041ab006070;Zm00041ab006070;Zm00041ab330810;Zm00041ab330810;Zm00041ab330810
