SCORE	NAME	GENE_MODEL
0.77173	True	Zm00032ab000010
0.93258	True	Zm00032ab000020
0.20053	False	Zm00032ab000030
0.9962	True	Zm00032ab000040
0.89506	True	Zm00032ab000050
0.99938	True	Zm00032ab000060
0.88302	True	Zm00032ab000070
0.99937	True	Zm00032ab000080
0.85736	True	Zm00032ab000090
0.99871	True	Zm00032ab000100
0.50443	True	Zm00032ab000120
0.25475	False	Zm00032ab000140
0.98205	True	Zm00032ab000150
0.99933	True	Zm00032ab000170
0.99682	True	Zm00032ab000180
0.9985	True	Zm00032ab000190
0.4427	False	Zm00032ab000200
0.98348	True	Zm00032ab000210
0.91441	True	Zm00032ab000220
0.3035	False	Zm00032ab000230
0.85023	True	Zm00032ab000240
0.9948	True	Zm00032ab000250
0.93574	True	Zm00032ab000260
0.9994	True	Zm00032ab000270
0.99078	True	Zm00032ab000280
0.99823	True	Zm00032ab000290
0.12147	False	Zm00032ab000300
0.2563	False	Zm00032ab000310
0.99912	True	Zm00032ab000330
0.99469	True	Zm00032ab000350
0.84538	True	Zm00032ab000360
0.99121	True	Zm00032ab000370
0.99729	True	Zm00032ab000380
0.03327	False	Zm00032ab000390
0.99949	True	Zm00032ab000400
0.97899	True	Zm00032ab000410
0.95888	True	Zm00032ab000420
0.48664	False	Zm00032ab000430
0.23461	False	Zm00032ab000440
0.9988	True	Zm00032ab000450
0.39518	False	Zm00032ab000460
0.99005	True	Zm00032ab000470
0.99817	True	Zm00032ab000480
0.09471	False	Zm00032ab000490
0.29138	False	Zm00032ab000500
0.99005	True	Zm00032ab000510
0.99817	True	Zm00032ab000520
0.76865	True	Zm00032ab000540
0.30565	False	Zm00032ab000550
0.00189	False	Zm00032ab000560
0.0492	False	Zm00032ab000570
0.09456	False	Zm00032ab000580
0.97111	True	Zm00032ab000590
0.99912	True	Zm00032ab000600
0.97447	True	Zm00032ab000610
0.99978	True	Zm00032ab000620
0.99365	True	Zm00032ab000630
0.98429	True	Zm00032ab000640
0.85097	True	Zm00032ab000660
0.97506	True	Zm00032ab000670
0.14529	False	Zm00032ab000690
0.99756	True	Zm00032ab000700
0.48718	False	Zm00032ab000720
0.99973	True	Zm00032ab000730
0.8801	True	Zm00032ab000740
0.94709	True	Zm00032ab000750
0.99963	True	Zm00032ab000760
0.99923	True	Zm00032ab000770
0.98647	True	Zm00032ab000780
0.99871	True	Zm00032ab000790
0.85867	True	Zm00032ab000800
0.91108	True	Zm00032ab000810
0.89884	True	Zm00032ab000820
0.99295	True	Zm00032ab000830
0.99864	True	Zm00032ab000840
0.99993	True	Zm00032ab000850
0.98752	True	Zm00032ab000860
0.99947	True	Zm00032ab000870
0.98806	True	Zm00032ab000880
0.60325	True	Zm00032ab000890
0.99641	True	Zm00032ab000900
0.99034	True	Zm00032ab000910
0.87379	True	Zm00032ab000920
0.99739	True	Zm00032ab000930
0.9107	True	Zm00032ab000940
0.99716	True	Zm00032ab000950
0.93133	True	Zm00032ab000960
0.89769	True	Zm00032ab000970
0.99843	True	Zm00032ab000980
0.99455	True	Zm00032ab000990
0.9998	True	Zm00032ab001000
0.99644	True	Zm00032ab001020
0.99552	True	Zm00032ab001030
0.99768	True	Zm00032ab001040
0.99191	True	Zm00032ab001050
0.9963	True	Zm00032ab001060
0.31376	False	Zm00032ab001070
0.99668	True	Zm00032ab001080
0.9973	True	Zm00032ab001090
0.99333	True	Zm00032ab001110
0.00855	False	Zm00032ab001120
0.99967	True	Zm00032ab001130
0.99898	True	Zm00032ab001140
0.97548	True	Zm00032ab001150
0.99639	True	Zm00032ab001160
0.99586	True	Zm00032ab001170
0.96678	True	Zm00032ab001180
0.99916	True	Zm00032ab001200
0.99877	True	Zm00032ab001210
0.97782	True	Zm00032ab001220
0.92307	True	Zm00032ab001240
0.9629	True	Zm00032ab001250
0.00433	False	Zm00032ab001260
0.96638	True	Zm00032ab001280
0.98528	True	Zm00032ab001290
0.99674	True	Zm00032ab001300
0.71572	True	Zm00032ab001310
0.99572	True	Zm00032ab001330
0.9923	True	Zm00032ab001340
0.96777	True	Zm00032ab001350
0.98179	True	Zm00032ab001360
0.99089	True	Zm00032ab001370
0.96295	True	Zm00032ab001380
0.99672	True	Zm00032ab001390
0.96861	True	Zm00032ab001400
0.98431	True	Zm00032ab001410
0.63973	True	Zm00032ab001420
0.99639	True	Zm00032ab001430
0.99739	True	Zm00032ab001440
0.97169	True	Zm00032ab001450
0.98376	True	Zm00032ab001460
0.97682	True	Zm00032ab001470
0.99609	True	Zm00032ab001480
0.99661	True	Zm00032ab001490
0.97885	True	Zm00032ab001500
0.99528	True	Zm00032ab001510
0.37107	False	Zm00032ab001520
0.96495	True	Zm00032ab001530
0.95692	True	Zm00032ab001550
0.99958	True	Zm00032ab001560
0.99003	True	Zm00032ab001570
0.97819	True	Zm00032ab001580
