LABEL	NAME	GENE_MODEL
NA	Late fresh biomass	Zm00001eb002010;Zm00001eb002020;Zm00001eb003580;Zm00001eb007020;Zm00001eb007510;Zm00001eb050810;Zm00001eb047930;Zm00001eb051040;Zm00001eb067290;Zm00001eb112840;Zm00001eb119540;Zm00001eb124410;Zm00001eb124790;Zm00001eb126150;Zm00001eb137170;Zm00001eb161040;Zm00001eb161530;Zm00001eb161610;Zm00001eb156340;Zm00001eb159310;Zm00001eb167010;Zm00001eb204130;Zm00001eb205030;Zm00001eb169370;Zm00001eb170040;Zm00001eb205950;Zm00001eb205950;Zm00001eb213920;Zm00001eb216800;Zm00001eb216800;Zm00001eb216810;Zm00001eb218600;Zm00001eb218600;Zm00001eb220250;Zm00001eb227330;Zm00001eb227350;Zm00001eb236520;Zm00001eb244110;Zm00001eb245990;Zm00001eb248800;Zm00001eb250180;Zm00001eb252340;Zm00001eb216800;Zm00001eb216800;Zm00001eb218600;Zm00001eb218600;Zm00001eb219250;Zm00001eb219270;Zm00001eb222300;Zm00001eb265150;Zm00001eb266160;Zm00001eb311440;Zm00001eb314320;Zm00001eb315430;Zm00001eb325790;Zm00001eb326350;Zm00001eb323710;Zm00001eb325790;Zm00001eb344520;Zm00001eb351400;Zm00001eb351570;Zm00001eb352310;Zm00001eb402330;Zm00001eb404240;Zm00001eb407670
NA	Median	Zm00001eb344740
NA	bushiness(The ratio of the maximum to the median number of roots)	Zm00001eb117460
NA	early fresh biomass	Zm00001eb010050;Zm00001eb022670;Zm00001eb025770;Zm00001eb027820;Zm00001eb046210;Zm00001eb169480;Zm00001eb169680;Zm00001eb169690;Zm00001eb188580;Zm00001eb216800;Zm00001eb216810;Zm00001eb219250;Zm00001eb222300;Zm00001eb245360;Zm00001eb302330;Zm00001eb315430;Zm00001eb325790;Zm00001eb325790;Zm00001eb337920;Zm00001eb350390;Zm00001eb351400;Zm00001eb351640;Zm00001eb408250
NA	maximum number of roots(The 84th percentile value of the sum of every row)	Zm00001eb177180
NA	network area	Zm00001eb177180
NA	perimeter(Total number of network pixels connected to a background pixel)	Zm00001eb105810;Zm00001eb105680;Zm00001eb248330;Zm00001eb359070
NA	selection index of drought toleran	Zm00001eb064970;Zm00001eb064980;Zm00001eb069580;Zm00001eb075530;Zm00001eb097240;Zm00001eb148120;Zm00001eb201150;Zm00001eb216610;Zm00001eb228670;Zm00001eb230540;Zm00001eb230540;Zm00001eb240650;Zm00001eb285360;Zm00001eb285360;Zm00001eb315490;Zm00001eb315500;Zm00001eb328440;Zm00001eb331580;Zm00001eb331590;Zm00001eb331580;Zm00001eb331590;Zm00001eb353560;Zm00001eb361150;Zm00001eb427910;Zm00001eb427910;Zm00001eb427910
axis	Hg contents	Zm00001eb039980;Zm00001eb039980;Zm00001eb048370;Zm00001eb048370;Zm00001eb061400;Zm00001eb134330;Zm00001eb278390;Zm00001eb291480;Zm00001eb334440;Zm00001eb334440;Zm00001eb334440;Zm00001eb334440
axis	arsenic accumulation	Zm00001eb059240;Zm00001eb059220;Zm00001eb059240;Zm00001eb064350;Zm00001eb121520;Zm00001eb121520;Zm00001eb121520;Zm00001eb121520;Zm00001eb121520;Zm00001eb121520;Zm00001eb215800;Zm00001eb215800;Zm00001eb215800;Zm00001eb215800
bract	Hg contents	Zm00001eb210610;Zm00001eb214190;Zm00001eb214190;Zm00001eb214200;Zm00001eb214200;Zm00001eb259070;Zm00001eb295560;Zm00001eb295570;Zm00001eb295810;Zm00001eb332090;Zm00001eb332090;Zm00001eb332090;Zm00001eb332090;Zm00001eb365570;Zm00001eb373180;Zm00001eb373180;Zm00001eb375140;Zm00001eb375140;Zm00001eb375140;Zm00001eb375140;Zm00001eb375140;Zm00001eb375140;Zm00001eb375140;Zm00001eb389210;Zm00001eb389400;Zm00001eb393120;Zm00001eb393120;Zm00001eb393120;Zm00001eb391070
bract	arsenic accumulation	Zm00001eb106130;Zm00001eb106130;Zm00001eb106130;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb106130;Zm00001eb106130;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb106130;Zm00001eb106130;Zm00001eb106130;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800;Zm00001eb115800
cob	cob Diameter	Zm00001eb001510;Zm00001eb064630;Zm00001eb077750;Zm00001eb112950;Zm00001eb113920;Zm00001eb165440;Zm00001eb198690;Zm00001eb205790;Zm00001eb331770;Zm00001eb337890;Zm00001eb370240;Zm00001eb401920;Zm00001eb417630
cob	cob Weight	Zm00001eb002220;Zm00001eb053710;Zm00001eb002100;Zm00001eb008710;Zm00001eb008850;Zm00001eb017120;Zm00001eb030260;Zm00001eb036940;Zm00001eb037570;Zm00001eb055430;Zm00001eb064640;Zm00001eb040050;Zm00001eb107900;Zm00001eb119560;Zm00001eb119560;Zm00001eb119570;Zm00001eb119570;Zm00001eb213430;Zm00001eb216160;Zm00001eb212380;Zm00001eb315850;Zm00001eb362160;Zm00001eb383850;Zm00001eb397270;Zm00001eb430990;Zm00001eb430460
cob	cob color	Zm00001eb014240
cob	cob length	Zm00001eb008360;Zm00001eb035840;Zm00001eb050530;Zm00001eb050530;Zm00001eb052440;Zm00001eb068280;Zm00001eb071810;Zm00001eb073520;Zm00001eb100180;Zm00001eb120030;Zm00001eb120030;Zm00001eb120320;Zm00001eb205230;Zm00001eb212990;Zm00001eb213420;Zm00001eb242720;Zm00001eb284060;Zm00001eb323220;Zm00001eb363560;Zm00001eb392740;Zm00001eb397360;Zm00001eb397390;Zm00001eb413610;Zm00001eb428290
cob	cob weight	Zm00001eb030190;Zm00001eb102230
cob	shank length	Zm00001eb045320;Zm00001eb111710;Zm00001eb071570;Zm00001eb139700;Zm00001eb139700;Zm00001eb155400;Zm00001eb155400;Zm00001eb155410;Zm00001eb155410;Zm00001eb201680;Zm00001eb400690
dried stalk	acid detergent fiber	Zm00001eb104790;Zm00001eb232260;Zm00001eb239530;Zm00001eb185620;Zm00001eb185620;Zm00001eb185900;Zm00001eb291460;Zm00001eb360360;Zm00001eb374760;Zm00001eb299080;Zm00001eb006550;Zm00001eb169310;Zm00001eb202090;Zm00001eb226450;Zm00001eb226460;Zm00001eb231100;Zm00001eb258400;Zm00001eb260420;Zm00001eb271080;Zm00001eb295810;Zm00001eb317460;Zm00001eb387300;Zm00001eb395250;Zm00001eb403980;Zm00001eb422690;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb299080;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb202090;Zm00001eb185620;Zm00001eb185620;Zm00001eb239530;Zm00001eb202090;Zm00001eb202090;Zm00001eb202090;Zm00001eb291460;Zm00001eb169310;Zm00001eb169310;Zm00001eb169310;Zm00001eb387300;Zm00001eb387300;Zm00001eb387300;Zm00001eb387300;Zm00001eb387300;Zm00001eb387300;Zm00001eb387300;Zm00001eb202090;Zm00001eb403980;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb226450;Zm00001eb226460;Zm00001eb403980
dried stalk	cellulose content	Zm00001eb074310;Zm00001eb119120;Zm00001eb145890;Zm00001eb152430;Zm00001eb169310;Zm00001eb169410;Zm00001eb185620;Zm00001eb185880;Zm00001eb185900;Zm00001eb202090;Zm00001eb227080;Zm00001eb260420;Zm00001eb269160;Zm00001eb286490;Zm00001eb301750;Zm00001eb337140
dried stalk	hemicellulose content	Zm00001eb014250;Zm00001eb057250;Zm00001eb066000;Zm00001eb091530;Zm00001eb116770;Zm00001eb119320;Zm00001eb137820;Zm00001eb137840;Zm00001eb142420;Zm00001eb149220;Zm00001eb149220;Zm00001eb149230;Zm00001eb149230;Zm00001eb221410;Zm00001eb249430;Zm00001eb251960;Zm00001eb260800;Zm00001eb360640;Zm00001eb360650;Zm00001eb360660;Zm00001eb360800;Zm00001eb366870;Zm00001eb383160;Zm00001eb407030;Zm00001eb433470
dried stalk	in vitro dry matter digestibility	Zm00001eb104790;Zm00001eb232260;Zm00001eb291460;Zm00001eb293170;Zm00001eb006550;Zm00001eb061170;Zm00001eb071130;Zm00001eb074310;Zm00001eb142220;Zm00001eb187000;Zm00001eb195030;Zm00001eb195510;Zm00001eb198690;Zm00001eb208800;Zm00001eb231110;Zm00001eb279430;Zm00001eb295750;Zm00001eb295800;Zm00001eb295980;Zm00001eb296100;Zm00001eb296150;Zm00001eb296270;Zm00001eb296410;Zm00001eb302560;Zm00001eb302570;Zm00001eb332330;Zm00001eb369520;Zm00001eb401890;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296160;Zm00001eb296160;Zm00001eb198690;Zm00001eb195510;Zm00001eb195510;Zm00001eb195510;Zm00001eb295750;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296410;Zm00001eb296100;Zm00001eb296100;Zm00001eb296100;Zm00001eb296290;Zm00001eb296630;Zm00001eb295760;Zm00001eb295770;Zm00001eb296410;Zm00001eb295750;Zm00001eb369520;Zm00001eb296160;Zm00001eb296160;Zm00001eb296160;Zm00001eb369520;Zm00001eb142220;Zm00001eb109640;Zm00001eb296350
dried stalk	lignin content	Zm00001eb013700;Zm00001eb035750;Zm00001eb047760;Zm00001eb071650;Zm00001eb071850;Zm00001eb074310;Zm00001eb169410;Zm00001eb185620;Zm00001eb185880;Zm00001eb248510;Zm00001eb291460;Zm00001eb293170;Zm00001eb295810;Zm00001eb299080;Zm00001eb314240;Zm00001eb317460;Zm00001eb366030;Zm00001eb374760;Zm00001eb387300;Zm00001eb422690;Zm00001eb427810
dried stalk	neutral detergent fiber	Zm00001eb239530;Zm00001eb185620;Zm00001eb185900;Zm00001eb291460;Zm00001eb360360;Zm00001eb293170;Zm00001eb374760;Zm00001eb299080;Zm00001eb040900;Zm00001eb169410;Zm00001eb245730;Zm00001eb288790;Zm00001eb360320;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb293170;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185880;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620;Zm00001eb185620
ear	Fusarium ear rot resistance	Zm00001eb167580;Zm00001eb167580;Zm00001eb167650;Zm00001eb182980;Zm00001eb228780;Zm00001eb377000;Zm00001eb402330;Zm00001eb402330
ear	abscisic acid content	Zm00001eb129360;Zm00001eb419440;Zm00001eb088410;Zm00001eb397430;Zm00001eb152020
ear	abscisic acid glucose ester content	Zm00001eb282900;Zm00001eb183410;Zm00001eb185100;Zm00001eb288420;Zm00001eb105030
