LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00018ab206450;Zm00018ab206450;Zm00018ab206450;Zm00018ab426940;Zm00018ab426940;Zm00018ab426940;Zm00018ab113850;Zm00018ab377770;Zm00018ab377770;Zm00018ab377770;Zm00018ab377770;Zm00018ab262010;Zm00018ab262010;Zm00018ab302950;Zm00018ab302950;Zm00018ab302950;Zm00018ab302950;Zm00018ab162270;Zm00018ab162270;Zm00018ab162270;Zm00018ab195720;Zm00018ab113830;Zm00018ab058920;Zm00018ab017730;Zm00018ab017730;Zm00018ab243180;Zm00018ab243180;Zm00018ab078080;Zm00018ab210160;Zm00018ab210160;Zm00018ab210160;Zm00018ab210160;Zm00018ab306560;Zm00018ab151300;Zm00018ab151300;Zm00018ab151300;Zm00018ab151300;Zm00018ab151300;Zm00018ab151300
IPR000008	C2 domain	Zm00018ab319830;Zm00018ab319830;Zm00018ab319830;Zm00018ab319830;Zm00018ab289170;Zm00018ab289170;Zm00018ab289170;Zm00018ab289170;Zm00018ab289170;Zm00018ab289170;Zm00018ab289170;Zm00018ab289170;Zm00018ab289170;Zm00018ab022480;Zm00018ab107730;Zm00018ab107730;Zm00018ab107730;Zm00018ab107730;Zm00018ab107730;Zm00018ab107730;Zm00018ab107730;Zm00018ab107730;Zm00018ab107730;Zm00018ab107730;Zm00018ab107730;Zm00018ab022480;Zm00018ab404570;Zm00018ab404570;Zm00018ab404570;Zm00018ab404570;Zm00018ab404570;Zm00018ab245630;Zm00018ab245630;Zm00018ab245630;Zm00018ab303290;Zm00018ab245630;Zm00018ab245630;Zm00018ab303290;Zm00018ab303290;Zm00018ab303290;Zm00018ab298960;Zm00018ab239280;Zm00018ab239280;Zm00018ab067950;Zm00018ab067950;Zm00018ab067950;Zm00018ab067950;Zm00018ab067950;Zm00018ab067950;Zm00018ab067950;Zm00018ab067950;Zm00018ab352930;Zm00018ab352930;Zm00018ab352930;Zm00018ab234600;Zm00018ab234600;Zm00018ab234600;Zm00018ab234600;Zm00018ab040780;Zm00018ab289220;Zm00018ab289220;Zm00018ab289220;Zm00018ab296810;Zm00018ab296810;Zm00018ab296810;Zm00018ab314830;Zm00018ab314830;Zm00018ab314830;Zm00018ab314830;Zm00018ab078540;Zm00018ab078540;Zm00018ab078540;Zm00018ab384860;Zm00018ab238080;Zm00018ab238080;Zm00018ab078540;Zm00018ab078540;Zm00018ab078540;Zm00018ab078540;Zm00018ab293280;Zm00018ab298850;Zm00018ab298850;Zm00018ab298850;Zm00018ab298850;Zm00018ab347670;Zm00018ab337920;Zm00018ab300620;Zm00018ab300620;Zm00018ab001510;Zm00018ab001510;Zm00018ab001510;Zm00018ab001510;Zm00018ab019880;Zm00018ab019880;Zm00018ab019880;Zm00018ab019880;Zm00018ab019880;Zm00018ab019880;Zm00018ab019880;Zm00018ab019880;Zm00018ab019880;Zm00018ab455390;Zm00018ab455390;Zm00018ab455390;Zm00018ab455390;Zm00018ab114880;Zm00018ab105400;Zm00018ab238110;Zm00018ab238110;Zm00018ab419900;Zm00018ab419900;Zm00018ab419900;Zm00018ab419900;Zm00018ab390200;Zm00018ab081940;Zm00018ab193970;Zm00018ab193970;Zm00018ab193970;Zm00018ab210880;Zm00018ab210880;Zm00018ab210880;Zm00018ab093870;Zm00018ab093870;Zm00018ab093870;Zm00018ab093870;Zm00018ab093870;Zm00018ab070700;Zm00018ab070700;Zm00018ab198030;Zm00018ab198030;Zm00018ab198030;Zm00018ab070700;Zm00018ab198030;Zm00018ab198030;Zm00018ab376240;Zm00018ab102070;Zm00018ab102070;Zm00018ab196480;Zm00018ab196480;Zm00018ab102070;Zm00018ab196480;Zm00018ab196480;Zm00018ab366090;Zm00018ab366090;Zm00018ab366090;Zm00018ab412070;Zm00018ab366090;Zm00018ab366090;Zm00018ab366090;Zm00018ab108280;Zm00018ab399010;Zm00018ab399010;Zm00018ab399010;Zm00018ab399010;Zm00018ab399010;Zm00018ab192900;Zm00018ab263030;Zm00018ab263030;Zm00018ab263030;Zm00018ab389900;Zm00018ab375050;Zm00018ab375050;Zm00018ab375050;Zm00018ab375050;Zm00018ab014100;Zm00018ab014100;Zm00018ab014100;Zm00018ab312930;Zm00018ab312930;Zm00018ab312930;Zm00018ab205590;Zm00018ab126510;Zm00018ab126510;Zm00018ab126510;Zm00018ab126510;Zm00018ab126510;Zm00018ab126510;Zm00018ab126510;Zm00018ab126510;Zm00018ab126510;Zm00018ab026090;Zm00018ab026090;Zm00018ab026090;Zm00018ab026090;Zm00018ab026090;Zm00018ab026090;Zm00018ab404240;Zm00018ab404240;Zm00018ab270000;Zm00018ab270000;Zm00018ab270000;Zm00018ab270000;Zm00018ab346220;Zm00018ab346220;Zm00018ab289960;Zm00018ab245510;Zm00018ab245510;Zm00018ab245510;Zm00018ab245510;Zm00018ab082120;Zm00018ab082120;Zm00018ab082120;Zm00018ab245510;Zm00018ab245510;Zm00018ab245510;Zm00018ab245510;Zm00018ab294840;Zm00018ab294840;Zm00018ab294840;Zm00018ab294840;Zm00018ab129470;Zm00018ab129470;Zm00018ab129470;Zm00018ab256630;Zm00018ab091660;Zm00018ab113250;Zm00018ab113250;Zm00018ab154490;Zm00018ab455530;Zm00018ab011240;Zm00018ab455510;Zm00018ab406260;Zm00018ab406260;Zm00018ab406260;Zm00018ab406260;Zm00018ab406260;Zm00018ab406260;Zm00018ab410670;Zm00018ab410670;Zm00018ab322050;Zm00018ab322050;Zm00018ab208890;Zm00018ab208890;Zm00018ab208890;Zm00018ab208890;Zm00018ab035900;Zm00018ab035900;Zm00018ab077630;Zm00018ab035900;Zm00018ab035900;Zm00018ab035900;Zm00018ab035900;Zm00018ab035900;Zm00018ab035900;Zm00018ab035900;Zm00018ab077630;Zm00018ab226940;Zm00018ab226940;Zm00018ab226940;Zm00018ab226940;Zm00018ab110890;Zm00018ab110890;Zm00018ab110890;Zm00018ab110890;Zm00018ab110890;Zm00018ab136110;Zm00018ab136110;Zm00018ab380390;Zm00018ab380390;Zm00018ab380390;Zm00018ab380390;Zm00018ab381250;Zm00018ab381250;Zm00018ab381250;Zm00018ab381250;Zm00018ab106450;Zm00018ab106450;Zm00018ab106450;Zm00018ab106450;Zm00018ab106450;Zm00018ab106450;Zm00018ab106450;Zm00018ab106450;Zm00018ab098500;Zm00018ab252020;Zm00018ab252020;Zm00018ab252020;Zm00018ab252020;Zm00018ab252020;Zm00018ab252020;Zm00018ab252020;Zm00018ab252020;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab337240;Zm00018ab252020;Zm00018ab252020;Zm00018ab146750;Zm00018ab289900;Zm00018ab347960;Zm00018ab347960;Zm00018ab289720;Zm00018ab289720;Zm00018ab347960;Zm00018ab347960;Zm00018ab347960;Zm00018ab347960;Zm00018ab347960;Zm00018ab347960;Zm00018ab312680;Zm00018ab211080;Zm00018ab211080;Zm00018ab211080;Zm00018ab447350;Zm00018ab447350;Zm00018ab447350;Zm00018ab194020;Zm00018ab353170;Zm00018ab353170;Zm00018ab008590;Zm00018ab008590;Zm00018ab380710;Zm00018ab380710;Zm00018ab380710;Zm00018ab353170;Zm00018ab353170;Zm00018ab353170;Zm00018ab353170;Zm00018ab380710;Zm00018ab106640;Zm00018ab152900;Zm00018ab099630;Zm00018ab341480;Zm00018ab341480;Zm00018ab341480;Zm00018ab099630;Zm00018ab099630;Zm00018ab099630;Zm00018ab322720;Zm00018ab322720;Zm00018ab322720;Zm00018ab322720;Zm00018ab322720;Zm00018ab322720;Zm00018ab322720;Zm00018ab322720;Zm00018ab322720;Zm00018ab405270;Zm00018ab164830;Zm00018ab405270;Zm00018ab334230;Zm00018ab334230;Zm00018ab334230;Zm00018ab337610;Zm00018ab198810
IPR000010	Cystatin domain	Zm00018ab420890;Zm00018ab155280;Zm00018ab155280;Zm00018ab155280;Zm00018ab006080;Zm00018ab349050;Zm00018ab349050;Zm00018ab349050;Zm00018ab366860;Zm00018ab366860;Zm00018ab022040;Zm00018ab382560;Zm00018ab022050;Zm00018ab174740;Zm00018ab301640;Zm00018ab301640;Zm00018ab301640;Zm00018ab301640;Zm00018ab301640;Zm00018ab301640;Zm00018ab387030;Zm00018ab387030;Zm00018ab387030;Zm00018ab387030;Zm00018ab022060;Zm00018ab420870;Zm00018ab006060;Zm00018ab305370;Zm00018ab387040;Zm00018ab387040;Zm00018ab420880
IPR000014	PAS domain	Zm00018ab235300;Zm00018ab235300;Zm00018ab241270;Zm00018ab286550;Zm00018ab168470;Zm00018ab168470;Zm00018ab168470;Zm00018ab168470;Zm00018ab168470;Zm00018ab168470;Zm00018ab209270;Zm00018ab116570;Zm00018ab116570;Zm00018ab125020;Zm00018ab125020;Zm00018ab125020;Zm00018ab125020;Zm00018ab125020;Zm00018ab125020;Zm00018ab125020;Zm00018ab125020;Zm00018ab045090;Zm00018ab045090;Zm00018ab045090;Zm00018ab045090;Zm00018ab045090;Zm00018ab045090;Zm00018ab045090;Zm00018ab045090;Zm00018ab170670
IPR000023	Phosphofructokinase domain	Zm00018ab297960;Zm00018ab045420;Zm00018ab196260;Zm00018ab196260;Zm00018ab323870;Zm00018ab367490;Zm00018ab367490;Zm00018ab307400;Zm00018ab389380;Zm00018ab124750;Zm00018ab262560;Zm00018ab262560;Zm00018ab262560;Zm00018ab262560;Zm00018ab262560;Zm00018ab101930;Zm00018ab101930;Zm00018ab101930;Zm00018ab101930;Zm00018ab101930;Zm00018ab399920;Zm00018ab050990;Zm00018ab353650;Zm00018ab353650;Zm00018ab394680;Zm00018ab158880;Zm00018ab158880;Zm00018ab293930;Zm00018ab293930;Zm00018ab043250;Zm00018ab043250;Zm00018ab043250;Zm00018ab445720;Zm00018ab284010;Zm00018ab284010
IPR000031	PurE domain	Zm00018ab123880
IPR000043	Adenosylhomocysteinase-like	Zm00018ab175930;Zm00018ab175930;Zm00018ab175930
IPR000048	IQ motif, EF-hand binding site	Zm00018ab449810;Zm00018ab449810;Zm00018ab449810;Zm00018ab239410;Zm00018ab239410;Zm00018ab239410;Zm00018ab404190;Zm00018ab404190;Zm00018ab140040;Zm00018ab140040;Zm00018ab140040;Zm00018ab140040;Zm00018ab200550;Zm00018ab062310;Zm00018ab062310;Zm00018ab062310;Zm00018ab062310;Zm00018ab062310;Zm00018ab062310;Zm00018ab062310;Zm00018ab062310;Zm00018ab383440;Zm00018ab163750;Zm00018ab163750;Zm00018ab179980;Zm00018ab179980;Zm00018ab282650;Zm00018ab282650;Zm00018ab016980;Zm00018ab016980;Zm00018ab179980;Zm00018ab179980;Zm00018ab179980;Zm00018ab179980;Zm00018ab250460;Zm00018ab250460;Zm00018ab017990;Zm00018ab028590;Zm00018ab028590;Zm00018ab308330;Zm00018ab308330;Zm00018ab045000;Zm00018ab045000;Zm00018ab311820;Zm00018ab311820;Zm00018ab165940;Zm00018ab165940;Zm00018ab165940;Zm00018ab165940;Zm00018ab165940;Zm00018ab389390;Zm00018ab389390;Zm00018ab159480;Zm00018ab159480;Zm00018ab372780;Zm00018ab372780;Zm00018ab372780;Zm00018ab372780;Zm00018ab389910;Zm00018ab389910;Zm00018ab389910;Zm00018ab389910;Zm00018ab389910;Zm00018ab389910;Zm00018ab454310;Zm00018ab389910;Zm00018ab389910;Zm00018ab389910;Zm00018ab454310;Zm00018ab353680;Zm00018ab353680;Zm00018ab053570;Zm00018ab053570;Zm00018ab158670;Zm00018ab158670;Zm00018ab158670;Zm00018ab158670;Zm00018ab147590;Zm00018ab147590;Zm00018ab337460;Zm00018ab337460;Zm00018ab337460;Zm00018ab158670;Zm00018ab158670;Zm00018ab158670;Zm00018ab158670;Zm00018ab158670;Zm00018ab158670;Zm00018ab158670;Zm00018ab158670;Zm00018ab147590;Zm00018ab147590;Zm00018ab422110;Zm00018ab422110;Zm00018ab422110;Zm00018ab422110;Zm00018ab422110;Zm00018ab422110;Zm00018ab034010;Zm00018ab034010;Zm00018ab034010;Zm00018ab395350;Zm00018ab395350;Zm00018ab034010;Zm00018ab034010;Zm00018ab307600;Zm00018ab307600;Zm00018ab307600;Zm00018ab307600;Zm00018ab161830;Zm00018ab161830;Zm00018ab357480;Zm00018ab357480;Zm00018ab297190;Zm00018ab297190;Zm00018ab421400;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab361740;Zm00018ab361740;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab221780;Zm00018ab050470;Zm00018ab050470;Zm00018ab374090;Zm00018ab374090;Zm00018ab109770;Zm00018ab200630;Zm00018ab200630;Zm00018ab200630;Zm00018ab200630;Zm00018ab200630;Zm00018ab109770;Zm00018ab259020;Zm00018ab374680;Zm00018ab374680;Zm00018ab374680;Zm00018ab374680;Zm00018ab374680;Zm00018ab374680;Zm00018ab374680;Zm00018ab374680;Zm00018ab374680;Zm00018ab374680;Zm00018ab371070;Zm00018ab371070;Zm00018ab053460;Zm00018ab053460;Zm00018ab190230;Zm00018ab190230;Zm00018ab406450;Zm00018ab406450;Zm00018ab406450;Zm00018ab406450;Zm00018ab029390;Zm00018ab029390;Zm00018ab029390;Zm00018ab029390;Zm00018ab343710;Zm00018ab343710;Zm00018ab343710;Zm00018ab343710;Zm00018ab343710;Zm00018ab343710;Zm00018ab029390;Zm00018ab029390;Zm00018ab029390;Zm00018ab029390;Zm00018ab029390;Zm00018ab029390;Zm00018ab100850;Zm00018ab100850;Zm00018ab329400;Zm00018ab329400;Zm00018ab303830;Zm00018ab047810;Zm00018ab047810;Zm00018ab047810;Zm00018ab303830;Zm00018ab303830;Zm00018ab047810;Zm00018ab047810;Zm00018ab047810;Zm00018ab278170;Zm00018ab278170;Zm00018ab278170;Zm00018ab278170;Zm00018ab367390;Zm00018ab367390;Zm00018ab124780;Zm00018ab124780;Zm00018ab124780;Zm00018ab124780;Zm00018ab446940;Zm00018ab446940;Zm00018ab367390;Zm00018ab367390;Zm00018ab367390;Zm00018ab367390;Zm00018ab442140;Zm00018ab442140;Zm00018ab442140;Zm00018ab442140;Zm00018ab442140;Zm00018ab442140;Zm00018ab442140;Zm00018ab442140;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab270070;Zm00018ab278370;Zm00018ab388850;Zm00018ab229940;Zm00018ab229940;Zm00018ab229940;Zm00018ab229940;Zm00018ab229940;Zm00018ab229940;Zm00018ab304770;Zm00018ab304770;Zm00018ab062540;Zm00018ab062540;Zm00018ab007260;Zm00018ab007260;Zm00018ab043690;Zm00018ab340030;Zm00018ab223370;Zm00018ab223370;Zm00018ab223370;Zm00018ab223370;Zm00018ab223370;Zm00018ab223370;Zm00018ab223370;Zm00018ab223370;Zm00018ab223370;Zm00018ab087650;Zm00018ab087650;Zm00018ab175960;Zm00018ab075640;Zm00018ab087650;Zm00018ab087650;Zm00018ab075640;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab187700;Zm00018ab187700;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab338620;Zm00018ab090500;Zm00018ab090500;Zm00018ab262850;Zm00018ab232740;Zm00018ab232740;Zm00018ab232740;Zm00018ab232740;Zm00018ab232740;Zm00018ab232740;Zm00018ab232740;Zm00018ab232740;Zm00018ab232740;Zm00018ab232740;Zm00018ab239440;Zm00018ab239440;Zm00018ab239440;Zm00018ab308010;Zm00018ab308010;Zm00018ab308010;Zm00018ab308010;Zm00018ab308010;Zm00018ab308010;Zm00018ab308010;Zm00018ab308010;Zm00018ab439680;Zm00018ab439680;Zm00018ab439680;Zm00018ab439680;Zm00018ab439680;Zm00018ab439680;Zm00018ab069420;Zm00018ab069420;Zm00018ab160410;Zm00018ab409470;Zm00018ab409470;Zm00018ab426710;Zm00018ab426710;Zm00018ab045010;Zm00018ab045010;Zm00018ab251470;Zm00018ab251470;Zm00018ab426710;Zm00018ab426710;Zm00018ab232400;Zm00018ab232400;Zm00018ab452360;Zm00018ab452360;Zm00018ab211610;Zm00018ab211610;Zm00018ab052850;Zm00018ab052850;Zm00018ab052850;Zm00018ab052850;Zm00018ab394310;Zm00018ab394310;Zm00018ab196810;Zm00018ab089730;Zm00018ab089730;Zm00018ab356960;Zm00018ab356960;Zm00018ab410550;Zm00018ab410550;Zm00018ab410550;Zm00018ab410550;Zm00018ab377170;Zm00018ab377170;Zm00018ab159470;Zm00018ab159470;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab067450;Zm00018ab153500;Zm00018ab153500;Zm00018ab153500;Zm00018ab153500;Zm00018ab153500;Zm00018ab153500;Zm00018ab359120;Zm00018ab153500;Zm00018ab277000;Zm00018ab277000;Zm00018ab320050;Zm00018ab320050;Zm00018ab320050;Zm00018ab320050;Zm00018ab320050;Zm00018ab160090;Zm00018ab160090;Zm00018ab160090;Zm00018ab160090;Zm00018ab160090;Zm00018ab160090;Zm00018ab160090;Zm00018ab160090;Zm00018ab396140;Zm00018ab396140
IPR000054	Ribosomal protein L31e	Zm00018ab196640;Zm00018ab262760;Zm00018ab399740
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00018ab421130;Zm00018ab421130;Zm00018ab421130;Zm00018ab421130;Zm00018ab005790;Zm00018ab005790;Zm00018ab005790;Zm00018ab005790;Zm00018ab005790;Zm00018ab333210;Zm00018ab333210;Zm00018ab333210
