LABEL	NAME	GENE_MODEL
EC-2.4.1.242	NDP-glucose--starch glucosyltransferase.	Zm00001eb000080;Zm00001eb305810;Zm00001eb378140
EC-2.7.6.1	ribose-phosphate diphosphokinase.	Zm00001eb000180;Zm00001eb154480;Zm00001eb188960;Zm00001eb231020;Zm00001eb252660;Zm00001eb388190;Zm00001eb442050
EC-1.14.13.237	aliphatic glucosinolate S-oxygenase.	Zm00001eb000400;Zm00001eb023110;Zm00001eb023540;Zm00001eb298520;Zm00001eb298540
EC-1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)).	Zm00001eb000560;Zm00001eb038930;Zm00001eb059410;Zm00001eb089330;Zm00001eb121470;Zm00001eb137080;Zm00001eb143650;Zm00001eb154490;Zm00001eb169830;Zm00001eb283570;Zm00001eb285890;Zm00001eb349990;Zm00001eb371140;Zm00001eb401670
EC-2.4.2.41	xylogalacturonan beta-1,3-xylosyltransferase.	Zm00001eb000640;Zm00001eb015460;Zm00001eb015780;Zm00001eb041280;Zm00001eb076450;Zm00001eb084750;Zm00001eb093000;Zm00001eb125940;Zm00001eb142640;Zm00001eb142710;Zm00001eb142720;Zm00001eb143200;Zm00001eb147610;Zm00001eb150150;Zm00001eb158790;Zm00001eb163690;Zm00001eb191760;Zm00001eb206440;Zm00001eb214150;Zm00001eb234610;Zm00001eb247030;Zm00001eb294800;Zm00001eb294810;Zm00001eb302320;Zm00001eb324570;Zm00001eb334360;Zm00001eb342840;Zm00001eb363850;Zm00001eb363870;Zm00001eb375160;Zm00001eb395470;Zm00001eb402120;Zm00001eb404300;Zm00001eb405560;Zm00001eb433370
EC-2.7.8.7	holo-[acyl-carrier-protein] synthase.	Zm00001eb000710;Zm00001eb079300;Zm00001eb165220;Zm00001eb196200;Zm00001eb425140
EC-2.7.7.30	fucose-1-phosphate guanylyltransferase.	Zm00001eb001000
EC-1.4.3.5	pyridoxal 5'-phosphate synthase.	Zm00001eb001050;Zm00001eb123990;Zm00001eb244850
EC-1.1.1.330	very-long-chain 3-oxoacyl-CoA reductase.	Zm00001eb001060;Zm00001eb017070;Zm00001eb022870;Zm00001eb120280;Zm00001eb124270;Zm00001eb183950;Zm00001eb201230;Zm00001eb246270;Zm00001eb307680;Zm00001eb378470;Zm00001eb381100;Zm00001eb391900;Zm00001eb420380
EC-1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase.	Zm00001eb001140;Zm00001eb176170;Zm00001eb398800
EC-3.5.4.26	diaminohydroxyphosphoribosylaminopyrimidine deaminase.	Zm00001eb001180;Zm00001eb001200;Zm00001eb241970
EC-2.1.3.3	ornithine carbamoyltransferase.	Zm00001eb001310;Zm00001eb001330;Zm00001eb126200;Zm00001eb188330;Zm00001eb216710;Zm00001eb252020;Zm00001eb255250;Zm00001eb257230;Zm00001eb403320;Zm00001eb419090
EC-2.3.3.10	hydroxymethylglutaryl-CoA synthase.	Zm00001eb001340;Zm00001eb103070;Zm00001eb318820;Zm00001eb403920
EC-3.1.4.4	phospholipase D.	Zm00001eb001370;Zm00001eb019050;Zm00001eb021510;Zm00001eb039780;Zm00001eb097160;Zm00001eb099650;Zm00001eb103990;Zm00001eb104020;Zm00001eb122860;Zm00001eb180150;Zm00001eb180160;Zm00001eb184950;Zm00001eb230280;Zm00001eb230290;Zm00001eb236140;Zm00001eb275030;Zm00001eb283150;Zm00001eb285800;Zm00001eb314640;Zm00001eb331700;Zm00001eb334470;Zm00001eb336760;Zm00001eb337170;Zm00001eb339210;Zm00001eb339870;Zm00001eb360410;Zm00001eb386300;Zm00001eb392550;Zm00001eb408170
EC-2.4.1.34	1,3-beta-glucan synthase.	Zm00001eb001430;Zm00001eb002100;Zm00001eb007720;Zm00001eb012320;Zm00001eb014440;Zm00001eb026200;Zm00001eb028040;Zm00001eb028050;Zm00001eb035140;Zm00001eb049030;Zm00001eb102730;Zm00001eb143880;Zm00001eb152900;Zm00001eb157150;Zm00001eb162890;Zm00001eb163000;Zm00001eb169180;Zm00001eb228690;Zm00001eb228700;Zm00001eb238590;Zm00001eb259580;Zm00001eb259590;Zm00001eb259600;Zm00001eb259610;Zm00001eb259620;Zm00001eb268200;Zm00001eb268220;Zm00001eb268230;Zm00001eb268240;Zm00001eb271900;Zm00001eb333660;Zm00001eb335840;Zm00001eb363030;Zm00001eb374050;Zm00001eb412210
EC-1.11.1.7	peroxidase.	Zm00001eb001560;Zm00001eb004200;Zm00001eb009930;Zm00001eb009940;Zm00001eb009950;Zm00001eb017930;Zm00001eb017950;Zm00001eb017960;Zm00001eb020790;Zm00001eb022050;Zm00001eb024110;Zm00001eb025060;Zm00001eb025690;Zm00001eb025820;Zm00001eb036720;Zm00001eb043100;Zm00001eb043110;Zm00001eb047120;Zm00001eb058250;Zm00001eb058260;Zm00001eb067730;Zm00001eb068210;Zm00001eb071620;Zm00001eb076170;Zm00001eb076180;Zm00001eb076190;Zm00001eb076200;Zm00001eb076210;Zm00001eb083140;Zm00001eb088870;Zm00001eb095550;Zm00001eb102470;Zm00001eb109910;Zm00001eb109950;Zm00001eb109960;Zm00001eb111420;Zm00001eb111430;Zm00001eb118090;Zm00001eb128330;Zm00001eb128620;Zm00001eb129890;Zm00001eb129900;Zm00001eb129910;Zm00001eb130940;Zm00001eb131000;Zm00001eb138700;Zm00001eb140290;Zm00001eb140320;Zm00001eb151190;Zm00001eb157370;Zm00001eb168620;Zm00001eb180880;Zm00001eb194740;Zm00001eb195200;Zm00001eb195210;Zm00001eb204960;Zm00001eb207640;Zm00001eb214260;Zm00001eb222560;Zm00001eb224430;Zm00001eb225230;Zm00001eb226340;Zm00001eb226360;Zm00001eb226370;Zm00001eb226380;Zm00001eb238730;Zm00001eb238740;Zm00001eb238780;Zm00001eb238800;Zm00001eb240150;Zm00001eb240670;Zm00001eb251340;Zm00001eb260610;Zm00001eb264870;Zm00001eb276250;Zm00001eb280790;Zm00001eb281180;Zm00001eb282410;Zm00001eb282430;Zm00001eb291850;Zm00001eb291860;Zm00001eb298200;Zm00001eb298210;Zm00001eb298220;Zm00001eb298230;Zm00001eb315680;Zm00001eb315770;Zm00001eb325930;Zm00001eb328780;Zm00001eb328790;Zm00001eb328800;Zm00001eb328810;Zm00001eb328820;Zm00001eb328830;Zm00001eb328840;Zm00001eb328860;Zm00001eb328870;Zm00001eb330530;Zm00001eb330540;Zm00001eb330550;Zm00001eb330580;Zm00001eb332160;Zm00001eb332990;Zm00001eb333290;Zm00001eb333300;Zm00001eb338220;Zm00001eb340430;Zm00001eb340440;Zm00001eb342070;Zm00001eb345680;Zm00001eb347740;Zm00001eb348950;Zm00001eb350350;Zm00001eb354680;Zm00001eb354690;Zm00001eb354700;Zm00001eb381290;Zm00001eb381300;Zm00001eb382680;Zm00001eb383830;Zm00001eb383860;Zm00001eb383870;Zm00001eb390690;Zm00001eb390710;Zm00001eb393680;Zm00001eb395060;Zm00001eb399250;Zm00001eb403150;Zm00001eb410710;Zm00001eb412240;Zm00001eb417240;Zm00001eb417280;Zm00001eb417290;Zm00001eb417330;Zm00001eb417340;Zm00001eb417350;Zm00001eb422410;Zm00001eb425840;Zm00001eb431400;Zm00001eb434350
