SCORE	NAME	GENE_MODEL
0.77173	True	Zm00027ab000010
0.93588	True	Zm00027ab000020
0.9962	True	Zm00027ab000050
0.99844	True	Zm00027ab000060
0.40113	False	Zm00027ab000070
0.99939	True	Zm00027ab000080
0.99715	True	Zm00027ab000090
0.99945	True	Zm00027ab000100
0.45864	False	Zm00027ab000110
0.25475	False	Zm00027ab000130
0.99082	True	Zm00027ab000150
0.99833	True	Zm00027ab000160
0.81642	True	Zm00027ab000170
0.9985	True	Zm00027ab000180
0.98348	True	Zm00027ab000210
0.91845	True	Zm00027ab000220
0.83105	True	Zm00027ab000230
0.9948	True	Zm00027ab000240
0.93574	True	Zm00027ab000250
0.64935	True	Zm00027ab000260
0.9994	True	Zm00027ab000270
0.99078	True	Zm00027ab000280
0.91635	True	Zm00027ab000290
0.28546	False	Zm00027ab000300
0.03395	False	Zm00027ab000320
0.99213	True	Zm00027ab000330
0.83894	True	Zm00027ab000340
0.99768	True	Zm00027ab000350
0.99493	True	Zm00027ab000360
0.78253	True	Zm00027ab000370
0.99136	True	Zm00027ab000380
0.99719	True	Zm00027ab000400
0.02737	False	Zm00027ab000410
0.99946	True	Zm00027ab000430
0.98197	True	Zm00027ab000450
0.93424	True	Zm00027ab000460
0.54653	True	Zm00027ab000470
0.98407	True	Zm00027ab000480
0.99877	True	Zm00027ab000490
0.99452	True	Zm00027ab000510
0.14883	False	Zm00027ab000520
0.08852	False	Zm00027ab000530
0.11443	False	Zm00027ab000540
0.49347	False	Zm00027ab000550
0.10026	False	Zm00027ab000560
0.97111	True	Zm00027ab000570
0.00967	False	Zm00027ab000580
0.99899	True	Zm00027ab000590
0.99352	True	Zm00027ab000600
0.9831	True	Zm00027ab000610
0.85097	True	Zm00027ab000620
0.97506	True	Zm00027ab000630
0.99756	True	Zm00027ab000640
0.02306	False	Zm00027ab000650
0.03679	False	Zm00027ab000660
0.99973	True	Zm00027ab000670
0.97479	True	Zm00027ab000680
0.97669	True	Zm00027ab000690
0.94157	True	Zm00027ab000700
0.55571	True	Zm00027ab000710
0.99922	True	Zm00027ab000720
1.0	True	Zm00027ab000730
0.9819	True	Zm00027ab000740
0.99909	True	Zm00027ab000750
0.9873	True	Zm00027ab000760
0.88127	True	Zm00027ab000770
0.87133	True	Zm00027ab000780
0.99295	True	Zm00027ab000790
0.99864	True	Zm00027ab000800
0.99993	True	Zm00027ab000810
0.98771	True	Zm00027ab000820
0.99944	True	Zm00027ab000830
0.98938	True	Zm00027ab000840
0.99652	True	Zm00027ab000850
0.99684	True	Zm00027ab000860
0.86759	True	Zm00027ab000870
0.97289	True	Zm00027ab000880
0.99752	True	Zm00027ab000890
0.91262	True	Zm00027ab000900
0.99719	True	Zm00027ab000910
0.91024	True	Zm00027ab000920
0.99843	True	Zm00027ab000930
0.99992	True	Zm00027ab000940
0.99355	True	Zm00027ab000950
0.9998	True	Zm00027ab000960
0.01028	False	Zm00027ab000970
0.99638	True	Zm00027ab000980
0.99511	True	Zm00027ab000990
0.99756	True	Zm00027ab001010
0.99654	True	Zm00027ab001020
0.33946	False	Zm00027ab001040
0.99668	True	Zm00027ab001050
0.9969	True	Zm00027ab001060
0.99326	True	Zm00027ab001070
0.00501	False	Zm00027ab001080
0.99932	True	Zm00027ab001090
0.99898	True	Zm00027ab001100
0.97548	True	Zm00027ab001110
0.99639	True	Zm00027ab001120
0.99586	True	Zm00027ab001130
0.96672	True	Zm00027ab001140
0.99916	True	Zm00027ab001150
0.99878	True	Zm00027ab001160
0.97906	True	Zm00027ab001170
0.92127	True	Zm00027ab001190
0.96309	True	Zm00027ab001200
0.96781	True	Zm00027ab001220
0.14328	False	Zm00027ab001230
0.97325	True	Zm00027ab001240
0.99795	True	Zm00027ab001250
0.99643	True	Zm00027ab001260
0.37279	False	Zm00027ab001270
0.67369	True	Zm00027ab001280
0.99585	True	Zm00027ab001290
0.99183	True	Zm00027ab001300
0.96092	True	Zm00027ab001310
0.98438	True	Zm00027ab001320
0.99339	True	Zm00027ab001330
0.99712	True	Zm00027ab001340
0.96302	True	Zm00027ab001350
0.98689	True	Zm00027ab001360
0.99641	True	Zm00027ab001380
0.9774	True	Zm00027ab001390
0.97169	True	Zm00027ab001400
0.9847	True	Zm00027ab001410
0.98239	True	Zm00027ab001420
0.9964	True	Zm00027ab001430
0.9996	True	Zm00027ab001440
0.99577	True	Zm00027ab001450
0.97384	True	Zm00027ab001460
0.99711	True	Zm00027ab001470
0.96495	True	Zm00027ab001480
0.95692	True	Zm00027ab001490
0.99974	True	Zm00027ab001500
0.92315	True	Zm00027ab001510
0.99005	True	Zm00027ab001520
0.98137	True	Zm00027ab001530
0.9936	True	Zm00027ab001540
0.99896	True	Zm00027ab001550
0.99998	True	Zm00027ab001560
0.99869	True	Zm00027ab001570
0.99292	True	Zm00027ab001580
0.99794	True	Zm00027ab001590
0.00314	False	Zm00027ab001600
0.98968	True	Zm00027ab001610
0.02115	False	Zm00027ab001620
0.91751	True	Zm00027ab001630
0.9843	True	Zm00027ab001650
0.98724	True	Zm00027ab001660
0.99254	True	Zm00027ab001680
0.94307	True	Zm00027ab001700
0.98416	True	Zm00027ab001710
0.99898	True	Zm00027ab001720
0.99983	True	Zm00027ab001730
0.99671	True	Zm00027ab001740
0.99934	True	Zm00027ab001750
0.99987	True	Zm00027ab001760
0.89955	True	Zm00027ab001770
0.99069	True	Zm00027ab001780
0.99513	True	Zm00027ab001790
0.97483	True	Zm00027ab001800
0.99297	True	Zm00027ab001810
0.94273	True	Zm00027ab001850
0.97317	True	Zm00027ab001860
0.92125	True	Zm00027ab001880
0.99724	True	Zm00027ab001890
0.99024	True	Zm00027ab001900
0.05334	False	Zm00027ab001910
0.99094	True	Zm00027ab001920
0.99756	True	Zm00027ab001930
0.99285	True	Zm00027ab001940
0.99961	True	Zm00027ab001960
0.98154	True	Zm00027ab001970
0.99747	True	Zm00027ab001980
0.99831	True	Zm00027ab001990
0.9971	True	Zm00027ab002000
0.81411	True	Zm00027ab002010
0.99127	True	Zm00027ab002020
0.98526	True	Zm00027ab002030
0.84019	True	Zm00027ab002040
0.99986	True	Zm00027ab002060
0.9988	True	Zm00027ab002070
0.9851	True	Zm00027ab002080
0.72204	True	Zm00027ab002100
0.99372	True	Zm00027ab002110
0.99186	True	Zm00027ab002120
0.98291	True	Zm00027ab002130
0.99084	True	Zm00027ab002140
0.9988	True	Zm00027ab002150
0.97935	True	Zm00027ab002160
0.92483	True	Zm00027ab002170
0.99082	True	Zm00027ab002180
0.51777	True	Zm00027ab002190
0.99991	True	Zm00027ab002200
0.99851	True	Zm00027ab002210
0.99861	True	Zm00027ab002220
0.00682	False	Zm00027ab002230
0.99817	True	Zm00027ab002250
0.98614	True	Zm00027ab002260
0.98474	True	Zm00027ab002290
0.41776	False	Zm00027ab002300
0.99962	True	Zm00027ab002310
0.72363	True	Zm00027ab002320
0.98709	True	Zm00027ab002330
0.99939	True	Zm00027ab002340
0.85834	True	Zm00027ab002350
0.99814	True	Zm00027ab002360
0.99262	True	Zm00027ab002370
0.99676	True	Zm00027ab002380
0.95248	True	Zm00027ab002390
0.99119	True	Zm00027ab002400
0.01262	False	Zm00027ab002410
0.9926	True	Zm00027ab002420
0.97394	True	Zm00027ab002430
0.99154	True	Zm00027ab002440
0.99974	True	Zm00027ab002450
0.92148	True	Zm00027ab002460
0.99469	True	Zm00027ab002470
0.9966	True	Zm00027ab002480
0.98616	True	Zm00027ab002490
0.96153	True	Zm00027ab002510
0.99921	True	Zm00027ab002520
0.99903	True	Zm00027ab002530
0.98969	True	Zm00027ab002550
0.88751	True	Zm00027ab002560
0.99934	True	Zm00027ab002570
0.98976	True	Zm00027ab002580
0.99517	True	Zm00027ab002590
0.98654	True	Zm00027ab002600
0.98749	True	Zm00027ab002610
0.99956	True	Zm00027ab002620
0.99854	True	Zm00027ab002630
0.99976	True	Zm00027ab002640
0.9892	True	Zm00027ab002670
0.99941	True	Zm00027ab002680
0.99566	True	Zm00027ab002690
0.99579	True	Zm00027ab002700
0.99231	True	Zm00027ab002710
0.99856	True	Zm00027ab002730
0.4696	False	Zm00027ab002740
0.99871	True	Zm00027ab002750
0.94036	True	Zm00027ab002760
0.96594	True	Zm00027ab002770
0.98609	True	Zm00027ab002780
0.99346	True	Zm00027ab002800
0.79821	True	Zm00027ab002810
0.99798	True	Zm00027ab002820
0.99042	True	Zm00027ab002830
0.99176	True	Zm00027ab002840
0.00507	False	Zm00027ab002850
0.94147	True	Zm00027ab002860
0.60474	True	Zm00027ab002870
0.93465	True	Zm00027ab002880
0.98029	True	Zm00027ab002890
0.99969	True	Zm00027ab002900
0.9998	True	Zm00027ab002910
0.99939	True	Zm00027ab002920
0.99879	True	Zm00027ab002930
0.99754	True	Zm00027ab002940
0.99281	True	Zm00027ab002950
0.99915	True	Zm00027ab002960
0.12927	False	Zm00027ab002970
0.98388	True	Zm00027ab002980
0.98934	True	Zm00027ab002990
0.98748	True	Zm00027ab003000
0.71004	True	Zm00027ab003010
0.19584	False	Zm00027ab003020
0.99723	True	Zm00027ab003030
0.99993	True	Zm00027ab003040
0.99597	True	Zm00027ab003050
0.99598	True	Zm00027ab003060
0.99956	True	Zm00027ab003070
0.72095	True	Zm00027ab003080
0.65078	True	Zm00027ab003090
0.99799	True	Zm00027ab003100
0.99608	True	Zm00027ab003110
0.99048	True	Zm00027ab003120
0.99141	True	Zm00027ab003130
0.99201	True	Zm00027ab003140
0.98438	True	Zm00027ab003150
0.99994	True	Zm00027ab003160
0.47961	False	Zm00027ab003170
0.98928	True	Zm00027ab003180
0.99988	True	Zm00027ab003190
0.92957	True	Zm00027ab003200
0.99917	True	Zm00027ab003210
0.52965	True	Zm00027ab003230
0.98965	True	Zm00027ab003250
0.99072	True	Zm00027ab003260
0.98843	True	Zm00027ab003270
0.99446	True	Zm00027ab003280
0.99995	True	Zm00027ab003290
0.99072	True	Zm00027ab003300
0.99511	True	Zm00027ab003310
0.99995	True	Zm00027ab003320
0.99059	True	Zm00027ab003330
0.99976	True	Zm00027ab003340
0.99446	True	Zm00027ab003350
0.99742	True	Zm00027ab003360
0.99788	True	Zm00027ab003370
0.97958	True	Zm00027ab003380
0.99535	True	Zm00027ab003390
0.93353	True	Zm00027ab003410
0.99888	True	Zm00027ab003430
0.99452	True	Zm00027ab003440
0.98725	True	Zm00027ab003450
0.98714	True	Zm00027ab003460
0.96773	True	Zm00027ab003470
0.01146	False	Zm00027ab003480
0.99454	True	Zm00027ab003490
0.96063	True	Zm00027ab003500
0.99661	True	Zm00027ab003510
0.96836	True	Zm00027ab003520
0.42541	False	Zm00027ab003530
0.51316	True	Zm00027ab003540
0.99839	True	Zm00027ab003550
0.99988	True	Zm00027ab003560
0.98939	True	Zm00027ab003570
0.98866	True	Zm00027ab003580
0.87496	True	Zm00027ab003600
0.99862	True	Zm00027ab003610
0.67466	True	Zm00027ab003620
0.80262	True	Zm00027ab003630
0.9788	True	Zm00027ab003640
0.99065	True	Zm00027ab003650
0.99651	True	Zm00027ab003660
0.99635	True	Zm00027ab003670
0.97164	True	Zm00027ab003680
0.28193	False	Zm00027ab003690
0.99313	True	Zm00027ab003700
0.96822	True	Zm00027ab003710
0.95615	True	Zm00027ab003720
0.99612	True	Zm00027ab003730
0.9638	True	Zm00027ab003740
0.97571	True	Zm00027ab003750
0.99458	True	Zm00027ab003760
0.98321	True	Zm00027ab003770
0.98464	True	Zm00027ab003790
0.99732	True	Zm00027ab003800
0.99576	True	Zm00027ab003820
0.99886	True	Zm00027ab003830
0.9304	True	Zm00027ab003840
0.99517	True	Zm00027ab003850
0.86867	True	Zm00027ab003860
0.94865	True	Zm00027ab003870
0.98148	True	Zm00027ab003880
0.9991	True	Zm00027ab003920
0.96243	True	Zm00027ab003930
0.96366	True	Zm00027ab003940
0.95691	True	Zm00027ab003950
0.97117	True	Zm00027ab003960
0.96172	True	Zm00027ab003970
0.94415	True	Zm00027ab003980
0.99656	True	Zm00027ab003990
0.98794	True	Zm00027ab004000
0.97461	True	Zm00027ab004010
0.95891	True	Zm00027ab004020
0.78053	True	Zm00027ab004030
0.29158	False	Zm00027ab004050
0.92244	True	Zm00027ab004060
0.97465	True	Zm00027ab004070
0.74692	True	Zm00027ab004080
0.9723	True	Zm00027ab004090
0.99873	True	Zm00027ab004100
0.16071	False	Zm00027ab004130
0.91974	True	Zm00027ab004140
0.17155	False	Zm00027ab004150
0.73134	True	Zm00027ab004160
0.95838	True	Zm00027ab004170
0.7475	True	Zm00027ab004180
0.99631	True	Zm00027ab004190
0.63524	True	Zm00027ab004200
0.99385	True	Zm00027ab004210
0.47632	False	Zm00027ab004220
0.97955	True	Zm00027ab004240
0.99688	True	Zm00027ab004250
0.91138	True	Zm00027ab004260
0.9971	True	Zm00027ab004270
0.99586	True	Zm00027ab004280
0.99988	True	Zm00027ab004290
0.76164	True	Zm00027ab004300
0.99834	True	Zm00027ab004310
0.99531	True	Zm00027ab004320
0.99316	True	Zm00027ab004330
0.00635	False	Zm00027ab004340
0.99645	True	Zm00027ab004350
0.98768	True	Zm00027ab004360
0.9997	True	Zm00027ab004370
0.06266	False	Zm00027ab004380
0.97935	True	Zm00027ab004390
0.99862	True	Zm00027ab004400
0.8029	True	Zm00027ab004410
0.07554	False	Zm00027ab004420
0.3672	False	Zm00027ab004430
0.96527	True	Zm00027ab004440
0.99963	True	Zm00027ab004450
0.99804	True	Zm00027ab004460
0.99673	True	Zm00027ab004470
0.47577	False	Zm00027ab004480
0.9943	True	Zm00027ab004490
0.75609	True	Zm00027ab004500
0.0297	False	Zm00027ab004510
0.99549	True	Zm00027ab004520
0.99227	True	Zm00027ab004530
0.77416	True	Zm00027ab004540
0.54434	True	Zm00027ab004550
0.0259	False	Zm00027ab004560
0.99579	True	Zm00027ab004570
0.9983	True	Zm00027ab004580
0.99931	True	Zm00027ab004590
0.99926	True	Zm00027ab004600
0.99547	True	Zm00027ab004610
0.98912	True	Zm00027ab004620
0.89759	True	Zm00027ab004630
0.9596	True	Zm00027ab004640
0.99909	True	Zm00027ab004650
0.99544	True	Zm00027ab004660
0.97635	True	Zm00027ab004670
0.90764	True	Zm00027ab004680
0.97777	True	Zm00027ab004690
0.99252	True	Zm00027ab004700
0.99959	True	Zm00027ab004710
0.59348	True	Zm00027ab004720
0.98053	True	Zm00027ab004730
0.99007	True	Zm00027ab004740
0.99599	True	Zm00027ab004750
0.99678	True	Zm00027ab004760
0.99726	True	Zm00027ab004770
0.99509	True	Zm00027ab004780
0.99827	True	Zm00027ab004790
0.96438	True	Zm00027ab004800
0.99732	True	Zm00027ab004810
0.96189	True	Zm00027ab004820
0.94302	True	Zm00027ab004830
0.83651	True	Zm00027ab004840
0.9517	True	Zm00027ab004860
0.99848	True	Zm00027ab004870
0.64832	True	Zm00027ab004880
0.99451	True	Zm00027ab004890
0.9282	True	Zm00027ab004910
0.98434	True	Zm00027ab004920
0.97645	True	Zm00027ab004930
0.00711	False	Zm00027ab004940
0.98492	True	Zm00027ab004950
0.96659	True	Zm00027ab004960
0.95349	True	Zm00027ab004970
0.83158	True	Zm00027ab004980
0.70397	True	Zm00027ab005000
0.99999	True	Zm00027ab005010
0.99889	True	Zm00027ab005020
0.1108	False	Zm00027ab005030
0.86825	True	Zm00027ab005040
0.02736	False	Zm00027ab005050
0.99247	True	Zm00027ab005060
0.96675	True	Zm00027ab005080
0.99988	True	Zm00027ab005090
0.96233	True	Zm00027ab005100
0.99819	True	Zm00027ab005110
0.98555	True	Zm00027ab005120
0.99873	True	Zm00027ab005130
0.99381	True	Zm00027ab005140
0.72642	True	Zm00027ab005150
0.58958	True	Zm00027ab005160
0.14254	False	Zm00027ab005170
0.58958	True	Zm00027ab005180
0.66332	True	Zm00027ab005190
0.88952	True	Zm00027ab005200
0.16842	False	Zm00027ab005210
0.67867	True	Zm00027ab005220
0.99958	True	Zm00027ab005230
0.99032	True	Zm00027ab005240
0.99835	True	Zm00027ab005250
0.99629	True	Zm00027ab005260
0.81016	True	Zm00027ab005270
0.57143	True	Zm00027ab005280
0.99613	True	Zm00027ab005290
0.99472	True	Zm00027ab005310
0.99829	True	Zm00027ab005320
0.66332	True	Zm00027ab005330
0.77565	True	Zm00027ab005340
0.99355	True	Zm00027ab005350
0.02988	False	Zm00027ab005360
0.3543	False	Zm00027ab005380
0.90756	True	Zm00027ab005390
0.99615	True	Zm00027ab005410
0.48225	False	Zm00027ab005430
0.04851	False	Zm00027ab005440
0.50984	True	Zm00027ab005450
0.68794	True	Zm00027ab005460
0.96116	True	Zm00027ab005470
0.99994	True	Zm00027ab005480
0.99931	True	Zm00027ab005490
0.98168	True	Zm00027ab005500
0.99672	True	Zm00027ab005510
0.59832	True	Zm00027ab005520
0.99156	True	Zm00027ab005530
0.99371	True	Zm00027ab005540
0.11332	False	Zm00027ab005550
0.99292	True	Zm00027ab005560
0.99975	True	Zm00027ab005570
0.99859	True	Zm00027ab005600
0.00823	False	Zm00027ab005610
0.70616	True	Zm00027ab005620
0.00593	False	Zm00027ab005660
0.97022	True	Zm00027ab005670
0.97742	True	Zm00027ab005680
0.03374	False	Zm00027ab005690
0.82642	True	Zm00027ab005700
0.99957	True	Zm00027ab005710
0.9951	True	Zm00027ab005720
0.99699	True	Zm00027ab005730
0.11135	False	Zm00027ab005760
0.99667	True	Zm00027ab005770
0.99724	True	Zm00027ab005790
0.98926	True	Zm00027ab005800
0.94359	True	Zm00027ab005810
0.27548	False	Zm00027ab005820
0.99912	True	Zm00027ab005830
0.15391	False	Zm00027ab005840
0.97987	True	Zm00027ab005850
0.89798	True	Zm00027ab005860
0.99558	True	Zm00027ab005870
0.98967	True	Zm00027ab005880
0.82299	True	Zm00027ab005890
0.95596	True	Zm00027ab005900
0.99625	True	Zm00027ab005910
0.99339	True	Zm00027ab005920
0.94577	True	Zm00027ab005930
0.9957	True	Zm00027ab005940
0.96051	True	Zm00027ab005950
0.92615	True	Zm00027ab005960
0.9638	True	Zm00027ab005970
0.98577	True	Zm00027ab005980
0.99447	True	Zm00027ab006000
0.99955	True	Zm00027ab006010
0.99958	True	Zm00027ab006020
0.94911	True	Zm00027ab006030
0.99	True	Zm00027ab006040
0.02964	False	Zm00027ab006050
0.99716	True	Zm00027ab006060
0.99061	True	Zm00027ab006080
0.99294	True	Zm00027ab006100
0.99967	True	Zm00027ab006110
0.99742	True	Zm00027ab006120
0.90559	True	Zm00027ab006130
0.99714	True	Zm00027ab006140
0.99401	True	Zm00027ab006150
0.33797	False	Zm00027ab006160
0.98929	True	Zm00027ab006170
0.99884	True	Zm00027ab006180
0.99847	True	Zm00027ab006190
0.99898	True	Zm00027ab006200
0.98982	True	Zm00027ab006210
0.95631	True	Zm00027ab006220
0.95425	True	Zm00027ab006230
0.84266	True	Zm00027ab006240
0.99974	True	Zm00027ab006250
0.83242	True	Zm00027ab006260
0.9953	True	Zm00027ab006280
0.97383	True	Zm00027ab006290
0.97256	True	Zm00027ab006300
0.9991	True	Zm00027ab006310
0.99048	True	Zm00027ab006320
0.54443	True	Zm00027ab006330
0.96826	True	Zm00027ab006340
0.98831	True	Zm00027ab006350
0.99223	True	Zm00027ab006360
0.93132	True	Zm00027ab006370
0.44001	False	Zm00027ab006380
0.99846	True	Zm00027ab006390
0.97322	True	Zm00027ab006400
0.98145	True	Zm00027ab006410
0.9921	True	Zm00027ab006420
0.99752	True	Zm00027ab006430
0.99177	True	Zm00027ab006440
0.41656	False	Zm00027ab006450
0.99899	True	Zm00027ab006460
0.9999	True	Zm00027ab006470
0.99329	True	Zm00027ab006490
0.99903	True	Zm00027ab006500
0.99976	True	Zm00027ab006510
0.99627	True	Zm00027ab006520
0.99682	True	Zm00027ab006530
0.99328	True	Zm00027ab006540
0.76215	True	Zm00027ab006550
0.98713	True	Zm00027ab006560
