SCORE	NAME	GENE_MODEL
0.77173	True	Zm00028ab000010
0.93258	True	Zm00028ab000020
0.9962	True	Zm00028ab000040
0.25179	False	Zm00028ab000050
0.9989	True	Zm00028ab000060
0.99939	True	Zm00028ab000070
0.85736	True	Zm00028ab000080
0.99894	True	Zm00028ab000090
0.62704	True	Zm00028ab000100
0.53448	True	Zm00028ab000130
0.25475	False	Zm00028ab000150
0.99933	True	Zm00028ab000160
0.00802	False	Zm00028ab000180
0.01564	False	Zm00028ab000190
0.80242	True	Zm00028ab000200
0.9985	True	Zm00028ab000210
0.98348	True	Zm00028ab000220
0.91237	True	Zm00028ab000230
0.03302	False	Zm00028ab000240
0.03382	False	Zm00028ab000250
0.92031	True	Zm00028ab000260
0.99876	True	Zm00028ab000270
0.9948	True	Zm00028ab000280
0.93574	True	Zm00028ab000290
0.99941	True	Zm00028ab000300
0.99078	True	Zm00028ab000310
0.99823	True	Zm00028ab000320
0.50312	True	Zm00028ab000330
0.99662	True	Zm00028ab000350
0.91794	True	Zm00028ab000360
0.99663	True	Zm00028ab000370
0.99213	True	Zm00028ab000380
0.83894	True	Zm00028ab000390
0.99121	True	Zm00028ab000400
0.99413	True	Zm00028ab000410
0.99723	True	Zm00028ab000420
0.99946	True	Zm00028ab000430
0.98251	True	Zm00028ab000440
0.93604	True	Zm00028ab000450
0.54846	True	Zm00028ab000460
0.99879	True	Zm00028ab000470
0.57823	True	Zm00028ab000480
0.94192	True	Zm00028ab000490
0.04869	False	Zm00028ab000500
0.10026	False	Zm00028ab000510
0.97111	True	Zm00028ab000520
0.99912	True	Zm00028ab000530
0.99365	True	Zm00028ab000540
0.98429	True	Zm00028ab000550
0.85097	True	Zm00028ab000570
0.97506	True	Zm00028ab000580
0.99794	True	Zm00028ab000590
0.99973	True	Zm00028ab000620
0.94186	True	Zm00028ab000630
0.97669	True	Zm00028ab000640
0.9476	True	Zm00028ab000650
0.99919	True	Zm00028ab000660
0.98788	True	Zm00028ab000670
0.99891	True	Zm00028ab000680
0.87762	True	Zm00028ab000690
0.91088	True	Zm00028ab000700
0.94392	True	Zm00028ab000710
0.99522	True	Zm00028ab000720
0.99791	True	Zm00028ab000740
0.99995	True	Zm00028ab000750
0.72599	True	Zm00028ab000760
0.98796	True	Zm00028ab000770
0.99943	True	Zm00028ab000780
0.98835	True	Zm00028ab000790
0.99652	True	Zm00028ab000800
0.86759	True	Zm00028ab000810
0.99684	True	Zm00028ab000820
0.99741	True	Zm00028ab000840
0.90708	True	Zm00028ab000850
0.99715	True	Zm00028ab000860
0.89769	True	Zm00028ab000870
0.99843	True	Zm00028ab000880
0.99455	True	Zm00028ab000890
0.99984	True	Zm00028ab000900
0.00916	False	Zm00028ab000910
0.99645	True	Zm00028ab000920
0.99581	True	Zm00028ab000950
0.99791	True	Zm00028ab000960
0.99644	True	Zm00028ab000970
0.33946	False	Zm00028ab000980
0.99668	True	Zm00028ab000990
0.99689	True	Zm00028ab001000
0.99259	True	Zm00028ab001010
0.00954	False	Zm00028ab001020
0.99967	True	Zm00028ab001030
0.99794	True	Zm00028ab001040
0.97548	True	Zm00028ab001050
0.99667	True	Zm00028ab001060
0.99644	True	Zm00028ab001070
0.96596	True	Zm00028ab001080
0.92033	True	Zm00028ab001090
0.99916	True	Zm00028ab001100
0.99595	True	Zm00028ab001110
0.9194	True	Zm00028ab001120
0.99865	True	Zm00028ab001130
0.10854	False	Zm00028ab001140
0.99136	True	Zm00028ab001150
0.97706	True	Zm00028ab001160
0.92307	True	Zm00028ab001170
0.9635	True	Zm00028ab001180
0.96741	True	Zm00028ab001190
0.98809	True	Zm00028ab001200
0.5009	True	Zm00028ab001210
0.60647	True	Zm00028ab001220
0.99637	True	Zm00028ab001230
0.73424	True	Zm00028ab001240
0.99606	True	Zm00028ab001250
0.99229	True	Zm00028ab001260
0.96993	True	Zm00028ab001270
0.98058	True	Zm00028ab001280
0.99294	True	Zm00028ab001290
0.94725	True	Zm00028ab001300
0.99712	True	Zm00028ab001310
0.96475	True	Zm00028ab001320
0.98198	True	Zm00028ab001330
0.99639	True	Zm00028ab001350
0.67451	True	Zm00028ab001360
0.9787	True	Zm00028ab001370
0.9848	True	Zm00028ab001380
0.00533	False	Zm00028ab001390
0.98239	True	Zm00028ab001400
0.99593	True	Zm00028ab001410
0.99668	True	Zm00028ab001420
0.97885	True	Zm00028ab001430
0.99528	True	Zm00028ab001440
0.96495	True	Zm00028ab001450
0.95887	True	Zm00028ab001460
0.99974	True	Zm00028ab001470
0.4957	False	Zm00028ab001480
0.99767	True	Zm00028ab001490
0.99005	True	Zm00028ab001500
0.97922	True	Zm00028ab001510
0.99308	True	Zm00028ab001520
0.99602	True	Zm00028ab001530
0.85684	True	Zm00028ab001540
0.99901	True	Zm00028ab001550
0.99984	True	Zm00028ab001560
0.06889	False	Zm00028ab001570
0.99701	True	Zm00028ab001580
0.99876	True	Zm00028ab001590
0.99336	True	Zm00028ab001600
0.9979	True	Zm00028ab001610
0.98968	True	Zm00028ab001620
0.90076	True	Zm00028ab001630
0.98594	True	Zm00028ab001640
0.98724	True	Zm00028ab001660
0.4284	False	Zm00028ab001680
0.9904	True	Zm00028ab001690
0.99769	True	Zm00028ab001700
0.94307	True	Zm00028ab001710
0.9858	True	Zm00028ab001720
0.99896	True	Zm00028ab001740
0.99982	True	Zm00028ab001750
0.9977	True	Zm00028ab001760
0.99934	True	Zm00028ab001770
0.99992	True	Zm00028ab001780
0.78628	True	Zm00028ab001790
0.71025	True	Zm00028ab001800
0.99165	True	Zm00028ab001810
0.99522	True	Zm00028ab001820
0.97444	True	Zm00028ab001830
0.75438	True	Zm00028ab001840
0.99197	True	Zm00028ab001850
0.94273	True	Zm00028ab001860
0.96436	True	Zm00028ab001870
0.91641	True	Zm00028ab001880
0.9912	True	Zm00028ab001890
0.03895	False	Zm00028ab001900
0.99005	True	Zm00028ab001910
0.99756	True	Zm00028ab001920
0.99173	True	Zm00028ab001930
0.99961	True	Zm00028ab001940
0.98441	True	Zm00028ab001950
0.99775	True	Zm00028ab001960
0.04353	False	Zm00028ab001970
0.01626	False	Zm00028ab001980
0.05485	False	Zm00028ab001990
0.99691	True	Zm00028ab002000
0.83947	True	Zm00028ab002010
0.81411	True	Zm00028ab002020
0.99052	True	Zm00028ab002030
0.98907	True	Zm00028ab002040
0.78988	True	Zm00028ab002050
0.99966	True	Zm00028ab002070
0.7076	True	Zm00028ab002080
0.9988	True	Zm00028ab002090
0.98103	True	Zm00028ab002100
0.58273	True	Zm00028ab002120
0.99801	True	Zm00028ab002130
0.99135	True	Zm00028ab002140
0.33721	False	Zm00028ab002150
0.98291	True	Zm00028ab002160
0.96918	True	Zm00028ab002170
0.99881	True	Zm00028ab002180
0.97422	True	Zm00028ab002190
0.9309	True	Zm00028ab002200
0.98997	True	Zm00028ab002210
0.99851	True	Zm00028ab002220
0.99883	True	Zm00028ab002230
0.99816	True	Zm00028ab002240
0.99042	True	Zm00028ab002250
0.79922	True	Zm00028ab002270
0.32896	False	Zm00028ab002280
0.98723	True	Zm00028ab002290
0.99945	True	Zm00028ab002300
0.85834	True	Zm00028ab002310
0.99814	True	Zm00028ab002320
0.99262	True	Zm00028ab002330
0.99676	True	Zm00028ab002340
0.95468	True	Zm00028ab002350
0.99119	True	Zm00028ab002360
0.99269	True	Zm00028ab002370
0.99633	True	Zm00028ab002390
0.99247	True	Zm00028ab002400
0.01362	False	Zm00028ab002410
0.97265	True	Zm00028ab002420
0.99166	True	Zm00028ab002430
0.94001	True	Zm00028ab002440
0.99469	True	Zm00028ab002450
0.9966	True	Zm00028ab002460
0.98867	True	Zm00028ab002480
0.0033	False	Zm00028ab002490
0.13039	False	Zm00028ab002500
0.21534	False	Zm00028ab002510
0.9513	True	Zm00028ab002520
0.99921	True	Zm00028ab002530
0.9989	True	Zm00028ab002540
0.98939	True	Zm00028ab002550
0.89002	True	Zm00028ab002570
0.99933	True	Zm00028ab002580
0.99071	True	Zm00028ab002590
0.99839	True	Zm00028ab002600
0.98654	True	Zm00028ab002610
0.98893	True	Zm00028ab002620
0.99957	True	Zm00028ab002630
0.99859	True	Zm00028ab002640
0.99693	True	Zm00028ab002650
0.78513	True	Zm00028ab002660
0.99914	True	Zm00028ab002670
0.9892	True	Zm00028ab002680
0.0392	False	Zm00028ab002690
0.99939	True	Zm00028ab002700
0.99566	True	Zm00028ab002710
0.09553	False	Zm00028ab002720
0.99878	True	Zm00028ab002730
0.99567	True	Zm00028ab002740
0.98988	True	Zm00028ab002750
0.69013	True	Zm00028ab002760
0.99869	True	Zm00028ab002780
0.93706	True	Zm00028ab002800
0.9831	True	Zm00028ab002810
0.99668	True	Zm00028ab002830
0.75008	True	Zm00028ab002840
0.99913	True	Zm00028ab002860
0.00834	False	Zm00028ab002880
0.85844	True	Zm00028ab002890
0.80042	True	Zm00028ab002900
0.99748	True	Zm00028ab002910
0.98991	True	Zm00028ab002920
0.99208	True	Zm00028ab002930
0.00518	False	Zm00028ab002940
0.9349	True	Zm00028ab002950
0.97988	True	Zm00028ab002960
0.99969	True	Zm00028ab002970
0.9998	True	Zm00028ab002980
0.99939	True	Zm00028ab002990
0.99879	True	Zm00028ab003000
0.99754	True	Zm00028ab003020
0.99212	True	Zm00028ab003030
0.99915	True	Zm00028ab003040
0.98461	True	Zm00028ab003060
0.98901	True	Zm00028ab003070
0.87849	True	Zm00028ab003080
0.99951	True	Zm00028ab003090
0.23558	False	Zm00028ab003100
0.99993	True	Zm00028ab003110
0.99617	True	Zm00028ab003120
0.99597	True	Zm00028ab003130
0.99956	True	Zm00028ab003140
0.99767	True	Zm00028ab003150
0.99597	True	Zm00028ab003160
0.9999	True	Zm00028ab003170
0.9994	True	Zm00028ab003180
0.99107	True	Zm00028ab003190
0.99118	True	Zm00028ab003200
0.99201	True	Zm00028ab003210
0.98438	True	Zm00028ab003220
0.99995	True	Zm00028ab003240
0.99755	True	Zm00028ab003250
0.99788	True	Zm00028ab003260
0.98219	True	Zm00028ab003270
0.99881	True	Zm00028ab003280
0.99585	True	Zm00028ab003290
0.15995	False	Zm00028ab003300
0.03745	False	Zm00028ab003310
0.07169	False	Zm00028ab003330
0.97013	True	Zm00028ab003340
0.04317	False	Zm00028ab003350
0.99891	True	Zm00028ab003360
0.99553	True	Zm00028ab003370
0.38678	False	Zm00028ab003380
0.98311	True	Zm00028ab003390
0.98455	True	Zm00028ab003400
0.96873	True	Zm00028ab003410
0.99508	True	Zm00028ab003420
0.99661	True	Zm00028ab003430
0.97395	True	Zm00028ab003440
0.48736	False	Zm00028ab003450
0.99832	True	Zm00028ab003460
0.99087	True	Zm00028ab003470
0.98658	True	Zm00028ab003480
0.99587	True	Zm00028ab003490
0.80294	True	Zm00028ab003500
0.9777	True	Zm00028ab003510
0.98963	True	Zm00028ab003520
0.9967	True	Zm00028ab003530
0.99577	True	Zm00028ab003540
0.99251	True	Zm00028ab003550
0.97126	True	Zm00028ab003560
0.96055	True	Zm00028ab003570
0.99612	True	Zm00028ab003580
0.9665	True	Zm00028ab003590
0.97324	True	Zm00028ab003600
0.99337	True	Zm00028ab003610
0.98321	True	Zm00028ab003620
0.98464	True	Zm00028ab003630
0.99743	True	Zm00028ab003650
0.92856	True	Zm00028ab003660
0.87625	True	Zm00028ab003670
0.99529	True	Zm00028ab003680
0.98122	True	Zm00028ab003690
0.19782	False	Zm00028ab003700
0.96434	True	Zm00028ab003710
0.9992	True	Zm00028ab003720
0.96266	True	Zm00028ab003730
0.96626	True	Zm00028ab003740
0.94152	True	Zm00028ab003750
0.99689	True	Zm00028ab003760
0.98865	True	Zm00028ab003770
0.97411	True	Zm00028ab003780
0.95749	True	Zm00028ab003790
0.80521	True	Zm00028ab003800
0.91259	True	Zm00028ab003810
0.97465	True	Zm00028ab003820
0.95308	True	Zm00028ab003840
0.9723	True	Zm00028ab003860
0.93232	True	Zm00028ab003870
0.03585	False	Zm00028ab003880
0.98849	True	Zm00028ab003900
0.03716	False	Zm00028ab003910
0.97925	True	Zm00028ab003920
0.62188	True	Zm00028ab003930
0.99688	True	Zm00028ab003940
0.9082	True	Zm00028ab003950
0.99939	True	Zm00028ab003960
0.99714	True	Zm00028ab003970
0.9964	True	Zm00028ab003980
0.99988	True	Zm00028ab003990
0.67167	True	Zm00028ab004000
0.99531	True	Zm00028ab004010
0.9934	True	Zm00028ab004020
0.99645	True	Zm00028ab004040
0.98808	True	Zm00028ab004050
0.9997	True	Zm00028ab004060
0.98225	True	Zm00028ab004070
0.95449	True	Zm00028ab004080
0.91044	True	Zm00028ab004090
0.99888	True	Zm00028ab004100
0.8607	True	Zm00028ab004110
0.39848	False	Zm00028ab004120
0.93936	True	Zm00028ab004130
0.99963	True	Zm00028ab004140
0.99673	True	Zm00028ab004150
0.75009	True	Zm00028ab004160
0.75825	True	Zm00028ab004170
0.99552	True	Zm00028ab004180
0.03294	False	Zm00028ab004190
0.99223	True	Zm00028ab004200
0.77416	True	Zm00028ab004210
0.54434	True	Zm00028ab004220
0.02754	False	Zm00028ab004230
0.99579	True	Zm00028ab004240
0.9983	True	Zm00028ab004250
0.99926	True	Zm00028ab004270
0.99926	True	Zm00028ab004280
0.9983	True	Zm00028ab004290
0.98874	True	Zm00028ab004300
0.89759	True	Zm00028ab004310
0.96366	True	Zm00028ab004320
0.99909	True	Zm00028ab004330
0.99567	True	Zm00028ab004340
0.92172	True	Zm00028ab004350
0.03423	False	Zm00028ab004360
0.97838	True	Zm00028ab004370
0.59375	True	Zm00028ab004380
0.99963	True	Zm00028ab004390
0.99273	True	Zm00028ab004400
0.97867	True	Zm00028ab004410
0.98997	True	Zm00028ab004420
0.01145	False	Zm00028ab004430
0.99599	True	Zm00028ab004440
0.99678	True	Zm00028ab004450
0.99726	True	Zm00028ab004460
0.99509	True	Zm00028ab004470
0.9983	True	Zm00028ab004480
0.96468	True	Zm00028ab004490
0.99732	True	Zm00028ab004500
0.99229	True	Zm00028ab004510
0.94302	True	Zm00028ab004520
0.9467	True	Zm00028ab004530
0.99856	True	Zm00028ab004540
0.59074	True	Zm00028ab004550
0.99515	True	Zm00028ab004560
0.92244	True	Zm00028ab004570
0.9282	True	Zm00028ab004580
0.98484	True	Zm00028ab004590
0.97722	True	Zm00028ab004600
0.01698	False	Zm00028ab004610
0.98492	True	Zm00028ab004620
0.96287	True	Zm00028ab004640
0.954	True	Zm00028ab004660
0.99049	True	Zm00028ab004670
0.90319	True	Zm00028ab004680
0.85586	True	Zm00028ab004700
0.99999	True	Zm00028ab004720
0.99889	True	Zm00028ab004730
0.35942	False	Zm00028ab004740
0.86825	True	Zm00028ab004760
0.99247	True	Zm00028ab004770
0.97167	True	Zm00028ab004790
0.99923	True	Zm00028ab004800
0.80719	True	Zm00028ab004810
0.96012	True	Zm00028ab004820
0.99819	True	Zm00028ab004830
0.99873	True	Zm00028ab004850
0.98555	True	Zm00028ab004860
0.99381	True	Zm00028ab004870
0.62677	True	Zm00028ab004880
0.81147	True	Zm00028ab004890
0.51934	True	Zm00028ab004920
0.79913	True	Zm00028ab004930
0.99931	True	Zm00028ab004940
0.62496	True	Zm00028ab004950
0.9244	True	Zm00028ab004960
0.84072	True	Zm00028ab004970
0.91182	True	Zm00028ab004980
0.97014	True	Zm00028ab004990
0.81921	True	Zm00028ab005000
