LABEL	NAME	GENE_MODEL
ALACAT2-PWY	L-alanine degradation II (to D-lactate)	Zm00001eb427810;Zm00001eb060520;Zm00001eb028030;Zm00001eb085390;Zm00001eb109370;Zm00001eb118240;Zm00001eb223670;Zm00001eb223680;Zm00001eb313780;Zm00001eb327530;Zm00001eb333090;alt8;alt7
ALANINE-DEG3-PWY	L-alanine degradation III	Zm00001eb028030;Zm00001eb085390;Zm00001eb109370;Zm00001eb118240;Zm00001eb223670;Zm00001eb223680;Zm00001eb313780;Zm00001eb327530;Zm00001eb333090;alt8;alt7
ALANINE-SYN2-PWY	L-alanine biosynthesis II	Zm00001eb028030;Zm00001eb085390;Zm00001eb109370;Zm00001eb118240;Zm00001eb223670;Zm00001eb223680;Zm00001eb313780;Zm00001eb327530;Zm00001eb333090;alt8;alt7
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	Zm00001eb418690;Zm00001eb050460;Zm00001eb141220
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	Zm00001eb289500;Zm00001eb294160;Zm00001eb347680;Zm00001eb367740;Zm00001eb050460;Zm00001eb418690
ARGSPECAT-PWY	spermine biosynthesis	Zm00001eb078440;Zm00001eb184470;Zm00001eb313390;Zm00001eb313400;Zm00001eb394790;Zm00001eb400700;Zm00001eb425830;Zm00001eb204260;Zm00001eb230230;Zm00001eb383120
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	Zm00001eb160030;Zm00001eb188530;Zm00001eb252240;Zm00001eb356970;Zm00001eb440860;Zm00001eb001310;Zm00001eb001330;Zm00001eb126200;Zm00001eb188330;Zm00001eb216710;Zm00001eb252020;Zm00001eb255250;Zm00001eb257230;Zm00001eb403320;Zm00001eb419090;Zm00001eb396370;Zm00001eb411740
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	Zm00001eb012670;Zm00001eb090110;Zm00001eb161090;Zm00001eb325850;Zm00001eb353950;Zm00001eb397740;Zm00001eb404710;Zm00001eb442250;Zm00001eb442560;Zm00001eb160030;Zm00001eb188530;Zm00001eb252240;Zm00001eb356970;Zm00001eb440860;Zm00001eb012670;Zm00001eb074610;Zm00001eb186530;Zm00001eb051410;Zm00001eb264960;Zm00001eb001310;Zm00001eb001330;Zm00001eb126200;Zm00001eb188330;Zm00001eb216710;Zm00001eb252020;Zm00001eb255250;Zm00001eb257230;Zm00001eb403320;Zm00001eb419090;Zm00001eb396370;Zm00001eb411740
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	Zm00001eb013430;Zm00001eb029510;Zm00001eb036060;Zm00001eb036070;Zm00001eb103520;Zm00001eb103530;Zm00001eb163240;Zm00001eb349970;Zm00001eb349980;Zm00001eb380080;Zm00001eb396990
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	Zm00001eb068280;Zm00001eb144460;Zm00001eb278900;Zm00001eb332070;Zm00001eb362310;Zm00001eb433970;Zm00001eb185550;Zm00001d017352;Zm00001d017352
ASPARTATE-DEG1-PWY	L-aspartate degradation I	Zm00001eb146400;Zm00001eb152450;Zm00001eb238900;Zm00001d018386;Zm00001eb348660;Zm00001d018386
ASPARTATESYN-PWY	L-aspartate biosynthesis	Zm00001eb146400;Zm00001eb152450;Zm00001eb238900;Zm00001d018386;Zm00001eb348660;Zm00001d018386
ASPSYNII-PWY	cyanide detoxification I	Zm00001eb185550;Zm00001d017352;Zm00001d017352;Zm00001eb185550;Zm00001d017352;Zm00001d017352;Zm00001eb088500
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	Zm00001eb078440;Zm00001eb184470;Zm00001eb313390;Zm00001eb313400;Zm00001eb394790;Zm00001eb400700;Zm00001eb425830;Zm00001eb094730;Zm00001eb204260;Zm00001eb230230;Zm00001eb305710;Zm00001eb356750
CALVIN-PWY	Calvin-Benson-Bassham cycle	Zm00001eb029080;Zm00001eb162780;Zm00001eb213570;Zm00001eb301210;Zm00001eb072030;Zm00001eb188120;Zm00001eb251520;Zm00001eb005330;Zm00001eb317710;Zm00001eb402390;Zm00001eb147750;Zm00001eb378030;Zm00001eb086870;Zm00001eb378030;Zm00001eb389880;Zm00001eb011940;Zm00001eb146750;Zm00001eb348530;Zm00001eb389720;Zm00001eb010390;Zm00001eb085480;Zm00001eb126080;Zm00001eb144240;Zm00001eb171950;Zm00001eb188850;Zm00001eb200910;Zm00001eb334740;Zm00001eb365200;Zm00001eb386660;Zm00001eb408010;Zm00001eb103580;Zm00001eb124410;Zm00001eb301990;Zm00001eb319770;Zm00001eb335870;Zm00001eb346020;Zm00001eb367890;Zm00001eb002270;Zm00001eb080840;Zm00001eb424110;Zm00001eb424150;Zm00001eb424190;Zm00001eb047240;Zm00001eb150720;Zm00001eb233070;Zm00001eb291670;Zm00001eb352550;Zm00001eb027490;Zm00001eb039150;Zm00001eb092540;Zm00001eb105250;Zm00001eb105260;Zm00001eb187470;Zm00001eb197410;Zm00001eb282050;Zm00001eb380210;Zm00001eb434690;Zm00001eb434910;Zm00001eb435060;Zm00001eb435180;Zm00001eb435390;Zm00001eb435650;Zm00001eb436750;Zm00001eb437070;Zm00001eb437190;Zm00001eb437970;Zm00001eb438360;Zm00001eb439980;Zm00001eb440340;Zm00001eb440790;Zm00001eb440970
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	Zm00001eb015790;Zm00001eb129000;Zm00001eb332650;Zm00001eb015790;Zm00001eb129000;Zm00001eb332650;Zm00001eb015790;Zm00001eb129000;Zm00001eb332650;Zm00001d002358;Zm00001d026277;Zm00001d026277;Zm00001d002358;Zm00001eb269720;Zm00001eb066400;Zm00001eb066410;Zm00001eb212250;oy1;Zm00001eb433610;l13;oy1;Zm00001d029074;Zm00001eb160660;Zm00001eb358460;Zm00001eb358470;Zm00001eb358500;Zm00001eb358510;Zm00001eb360150;Zm00001d029074;Zm00001eb078900;Zm00001eb129560;Zm00001eb332380
