LABEL	NAME	GENE_MODEL
P	plant_color_component_at_R	Zm00001eb429330
a	anthocyaninless	Zm00001eb159020;Zm00001eb229190;Zm00001eb359030
aaa	adenosylmethionine_aminotransferase	Zm00001eb070860
aaap	amino_acid/auxin_permease	Zm00001eb029450;Zm00001eb039240;Zm00001eb067590;Zm00001eb069510;Zm00001eb074030;Zm00001eb080050;Zm00001eb080600;Zm00001eb080770;Zm00001eb087950;Zm00001eb090970;Zm00001eb132750;Zm00001eb136330;Zm00001eb138770;Zm00001eb138780;Zm00001eb138820;Zm00001eb144010;Zm00001eb145670;Zm00001eb145880;Zm00001eb147400;Zm00001eb159580;Zm00001eb161250;Zm00001eb161260;Zm00001eb173390;Zm00001eb178270;Zm00001eb189540;Zm00001eb192710;Zm00001eb202080;Zm00001eb234980;Zm00001eb250210;Zm00001eb253110;Zm00001eb257440;Zm00001eb257490;Zm00001eb261470;Zm00001eb261490;Zm00001eb261500;Zm00001eb261510;Zm00001eb264210;Zm00001eb277520;Zm00001eb278120;Zm00001eb279680;Zm00001eb284440;Zm00001eb297990;Zm00001eb299500;Zm00001eb303770;Zm00001eb349050;Zm00001eb366300;Zm00001eb366310;Zm00001eb368680;Zm00001eb380520;Zm00001eb384590;Zm00001eb384620;Zm00001eb386970;Zm00001eb387570;Zm00001eb404730;Zm00001eb408350;Zm00001eb408360;Zm00001eb408380;Zm00001eb408430;Zm00001eb412940;Zm00001eb424670;Zm00001eb429100;Zm00001eb429210
aae	acyl-activating_enzyme	Zm00001eb064380
aap	acylaminoacyl-peptidase	Zm00001eb373080
aas	auxin_amido_synthetase	Zm00001eb020510;Zm00001eb108330;Zm00001eb113360;Zm00001eb119720;Zm00001eb119730;Zm00001eb119750;Zm00001eb151250;Zm00001eb152200;Zm00001eb326420;Zm00001eb330350;Zm00001eb338800;Zm00001eb344950;Zm00001eb352750;Zm00001eb358430
aasr	abscisic_acid_stress_ripening	Zm00001eb083180;Zm00001eb091920;Zm00001eb131480;Zm00001eb131490;Zm00001eb131500;Zm00001eb243310;Zm00001eb263060;Zm00001eb407710;Zm00001eb422400
aat	anthocyanin_acyltransferase	Zm00001eb065210
aatr	amino_acid_transporter	Zm00001eb090330
abc	ABC(yeast)_homolog;aberrant_chloroplast_development	Zm00001eb006830;Zm00001eb191420
abcf	ABC_family	Zm00001eb115000
abcg	ABC_transporter_G_family_member	Zm00001eb012880;Zm00001eb075940
abf	alpha-L-arabinofuranosidase	Zm00001eb015240;Zm00001eb088900;Zm00001eb111760;Zm00001eb115670;Zm00001eb163530;Zm00001eb168050;Zm00001eb196100
abh	abscisic_acid_8'-hydroxylase	Zm00001eb100780;Zm00001eb176720;Zm00001eb188270;Zm00001eb251960;Zm00001eb314900
