SCORE	NAME	GENE_MODEL
0.77173	True	Zm00029ab000010
0.93258	True	Zm00029ab000020
0.9962	True	Zm00029ab000040
0.25179	False	Zm00029ab000060
0.99903	True	Zm00029ab000070
0.97407	True	Zm00029ab000080
0.99939	True	Zm00029ab000090
0.99324	True	Zm00029ab000100
0.41707	False	Zm00029ab000120
0.84567	True	Zm00029ab000130
0.25475	False	Zm00029ab000140
0.61718	True	Zm00029ab000170
0.99826	True	Zm00029ab000180
0.98348	True	Zm00029ab000190
0.98156	True	Zm00029ab000200
0.99338	True	Zm00029ab000210
0.99955	True	Zm00029ab000220
0.8506	True	Zm00029ab000230
0.99804	True	Zm00029ab000240
0.99178	True	Zm00029ab000250
0.99076	True	Zm00029ab000260
0.99309	True	Zm00029ab000270
0.16765	False	Zm00029ab000280
0.54137	True	Zm00029ab000300
0.88619	True	Zm00029ab000310
0.88846	True	Zm00029ab000320
0.74144	True	Zm00029ab000330
0.95923	True	Zm00029ab000340
0.15324	False	Zm00029ab000360
0.9995	True	Zm00029ab000370
0.99076	True	Zm00029ab000380
0.99178	True	Zm00029ab000390
0.99843	True	Zm00029ab000400
0.16143	False	Zm00029ab000410
0.99934	True	Zm00029ab000420
0.98348	True	Zm00029ab000430
0.91369	True	Zm00029ab000440
0.99885	True	Zm00029ab000450
0.9948	True	Zm00029ab000460
0.93574	True	Zm00029ab000470
0.64935	True	Zm00029ab000480
0.9994	True	Zm00029ab000490
0.99047	True	Zm00029ab000500
0.76727	True	Zm00029ab000510
0.46238	False	Zm00029ab000520
0.0626	False	Zm00029ab000550
0.99871	True	Zm00029ab000560
0.99875	True	Zm00029ab000570
0.99213	True	Zm00029ab000590
0.83894	True	Zm00029ab000600
0.02079	False	Zm00029ab000610
0.99111	True	Zm00029ab000620
0.99709	True	Zm00029ab000630
0.99902	True	Zm00029ab000640
0.99949	True	Zm00029ab000650
0.98556	True	Zm00029ab000660
0.97941	True	Zm00029ab000670
0.54394	True	Zm00029ab000680
0.95103	True	Zm00029ab000690
0.99879	True	Zm00029ab000700
0.17017	False	Zm00029ab000710
0.57823	True	Zm00029ab000720
0.00202	False	Zm00029ab000730
0.99991	True	Zm00029ab000740
0.0923	False	Zm00029ab000750
0.97111	True	Zm00029ab000760
0.99913	True	Zm00029ab000770
0.99352	True	Zm00029ab000790
0.98417	True	Zm00029ab000800
0.85391	True	Zm00029ab000820
0.97457	True	Zm00029ab000830
0.99756	True	Zm00029ab000850
0.99972	True	Zm00029ab000860
0.06253	False	Zm00029ab000870
0.93922	True	Zm00029ab000880
0.92672	True	Zm00029ab000890
0.94291	True	Zm00029ab000900
0.9992	True	Zm00029ab000920
0.98912	True	Zm00029ab000930
0.99911	True	Zm00029ab000940
0.87762	True	Zm00029ab000950
0.91088	True	Zm00029ab000960
0.92748	True	Zm00029ab000970
0.99553	True	Zm00029ab000980
0.52876	True	Zm00029ab000990
0.99871	True	Zm00029ab001000
0.99994	True	Zm00029ab001010
