LABEL	NAME	GENE_MODEL
IPR000007	Tubby, C-terminal	Zm00033ab310470;Zm00033ab155000;Zm00033ab155000;Zm00033ab155000;Zm00033ab155000;Zm00033ab155000;Zm00033ab214850;Zm00033ab214850;Zm00033ab214850;Zm00033ab214850;Zm00033ab130100;Zm00033ab130100;Zm00033ab400900;Zm00033ab400900;Zm00033ab381700;Zm00033ab381700;Zm00033ab381700;Zm00033ab200240;Zm00033ab266900;Zm00033ab266900;Zm00033ab011660;Zm00033ab011660;Zm00033ab018000;Zm00033ab018000;Zm00033ab018000;Zm00033ab079640;Zm00033ab166430;Zm00033ab166430;Zm00033ab166430;Zm00033ab166430;Zm00033ab166430;Zm00033ab166430;Zm00033ab431240;Zm00033ab431240;Zm00033ab431240;Zm00033ab431240;Zm00033ab431240;Zm00033ab431240;Zm00033ab210920;Zm00033ab210920;Zm00033ab306630;Zm00033ab306630;Zm00033ab306630;Zm00033ab306630;Zm00033ab306630;Zm00033ab247530;Zm00033ab247530
IPR000008	C2 domain	Zm00033ab409400;Zm00033ab316500;Zm00033ab316500;Zm00033ab316500;Zm00033ab274010;Zm00033ab274010;Zm00033ab274010;Zm00033ab274010;Zm00033ab409400;Zm00033ab274010;Zm00033ab274010;Zm00033ab274010;Zm00033ab274010;Zm00033ab213560;Zm00033ab213560;Zm00033ab213560;Zm00033ab293400;Zm00033ab293400;Zm00033ab293400;Zm00033ab306890;Zm00033ab306890;Zm00033ab306890;Zm00033ab306890;Zm00033ab306890;Zm00033ab306890;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab385160;Zm00033ab385160;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab069020;Zm00033ab150020;Zm00033ab156660;Zm00033ab292910;Zm00033ab292910;Zm00033ab292910;Zm00033ab292910;Zm00033ab292910;Zm00033ab292910;Zm00033ab292910;Zm00033ab292910;Zm00033ab292910;Zm00033ab198420;Zm00033ab198420;Zm00033ab198420;Zm00033ab109400;Zm00033ab109400;Zm00033ab249920;Zm00033ab249920;Zm00033ab249920;Zm00033ab249920;Zm00033ab109400;Zm00033ab109400;Zm00033ab022310;Zm00033ab408690;Zm00033ab408690;Zm00033ab408690;Zm00033ab408690;Zm00033ab408690;Zm00033ab022310;Zm00033ab451470;Zm00033ab451470;Zm00033ab451470;Zm00033ab326790;Zm00033ab326790;Zm00033ab080080;Zm00033ab080080;Zm00033ab080080;Zm00033ab083930;Zm00033ab083930;Zm00033ab083930;Zm00033ab326790;Zm00033ab326790;Zm00033ab326790;Zm00033ab080080;Zm00033ab080080;Zm00033ab080080;Zm00033ab080080;Zm00033ab326790;Zm00033ab326790;Zm00033ab326790;Zm00033ab326790;Zm00033ab256390;Zm00033ab256390;Zm00033ab256390;Zm00033ab256390;Zm00033ab256390;Zm00033ab256390;Zm00033ab256390;Zm00033ab256390;Zm00033ab256390;Zm00033ab256390;Zm00033ab256390;Zm00033ab293560;Zm00033ab231010;Zm00033ab231010;Zm00033ab231010;Zm00033ab231010;Zm00033ab083770;Zm00033ab083770;Zm00033ab083770;Zm00033ab083770;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab410540;Zm00033ab350120;Zm00033ab113530;Zm00033ab113530;Zm00033ab113530;Zm00033ab113530;Zm00033ab113530;Zm00033ab158200;Zm00033ab109590;Zm00033ab296830;Zm00033ab296830;Zm00033ab298430;Zm00033ab298430;Zm00033ab298430;Zm00033ab298430;Zm00033ab298430;Zm00033ab298430;Zm00033ab338130;Zm00033ab210070;Zm00033ab210070;Zm00033ab326200;Zm00033ab341450;Zm00033ab267920;Zm00033ab267920;Zm00033ab267920;Zm00033ab267920;Zm00033ab267920;Zm00033ab009190;Zm00033ab009190;Zm00033ab009190;Zm00033ab318370;Zm00033ab318370;Zm00033ab318370;Zm00033ab318370;Zm00033ab129050;Zm00033ab129050;Zm00033ab129050;Zm00033ab129050;Zm00033ab129050;Zm00033ab129050;Zm00033ab129050;Zm00033ab129050;Zm00033ab129050;Zm00033ab345540;Zm00033ab345540;Zm00033ab345540;Zm00033ab357180;Zm00033ab357180;Zm00033ab357180;Zm00033ab351640;Zm00033ab393970;Zm00033ab203590;Zm00033ab096170;Zm00033ab096170;Zm00033ab096170;Zm00033ab096170;Zm00033ab096170;Zm00033ab110650;Zm00033ab110650;Zm00033ab110650;Zm00033ab110650;Zm00033ab110650;Zm00033ab250030;Zm00033ab250030;Zm00033ab250030;Zm00033ab250030;Zm00033ab250030;Zm00033ab463910;Zm00033ab323880;Zm00033ab323880;Zm00033ab323880;Zm00033ab079260;Zm00033ab079260;Zm00033ab341080;Zm00033ab341080;Zm00033ab341080;Zm00033ab341080;Zm00033ab197360;Zm00033ab197360;Zm00033ab201060;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab201060;Zm00033ab201060;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab025930;Zm00033ab201060;Zm00033ab201060;Zm00033ab201060;Zm00033ab014340;Zm00033ab242320;Zm00033ab408340;Zm00033ab408340;Zm00033ab071970;Zm00033ab071970;Zm00033ab132120;Zm00033ab132120;Zm00033ab132120;Zm00033ab132120;Zm00033ab132120;Zm00033ab132120;Zm00033ab384200;Zm00033ab424140;Zm00033ab424140;Zm00033ab424140;Zm00033ab378680;Zm00033ab378680;Zm00033ab378680;Zm00033ab378680;Zm00033ab302740;Zm00033ab111210;Zm00033ab035730;Zm00033ab035730;Zm00033ab035730;Zm00033ab035730;Zm00033ab035730;Zm00033ab035730;Zm00033ab035730;Zm00033ab011630;Zm00033ab351970;Zm00033ab351970;Zm00033ab351970;Zm00033ab351970;Zm00033ab351970;Zm00033ab351970;Zm00033ab304400;Zm00033ab304400;Zm00033ab101030;Zm00033ab215680;Zm00033ab215680;Zm00033ab215680;Zm00033ab215680;Zm00033ab369490;Zm00033ab369490;Zm00033ab369490;Zm00033ab459300;Zm00033ab380000;Zm00033ab416900;Zm00033ab416900;Zm00033ab416900;Zm00033ab416900;Zm00033ab416900;Zm00033ab416900;Zm00033ab293630;Zm00033ab001580;Zm00033ab001580;Zm00033ab001580;Zm00033ab041020;Zm00033ab318330;Zm00033ab318330;Zm00033ab318330;Zm00033ab318330;Zm00033ab318330;Zm00033ab318330;Zm00033ab318330;Zm00033ab300430;Zm00033ab300430;Zm00033ab242330;Zm00033ab242330;Zm00033ab384590;Zm00033ab384590;Zm00033ab384590;Zm00033ab198460;Zm00033ab198460;Zm00033ab019870;Zm00033ab019870;Zm00033ab459440;Zm00033ab019870;Zm00033ab019870;Zm00033ab019870;Zm00033ab019870;Zm00033ab019870;Zm00033ab019870;Zm00033ab019870;Zm00033ab093870;Zm00033ab415090;Zm00033ab302630;Zm00033ab302630;Zm00033ab403080;Zm00033ab403080;Zm00033ab415090;Zm00033ab415090;Zm00033ab302630;Zm00033ab302630;Zm00033ab261000;Zm00033ab104910;Zm00033ab061980;Zm00033ab108360;Zm00033ab202770;Zm00033ab117690;Zm00033ab117690;Zm00033ab117690;Zm00033ab117690;Zm00033ab292940;Zm00033ab292940;Zm00033ab292940;Zm00033ab202770;Zm00033ab117690;Zm00033ab356990;Zm00033ab356990;Zm00033ab115840;Zm00033ab115840;Zm00033ab243550;Zm00033ab243550;Zm00033ab243550;Zm00033ab138750;Zm00033ab115840;Zm00033ab115840;Zm00033ab238430;Zm00033ab238430;Zm00033ab238430;Zm00033ab238430;Zm00033ab238430;Zm00033ab169160;Zm00033ab102290;Zm00033ab388590;Zm00033ab102290
IPR000010	Cystatin domain	Zm00033ab390780;Zm00033ab353020;Zm00033ab353020;Zm00033ab021860;Zm00033ab425200;Zm00033ab021880;Zm00033ab390770;Zm00033ab021870;Zm00033ab386320;Zm00033ab386320;Zm00033ab178770;Zm00033ab006460;Zm00033ab309030;Zm00033ab425220;Zm00033ab305370;Zm00033ab305370;Zm00033ab305370;Zm00033ab305370;Zm00033ab425250;Zm00033ab390760;Zm00033ab006430;Zm00033ab370460;Zm00033ab370460;Zm00033ab178750
IPR000014	PAS domain	Zm00033ab239230;Zm00033ab239230;Zm00033ab239230;Zm00033ab174830;Zm00033ab174830;Zm00033ab290370;Zm00033ab045120;Zm00033ab045120;Zm00033ab127720;Zm00033ab127720;Zm00033ab127720;Zm00033ab127720;Zm00033ab127720;Zm00033ab127720;Zm00033ab127720;Zm00033ab127720;Zm00033ab127720;Zm00033ab127720;Zm00033ab213980;Zm00033ab172750;Zm00033ab172750;Zm00033ab172750;Zm00033ab172750;Zm00033ab119500;Zm00033ab245640
IPR000023	Phosphofructokinase domain	Zm00033ab267420;Zm00033ab267420;Zm00033ab267420;Zm00033ab267420;Zm00033ab162910;Zm00033ab043570;Zm00033ab043570;Zm00033ab043570;Zm00033ab043570;Zm00033ab162910;Zm00033ab043570;Zm00033ab200810;Zm00033ab200810;Zm00033ab051140;Zm00033ab104790;Zm00033ab104790;Zm00033ab104790;Zm00033ab398700;Zm00033ab104790;Zm00033ab104790;Zm00033ab104790;Zm00033ab297540;Zm00033ab357590;Zm00033ab357590;Zm00033ab092730;Zm00033ab092730;Zm00033ab449900;Zm00033ab084140;Zm00033ab287840;Zm00033ab287840;Zm00033ab287840;Zm00033ab287840;Zm00033ab287840;Zm00033ab371070;Zm00033ab045380;Zm00033ab045380;Zm00033ab045380;Zm00033ab404040;Zm00033ab404040;Zm00033ab404040;Zm00033ab404040;Zm00033ab404040;Zm00033ab404040;Zm00033ab301620;Zm00033ab127430;Zm00033ab393250;Zm00033ab327870;Zm00033ab311180;Zm00033ab327870;Zm00033ab327870
IPR000031	PurE domain	Zm00033ab126620;Zm00033ab302090
IPR000043	Adenosylhomocysteinase-like	Zm00033ab179890;Zm00033ab179890
IPR000048	IQ motif, EF-hand binding site	Zm00033ab217180;Zm00033ab217180;Zm00033ab170170;Zm00033ab170170;Zm00033ab170170;Zm00033ab170170;Zm00033ab170170;Zm00033ab317300;Zm00033ab364560;Zm00033ab444280;Zm00033ab444280;Zm00033ab249740;Zm00033ab249740;Zm00033ab132560;Zm00033ab132560;Zm00033ab311720;Zm00033ab155390;Zm00033ab241950;Zm00033ab241950;Zm00033ab142900;Zm00033ab142900;Zm00033ab142900;Zm00033ab142900;Zm00033ab227380;Zm00033ab227380;Zm00033ab227380;Zm00033ab227380;Zm00033ab029810;Zm00033ab029810;Zm00033ab267740;Zm00033ab364970;Zm00033ab364970;Zm00033ab326550;Zm00033ab326550;Zm00033ab387080;Zm00033ab387080;Zm00033ab300800;Zm00033ab300800;Zm00033ab127470;Zm00033ab127470;Zm00033ab451070;Zm00033ab451070;Zm00033ab262420;Zm00033ab262420;Zm00033ab410760;Zm00033ab410760;Zm00033ab398200;Zm00033ab398200;Zm00033ab151040;Zm00033ab151040;Zm00033ab151040;Zm00033ab151040;Zm00033ab151040;Zm00033ab151040;Zm00033ab151040;Zm00033ab151040;Zm00033ab349850;Zm00033ab349850;Zm00033ab023480;Zm00033ab250430;Zm00033ab250430;Zm00033ab415000;Zm00033ab415000;Zm00033ab415000;Zm00033ab415000;Zm00033ab426440;Zm00033ab426440;Zm00033ab426440;Zm00033ab426440;Zm00033ab426440;Zm00033ab426440;Zm00033ab415000;Zm00033ab415000;Zm00033ab415000;Zm00033ab415000;Zm00033ab033960;Zm00033ab033960;Zm00033ab033960;Zm00033ab033960;Zm00033ab033960;Zm00033ab033960;Zm00033ab033960;Zm00033ab205210;Zm00033ab205210;Zm00033ab205210;Zm00033ab205210;Zm00033ab205210;Zm00033ab162920;Zm00033ab162920;Zm00033ab162680;Zm00033ab162680;Zm00033ab162680;Zm00033ab162680;Zm00033ab162680;Zm00033ab162680;Zm00033ab162680;Zm00033ab162680;Zm00033ab148200;Zm00033ab148200;Zm00033ab037180;Zm00033ab037180;Zm00033ab247150;Zm00033ab247150;Zm00033ab393750;Zm00033ab393750;Zm00033ab393750;Zm00033ab370990;Zm00033ab370990;Zm00033ab370990;Zm00033ab370990;Zm00033ab191250;Zm00033ab191250;Zm00033ab370990;Zm00033ab370990;Zm00033ab370990;Zm00033ab370990;Zm00033ab370990;Zm00033ab370990;Zm00033ab118820;Zm00033ab233930;Zm00033ab233930;Zm00033ab233930;Zm00033ab456300;Zm00033ab456300;Zm00033ab233930;Zm00033ab233930;Zm00033ab233930;Zm00033ab342540;Zm00033ab342540;Zm00033ab342540;Zm00033ab342540;Zm00033ab342540;Zm00033ab342540;Zm00033ab342540;Zm00033ab233930;Zm00033ab233930;Zm00033ab233930;Zm00033ab458270;Zm00033ab320650;Zm00033ab320650;Zm00033ab296640;Zm00033ab296640;Zm00033ab225860;Zm00033ab225860;Zm00033ab225860;Zm00033ab225860;Zm00033ab225860;Zm00033ab225860;Zm00033ab225860;Zm00033ab225860;Zm00033ab225860;Zm00033ab225860;Zm00033ab315440;Zm00033ab315440;Zm00033ab179920;Zm00033ab186820;Zm00033ab312180;Zm00033ab312180;Zm00033ab047820;Zm00033ab047820;Zm00033ab047820;Zm00033ab047820;Zm00033ab047820;Zm00033ab047820;Zm00033ab017240;Zm00033ab017240;Zm00033ab351550;Zm00033ab351550;Zm00033ab392810;Zm00033ab341330;Zm00033ab341330;Zm00033ab341330;Zm00033ab442240;Zm00033ab028400;Zm00033ab028400;Zm00033ab050520;Zm00033ab050520;Zm00033ab411960;Zm00033ab411960;Zm00033ab357630;Zm00033ab357630;Zm00033ab117610;Zm00033ab117610;Zm00033ab343970;Zm00033ab343970;Zm00033ab130870;Zm00033ab130870;Zm00033ab343970;Zm00033ab183920;Zm00033ab183920;Zm00033ab196730;Zm00033ab196730;Zm00033ab386480;Zm00033ab386480;Zm00033ab235850;Zm00033ab235850;Zm00033ab070570;Zm00033ab070570;Zm00033ab070570;Zm00033ab070570;Zm00033ab233300;Zm00033ab233300;Zm00033ab011980;Zm00033ab011980;Zm00033ab393240;Zm00033ab393240;Zm00033ab164920;Zm00033ab164920;Zm00033ab148440;Zm00033ab148440;Zm00033ab311290;Zm00033ab311290;Zm00033ab089850;Zm00033ab089850;Zm00033ab339070;Zm00033ab339070;Zm00033ab089850;Zm00033ab089850;Zm00033ab370310;Zm00033ab370310;Zm00033ab102830;Zm00033ab102830;Zm00033ab156280;Zm00033ab156280;Zm00033ab214550;Zm00033ab214550;Zm00033ab280510;Zm00033ab280510;Zm00033ab307430;Zm00033ab307430;Zm00033ab007810;Zm00033ab007810;Zm00033ab007810;Zm00033ab007810;Zm00033ab312680;Zm00033ab312680;Zm00033ab242800;Zm00033ab242800;Zm00033ab007810;Zm00033ab007810;Zm00033ab196740;Zm00033ab196740;Zm00033ab324140;Zm00033ab324140;Zm00033ab324140;Zm00033ab324140;Zm00033ab324140;Zm00033ab045770;Zm00033ab045770;Zm00033ab236360;Zm00033ab453890;Zm00033ab453890;Zm00033ab453890;Zm00033ab453890;Zm00033ab376380;Zm00033ab376380;Zm00033ab376380;Zm00033ab233320;Zm00033ab233320;Zm00033ab374870;Zm00033ab374870;Zm00033ab311640;Zm00033ab311640;Zm00033ab311640;Zm00033ab311640;Zm00033ab311640;Zm00033ab311640;Zm00033ab311640;Zm00033ab311640;Zm00033ab281210;Zm00033ab281210;Zm00033ab378260;Zm00033ab378260;Zm00033ab378260;Zm00033ab378260;Zm00033ab378260;Zm00033ab378260;Zm00033ab378260;Zm00033ab378260;Zm00033ab378260;Zm00033ab378260;Zm00033ab425710;Zm00033ab334900;Zm00033ab018260;Zm00033ab053820;Zm00033ab053820;Zm00033ab284670;Zm00033ab284670;Zm00033ab295420;Zm00033ab295420;Zm00033ab095570;Zm00033ab360210;Zm00033ab360210;Zm00033ab205140;Zm00033ab068500;Zm00033ab068500;Zm00033ab068500;Zm00033ab068500;Zm00033ab012000;Zm00033ab012000;Zm00033ab068500;Zm00033ab068500;Zm00033ab068500;Zm00033ab068500;Zm00033ab384970;Zm00033ab384970;Zm00033ab164400;Zm00033ab077150;Zm00033ab299340;Zm00033ab382750;Zm00033ab382750;Zm00033ab333370;Zm00033ab333370;Zm00033ab311930;Zm00033ab281760;Zm00033ab281760;Zm00033ab281760;Zm00033ab281760;Zm00033ab112540;Zm00033ab157260;Zm00033ab157260;Zm00033ab157260;Zm00033ab157260;Zm00033ab157260;Zm00033ab157260;Zm00033ab157260;Zm00033ab153300;Zm00033ab446120;Zm00033ab446120;Zm00033ab446120;Zm00033ab446120;Zm00033ab274070;Zm00033ab274070;Zm00033ab274070;Zm00033ab274070;Zm00033ab274070;Zm00033ab274070;Zm00033ab164080;Zm00033ab164080;Zm00033ab164080;Zm00033ab164080;Zm00033ab164080;Zm00033ab164080;Zm00033ab164080;Zm00033ab164080;Zm00033ab377710;Zm00033ab377710;Zm00033ab377710;Zm00033ab377710;Zm00033ab377710;Zm00033ab377710;Zm00033ab409180;Zm00033ab409180;Zm00033ab370870;Zm00033ab370870;Zm00033ab053190;Zm00033ab053190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab063190;Zm00033ab236660;Zm00033ab236660;Zm00033ab236660;Zm00033ab236660;Zm00033ab236660;Zm00033ab236660;Zm00033ab236660;Zm00033ab236660;Zm00033ab127240;Zm00033ab236660;Zm00033ab236660;Zm00033ab236660;Zm00033ab236660;Zm00033ab127240;Zm00033ab347670;Zm00033ab347670;Zm00033ab347670;Zm00033ab347670;Zm00033ab347670;Zm00033ab347670;Zm00033ab029000;Zm00033ab029000;Zm00033ab029000;Zm00033ab029000;Zm00033ab029000;Zm00033ab029000;Zm00033ab029000;Zm00033ab029000;Zm00033ab029000;Zm00033ab029000
IPR000054	Ribosomal protein L31e	Zm00033ab403860;Zm00033ab267670;Zm00033ab201180;Zm00033ab201180;Zm00033ab036860
IPR000056	Ribulose-phosphate 3-epimerase-like	Zm00033ab425460;Zm00033ab425460;Zm00033ab425460;Zm00033ab006160;Zm00033ab006160;Zm00033ab006160;Zm00033ab006160;Zm00033ab006160;Zm00033ab337290;Zm00033ab337290;Zm00033ab337290
