LABEL	NAME	GENE_MODEL
5.0	Land Plants (Embryophyta)	Zm00039ab000010
2.0	Domain: Eukaryota	Zm00039ab000020
5.0	Land Plants (Embryophyta)	Zm00039ab000040
11.0	Tribe: Andropogoneae	Zm00039ab000050
6.0	Class: Magnoliopsida	Zm00039ab000060
1.0	Cellular organisms	Zm00039ab000070
1.0	Cellular organisms	Zm00039ab000080
14.0	Subspecies: Zea mays mays	Zm00039ab000100
9.0	Family: Poaceae	Zm00039ab000110
5.0	Land Plants (Embryophyta)	Zm00039ab000130
14.0	Subspecies: Zea mays mays	Zm00039ab000140
1.0	Cellular organisms	Zm00039ab000160
4.0	Phylum: Streptophyta	Zm00039ab000170
5.0	Land Plants (Embryophyta)	Zm00039ab000190
1.0	Cellular organisms	Zm00039ab000200
7.0	Monocots (Liliopsida)	Zm00039ab000220
1.0	Cellular organisms	Zm00039ab000230
2.0	Domain: Eukaryota	Zm00039ab000240
2.0	Domain: Eukaryota	Zm00039ab000250
1.0	Cellular organisms	Zm00039ab000260
9.0	Family: Poaceae	Zm00039ab000270
4.0	Phylum: Streptophyta	Zm00039ab000280
1.0	Cellular organisms	Zm00039ab000300
5.0	Land Plants (Embryophyta)	Zm00039ab000310
1.0	Cellular organisms	Zm00039ab000320
1.0	Cellular organisms	Zm00039ab000330
3.0	Kingdom: Viridiplantae	Zm00039ab000340
2.0	Domain: Eukaryota	Zm00039ab000360
1.0	Cellular organisms	Zm00039ab000380
3.0	Kingdom: Viridiplantae	Zm00039ab000390
3.0	Kingdom: Viridiplantae	Zm00039ab000400
1.0	Cellular organisms	Zm00039ab000410
1.0	Cellular organisms	Zm00039ab000420
1.0	Cellular organisms	Zm00039ab000430
4.0	Phylum: Streptophyta	Zm00039ab000440
5.0	Land Plants (Embryophyta)	Zm00039ab000450
6.0	Class: Magnoliopsida	Zm00039ab000460
5.0	Land Plants (Embryophyta)	Zm00039ab000470
5.0	Land Plants (Embryophyta)	Zm00039ab000480
5.0	Land Plants (Embryophyta)	Zm00039ab000490
1.0	Cellular organisms	Zm00039ab000500
2.0	Domain: Eukaryota	Zm00039ab000510
5.0	Land Plants (Embryophyta)	Zm00039ab000520
1.0	Cellular organisms	Zm00039ab000530
2.0	Domain: Eukaryota	Zm00039ab000540
14.0	Subspecies: Zea mays mays	Zm00039ab000550
6.0	Class: Magnoliopsida	Zm00039ab000560
14.0	Subspecies: Zea mays mays	Zm00039ab000570
2.0	Domain: Eukaryota	Zm00039ab000580
1.0	Cellular organisms	Zm00039ab000600
1.0	Cellular organisms	Zm00039ab000610
4.0	Phylum: Streptophyta	Zm00039ab000620
2.0	Domain: Eukaryota	Zm00039ab000630
1.0	Cellular organisms	Zm00039ab000640
2.0	Domain: Eukaryota	Zm00039ab000660
3.0	Kingdom: Viridiplantae	Zm00039ab000670
2.0	Domain: Eukaryota	Zm00039ab000680
4.0	Phylum: Streptophyta	Zm00039ab000690
2.0	Domain: Eukaryota	Zm00039ab000700
5.0	Land Plants (Embryophyta)	Zm00039ab000710
4.0	Phylum: Streptophyta	Zm00039ab000720
2.0	Domain: Eukaryota	Zm00039ab000730
1.0	Cellular organisms	Zm00039ab000740
1.0	Cellular organisms	Zm00039ab000750
4.0	Phylum: Streptophyta	Zm00039ab000760
1.0	Cellular organisms	Zm00039ab000770
5.0	Land Plants (Embryophyta)	Zm00039ab000780
6.0	Class: Magnoliopsida	Zm00039ab000790
2.0	Domain: Eukaryota	Zm00039ab000800
2.0	Domain: Eukaryota	Zm00039ab000810
2.0	Domain: Eukaryota	Zm00039ab000820
2.0	Domain: Eukaryota	Zm00039ab000830
5.0	Land Plants (Embryophyta)	Zm00039ab000840
4.0	Phylum: Streptophyta	Zm00039ab000850
6.0	Class: Magnoliopsida	Zm00039ab000860
2.0	Domain: Eukaryota	Zm00039ab000870
4.0	Phylum: Streptophyta	Zm00039ab000890
6.0	Class: Magnoliopsida	Zm00039ab000900
6.0	Class: Magnoliopsida	Zm00039ab000910
4.0	Phylum: Streptophyta	Zm00039ab000920
2.0	Domain: Eukaryota	Zm00039ab000930
6.0	Class: Magnoliopsida	Zm00039ab000950
3.0	Kingdom: Viridiplantae	Zm00039ab000960
6.0	Class: Magnoliopsida	Zm00039ab000980
1.0	Cellular organisms	Zm00039ab000990
1.0	Cellular organisms	Zm00039ab001000
9.0	Family: Poaceae	Zm00039ab001010
2.0	Domain: Eukaryota	Zm00039ab001020
5.0	Land Plants (Embryophyta)	Zm00039ab001030
2.0	Domain: Eukaryota	Zm00039ab001040
3.0	Kingdom: Viridiplantae	Zm00039ab001050
5.0	Land Plants (Embryophyta)	Zm00039ab001060
1.0	Cellular organisms	Zm00039ab001070
6.0	Class: Magnoliopsida	Zm00039ab001080
4.0	Phylum: Streptophyta	Zm00039ab001090
2.0	Domain: Eukaryota	Zm00039ab001100
1.0	Cellular organisms	Zm00039ab001120
1.0	Cellular organisms	Zm00039ab001130
14.0	Subspecies: Zea mays mays	Zm00039ab001140
6.0	Class: Magnoliopsida	Zm00039ab001150
1.0	Cellular organisms	Zm00039ab001160
1.0	Cellular organisms	Zm00039ab001170
2.0	Domain: Eukaryota	Zm00039ab001180
7.0	Monocots (Liliopsida)	Zm00039ab001190
7.0	Monocots (Liliopsida)	Zm00039ab001200
5.0	Land Plants (Embryophyta)	Zm00039ab001210
3.0	Kingdom: Viridiplantae	Zm00039ab001220
1.0	Cellular organisms	Zm00039ab001230
5.0	Land Plants (Embryophyta)	Zm00039ab001240
4.0	Phylum: Streptophyta	Zm00039ab001250
1.0	Cellular organisms	Zm00039ab001260
4.0	Phylum: Streptophyta	Zm00039ab001270
1.0	Cellular organisms	Zm00039ab001280
4.0	Phylum: Streptophyta	Zm00039ab001290
7.0	Monocots (Liliopsida)	Zm00039ab001300
1.0	Cellular organisms	Zm00039ab001320
5.0	Land Plants (Embryophyta)	Zm00039ab001330
1.0	Cellular organisms	Zm00039ab001340
4.0	Phylum: Streptophyta	Zm00039ab001350
5.0	Land Plants (Embryophyta)	Zm00039ab001360
2.0	Domain: Eukaryota	Zm00039ab001370
1.0	Cellular organisms	Zm00039ab001380
1.0	Cellular organisms	Zm00039ab001390
2.0	Domain: Eukaryota	Zm00039ab001400
2.0	Domain: Eukaryota	Zm00039ab001410
1.0	Cellular organisms	Zm00039ab001420
1.0	Cellular organisms	Zm00039ab001430
2.0	Domain: Eukaryota	Zm00039ab001440
2.0	Domain: Eukaryota	Zm00039ab001450
5.0	Land Plants (Embryophyta)	Zm00039ab001460
2.0	Domain: Eukaryota	Zm00039ab001470
4.0	Phylum: Streptophyta	Zm00039ab001480
5.0	Land Plants (Embryophyta)	Zm00039ab001490
2.0	Domain: Eukaryota	Zm00039ab001500
1.0	Cellular organisms	Zm00039ab001510
2.0	Domain: Eukaryota	Zm00039ab001520
5.0	Land Plants (Embryophyta)	Zm00039ab001530
14.0	Subspecies: Zea mays mays	Zm00039ab001550
3.0	Kingdom: Viridiplantae	Zm00039ab001560
14.0	Subspecies: Zea mays mays	Zm00039ab001570
4.0	Phylum: Streptophyta	Zm00039ab001580
3.0	Kingdom: Viridiplantae	Zm00039ab001590
1.0	Cellular organisms	Zm00039ab001600
6.0	Class: Magnoliopsida	Zm00039ab001610
2.0	Domain: Eukaryota	Zm00039ab001620
1.0	Cellular organisms	Zm00039ab001630
1.0	Cellular organisms	Zm00039ab001640
9.0	Family: Poaceae	Zm00039ab001650
1.0	Cellular organisms	Zm00039ab001660
5.0	Land Plants (Embryophyta)	Zm00039ab001670
14.0	Subspecies: Zea mays mays	Zm00039ab001680
1.0	Cellular organisms	Zm00039ab001690
3.0	Kingdom: Viridiplantae	Zm00039ab001700
1.0	Cellular organisms	Zm00039ab001710
9.0	Family: Poaceae	Zm00039ab001720
2.0	Domain: Eukaryota	Zm00039ab001740
6.0	Class: Magnoliopsida	Zm00039ab001750
2.0	Domain: Eukaryota	Zm00039ab001760
2.0	Domain: Eukaryota	Zm00039ab001770
2.0	Domain: Eukaryota	Zm00039ab001780
1.0	Cellular organisms	Zm00039ab001790
2.0	Domain: Eukaryota	Zm00039ab001800
2.0	Domain: Eukaryota	Zm00039ab001810
14.0	Subspecies: Zea mays mays	Zm00039ab001820
6.0	Class: Magnoliopsida	Zm00039ab001840
2.0	Domain: Eukaryota	Zm00039ab001850
1.0	Cellular organisms	Zm00039ab001860
1.0	Cellular organisms	Zm00039ab001870
7.0	Monocots (Liliopsida)	Zm00039ab001880
1.0	Cellular organisms	Zm00039ab001890
1.0	Cellular organisms	Zm00039ab001900
1.0	Cellular organisms	Zm00039ab001910
2.0	Domain: Eukaryota	Zm00039ab001920
1.0	Cellular organisms	Zm00039ab001930
1.0	Cellular organisms	Zm00039ab001940
6.0	Class: Magnoliopsida	Zm00039ab001970
1.0	Cellular organisms	Zm00039ab001990
7.0	Monocots (Liliopsida)	Zm00039ab002000
1.0	Cellular organisms	Zm00039ab002020
3.0	Kingdom: Viridiplantae	Zm00039ab002030
5.0	Land Plants (Embryophyta)	Zm00039ab002040
6.0	Class: Magnoliopsida	Zm00039ab002060
5.0	Land Plants (Embryophyta)	Zm00039ab002070
14.0	Subspecies: Zea mays mays	Zm00039ab002080
1.0	Cellular organisms	Zm00039ab002090
1.0	Cellular organisms	Zm00039ab002100
6.0	Class: Magnoliopsida	Zm00039ab002120
5.0	Land Plants (Embryophyta)	Zm00039ab002130
4.0	Phylum: Streptophyta	Zm00039ab002140
6.0	Class: Magnoliopsida	Zm00039ab002150
2.0	Domain: Eukaryota	Zm00039ab002160
3.0	Kingdom: Viridiplantae	Zm00039ab002170
4.0	Phylum: Streptophyta	Zm00039ab002180
1.0	Cellular organisms	Zm00039ab002190
1.0	Cellular organisms	Zm00039ab002200
3.0	Kingdom: Viridiplantae	Zm00039ab002210
2.0	Domain: Eukaryota	Zm00039ab002220
2.0	Domain: Eukaryota	Zm00039ab002230
5.0	Land Plants (Embryophyta)	Zm00039ab002240
2.0	Domain: Eukaryota	Zm00039ab002250
6.0	Class: Magnoliopsida	Zm00039ab002260
6.0	Class: Magnoliopsida	Zm00039ab002270
2.0	Domain: Eukaryota	Zm00039ab002280
1.0	Cellular organisms	Zm00039ab002290
1.0	Cellular organisms	Zm00039ab002310
3.0	Kingdom: Viridiplantae	Zm00039ab002320
14.0	Subspecies: Zea mays mays	Zm00039ab002340
2.0	Domain: Eukaryota	Zm00039ab002350
2.0	Domain: Eukaryota	Zm00039ab002360
2.0	Domain: Eukaryota	Zm00039ab002380
3.0	Kingdom: Viridiplantae	Zm00039ab002390
1.0	Cellular organisms	Zm00039ab002400
11.0	Tribe: Andropogoneae	Zm00039ab002410
1.0	Cellular organisms	Zm00039ab002420
11.0	Tribe: Andropogoneae	Zm00039ab002430
3.0	Kingdom: Viridiplantae	Zm00039ab002440
1.0	Cellular organisms	Zm00039ab002450
3.0	Kingdom: Viridiplantae	Zm00039ab002460
2.0	Domain: Eukaryota	Zm00039ab002470
2.0	Domain: Eukaryota	Zm00039ab002480
5.0	Land Plants (Embryophyta)	Zm00039ab002490
1.0	Cellular organisms	Zm00039ab002500
12.0	Genus: Zea	Zm00039ab002510
6.0	Class: Magnoliopsida	Zm00039ab002520
1.0	Cellular organisms	Zm00039ab002530
1.0	Cellular organisms	Zm00039ab002540
2.0	Domain: Eukaryota	Zm00039ab002550
5.0	Land Plants (Embryophyta)	Zm00039ab002560
1.0	Cellular organisms	Zm00039ab002570
2.0	Domain: Eukaryota	Zm00039ab002580
1.0	Cellular organisms	Zm00039ab002590
12.0	Genus: Zea	Zm00039ab002600
1.0	Cellular organisms	Zm00039ab002610
1.0	Cellular organisms	Zm00039ab002620
3.0	Kingdom: Viridiplantae	Zm00039ab002630
1.0	Cellular organisms	Zm00039ab002640
1.0	Cellular organisms	Zm00039ab002650
		Zm00039ab002660
2.0	Domain: Eukaryota	Zm00039ab002670
1.0	Cellular organisms	Zm00039ab002690
2.0	Domain: Eukaryota	Zm00039ab002700
1.0	Cellular organisms	Zm00039ab002710
1.0	Cellular organisms	Zm00039ab002770
5.0	Land Plants (Embryophyta)	Zm00039ab002780
9.0	Family: Poaceae	Zm00039ab002790
4.0	Phylum: Streptophyta	Zm00039ab002800
6.0	Class: Magnoliopsida	Zm00039ab002810
2.0	Domain: Eukaryota	Zm00039ab002820
1.0	Cellular organisms	Zm00039ab002840
1.0	Cellular organisms	Zm00039ab002850
9.0	Family: Poaceae	Zm00039ab002860
4.0	Phylum: Streptophyta	Zm00039ab002870
5.0	Land Plants (Embryophyta)	Zm00039ab002880
3.0	Kingdom: Viridiplantae	Zm00039ab002890
1.0	Cellular organisms	Zm00039ab002910
1.0	Cellular organisms	Zm00039ab002920
1.0	Cellular organisms	Zm00039ab002940
9.0	Family: Poaceae	Zm00039ab002950
1.0	Cellular organisms	Zm00039ab002960
1.0	Cellular organisms	Zm00039ab002970
4.0	Phylum: Streptophyta	Zm00039ab002980
1.0	Cellular organisms	Zm00039ab002990
1.0	Cellular organisms	Zm00039ab003000
14.0	Subspecies: Zea mays mays	Zm00039ab003010
5.0	Land Plants (Embryophyta)	Zm00039ab003020
5.0	Land Plants (Embryophyta)	Zm00039ab003030
1.0	Cellular organisms	Zm00039ab003050
1.0	Cellular organisms	Zm00039ab003060
4.0	Phylum: Streptophyta	Zm00039ab003070
2.0	Domain: Eukaryota	Zm00039ab003090
3.0	Kingdom: Viridiplantae	Zm00039ab003100
5.0	Land Plants (Embryophyta)	Zm00039ab003110
3.0	Kingdom: Viridiplantae	Zm00039ab003120
5.0	Land Plants (Embryophyta)	Zm00039ab003130
14.0	Subspecies: Zea mays mays	Zm00039ab003140
2.0	Domain: Eukaryota	Zm00039ab003150
6.0	Class: Magnoliopsida	Zm00039ab003160
1.0	Cellular organisms	Zm00039ab003170
1.0	Cellular organisms	Zm00039ab003180
2.0	Domain: Eukaryota	Zm00039ab003190
2.0	Domain: Eukaryota	Zm00039ab003200
2.0	Domain: Eukaryota	Zm00039ab003210
3.0	Kingdom: Viridiplantae	Zm00039ab003230
9.0	Family: Poaceae	Zm00039ab003240
5.0	Land Plants (Embryophyta)	Zm00039ab003250
9.0	Family: Poaceae	Zm00039ab003260
7.0	Monocots (Liliopsida)	Zm00039ab003270
3.0	Kingdom: Viridiplantae	Zm00039ab003280
5.0	Land Plants (Embryophyta)	Zm00039ab003290
14.0	Subspecies: Zea mays mays	Zm00039ab003310
1.0	Cellular organisms	Zm00039ab003330
9.0	Family: Poaceae	Zm00039ab003340
2.0	Domain: Eukaryota	Zm00039ab003350
3.0	Kingdom: Viridiplantae	Zm00039ab003360
3.0	Kingdom: Viridiplantae	Zm00039ab003370
2.0	Domain: Eukaryota	Zm00039ab003380
3.0	Kingdom: Viridiplantae	Zm00039ab003390
5.0	Land Plants (Embryophyta)	Zm00039ab003400
1.0	Cellular organisms	Zm00039ab003420
14.0	Subspecies: Zea mays mays	Zm00039ab003440
2.0	Domain: Eukaryota	Zm00039ab003450
4.0	Phylum: Streptophyta	Zm00039ab003460
